日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,富邦股份,1300387,26.50,26.67,26.25,26.65,0.31,1.18,"10,281","2,721",1.59,1.56
2017-03-30,富邦股份,1300387,27.39,27.56,26.00,26.34,-1.00,-3.66,"17,413","4,645",5.71,2.64
2017-03-29,富邦股份,1300387,28.74,28.74,27.30,27.34,-1.21,-4.24,"18,846","5,236",5.04,2.86
2017-03-28,富邦股份,1300387,28.58,28.97,28.50,28.55,-0.08,-0.28,"8,519","2,445",1.64,1.29
2017-03-27,富邦股份,1300387,29.00,29.10,28.52,28.63,-0.48,-1.65,"13,349","3,840",1.99,2.02
2017-03-24,富邦股份,1300387,29.06,29.49,28.68,29.11,-0.02,-0.07,"11,720","3,402",2.78,1.78
2017-03-23,富邦股份,1300387,29.12,29.44,28.72,29.13,-0.01,-0.03,"11,922","3,475",2.47,1.81
2017-03-22,富邦股份,1300387,29.29,29.38,28.78,29.14,-0.16,-0.55,"12,236","3,558",2.05,1.85
2017-03-21,富邦股份,1300387,29.30,29.44,29.25,29.30,-0.05,-0.17,"9,630","2,824",0.65,1.46
2017-03-20,富邦股份,1300387,29.00,29.46,29.00,29.35,0.10,0.34,"10,312","3,023",1.57,1.56
2017-03-17,富邦股份,1300387,29.47,29.74,29.17,29.25,-0.14,-0.48,"14,993","4,417",1.94,2.27
2017-03-16,富邦股份,1300387,29.15,29.48,28.88,29.39,0.42,1.45,"11,205","3,283",2.07,1.70
2017-03-15,富邦股份,1300387,28.92,29.10,28.76,28.97,0.04,0.14,"8,417","2,436",1.18,1.28
2017-03-14,富邦股份,1300387,28.92,29.17,28.83,28.93,-0.07,-0.24,"8,957","2,599",1.17,1.36
2017-03-13,富邦股份,1300387,28.72,29.04,28.44,29.00,0.40,1.40,"11,389","3,284",2.10,1.73
2017-03-10,富邦股份,1300387,28.86,29.08,28.57,28.60,-0.20,-0.69,"12,006","3,459",1.77,1.82
2017-03-09,富邦股份,1300387,29.20,29.44,27.53,28.80,-0.31,-1.06,"12,776","3,686",6.56,1.94
2017-03-08,富邦股份,1300387,29.50,29.50,29.02,29.11,-0.39,-1.32,"10,354","3,028",1.63,1.57
2017-03-07,富邦股份,1300387,29.10,29.56,28.94,29.50,0.32,1.10,"13,173","3,862",2.12,2.00
2017-03-06,富邦股份,1300387,28.83,29.18,28.36,29.18,0.55,1.92,"13,790","3,996",2.86,2.09
2017-03-03,富邦股份,1300387,28.63,28.74,28.25,28.63,0.00,0.00,"10,505","2,996",1.71,1.59
2017-03-02,富邦股份,1300387,28.94,29.05,28.38,28.63,-0.22,-0.76,"11,431","3,271",2.32,1.73
2017-03-01,富邦股份,1300387,28.75,29.16,28.75,28.85,0.10,0.35,"13,748","3,976",1.43,2.08
2017-02-28,富邦股份,1300387,28.78,28.78,28.60,28.75,0.19,0.67,"11,001","3,156",0.63,1.67
2017-02-27,富邦股份,1300387,28.75,28.90,28.50,28.56,-0.14,-0.49,"13,049","3,740",1.39,1.98
2017-02-24,富邦股份,1300387,28.80,28.80,28.50,28.70,0.02,0.07,"14,396","4,126",1.05,2.18
2017-02-23,富邦股份,1300387,28.35,28.85,28.15,28.68,0.33,1.16,"13,154","3,738",2.47,1.99
2017-02-22,富邦股份,1300387,28.80,28.99,28.23,28.35,-0.26,-0.91,"13,575","3,865",2.66,2.06
2017-02-21,富邦股份,1300387,27.91,29.53,27.91,28.61,0.80,2.88,"21,901","6,316",5.83,3.32
2017-02-20,富邦股份,1300387,27.51,27.86,27.26,27.81,0.43,1.57,"13,250","3,662",2.19,2.01
2017-02-17,富邦股份,1300387,28.00,28.34,27.35,27.38,-0.69,-2.46,"13,894","3,859",3.53,2.11
2017-02-16,富邦股份,1300387,27.87,28.27,27.85,28.07,-0.02,-0.07,"8,222","2,307",1.50,1.25
2017-02-15,富邦股份,1300387,28.18,28.69,28.00,28.09,-0.06,-0.21,"12,090","3,439",2.45,1.83
2017-02-14,富邦股份,1300387,28.18,28.46,28.13,28.15,-0.13,-0.46,"10,520","2,976",1.17,1.59
2017-02-13,富邦股份,1300387,27.90,28.46,27.65,28.28,0.34,1.22,"12,502","3,517",2.90,1.90
2017-02-10,富邦股份,1300387,27.70,28.14,27.70,27.94,0.09,0.32,"12,520","3,497",1.58,1.90
2017-02-09,富邦股份,1300387,27.51,27.99,27.45,27.85,0.31,1.13,"11,770","3,270",1.96,1.78
2017-02-08,富邦股份,1300387,27.33,27.54,27.06,27.54,0.24,0.88,"10,169","2,774",1.76,1.54
2017-02-07,富邦股份,1300387,27.24,27.48,27.05,27.30,0.06,0.22,"12,503","3,408",1.58,1.90
2017-02-06,富邦股份,1300387,26.86,27.46,26.86,27.24,0.27,1.00,"13,207","3,584",2.22,2.00
2017-02-03,富邦股份,1300387,27.48,27.48,26.67,26.97,-0.40,-1.46,"11,680","3,154",2.96,1.77
2017-01-26,富邦股份,1300387,27.12,27.40,26.96,27.37,0.44,1.63,"7,003","1,909",1.63,1.67
2017-01-25,富邦股份,1300387,26.72,27.39,26.60,26.93,0.21,0.79,"8,763","2,368",2.96,2.09
2017-01-24,富邦股份,1300387,26.99,27.20,26.67,26.72,-0.18,-0.67,"8,827","2,381",1.97,2.10
2017-01-23,富邦股份,1300387,26.60,27.25,26.40,26.90,0.24,0.90,"10,018","2,708",3.19,2.39
2017-01-20,富邦股份,1300387,25.60,26.90,25.50,26.66,0.75,2.89,"10,831","2,868",5.40,2.58
2017-01-19,富邦股份,1300387,26.01,26.29,25.47,25.91,-0.21,-0.80,"9,630","2,500",3.14,2.29
2017-01-18,富邦股份,1300387,26.72,26.89,26.01,26.12,-0.58,-2.17,"9,154","2,436",3.30,2.18
2017-01-17,富邦股份,1300387,26.30,27.08,25.59,26.70,0.20,0.75,"17,693","4,662",5.62,4.22
2017-01-16,富邦股份,1300387,28.40,28.40,25.34,26.50,-1.55,-5.53,"21,953","5,873",10.91,5.23
2017-01-13,富邦股份,1300387,28.07,28.43,27.53,28.05,0.05,0.18,"18,185","5,092",3.21,4.33
2017-01-12,富邦股份,1300387,29.35,29.49,28.00,28.00,-1.33,-4.53,"23,689","6,788",5.08,5.64
2017-01-11,富邦股份,1300387,30.56,30.56,29.33,29.33,-0.87,-2.88,"11,865","3,537",4.07,2.83
2017-01-10,富邦股份,1300387,30.27,30.50,30.12,30.20,-0.18,-0.59,"9,824","2,983",1.25,2.34
2017-01-09,富邦股份,1300387,30.25,30.57,29.50,30.38,0.23,0.76,"15,259","4,596",3.55,3.64
2017-01-06,富邦股份,1300387,30.77,31.18,30.06,30.15,-0.79,-2.55,"15,612","4,768",3.62,3.72
2017-01-05,富邦股份,1300387,31.28,31.50,30.93,30.94,-0.36,-1.15,"17,240","5,398",1.82,4.11
2017-01-04,富邦股份,1300387,31.20,31.34,31.03,31.30,0.10,0.32,"23,247","7,258",0.99,5.54
