日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,德美化工,1002054,15.42,15.58,15.28,15.50,0.03,0.19,"19,868","3,064",1.94,0.47
2017-06-29,德美化工,1002054,15.48,15.66,15.25,15.47,0.04,0.26,"58,566","9,029",2.66,1.40
2017-06-28,德美化工,1002054,15.51,15.90,14.90,15.43,0.12,0.78,"69,618","10,732",6.53,1.66
2017-06-27,德美化工,1002054,16.02,16.27,15.10,15.31,-0.74,-4.61,"56,823","8,950",7.29,1.36
2017-06-26,德美化工,1002054,16.19,16.40,15.88,16.05,-0.22,-1.35,"42,439","6,828",3.20,1.01
2017-06-23,德美化工,1002054,16.19,16.44,15.70,16.27,0.07,0.43,"57,684","9,291",4.57,1.38
2017-06-22,德美化工,1002054,16.09,16.48,15.98,16.20,0.22,1.38,"67,613","11,001",3.13,1.61
2017-06-21,德美化工,1002054,15.95,16.09,15.50,15.98,0.09,0.57,"24,708","3,924",3.71,0.59
2017-06-20,德美化工,1002054,15.88,16.17,15.83,15.89,-0.11,-0.69,"23,156","3,691",2.13,0.55
2017-06-19,德美化工,1002054,15.76,16.29,15.69,16.00,0.24,1.52,"28,688","4,586",3.81,0.68
2017-06-16,德美化工,1002054,15.75,15.95,15.57,15.76,0.01,0.06,"19,965","3,155",2.41,0.48
2017-06-15,德美化工,1002054,16.00,16.09,15.54,15.75,-0.25,-1.56,"29,894","4,730",3.44,0.71
2017-06-14,德美化工,1002054,16.04,16.53,15.88,16.00,-0.03,-0.19,"48,329","7,842",4.05,1.15
2017-06-13,德美化工,1002054,15.79,16.15,15.62,16.03,0.22,1.39,"43,334","6,918",3.35,1.03
2017-06-12,德美化工,1002054,15.55,15.94,15.13,15.81,0.16,1.02,"50,608","7,908",5.18,1.21
2017-06-09,德美化工,1002054,16.28,16.35,15.15,15.65,-0.65,-3.99,"103,757","16,251",7.36,2.47
2017-06-08,德美化工,1002054,16.80,17.00,16.07,16.30,-0.60,-3.55,"84,651","13,857",5.50,2.02
