日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,德联集团,1002666,7.77,8.00,7.72,7.92,0.09,1.15,"77,205","6,074",3.58,1.02
2017-03-30,德联集团,1002666,7.75,7.93,7.66,7.83,0.05,0.64,"71,203","5,529",3.47,0.94
2017-03-29,德联集团,1002666,7.85,7.85,7.74,7.78,-0.05,-0.64,"40,097","3,122",1.40,0.53
2017-03-28,德联集团,1002666,7.86,7.89,7.81,7.83,0.01,0.13,"23,149","1,814",1.02,0.31
2017-03-27,德联集团,1002666,7.88,7.89,7.81,7.82,-0.03,-0.38,"29,559","2,319",1.02,0.39
2017-03-24,德联集团,1002666,7.82,7.88,7.77,7.85,0.03,0.38,"36,793","2,880",1.41,0.49
2017-03-23,德联集团,1002666,7.87,7.92,7.76,7.82,-0.05,-0.64,"42,884","3,368",2.03,0.57
2017-03-22,德联集团,1002666,8.02,8.02,7.83,7.87,-0.17,-2.11,"43,861","3,469",2.36,0.58
2017-03-21,德联集团,1002666,8.03,8.07,8.01,8.04,-0.01,-0.12,"29,779","2,396",0.75,0.39
2017-03-20,德联集团,1002666,8.01,8.07,7.98,8.05,0.01,0.12,"38,349","3,077",1.12,0.51
2017-03-17,德联集团,1002666,8.08,8.12,7.98,8.04,-0.04,-0.50,"56,976","4,599",1.73,0.76
2017-03-16,德联集团,1002666,8.05,8.11,8.04,8.08,0.02,0.25,"49,887","4,025",0.87,0.66
2017-03-15,德联集团,1002666,8.10,8.10,8.01,8.06,-0.05,-0.62,"34,808","2,799",1.11,0.46
2017-03-14,德联集团,1002666,8.16,8.19,8.05,8.11,-0.11,-1.34,"58,493","4,741",1.70,0.78
2017-03-13,德联集团,1002666,8.03,8.40,7.93,8.22,0.19,2.37,"123,098","10,114",5.85,1.63
2017-03-10,德联集团,1002666,8.01,8.04,7.99,8.03,0.04,0.50,"23,153","1,857",0.63,0.31
2017-03-09,德联集团,1002666,8.08,8.11,7.97,7.99,-0.12,-1.48,"38,832","3,112",1.73,0.51
2017-03-08,德联集团,1002666,8.13,8.15,8.06,8.11,0.00,0.00,"39,318","3,182",1.11,0.52
2017-03-07,德联集团,1002666,8.14,8.14,8.06,8.11,0.01,0.12,"30,573","2,477",0.99,0.41
2017-03-06,德联集团,1002666,8.00,8.20,8.00,8.10,0.06,0.75,"43,432","3,530",2.49,0.58
2017-03-03,德联集团,1002666,7.91,8.06,7.91,8.04,0.12,1.52,"37,436","2,992",1.89,0.50
2017-03-02,德联集团,1002666,8.01,8.02,7.91,7.92,-0.08,-1.00,"44,034","3,506",1.38,0.58
2017-03-01,德联集团,1002666,7.96,8.09,7.96,8.00,0.04,0.50,"71,877","5,773",1.63,0.95
2017-02-28,德联集团,1002666,7.88,7.96,7.85,7.96,0.07,0.89,"54,818","4,342",1.39,0.73
2017-02-27,德联集团,1002666,8.01,8.03,7.88,7.89,-0.12,-1.50,"38,033","3,031",1.87,0.50
2017-02-24,德联集团,1002666,8.00,8.04,7.95,8.01,0.01,0.13,"27,068","2,162",1.13,0.36
2017-02-23,德联集团,1002666,8.07,8.08,7.95,8.00,-0.05,-0.62,"36,175","2,888",1.61,0.48
2017-02-22,德联集团,1002666,8.03,8.13,8.00,8.05,0.03,0.37,"47,231","3,802",1.62,0.63
2017-02-21,德联集团,1002666,7.94,8.04,7.93,8.02,0.06,0.75,"37,805","3,024",1.38,0.50
2017-02-20,德联集团,1002666,7.89,7.97,7.89,7.96,0.07,0.89,"37,634","2,983",1.01,0.50
2017-02-17,德联集团,1002666,7.87,8.00,7.84,7.89,0.00,0.00,"50,054","3,962",2.03,0.66
2017-02-16,德联集团,1002666,7.84,7.92,7.84,7.89,0.03,0.38,"30,905","2,436",1.02,0.41
2017-02-15,德联集团,1002666,7.94,7.98,7.84,7.86,-0.09,-1.13,"48,944","3,869",1.76,0.65
2017-02-14,德联集团,1002666,7.94,8.01,7.91,7.95,0.02,0.25,"44,847","3,576",1.26,0.59
2017-02-13,德联集团,1002666,7.85,7.98,7.84,7.93,0.07,0.89,"44,252","3,514",1.78,0.59
2017-02-10,德联集团,1002666,7.90,7.94,7.86,7.86,-0.05,-0.63,"37,833","2,988",1.01,0.50
2017-02-09,德联集团,1002666,7.77,7.94,7.77,7.91,0.12,1.54,"49,048","3,869",2.18,0.65
2017-02-08,德联集团,1002666,7.72,7.81,7.68,7.79,0.04,0.52,"33,575","2,602",1.68,0.45
2017-02-07,德联集团,1002666,7.78,7.82,7.71,7.75,-0.03,-0.39,"33,632","2,610",1.41,0.45
2017-02-06,德联集团,1002666,7.66,7.81,7.66,7.78,0.12,1.57,"55,638","4,309",1.96,0.74
2017-02-03,德联集团,1002666,7.70,7.72,7.64,7.66,-0.02,-0.26,"22,248","1,708",1.04,0.29
2017-01-26,德联集团,1002666,7.62,7.73,7.62,7.68,0.04,0.52,"32,741","2,516",1.44,0.43
2017-01-25,德联集团,1002666,7.63,7.67,7.58,7.64,0.04,0.53,"28,294","2,158",1.18,0.38
2017-01-24,德联集团,1002666,7.70,7.70,7.58,7.60,-0.06,-0.78,"36,159","2,753",1.57,0.48
2017-01-23,德联集团,1002666,7.64,7.71,7.60,7.66,-0.03,-0.39,"60,670","4,647",1.43,0.80
2017-01-20,德联集团,1002666,7.42,7.69,7.40,7.69,0.25,3.36,"64,368","4,860",3.90,0.85
2017-01-19,德联集团,1002666,7.52,7.52,7.33,7.44,-0.10,-1.33,"89,201","6,615",2.52,1.18
2017-01-18,德联集团,1002666,7.58,7.61,7.48,7.54,-0.06,-0.79,"35,674","2,691",1.71,0.47
2017-01-17,德联集团,1002666,7.55,7.62,7.42,7.60,0.05,0.66,"34,393","2,591",2.65,0.46
2017-01-16,德联集团,1002666,7.82,7.88,7.28,7.55,-0.34,-4.31,"73,984","5,652",7.60,0.98
2017-01-13,德联集团,1002666,8.04,8.07,7.86,7.89,-0.15,-1.87,"55,963","4,455",2.61,0.74
2017-01-12,德联集团,1002666,8.11,8.17,8.03,8.04,-0.07,-0.86,"34,807","2,818",1.73,0.46
2017-01-11,德联集团,1002666,8.23,8.24,8.11,8.11,-0.09,-1.10,"32,621","2,664",1.59,0.43
2017-01-10,德联集团,1002666,8.26,8.28,8.18,8.20,-0.07,-0.85,"45,747","3,767",1.21,0.61
2017-01-09,德联集团,1002666,8.26,8.28,8.19,8.27,0.05,0.61,"44,246","3,644",1.09,0.59
2017-01-06,德联集团,1002666,8.32,8.34,8.19,8.22,-0.11,-1.32,"55,846","4,619",1.80,0.74
2017-01-05,德联集团,1002666,8.44,8.44,8.30,8.33,-0.09,-1.07,"62,621","5,227",1.66,0.83
2017-01-04,德联集团,1002666,8.37,8.42,8.33,8.42,0.08,0.96,"34,488","2,891",1.08,0.46
2017-01-03,德联集团,1002666,8.34,8.40,8.33,8.34,0.00,0.00,"50,192","4,192",0.84,0.67
2017-12-29,德联集团,1002666,5.58,5.65,5.53,5.62,0.06,1.08,"51,031","2,861",2.16,0.68
