日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,新安股份,0600596,8.15,8.55,8.08,8.45,0.24,2.92,"237,954","19,902",5.72,3.50
2017-06-29,新安股份,0600596,7.99,8.25,7.99,8.21,0.24,3.01,"202,116","16,509",3.26,2.98
2017-06-28,新安股份,0600596,7.97,8.12,7.93,7.97,0.04,0.50,"164,226","13,185",2.40,2.42
2017-06-27,新安股份,0600596,7.93,8.15,7.91,7.93,0.03,0.38,"170,610","13,696",3.04,2.51
2017-06-26,新安股份,0600596,7.62,7.92,7.62,7.90,0.26,3.40,"160,068","12,506",3.93,2.36
2017-06-23,新安股份,0600596,7.69,7.72,7.50,7.64,-0.04,-0.52,"112,903","8,601",2.86,1.66
2017-06-22,新安股份,0600596,7.80,7.93,7.68,7.68,-0.24,-3.03,"178,404","13,942",3.16,2.63
2017-06-21,新安股份,0600596,7.71,7.97,7.64,7.92,0.24,3.13,"254,081","19,935",4.30,3.74
2017-06-20,新安股份,0600596,7.68,7.71,7.64,7.68,0.02,0.26,"111,365","8,549",0.91,1.64
2017-06-19,新安股份,0600596,7.73,7.77,7.63,7.66,-0.09,-1.16,"149,882","11,501",1.81,2.21
2017-06-16,新安股份,0600596,7.75,7.78,7.67,7.75,-0.01,-0.13,"49,428","3,812",1.42,0.73
2017-06-15,新安股份,0600596,7.63,7.86,7.62,7.76,0.15,1.97,"113,354","8,801",3.15,1.67
2017-06-14,新安股份,0600596,7.63,7.66,7.56,7.61,-0.02,-0.26,"45,522","3,460",1.31,0.67
2017-06-13,新安股份,0600596,7.44,7.67,7.44,7.63,0.15,2.01,"80,548","6,126",3.07,1.19
2017-06-12,新安股份,0600596,7.53,7.57,7.45,7.48,-0.11,-1.45,"51,943","3,909",1.58,0.76
2017-06-09,新安股份,0600596,7.57,7.62,7.50,7.59,-0.03,-0.39,"66,972","5,060",1.57,0.99
2017-06-08,新安股份,0600596,7.66,7.71,7.56,7.62,-0.06,-0.78,"81,350","6,201",1.95,1.20
2017-06-07,新安股份,0600596,7.47,7.69,7.47,7.68,0.18,2.40,"107,252","8,165",2.93,1.58
2017-06-06,新安股份,0600596,7.54,7.54,7.43,7.50,-0.04,-0.53,"53,507","4,004",1.46,0.79
2017-06-05,新安股份,0600596,7.46,7.58,7.45,7.54,0.03,0.40,"79,395","5,972",1.73,1.17
2017-06-02,新安股份,0600596,7.25,7.53,7.04,7.51,0.26,3.59,"129,022","9,414",6.76,1.90
2017-06-01,新安股份,0600596,7.37,7.44,7.24,7.25,-0.12,-1.63,"98,337","7,238",2.71,1.45
2017-05-31,新安股份,0600596,7.42,7.50,7.35,7.37,0.05,0.68,"64,829","4,820",2.05,0.95
2017-05-26,新安股份,0600596,7.37,7.43,7.31,7.32,-0.07,-0.95,"57,344","4,223",1.62,0.84
2017-05-25,新安股份,0600596,7.24,7.43,7.10,7.39,0.11,1.51,"90,236","6,546",4.53,1.33
2017-05-24,新安股份,0600596,7.10,7.30,6.99,7.28,0.15,2.10,"81,374","5,829",4.35,1.20
2017-05-23,新安股份,0600596,7.34,7.35,7.07,7.13,-0.25,-3.39,"108,230","7,834",3.79,1.59
2017-05-22,新安股份,0600596,7.72,7.78,7.26,7.38,-0.40,-5.14,"130,219","9,731",6.68,1.92
2017-05-19,新安股份,0600596,7.79,7.88,7.72,7.78,-0.01,-0.13,"52,537","4,095",2.05,0.77
2017-05-18,新安股份,0600596,7.83,7.90,7.75,7.79,-0.04,-0.51,"61,818","4,827",1.92,0.91
2017-05-17,新安股份,0600596,7.81,8.07,7.78,7.93,0.12,1.54,"93,475","7,415",3.71,1.38
2017-05-16,新安股份,0600596,7.61,7.81,7.49,7.81,0.20,2.63,"76,262","5,843",4.21,1.12
2017-05-15,新安股份,0600596,7.67,7.69,7.59,7.61,0.02,0.26,"54,801","4,182",1.32,0.81
2017-05-12,新安股份,0600596,7.53,7.66,7.48,7.59,0.05,0.66,"72,630","5,498",2.39,1.07
2017-05-11,新安股份,0600596,7.63,7.64,7.30,7.54,-0.08,-1.05,"132,614","9,912",4.46,1.95
2017-05-10,新安股份,0600596,7.99,7.99,7.60,7.62,-0.35,-4.39,"117,667","9,200",4.89,1.73
2017-05-09,新安股份,0600596,7.94,8.02,7.82,7.97,0.04,0.50,"104,314","8,276",2.52,1.54
2017-05-08,新安股份,0600596,8.12,8.14,7.90,7.93,-0.18,-2.22,"121,096","9,716",2.96,1.78
2017-05-05,新安股份,0600596,8.55,8.63,8.10,8.11,-0.39,-4.59,"200,769","16,793",6.24,2.96
2017-05-04,新安股份,0600596,8.85,8.86,8.48,8.50,-0.36,-4.06,"108,045","9,400",4.29,1.59
2017-05-03,新安股份,0600596,8.96,9.05,8.80,8.86,-0.11,-1.23,"54,463","4,844",2.79,0.80
2017-05-02,新安股份,0600596,9.10,9.13,8.94,8.97,-0.03,-0.33,"56,444","5,082",2.11,0.83
2017-04-28,新安股份,0600596,8.98,9.13,8.95,9.00,0.01,0.11,"59,490","5,379",2.00,0.88
2017-04-27,新安股份,0600596,8.90,9.05,8.65,8.99,0.10,1.12,"86,095","7,634",4.50,1.27
2017-04-26,新安股份,0600596,9.05,9.13,8.88,8.89,-0.16,-1.77,"49,764","4,465",2.76,0.73
2017-04-25,新安股份,0600596,8.86,9.25,8.84,9.05,0.19,2.14,"80,805","7,368",4.63,1.19
2017-04-24,新安股份,0600596,8.68,8.96,8.59,8.86,-0.15,-1.66,"86,681","7,615",4.11,1.28
2017-04-21,新安股份,0600596,8.92,9.13,8.91,9.01,0.08,0.90,"72,547","6,567",2.46,1.07
2017-04-20,新安股份,0600596,8.75,9.11,8.75,8.93,0.13,1.48,"84,978","7,574",4.09,1.25
2017-04-19,新安股份,0600596,8.97,9.03,8.69,8.80,-0.21,-2.33,"86,596","7,624",3.77,1.28
2017-04-18,新安股份,0600596,9.20,9.26,8.98,9.01,-0.19,-2.07,"67,858","6,208",3.04,1.00
2017-04-17,新安股份,0600596,9.14,9.29,9.09,9.20,0.06,0.66,"60,798","5,597",2.19,0.90
2017-04-14,新安股份,0600596,9.26,9.26,9.05,9.14,-0.12,-1.30,"52,248","4,784",2.27,0.77
2017-04-13,新安股份,0600596,9.21,9.32,9.20,9.26,0.03,0.33,"60,102","5,572",1.30,0.88
2017-04-12,新安股份,0600596,9.47,9.50,9.19,9.23,-0.25,-2.64,"122,447","11,389",3.27,1.80
2017-04-11,新安股份,0600596,9.64,9.72,9.19,9.48,-0.16,-1.66,"150,868","14,240",5.50,2.22
2017-04-10,新安股份,0600596,9.77,9.87,9.63,9.64,-0.10,-1.03,"89,273","8,727",2.46,1.31
2017-04-07,新安股份,0600596,9.75,9.86,9.65,9.74,-0.06,-0.61,"80,740","7,880",2.14,1.19
2017-04-06,新安股份,0600596,10.20,10.20,9.74,9.80,-0.22,-2.20,"192,520","19,010",4.59,2.83
2017-12-29,新安股份,0600596,9.11,9.20,9.07,9.18,0.06,0.66,"86,950","7,958",1.43,1.28
2017-12-28,新安股份,0600596,9.06,9.17,9.02,9.12,0.04,0.44,"97,235","8,855",1.65,1.43
2017-12-27,新安股份,0600596,9.18,9.26,9.06,9.08,-0.10,-1.09,"91,601","8,374",2.18,1.35
2017-12-26,新安股份,0600596,8.98,9.32,8.98,9.18,0.19,2.11,"175,941","16,173",3.78,2.59
2017-12-25,新安股份,0600596,8.87,9.22,8.82,8.99,0.16,1.81,"172,312","15,584",4.53,2.54
2017-12-22,新安股份,0600596,8.65,8.88,8.65,8.83,0.13,1.49,"88,939","7,838",2.64,1.31
2017-12-21,新安股份,0600596,8.60,8.71,8.49,8.70,0.06,0.69,"69,213","5,963",2.55,1.02
2017-12-20,新安股份,0600596,8.80,8.82,8.58,8.64,-0.13,-1.48,"83,096","7,190",2.74,1.22
2017-12-19,新安股份,0600596,8.78,8.88,8.71,8.77,-0.05,-0.57,"77,014","6,768",1.93,1.13
2017-12-18,新安股份,0600596,8.66,8.86,8.66,8.82,0.17,1.97,"92,570","8,138",2.31,1.36
2017-12-15,新安股份,0600596,8.89,8.89,8.59,8.65,-0.21,-2.37,"133,119","11,584",3.39,1.96
2017-12-14,新安股份,0600596,8.95,8.96,8.80,8.86,-0.08,-0.89,"75,775","6,722",1.79,1.12
2017-12-13,新安股份,0600596,8.93,9.01,8.78,8.94,-0.03,-0.33,"111,480","9,916",2.56,1.64
2017-12-12,新安股份,0600596,9.04,9.16,8.94,8.97,-0.10,-1.10,"99,581","9,002",2.43,1.47
2017-12-11,新安股份,0600596,9.12,9.18,8.79,9.07,-0.10,-1.09,"164,577","14,755",4.25,2.42
2017-12-08,新安股份,0600596,9.05,9.24,9.05,9.17,0.09,0.99,"75,913","6,957",2.09,1.12
2017-12-07,新安股份,0600596,9.28,9.31,9.06,9.08,-0.19,-2.05,"97,337","8,955",2.70,1.43
2017-12-06,新安股份,0600596,9.19,9.30,9.01,9.27,0.01,0.11,"148,718","13,635",3.13,2.19
2017-12-05,新安股份,0600596,10.25,10.25,9.20,9.26,-0.96,-9.39,"343,204","32,915",10.27,5.05
2017-12-04,新安股份,0600596,10.43,10.55,10.20,10.22,-0.27,-2.57,"125,321","13,012",3.34,1.85
2017-12-01,新安股份,0600596,10.46,10.64,10.38,10.49,0.05,0.48,"152,488","16,026",2.49,2.25
2017-11-30,新安股份,0600596,10.56,10.72,10.36,10.44,-0.31,-2.88,"242,904","25,575",3.35,3.58
2017-11-29,新安股份,0600596,10.38,10.79,10.26,10.75,0.27,2.58,"360,767","37,921",5.06,5.31
