日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-04-07,新日恒力,0600165,17.57,18.77,16.50,16.84,-1.13,-6.29,"567,506","99,745",12.63,8.29
2017-04-06,新日恒力,0600165,17.58,18.50,17.10,17.97,0.30,1.70,"611,914","109,673",7.92,8.93
2017-04-05,新日恒力,0600165,16.30,17.86,16.30,17.67,1.03,6.19,"510,375","87,034",9.38,7.45
2017-09-29,新日恒力,0600165,14.55,14.66,14.41,14.56,0.03,0.21,"43,764","6,367",1.72,0.64
2017-09-28,新日恒力,0600165,14.31,14.68,14.30,14.53,0.16,1.11,"82,105","11,940",2.64,1.20
2017-09-27,新日恒力,0600165,14.28,14.44,14.25,14.37,0.01,0.07,"15,607","2,242",1.32,0.23
2017-09-26,新日恒力,0600165,14.30,14.38,14.27,14.36,0.01,0.07,"17,645","2,526",0.77,0.26
2017-09-25,新日恒力,0600165,14.26,14.42,14.20,14.35,-0.01,-0.07,"15,842","2,268",1.53,0.23
2017-09-22,新日恒力,0600165,14.39,14.44,14.16,14.36,-0.05,-0.35,"42,436","6,062",1.94,0.62
2017-09-21,新日恒力,0600165,14.43,14.46,14.36,14.41,-0.04,-0.28,"17,695","2,548",0.69,0.26
2017-09-20,新日恒力,0600165,14.54,14.57,14.34,14.45,-0.06,-0.41,"42,984","6,198",1.59,0.63
2017-09-19,新日恒力,0600165,14.48,14.77,14.43,14.51,0.05,0.35,"34,496","5,029",2.35,0.50
2017-09-18,新日恒力,0600165,14.35,14.53,14.34,14.46,0.07,0.49,"51,305","7,403",1.32,0.75
2017-09-15,新日恒力,0600165,14.42,14.49,14.36,14.39,-0.01,-0.07,"25,556","3,680",0.90,0.37
2017-09-14,新日恒力,0600165,14.34,14.58,14.34,14.40,-0.02,-0.14,"41,461","5,996",1.66,0.61
2017-09-13,新日恒力,0600165,14.30,14.65,14.29,14.42,0.07,0.49,"52,908","7,641",2.51,0.77
2017-09-12,新日恒力,0600165,14.43,14.45,14.34,14.35,-0.08,-0.55,"22,047","3,168",0.76,0.32
2017-09-11,新日恒力,0600165,14.36,14.44,14.30,14.43,0.07,0.49,"25,350","3,648",0.97,0.37
2017-09-08,新日恒力,0600165,14.30,14.46,14.25,14.36,0.01,0.07,"27,748","3,978",1.46,0.41
2017-09-07,新日恒力,0600165,14.33,14.37,14.22,14.35,-0.02,-0.14,"34,910","4,984",1.04,0.51
2017-09-06,新日恒力,0600165,14.32,14.49,14.29,14.37,-0.01,-0.07,"51,832","7,444",1.39,0.76
2017-09-05,新日恒力,0600165,14.46,14.48,14.28,14.38,-0.08,-0.55,"33,667","4,836",1.38,0.49
2017-09-04,新日恒力,0600165,14.37,14.57,14.26,14.46,0.11,0.77,"53,198","7,647",2.16,0.78
2017-09-01,新日恒力,0600165,14.32,14.40,14.30,14.35,-0.02,-0.14,"16,662","2,391",0.70,0.24
2017-08-31,新日恒力,0600165,14.37,14.38,14.31,14.37,-0.03,-0.21,"24,793","3,555",0.49,0.36
2017-08-30,新日恒力,0600165,14.42,14.42,14.26,14.40,0.00,0.00,"42,468","6,086",1.11,0.62
2017-08-29,新日恒力,0600165,14.37,14.44,14.31,14.40,0.01,0.07,"36,413","5,231",0.90,0.53
2017-08-28,新日恒力,0600165,14.47,14.48,14.35,14.39,0.00,0.00,"41,143","5,930",0.90,0.60
2017-08-25,新日恒力,0600165,14.32,14.45,14.23,14.39,0.09,0.63,"30,071","4,315",1.54,0.44
