日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,日科化学,1300214,6.67,6.72,6.63,6.71,0.02,0.30,"20,514","1,372",1.35,0.51
2017-06-29,日科化学,1300214,6.66,6.72,6.64,6.69,0.05,0.75,"18,580","1,242",1.20,0.46
2017-06-28,日科化学,1300214,6.70,6.70,6.62,6.64,-0.09,-1.34,"22,884","1,521",1.19,0.57
2017-06-27,日科化学,1300214,6.71,6.76,6.67,6.73,0.01,0.15,"31,891","2,144",1.34,0.79
2017-06-26,日科化学,1300214,6.66,6.72,6.52,6.72,0.08,1.20,"44,409","2,950",3.01,1.10
2017-06-23,日科化学,1300214,6.76,6.76,6.54,6.64,-0.05,-0.75,"45,874","3,045",3.29,1.13
2017-06-22,日科化学,1300214,6.91,6.91,6.62,6.69,-0.22,-3.18,"42,083","2,869",4.20,1.04
2017-06-21,日科化学,1300214,6.88,6.94,6.83,6.91,0.03,0.44,"18,800","1,294",1.60,0.46
2017-06-20,日科化学,1300214,6.90,6.95,6.88,6.88,-0.02,-0.29,"27,630","1,911",1.01,0.68
2017-06-19,日科化学,1300214,6.86,6.93,6.83,6.90,0.04,0.58,"20,593","1,417",1.46,0.51
2017-06-16,日科化学,1300214,6.92,6.96,6.84,6.86,-0.02,-0.29,"28,792","1,979",1.74,0.71
2017-06-15,日科化学,1300214,6.76,6.96,6.73,6.88,0.16,2.38,"41,692","2,868",3.42,1.03
2017-06-14,日科化学,1300214,6.71,6.78,6.67,6.72,0.00,0.00,"17,287","1,162",1.64,0.43
2017-06-13,日科化学,1300214,6.60,6.73,6.52,6.72,0.12,1.82,"23,392","1,564",3.18,0.58
2017-06-12,日科化学,1300214,6.77,6.80,6.58,6.60,-0.21,-3.08,"28,142","1,870",3.23,0.69
2017-06-09,日科化学,1300214,6.86,6.90,6.74,6.81,-0.04,-0.58,"26,976","1,830",2.34,0.67
2017-06-08,日科化学,1300214,6.91,6.96,6.83,6.85,-0.06,-0.87,"19,856","1,370",1.88,0.49
2017-06-07,日科化学,1300214,6.76,6.93,6.71,6.91,0.15,2.22,"28,204","1,932",3.25,0.70
2017-06-06,日科化学,1300214,6.75,6.78,6.69,6.76,0.00,0.00,"20,082","1,353",1.33,0.50
2017-06-05,日科化学,1300214,6.72,6.78,6.67,6.76,0.06,0.90,"19,690","1,328",1.64,0.49
2017-06-02,日科化学,1300214,6.57,6.76,6.45,6.70,0.11,1.67,"27,724","1,830",4.70,0.68
2017-06-01,日科化学,1300214,6.73,6.74,6.47,6.59,-0.10,-1.49,"16,272","1,075",4.04,0.40
2017-05-31,日科化学,1300214,6.75,6.84,6.67,6.69,0.01,0.15,"15,270","1,032",2.54,0.38
2017-05-26,日科化学,1300214,6.65,6.77,6.65,6.68,-0.02,-0.30,"17,526","1,178",1.79,0.43
2017-05-25,日科化学,1300214,6.60,6.75,6.48,6.70,0.11,1.67,"23,859","1,581",4.10,0.59
2017-05-24,日科化学,1300214,6.41,6.65,6.41,6.64,0.10,1.53,"18,414","1,212",3.67,0.45
2017-05-23,日科化学,1300214,6.71,6.76,6.51,6.54,-0.24,-3.54,"30,720","2,047",3.69,0.76
2017-05-22,日科化学,1300214,7.00,7.04,6.70,6.78,-0.24,-3.42,"22,066","1,517",4.84,0.54
2017-05-19,日科化学,1300214,7.06,7.09,6.98,7.02,-0.04,-0.57,"15,593","1,096",1.56,0.39
2017-05-18,日科化学,1300214,7.02,7.11,6.92,7.06,0.02,0.28,"28,982","2,040",2.70,0.72
2017-05-17,日科化学,1300214,6.93,7.08,6.87,7.04,0.09,1.30,"33,530","2,350",3.02,0.83
