日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,正丹股份,1300641,19.03,19.36,18.93,19.30,0.22,1.15,"25,241","4,851",2.25,3.51
2017-06-29,正丹股份,1300641,19.05,19.18,19.02,19.08,0.10,0.53,"17,412","3,325",0.84,2.42
2017-06-28,正丹股份,1300641,19.35,19.37,18.93,18.98,-0.44,-2.27,"26,472","5,048",2.27,3.68
2017-06-27,正丹股份,1300641,19.43,19.66,19.35,19.42,0.00,0.00,"22,628","4,411",1.60,3.14
2017-06-26,正丹股份,1300641,19.26,19.47,19.05,19.42,0.15,0.78,"23,334","4,505",2.18,3.24
2017-06-23,正丹股份,1300641,19.53,19.64,18.89,19.27,-0.27,-1.38,"35,162","6,770",3.84,4.88
2017-06-22,正丹股份,1300641,20.00,20.06,19.51,19.54,-0.46,-2.30,"34,671","6,861",2.75,4.82
2017-06-21,正丹股份,1300641,20.12,20.22,19.81,20.00,-0.10,-0.50,"29,695","5,939",2.04,4.12
2017-06-20,正丹股份,1300641,20.52,20.52,20.03,20.10,-0.26,-1.28,"39,059","7,922",2.41,5.42
2017-06-19,正丹股份,1300641,20.40,20.54,20.17,20.36,0.08,0.39,"29,316","5,962",1.82,4.07
2017-06-16,正丹股份,1300641,20.20,20.43,20.14,20.28,0.10,0.50,"37,175","7,531",1.44,5.16
2017-06-15,正丹股份,1300641,19.70,20.46,19.70,20.18,0.38,1.92,"51,494","10,419",3.84,7.15
2017-06-14,正丹股份,1300641,20.03,20.11,19.65,19.80,-0.28,-1.39,"27,962","5,552",2.29,3.88
2017-06-13,正丹股份,1300641,19.47,20.15,19.46,20.08,0.61,3.13,"35,077","6,986",3.54,4.87
2017-06-12,正丹股份,1300641,20.01,20.14,19.43,19.47,-1.00,-4.89,"43,644","8,629",3.47,6.06
2017-06-09,正丹股份,1300641,20.31,20.58,20.12,20.47,0.05,0.24,"35,545","7,237",2.25,4.94
2017-06-08,正丹股份,1300641,20.70,20.87,20.35,20.42,-0.28,-1.35,"49,294","10,150",2.51,6.85
2017-06-07,正丹股份,1300641,19.99,20.80,19.88,20.70,0.67,3.35,"59,824","12,288",4.59,8.31
2017-06-06,正丹股份,1300641,19.61,20.09,19.60,20.03,-0.02,-0.10,"33,989","6,748",2.44,4.72
2017-06-05,正丹股份,1300641,20.38,20.54,20.04,20.05,0.08,0.40,"44,915","9,118",2.50,6.24
2017-06-02,正丹股份,1300641,19.10,20.23,19.04,19.97,0.67,3.47,"47,987","9,418",6.17,6.66
2017-06-01,正丹股份,1300641,20.45,20.45,19.30,19.30,-1.41,-6.81,"59,839","11,919",5.55,8.31
2017-05-31,正丹股份,1300641,21.90,22.20,20.70,20.71,0.12,0.58,"87,523","18,862",7.29,12.16
2017-05-26,正丹股份,1300641,20.04,20.97,20.02,20.59,0.57,2.85,"69,872","14,285",4.75,9.70
2017-05-25,正丹股份,1300641,19.99,20.19,19.45,20.02,-0.12,-0.60,"56,886","11,293",3.67,7.90
2017-05-24,正丹股份,1300641,19.55,20.25,19.44,20.14,0.43,2.18,"51,719","10,308",4.11,7.18
2017-05-23,正丹股份,1300641,19.99,20.57,19.65,19.71,-0.59,-2.91,"63,393","12,716",4.53,8.80
2017-05-22,正丹股份,1300641,22.18,22.25,20.09,20.30,-1.89,-8.52,"82,308","17,431",9.73,11.43
2017-05-19,正丹股份,1300641,22.51,22.77,22.05,22.19,-0.45,-1.99,"56,417","12,631",3.18,7.84
2017-05-18,正丹股份,1300641,23.07,23.39,22.60,22.64,-0.90,-3.82,"73,888","16,986",3.36,10.26
2017-05-17,正丹股份,1300641,23.68,24.13,23.46,23.54,-0.15,-0.63,"91,597","21,769",2.83,12.72
2017-05-16,正丹股份,1300641,22.80,23.70,22.22,23.69,0.67,2.91,"93,465","21,489",6.43,12.98
2017-05-15,正丹股份,1300641,23.34,23.55,22.92,23.02,-0.32,-1.37,"60,082","13,932",2.70,8.34
2017-05-12,正丹股份,1300641,23.09,23.65,22.60,23.34,-0.02,-0.09,"91,531","21,160",4.49,12.71
2017-05-11,正丹股份,1300641,22.75,23.45,22.02,23.36,0.28,1.21,"95,980","21,900",6.20,13.33
2017-05-10,正丹股份,1300641,25.00,25.08,23.01,23.08,-1.89,-7.57,"141,227","33,933",8.29,19.61
2017-05-09,正丹股份,1300641,24.41,25.32,24.24,24.97,0.70,2.88,"88,115","21,859",4.45,12.24
