日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2021-12-31,洁雅股份,1301108,60.07,61.00,59.85,60.17,0.01,0.02,"10,675","6,449",1.91,5.54
2021-12-30,洁雅股份,1301108,60.76,61.19,60.16,60.16,-0.60,-0.99,"13,396","8,113",1.70,6.96
2021-12-29,洁雅股份,1301108,59.27,61.53,59.27,60.76,1.13,1.90,"17,353","10,512",3.79,9.01
2021-12-28,洁雅股份,1301108,59.80,59.88,58.88,59.63,0.25,0.42,"10,843","6,429",1.68,5.63
2021-12-27,洁雅股份,1301108,58.95,59.96,58.05,59.38,0.08,0.13,"12,361","7,300",3.22,6.42
2021-12-24,洁雅股份,1301108,62.00,62.00,59.26,59.30,-3.07,-4.92,"26,024","15,680",4.39,13.52
2021-12-23,洁雅股份,1301108,63.73,63.73,62.03,62.37,-1.55,-2.42,"23,925","14,986",2.66,12.43
2021-12-22,洁雅股份,1301108,63.65,64.52,63.62,63.92,0.10,0.16,"16,841","10,790",1.41,8.75
2021-12-21,洁雅股份,1301108,64.00,64.10,62.71,63.82,-0.48,-0.75,"21,201","13,425",2.16,11.01
2021-12-20,洁雅股份,1301108,63.89,65.00,63.55,64.30,0.30,0.47,"23,179","14,898",2.27,12.04
2021-12-17,洁雅股份,1301108,65.70,66.34,63.89,64.00,-2.64,-3.96,"38,144","24,740",3.68,19.81
2021-12-16,洁雅股份,1301108,68.70,68.99,66.01,66.64,-3.06,-4.39,"52,398","35,102",4.28,27.21
2021-12-15,洁雅股份,1301108,63.50,69.96,63.46,69.70,6.06,9.52,"74,482","49,684",10.21,38.68
2021-12-14,洁雅股份,1301108,62.82,63.97,62.30,63.64,0.90,1.43,"31,434","19,872",2.66,16.33
2021-12-13,洁雅股份,1301108,62.11,63.18,62.10,62.74,-0.21,-0.33,"25,709","16,107",1.72,13.35
2021-12-10,洁雅股份,1301108,64.17,64.18,62.55,62.95,-2.49,-3.81,"44,041","27,815",2.49,22.87
2021-12-09,洁雅股份,1301108,64.19,67.93,63.67,65.44,1.25,1.95,"52,294","34,282",6.64,27.16
2021-12-08,洁雅股份,1301108,65.10,66.00,63.37,64.19,-1.47,-2.24,"44,095","28,306",4.01,22.90
