日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,海利尔,0603639,56.69,57.25,54.01,55.00,-1.47,-2.60,"28,727","16,009",5.74,9.58
2017-03-30,海利尔,0603639,56.35,57.32,55.68,56.47,-0.37,-0.65,"26,271","14,859",2.89,8.76
2017-03-29,海利尔,0603639,58.43,59.33,56.73,56.84,-1.73,-2.95,"39,837","23,141",4.44,13.28
2017-03-28,海利尔,0603639,60.00,60.80,58.50,58.57,-4.38,-6.96,"66,392","39,612",3.65,22.13
2017-03-27,海利尔,0603639,61.50,64.28,60.80,62.95,1.70,2.78,"47,742","29,863",5.68,15.91
2017-03-24,海利尔,0603639,59.60,61.51,59.51,61.25,1.50,2.51,"38,710","23,453",3.35,12.90
2017-03-23,海利尔,0603639,60.66,60.99,58.22,59.75,-0.81,-1.34,"40,180","23,983",4.57,13.39
2017-03-22,海利尔,0603639,59.45,61.16,58.82,60.56,0.57,0.95,"45,956","27,500",3.90,15.32
2017-03-21,海利尔,0603639,59.91,60.17,59.18,59.99,0.23,0.38,"36,557","21,816",1.66,12.19
2017-03-20,海利尔,0603639,57.17,59.79,57.17,59.76,2.70,4.73,"47,744","28,064",4.59,15.91
2017-03-17,海利尔,0603639,58.60,59.10,56.90,57.06,-1.91,-3.24,"48,350","28,056",3.73,16.12
2017-03-16,海利尔,0603639,56.90,59.40,56.90,58.97,2.21,3.89,"59,189","34,563",4.40,19.73
2017-03-15,海利尔,0603639,56.60,57.38,56.12,56.76,-0.38,-0.67,"23,471","13,304",2.21,7.82
2017-03-14,海利尔,0603639,56.50,57.88,56.42,57.14,0.38,0.67,"36,830","21,099",2.57,12.28
2017-03-13,海利尔,0603639,55.75,56.94,54.86,56.76,0.79,1.41,"30,752","17,201",3.72,10.25
2017-03-10,海利尔,0603639,56.00,56.99,55.90,55.97,0.17,0.30,"28,661","16,197",1.95,9.55
2017-03-09,海利尔,0603639,57.40,57.40,55.51,55.80,-1.67,-2.91,"34,843","19,618",3.29,11.61
2017-03-08,海利尔,0603639,57.10,57.50,56.60,57.47,0.29,0.51,"30,310","17,283",1.57,10.10
2017-03-07,海利尔,0603639,57.00,57.52,56.52,57.18,0.12,0.21,"34,671","19,744",1.75,11.56
2017-03-06,海利尔,0603639,55.60,57.35,55.60,57.06,1.31,2.35,"36,839","20,925",3.14,12.28
2017-03-03,海利尔,0603639,55.50,55.95,54.70,55.75,-0.09,-0.16,"29,999","16,592",2.24,10.00
2017-03-02,海利尔,0603639,55.68,56.70,55.40,55.84,0.33,0.59,"38,191","21,428",2.34,12.73
2017-03-01,海利尔,0603639,57.69,57.69,55.40,55.51,-2.23,-3.86,"52,902","29,825",3.97,17.63
2017-02-28,海利尔,0603639,56.43,58.00,55.30,57.74,1.43,2.54,"51,470","29,088",4.79,17.16
2017-02-27,海利尔,0603639,55.97,58.30,55.59,56.31,0.69,1.24,"58,755","33,466",4.87,19.58
2017-02-24,海利尔,0603639,54.41,56.60,53.99,55.62,1.00,1.83,"54,837","30,385",4.78,18.28
2017-02-23,海利尔,0603639,54.14,56.66,53.51,54.62,0.36,0.66,"70,797","39,148",5.81,23.60
2017-02-22,海利尔,0603639,54.12,54.93,53.01,54.26,-0.18,-0.33,"45,879","24,709",3.53,15.29
2017-02-21,海利尔,0603639,51.21,54.67,51.21,54.44,2.90,5.63,"67,502","35,969",6.71,22.50
2017-02-20,海利尔,0603639,51.86,52.25,49.89,51.54,-1.36,-2.57,"48,900","24,950",4.46,16.30
2017-02-17,海利尔,0603639,53.06,55.38,52.43,52.90,-0.15,-0.28,"77,811","41,970",5.56,25.94
2017-02-16,海利尔,0603639,52.24,53.12,51.53,53.05,-0.24,-0.45,"67,080","35,169",2.98,22.36
2017-02-15,海利尔,0603639,50.23,55.38,50.11,53.29,2.74,5.42,"110,441","58,292",10.43,36.81
2017-02-14,海利尔,0603639,50.12,51.33,49.70,50.55,0.44,0.88,"52,234","26,414",3.25,17.41
2017-02-13,海利尔,0603639,48.35,50.49,48.32,50.11,1.53,3.15,"52,093","25,918",4.47,17.36
2017-02-10,海利尔,0603639,49.65,49.99,48.38,48.58,-1.34,-2.68,"56,375","27,611",3.23,18.79
2017-02-09,海利尔,0603639,50.79,52.63,49.88,49.92,-0.87,-1.71,"76,256","38,962",5.41,25.42
2017-02-08,海利尔,0603639,50.02,51.58,49.47,50.79,0.61,1.22,"61,945","31,319",4.20,20.65
2017-02-07,海利尔,0603639,50.65,50.79,49.64,50.18,-0.78,-1.53,"48,686","24,404",2.26,16.23
2017-02-06,海利尔,0603639,49.22,51.30,49.22,50.96,2.23,4.58,"65,040","32,752",4.27,21.68
2017-02-03,海利尔,0603639,49.50,49.50,48.01,48.73,-1.16,-2.33,"45,953","22,353",2.99,15.32
2017-01-26,海利尔,0603639,49.00,50.50,48.21,49.89,1.00,2.05,"64,772","32,019",4.68,21.59
2017-01-25,海利尔,0603639,46.55,49.78,46.51,48.89,1.84,3.91,"63,849","30,857",6.95,21.28
2017-01-24,海利尔,0603639,49.10,49.10,46.77,47.05,-2.03,-4.14,"58,628","27,967",4.75,19.54
2017-01-23,海利尔,0603639,48.56,51.75,48.03,49.08,0.85,1.76,"82,188","40,805",7.71,27.40
2017-01-20,海利尔,0603639,45.10,49.85,44.88,48.23,2.31,5.03,"101,348","48,010",10.82,33.78
2017-01-19,海利尔,0603639,45.20,48.60,45.20,45.92,-2.92,-5.98,"107,487","49,904",6.96,35.83
2017-01-18,海利尔,0603639,50.32,52.50,48.40,48.84,1.02,2.13,"161,147","81,550",8.57,53.72
2017-01-17,海利尔,0603639,47.70,47.82,45.33,47.82,4.35,10.01,"115,982","54,358",5.73,38.66
2017-01-16,海利尔,0603639,43.47,43.47,43.47,43.47,3.95,9.99,"1,258",547,0.00,0.42
2017-01-13,海利尔,0603639,39.52,39.52,39.52,39.52,3.59,9.99,78,31,0.00,0.03
2017-01-12,海利尔,0603639,35.93,35.93,35.93,35.93,10.98,44.01,144,52,0.00,0.05
2017-06-30,海利尔,0603639,53.00,53.66,52.60,53.12,0.12,0.23,"26,241","13,954",2.00,8.75
2017-06-29,海利尔,0603639,52.66,53.53,52.66,53.00,0.21,0.40,"24,796","13,169",1.65,8.27
2017-06-28,海利尔,0603639,51.83,53.38,51.83,52.79,0.57,1.09,"22,908","12,090",2.97,7.64
2017-06-27,海利尔,0603639,51.83,53.10,51.80,52.22,0.35,0.67,"24,602","12,927",2.51,8.20
2017-06-26,海利尔,0603639,50.25,51.90,49.70,51.87,1.63,3.24,"13,958","7,139",4.38,4.65
2017-06-23,海利尔,0603639,50.20,50.83,49.30,50.24,-0.12,-0.24,"10,542","5,276",3.04,3.51
2017-06-22,海利尔,0603639,51.86,51.88,49.30,50.36,-1.49,-2.87,"13,447","6,883",4.98,4.48
2017-06-21,海利尔,0603639,51.80,52.09,51.26,51.85,-0.11,-0.21,"9,456","4,885",1.60,3.15
2017-06-20,海利尔,0603639,52.27,52.53,51.74,51.96,0.01,0.02,"10,896","5,685",1.52,3.63
2017-06-19,海利尔,0603639,51.68,52.26,51.41,51.95,0.28,0.54,"9,230","4,787",1.65,3.08
2017-06-16,海利尔,0603639,51.82,51.82,51.27,51.67,-0.13,-0.25,"9,001","4,636",1.06,3.00
2017-06-15,海利尔,0603639,50.75,52.28,50.75,51.80,0.91,1.79,"17,035","8,830",3.01,5.68
2017-06-14,海利尔,0603639,50.82,51.11,50.11,50.89,0.06,0.12,"11,622","5,894",1.97,3.87
2017-06-13,海利尔,0603639,49.58,50.90,49.50,50.83,1.29,2.60,"15,554","7,837",2.83,5.18
2017-06-12,海利尔,0603639,51.00,51.00,49.18,49.54,-2.33,-4.49,"19,642","9,797",3.51,6.55
2017-06-09,海利尔,0603639,51.65,52.71,51.42,51.87,0.05,0.10,"12,360","6,395",2.49,4.12
2017-06-08,海利尔,0603639,51.79,52.62,51.51,51.82,-0.05,-0.10,"15,656","8,145",2.14,5.22
2017-06-07,海利尔,0603639,50.09,52.18,50.00,51.87,1.51,3.00,"21,284","10,952",4.33,7.09
2017-06-06,海利尔,0603639,50.01,50.80,49.61,50.36,0.07,0.14,"9,738","4,878",2.37,3.25
2017-06-05,海利尔,0603639,50.00,50.85,49.80,50.29,0.76,1.53,"11,462","5,765",2.12,3.82
2017-06-02,海利尔,0603639,47.80,49.79,47.15,49.53,1.42,2.95,"15,543","7,571",5.49,5.18
2017-06-01,海利尔,0603639,50.47,50.47,48.00,48.11,-2.41,-4.77,"15,169","7,439",4.89,5.06
2017-05-31,海利尔,0603639,52.00,52.82,50.48,50.52,-0.14,-0.28,"21,411","11,122",4.62,7.14
2017-05-26,海利尔,0603639,49.89,51.19,49.73,50.66,0.66,1.32,"13,190","6,660",2.92,4.40
2017-05-25,海利尔,0603639,50.14,50.50,47.57,50.00,-0.21,-0.42,"17,101","8,437",5.84,5.70
2017-05-24,海利尔,0603639,49.24,50.40,49.01,50.21,0.94,1.91,"10,825","5,396",2.82,3.61
2017-05-23,海利尔,0603639,50.48,51.00,49.10,49.27,-1.22,-2.42,"16,186","8,111",3.76,5.40
2017-05-22,海利尔,0603639,52.75,53.30,50.13,50.49,-2.45,-4.63,"22,211","11,511",5.99,7.40
2017-05-19,海利尔,0603639,54.45,54.60,52.36,52.94,-1.57,-2.88,"22,261","11,885",4.11,7.42
2017-05-18,海利尔,0603639,54.62,55.28,54.06,54.51,-0.74,-1.34,"15,948","8,707",2.21,5.32
2017-05-17,海利尔,0603639,55.35,55.89,54.77,55.25,-0.26,-0.47,"26,077","14,459",2.02,8.69
2017-05-16,海利尔,0603639,53.90,55.70,53.71,55.51,1.55,2.87,"28,903","15,864",3.69,9.63
2017-05-15,海利尔,0603639,54.38,54.75,53.93,53.96,-0.51,-0.94,"12,991","7,053",1.51,4.33
2017-05-12,海利尔,0603639,54.46,54.58,53.50,54.47,0.18,0.33,"23,290","12,616",1.99,7.76
2017-05-11,海利尔,0603639,52.20,54.65,52.02,54.49,1.82,3.46,"24,176","12,947",4.99,8.06
2017-05-10,海利尔,0603639,53.30,54.41,52.61,52.67,-0.89,-1.66,"19,272","10,337",3.36,6.42
2017-05-09,海利尔,0603639,51.94,53.70,51.91,53.56,1.18,2.25,"15,135","8,017",3.42,5.04
