日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,珀莱雅,0603605,28.98,29.38,28.50,28.72,-0.56,-1.91,"54,188","15,614",3.01,10.84
2017-12-28,珀莱雅,0603605,28.03,29.41,27.95,29.28,0.82,2.88,"93,352","26,936",5.13,18.67
2017-12-27,珀莱雅,0603605,28.20,29.48,27.89,28.46,0.06,0.21,"95,733","27,383",5.60,19.15
2017-12-26,珀莱雅,0603605,27.19,28.62,27.16,28.40,1.14,4.18,"83,847","23,534",5.36,16.77
2017-12-25,珀莱雅,0603605,26.79,27.65,26.08,27.26,0.37,1.38,"53,172","14,245",5.84,10.63
2017-12-22,珀莱雅,0603605,26.68,27.28,26.46,26.89,0.26,0.98,"38,395","10,367",3.08,7.68
2017-12-21,珀莱雅,0603605,26.80,26.88,25.58,26.63,-0.46,-1.70,"58,359","15,350",4.80,11.67
2017-12-20,珀莱雅,0603605,27.52,28.16,27.02,27.09,-0.55,-1.99,"42,647","11,767",4.12,8.53
2017-12-19,珀莱雅,0603605,27.10,27.77,27.10,27.64,0.44,1.62,"40,049","11,034",2.46,8.01
2017-12-18,珀莱雅,0603605,27.23,27.57,26.91,27.20,0.14,0.52,"29,957","8,162",2.44,5.99
2017-12-15,珀莱雅,0603605,27.21,27.47,27.02,27.06,-0.41,-1.49,"31,245","8,494",1.64,6.25
2017-12-14,珀莱雅,0603605,27.02,27.65,26.78,27.47,0.48,1.78,"48,142","13,132",3.22,9.63
2017-12-13,珀莱雅,0603605,26.70,27.15,26.70,26.99,0.29,1.09,"31,841","8,572",1.69,6.37
2017-12-12,珀莱雅,0603605,28.33,28.46,26.66,26.70,-1.69,-5.95,"70,165","19,183",6.34,14.03
2017-12-11,珀莱雅,0603605,28.08,28.48,27.88,28.39,0.13,0.46,"46,963","13,258",2.12,9.39
2017-12-08,珀莱雅,0603605,27.72,28.88,27.53,28.26,0.43,1.55,"64,224","18,221",4.85,12.84
2017-12-07,珀莱雅,0603605,28.70,28.79,27.74,27.83,-0.75,-2.62,"45,954","12,976",3.67,9.19
2017-12-06,珀莱雅,0603605,27.73,28.65,27.73,28.58,0.73,2.62,"65,767","18,646",3.30,13.15
2017-12-05,珀莱雅,0603605,27.82,28.50,27.38,27.85,-0.39,-1.38,"62,197","17,409",3.97,12.44
2017-12-04,珀莱雅,0603605,30.70,30.80,28.24,28.24,-3.14,-10.01,"120,866","34,996",8.16,24.17
2017-12-01,珀莱雅,0603605,31.56,32.80,30.80,31.38,-0.52,-1.63,"86,331","27,533",6.27,17.27
2017-11-30,珀莱雅,0603605,31.42,32.44,31.10,31.90,0.15,0.47,"95,949","30,535",4.22,19.19
2017-11-29,珀莱雅,0603605,32.05,32.41,30.50,31.75,-0.66,-2.04,"111,469","34,884",5.89,22.29
2017-11-28,珀莱雅,0603605,31.35,33.50,31.35,32.41,0.71,2.24,"115,292","37,546",6.78,23.06
2017-11-27,珀莱雅,0603605,33.77,34.44,31.70,31.70,-3.52,-9.99,"151,231","49,956",7.78,30.25
2017-11-24,珀莱雅,0603605,36.87,37.85,35.22,35.22,-3.91,-9.99,"186,750","67,890",6.72,37.35
2017-11-23,珀莱雅,0603605,35.90,39.13,35.01,39.13,3.56,10.01,"296,123","111,348",11.58,59.22
2017-11-22,珀莱雅,0603605,35.57,35.57,35.57,35.57,3.23,9.99,"6,047","2,151",0.00,1.21
2017-11-21,珀莱雅,0603605,32.34,32.34,32.34,32.34,2.94,10.00,497,161,0.00,0.10
2017-11-20,珀莱雅,0603605,29.40,29.40,29.40,29.40,2.67,9.99,441,130,0.00,0.09
