日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,瑞丰新材,1300910,62.55,63.88,62.40,63.50,0.35,0.55,"31,575","19,949",2.34,8.88
2020-12-30,瑞丰新材,1300910,61.03,63.87,60.01,63.15,1.15,1.85,"59,310","36,677",6.23,16.68
2020-12-29,瑞丰新材,1300910,68.96,69.46,62.00,62.00,-7.70,-11.05,"51,664","33,888",10.70,14.53
2020-12-28,瑞丰新材,1300910,68.25,70.84,67.70,69.70,0.43,0.62,"39,246","27,268",4.53,11.03
2020-12-25,瑞丰新材,1300910,65.66,70.70,65.11,69.27,3.07,4.64,"62,270","42,536",8.44,17.51
2020-12-24,瑞丰新材,1300910,63.99,67.22,63.75,66.20,1.75,2.72,"64,866","42,593",5.38,18.24
2020-12-23,瑞丰新材,1300910,66.19,66.90,63.82,64.45,-2.55,-3.81,"50,643","33,029",4.60,14.24
2020-12-22,瑞丰新材,1300910,69.00,71.17,67.00,67.00,-2.90,-4.15,"51,359","35,733",5.97,14.44
2020-12-21,瑞丰新材,1300910,69.51,70.09,68.43,69.90,-0.50,-0.71,"41,985","29,103",2.36,11.80
2020-12-18,瑞丰新材,1300910,72.00,72.49,69.32,70.40,-2.56,-3.51,"51,458","36,361",4.34,14.47
2020-12-17,瑞丰新材,1300910,72.80,73.66,70.33,72.96,0.46,0.63,"51,142","36,966",4.59,14.38
2020-12-16,瑞丰新材,1300910,74.54,74.97,71.70,72.50,-2.74,-3.64,"43,414","31,734",4.35,12.21
2020-12-15,瑞丰新材,1300910,77.94,77.94,74.28,75.24,-1.20,-1.57,"41,564","31,374",4.79,11.69
2020-12-14,瑞丰新材,1300910,75.25,78.25,74.10,76.44,0.69,0.91,"47,863","36,468",5.48,13.46
2020-12-11,瑞丰新材,1300910,81.12,82.39,74.52,75.75,-5.56,-6.84,"72,347","56,236",9.68,20.34
2020-12-10,瑞丰新材,1300910,83.98,85.80,80.63,81.31,-3.47,-4.09,"58,039","48,315",6.10,16.32
2020-12-09,瑞丰新材,1300910,89.45,91.21,84.51,84.78,-6.00,-6.61,"63,381","55,862",7.38,17.82
2020-12-08,瑞丰新材,1300910,87.80,93.85,86.88,90.78,1.83,2.06,"87,732","79,817",7.84,24.67
2020-12-07,瑞丰新材,1300910,86.01,89.93,85.53,88.95,1.95,2.24,"65,909","57,545",5.06,18.53
2020-12-04,瑞丰新材,1300910,87.68,89.93,86.00,87.00,-0.91,-1.04,"71,673","62,979",4.47,20.15
2020-12-03,瑞丰新材,1300910,90.20,92.59,87.55,87.91,-6.09,-6.48,"110,351","99,353",5.36,31.03
2020-12-02,瑞丰新材,1300910,106.99,108.88,93.23,94.00,-13.56,-12.61,"154,670","155,598",14.55,43.49
2020-12-01,瑞丰新材,1300910,103.00,108.50,100.98,107.56,2.57,2.45,"127,867","133,352",7.16,35.95
2020-11-30,瑞丰新材,1300910,106.00,110.10,99.96,104.99,1.99,1.93,"178,813","187,870",9.84,50.28
2020-11-27,瑞丰新材,1300910,83.00,103.00,81.90,103.00,72.74,240.38,"265,240","237,408",69.73,74.58
2021-09-30,瑞丰新材,1300910,73.60,74.58,72.77,74.30,1.19,1.63,"5,137","3,798",2.48,1.37
2021-09-29,瑞丰新材,1300910,73.57,74.90,73.06,73.11,-1.29,-1.73,"4,342","3,212",2.47,1.16
2021-09-28,瑞丰新材,1300910,77.00,77.00,74.01,74.40,-1.81,-2.38,"7,065","5,281",3.92,1.88
2021-09-27,瑞丰新材,1300910,75.60,77.89,74.60,76.21,0.45,0.59,"5,388","4,094",4.34,1.44
2021-09-24,瑞丰新材,1300910,78.57,78.57,75.50,75.76,-2.42,-3.10,"10,434","7,946",3.93,2.78
