日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,科隆股份,1300405,20.70,20.95,20.55,20.93,0.21,1.01,"6,498","1,351",1.93,1.29
2017-06-29,科隆股份,1300405,20.55,20.91,20.40,20.72,0.31,1.52,"7,516","1,552",2.50,1.49
2017-06-28,科隆股份,1300405,20.82,20.89,20.38,20.41,-0.52,-2.48,"10,253","2,104",2.44,2.04
2017-06-27,科隆股份,1300405,20.85,21.15,20.85,20.93,-0.02,-0.10,"6,890","1,446",1.43,1.37
2017-06-26,科隆股份,1300405,20.99,21.17,20.56,20.95,-0.04,-0.19,"9,471","1,975",2.91,1.88
2017-06-23,科隆股份,1300405,20.91,21.20,20.60,20.99,-0.26,-1.22,"15,614","3,259",2.82,3.10
2017-06-22,科隆股份,1300405,22.13,22.46,21.00,21.25,-1.22,-5.43,"30,748","6,726",6.50,6.11
2017-06-21,科隆股份,1300405,21.53,23.66,21.32,22.47,0.96,4.46,"39,629","8,979",10.88,7.87
2017-06-20,科隆股份,1300405,21.64,21.95,21.51,21.51,-0.13,-0.60,"11,178","2,430",2.03,2.22
2017-06-19,科隆股份,1300405,21.52,21.84,21.45,21.64,0.12,0.56,"7,273","1,573",1.81,1.45
2017-06-16,科隆股份,1300405,21.97,21.97,21.45,21.52,-0.32,-1.47,"10,837","2,348",2.38,2.15
2017-06-15,科隆股份,1300405,21.01,22.16,21.00,21.84,0.74,3.51,"17,234","3,744",5.50,3.42
2017-06-14,科隆股份,1300405,21.04,21.34,20.81,21.10,0.03,0.14,"8,670","1,829",2.52,1.72
2017-06-13,科隆股份,1300405,20.65,21.15,20.44,21.07,0.55,2.68,"8,748","1,826",3.46,1.74
2017-06-12,科隆股份,1300405,21.21,21.40,20.50,20.52,-1.00,-4.65,"9,438","1,970",4.18,1.88
2017-06-09,科隆股份,1300405,21.51,21.89,21.01,21.52,-0.41,-1.87,"14,840","3,169",4.01,2.95
2017-06-08,科隆股份,1300405,31.81,33.59,31.81,32.90,1.10,3.46,"15,667","5,113",5.60,4.67
2017-06-07,科隆股份,1300405,30.54,31.84,30.50,31.80,1.31,4.30,"8,599","2,703",4.39,2.56
2017-06-06,科隆股份,1300405,30.30,30.54,30.10,30.49,0.13,0.43,"4,828","1,464",1.45,1.44
2017-06-05,科隆股份,1300405,30.40,30.50,30.00,30.36,0.39,1.30,"5,385","1,628",1.67,1.60
2017-06-02,科隆股份,1300405,29.02,30.33,29.01,29.97,0.38,1.28,"8,305","2,458",4.46,2.48
2017-06-01,科隆股份,1300405,31.90,31.90,29.59,29.59,-2.41,-7.53,"7,588","2,331",7.22,2.26
2017-05-31,科隆股份,1300405,31.70,32.99,31.70,32.00,0.63,2.01,"7,602","2,444",4.11,2.27
2017-05-26,科隆股份,1300405,31.60,31.79,31.11,31.37,-0.42,-1.32,"7,210","2,264",2.14,2.15
2017-05-25,科隆股份,1300405,32.18,32.37,29.20,31.79,-0.59,-1.82,"12,228","3,811",9.79,3.64
2017-05-24,科隆股份,1300405,31.47,32.40,31.06,32.38,-0.02,-0.06,"8,374","2,671",4.14,2.50
2017-05-23,科隆股份,1300405,32.95,33.80,30.87,32.40,-0.39,-1.19,"9,080","2,879",8.94,2.71
2017-05-22,科隆股份,1300405,33.87,34.00,32.11,32.79,-1.07,-3.16,"8,533","2,835",5.58,2.54
2017-05-19,科隆股份,1300405,34.00,34.54,33.74,33.86,-0.64,-1.86,"8,634","2,947",2.32,2.57
2017-05-18,科隆股份,1300405,33.50,34.96,33.50,34.50,0.55,1.62,"14,267","4,916",4.30,4.25
2017-05-17,科隆股份,1300405,34.00,34.41,33.59,33.95,0.15,0.44,"10,835","3,676",2.43,3.23
2017-05-16,科隆股份,1300405,33.00,34.50,32.65,33.80,0.74,2.24,"11,687","3,916",5.60,3.48
2017-05-15,科隆股份,1300405,32.64,33.50,32.64,33.06,0.46,1.41,"8,507","2,816",2.64,2.54
2017-05-12,科隆股份,1300405,32.16,32.68,31.61,32.60,0.43,1.34,"9,871","3,181",3.33,2.94
2017-05-11,科隆股份,1300405,31.90,32.76,30.91,32.17,0.05,0.16,"9,942","3,159",5.76,2.96
2017-05-10,科隆股份,1300405,32.22,33.05,31.81,32.12,0.12,0.38,"11,949","3,888",3.88,3.56
2017-05-09,科隆股份,1300405,31.24,32.15,31.17,32.00,0.45,1.43,"7,886","2,500",3.11,2.35
2017-05-08,科隆股份,1300405,31.75,32.38,31.28,31.55,-0.33,-1.04,"11,050","3,526",3.45,3.29
2017-05-05,科隆股份,1300405,33.02,33.02,31.88,31.88,-1.14,-3.45,"11,998","3,887",3.45,3.58
2017-05-04,科隆股份,1300405,33.37,33.56,33.02,33.02,-0.26,-0.78,"8,453","2,818",1.62,2.52
2017-05-03,科隆股份,1300405,33.58,34.18,32.84,33.28,-0.64,-1.89,"7,722","2,590",3.95,2.30
2017-05-02,科隆股份,1300405,33.75,34.10,33.55,33.92,0.17,0.50,"4,003","1,355",1.63,1.19
2017-04-28,科隆股份,1300405,33.45,34.20,33.43,33.75,0.32,0.96,"6,760","2,279",2.30,2.01
2017-04-27,科隆股份,1300405,32.30,33.90,31.50,33.43,1.05,3.24,"11,961","3,910",7.41,3.56
2017-04-26,科隆股份,1300405,32.32,32.59,31.93,32.38,0.03,0.09,"7,736","2,497",2.04,2.31
2017-04-25,科隆股份,1300405,31.77,32.40,31.77,32.35,0.66,2.08,"8,749","2,815",1.99,2.61
2017-04-24,科隆股份,1300405,33.47,33.47,31.60,31.69,-1.78,-5.32,"7,015","2,259",5.59,2.09
2017-04-21,科隆股份,1300405,33.58,33.89,33.34,33.47,-0.02,-0.06,"5,044","1,695",1.64,1.50
2017-04-20,科隆股份,1300405,34.34,34.45,32.95,33.49,-0.69,-2.02,"8,364","2,818",4.39,2.49
2017-04-19,科隆股份,1300405,35.15,35.15,33.63,34.18,-0.83,-2.37,"9,964","3,403",4.34,2.97
2017-04-18,科隆股份,1300405,35.70,35.94,34.92,35.01,-0.69,-1.93,"7,826","2,782",2.86,2.33
2017-04-17,科隆股份,1300405,37.50,37.50,35.13,35.70,-2.42,-6.35,"7,926","2,858",6.22,2.36
