日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2022-08-16,联盛化学,1301212,33.53,34.13,33.53,33.76,-0.07,-0.21,"8,508","2,880",1.77,3.32
2022-08-15,联盛化学,1301212,33.63,34.16,33.29,33.83,0.27,0.80,"9,432","3,180",2.59,3.68
2022-08-12,联盛化学,1301212,34.16,34.24,33.38,33.56,-0.45,-1.32,"12,448","4,203",2.53,4.86
2022-08-11,联盛化学,1301212,34.28,34.30,33.80,34.01,0.04,0.12,"11,042","3,753",1.47,4.31
2022-08-10,联盛化学,1301212,33.82,34.13,33.58,33.97,0.20,0.59,"10,566","3,577",1.63,4.13
2022-08-09,联盛化学,1301212,33.65,33.97,33.51,33.77,-0.14,-0.41,"10,683","3,602",1.36,4.17
2022-08-08,联盛化学,1301212,33.36,33.91,33.10,33.91,0.64,1.92,"12,670","4,271",2.43,4.95
2022-08-05,联盛化学,1301212,33.29,33.60,32.96,33.27,-0.04,-0.12,"10,697","3,549",1.92,4.18
2022-08-04,联盛化学,1301212,32.46,33.85,32.28,33.31,1.14,3.54,"20,460","6,769",4.88,7.99
2022-08-03,联盛化学,1301212,32.50,33.36,32.16,32.17,-0.32,-0.98,"15,444","5,071",3.69,6.03
2022-08-02,联盛化学,1301212,35.01,35.22,32.46,32.49,-2.83,-8.01,"25,663","8,520",7.81,10.02
2022-08-01,联盛化学,1301212,34.73,35.39,34.00,35.32,0.69,1.99,"14,296","4,991",4.01,5.58
2022-07-29,联盛化学,1301212,35.11,35.52,34.51,34.63,-0.75,-2.12,"13,872","4,846",2.85,5.42
2022-07-28,联盛化学,1301212,35.80,36.10,35.30,35.38,-0.42,-1.17,"16,682","5,931",2.23,6.51
2022-07-27,联盛化学,1301212,34.55,35.83,34.30,35.80,1.17,3.38,"23,229","8,192",4.42,9.07
2022-07-26,联盛化学,1301212,35.37,35.49,34.03,34.63,-0.66,-1.87,"15,012","5,186",4.14,5.86
2022-07-25,联盛化学,1301212,35.15,35.36,34.85,35.29,0.24,0.68,"11,067","3,885",1.46,4.32
2022-07-22,联盛化学,1301212,35.80,36.03,34.80,35.05,-0.84,-2.34,"18,828","6,658",3.43,7.35
2022-07-21,联盛化学,1301212,36.61,36.61,35.70,35.89,-0.73,-1.99,"22,120","7,977",2.49,8.64
2022-07-20,联盛化学,1301212,36.35,36.79,36.35,36.62,0.18,0.49,"15,852","5,792",1.21,6.19
2022-07-19,联盛化学,1301212,37.30,37.46,36.40,36.44,-0.83,-2.23,"28,403","10,457",2.84,11.09
2022-07-18,联盛化学,1301212,36.80,37.45,36.68,37.27,0.35,0.95,"22,290","8,283",2.09,8.70
2022-07-15,联盛化学,1301212,36.70,37.41,36.37,36.92,0.53,1.46,"32,996","12,216",2.86,12.89
2022-07-14,联盛化学,1301212,36.38,36.85,36.24,36.39,0.00,0.00,"17,332","6,328",1.68,6.77
2022-07-13,联盛化学,1301212,35.68,36.95,35.68,36.39,0.32,0.89,"16,707","6,073",3.52,6.52
2022-07-12,联盛化学,1301212,37.08,37.29,36.03,36.07,-1.32,-3.53,"28,492","10,362",3.37,11.13
2022-07-11,联盛化学,1301212,37.01,37.49,36.83,37.39,0.49,1.33,"24,923","9,271",1.79,9.73
2022-07-08,联盛化学,1301212,36.82,37.08,36.70,36.90,0.18,0.49,"13,522","4,989",1.03,5.28
2022-07-07,联盛化学,1301212,36.90,37.20,36.72,36.72,-0.27,-0.73,"14,229","5,254",1.30,5.56
2022-07-06,联盛化学,1301212,37.13,37.50,36.86,36.99,-0.14,-0.38,"15,019","5,577",1.72,5.87
2022-07-05,联盛化学,1301212,37.50,37.59,36.80,37.13,-0.50,-1.33,"22,804","8,463",2.10,8.91
2022-07-04,联盛化学,1301212,37.26,37.85,37.21,37.63,0.37,0.99,"18,645","7,014",1.72,7.28
2022-07-01,联盛化学,1301212,37.70,37.78,37.10,37.26,-0.58,-1.53,"22,586","8,433",1.80,8.82
2022-06-30,联盛化学,1301212,38.36,38.68,37.00,37.84,-0.51,-1.33,"36,647","13,838",4.38,14.31
2022-06-29,联盛化学,1301212,39.50,39.59,38.35,38.35,-2.07,-5.12,"47,442","18,465",3.07,18.53
2022-06-28,联盛化学,1301212,38.71,40.92,38.53,40.62,2.36,6.17,"71,870","28,888",6.25,28.07
2022-06-27,联盛化学,1301212,38.21,38.79,37.83,38.26,0.05,0.13,"28,026","10,707",2.51,10.94
2022-06-24,联盛化学,1301212,38.52,39.26,38.20,38.21,-0.30,-0.78,"32,010","12,383",2.75,12.50
2022-06-23,联盛化学,1301212,38.36,39.05,38.20,38.51,-0.38,-0.98,"30,679","11,826",2.19,11.98
2022-06-22,联盛化学,1301212,37.64,39.44,36.98,38.89,1.29,3.43,"46,004","17,558",6.54,17.97
2022-06-21,联盛化学,1301212,38.50,38.61,37.19,37.60,-1.16,-2.99,"33,654","12,759",3.66,13.14
2022-06-20,联盛化学,1301212,38.28,39.05,38.05,38.76,0.19,0.49,"34,961","13,482",2.59,13.65
2022-06-17,联盛化学,1301212,37.18,39.58,36.89,38.57,1.48,3.99,"52,249","19,918",7.25,20.40
2022-06-16,联盛化学,1301212,36.65,37.36,36.65,37.09,0.23,0.62,"25,746","9,534",1.93,10.05
2022-06-15,联盛化学,1301212,37.25,37.67,36.76,36.86,-0.37,-0.99,"30,214","11,222",2.44,11.80
2022-06-14,联盛化学,1301212,36.92,37.76,36.70,37.23,-0.14,-0.37,"28,706","10,674",2.84,11.21
2022-06-13,联盛化学,1301212,37.13,38.05,37.00,37.37,-0.63,-1.66,"29,960","11,191",2.76,11.70
2022-06-10,联盛化学,1301212,37.95,38.49,37.72,38.00,0.31,0.82,"28,599","10,892",2.04,11.17
2022-06-09,联盛化学,1301212,38.31,38.50,37.66,37.69,-1.23,-3.16,"39,025","14,831",2.16,15.24
2022-06-08,联盛化学,1301212,40.49,40.60,38.50,38.92,-2.48,-5.99,"61,729","24,333",5.07,24.11
2022-06-07,联盛化学,1301212,39.19,42.00,38.32,41.40,2.18,5.56,"80,157","32,438",9.38,31.30
2022-06-06,联盛化学,1301212,38.70,39.65,38.40,39.22,0.52,1.34,"34,215","13,409",3.23,13.36
2022-06-02,联盛化学,1301212,38.37,38.87,37.81,38.70,0.32,0.83,"30,229","11,632",2.76,11.80
2022-06-01,联盛化学,1301212,38.48,39.35,38.18,38.38,-0.28,-0.72,"32,924","12,742",3.03,12.86
2022-05-31,联盛化学,1301212,39.29,39.39,37.22,38.66,-0.62,-1.58,"43,590","16,666",5.52,17.02
2022-05-30,联盛化学,1301212,40.31,41.21,38.80,39.28,-1.53,-3.75,"45,584","18,023",5.91,17.80
2022-05-27,联盛化学,1301212,40.41,42.47,40.20,40.81,1.01,2.54,"58,958","24,217",5.70,23.02
2022-05-26,联盛化学,1301212,40.41,41.37,39.30,39.80,-0.80,-1.97,"49,813","19,946",5.10,19.45
2022-05-25,联盛化学,1301212,38.02,41.60,38.02,40.60,1.84,4.75,"65,340","26,198",9.24,25.52
2022-05-24,联盛化学,1301212,43.33,43.79,38.70,38.76,-4.62,-10.65,"81,188","32,988",11.73,31.71
2022-05-23,联盛化学,1301212,43.32,44.42,42.60,43.38,-0.82,-1.86,"60,266","26,027",4.12,23.53
