日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,达威股份,1300535,81.26,81.26,81.26,81.26,-9.03,-10.00,"1,273","1,034",0.00,0.85
2017-06-30,达威股份,1300535,51.80,52.85,51.30,52.31,0.71,1.38,"7,227","3,764",3.00,4.84
2017-06-29,达威股份,1300535,51.80,52.25,51.30,51.60,0.01,0.02,"5,298","2,744",1.84,3.55
2017-06-28,达威股份,1300535,53.00,53.20,51.53,51.59,-0.91,-1.73,"6,080","3,181",3.18,4.07
2017-06-27,达威股份,1300535,52.70,53.36,52.17,52.50,-0.18,-0.34,"6,788","3,581",2.26,4.54
2017-06-26,达威股份,1300535,52.38,52.99,51.61,52.68,0.38,0.73,"6,686","3,503",2.64,4.48
2017-06-23,达威股份,1300535,52.21,52.30,50.40,52.30,1.07,2.09,"8,722","4,492",3.71,5.84
2017-06-22,达威股份,1300535,52.80,53.80,51.23,51.23,-1.07,-2.05,"12,109","6,392",4.91,8.11
2017-06-21,达威股份,1300535,52.50,53.17,51.57,52.30,0.05,0.10,"8,562","4,478",3.06,5.73
2017-06-20,达威股份,1300535,53.95,54.76,51.98,52.25,-1.70,-3.15,"10,000","5,308",5.15,6.69
2017-06-19,达威股份,1300535,53.99,55.18,53.16,53.95,0.70,1.31,"9,140","4,942",3.79,6.12
2017-06-16,达威股份,1300535,54.00,55.68,52.80,53.25,-0.18,-0.34,"12,116","6,552",5.39,8.11
2017-06-15,达威股份,1300535,51.51,55.48,51.51,53.43,1.58,3.05,"13,353","7,215",7.66,8.94
2017-06-14,达威股份,1300535,51.01,52.50,51.01,51.85,1.00,1.97,"12,350","6,403",2.93,8.27
2017-06-13,达威股份,1300535,47.20,52.80,47.20,50.85,2.85,5.94,"11,630","5,863",11.67,7.78
2017-06-12,达威股份,1300535,50.31,50.60,47.43,48.00,-2.82,-5.55,"9,688","4,712",6.24,6.48
2017-06-09,达威股份,1300535,50.34,51.16,50.01,50.82,0.60,1.19,"5,415","2,744",2.29,3.62
2017-06-08,达威股份,1300535,50.74,51.59,50.14,50.22,-0.58,-1.14,"6,966","3,542",2.85,4.66
2017-06-07,达威股份,1300535,48.87,51.21,48.63,50.80,2.02,4.14,"9,212","4,640",5.29,6.17
2017-06-06,达威股份,1300535,48.08,49.23,48.08,48.78,0.18,0.37,"5,507","2,685",2.37,3.69
2017-06-05,达威股份,1300535,48.40,49.86,48.30,48.60,0.88,1.84,"6,151","3,017",3.27,4.12
2017-06-02,达威股份,1300535,46.10,48.10,45.24,47.72,1.82,3.97,"5,847","2,742",6.23,3.91
2017-06-01,达威股份,1300535,48.91,49.35,45.60,45.90,-2.87,-5.88,"6,323","3,016",7.69,4.23
2017-05-31,达威股份,1300535,50.59,52.15,48.56,48.77,0.21,0.43,"8,397","4,238",7.39,5.62
