日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,长青股份,1002391,14.56,15.28,14.56,14.64,0.46,3.24,"90,321","13,341",5.08,2.51
2017-06-29,长青股份,1002391,14.05,14.21,14.05,14.18,0.13,0.93,"18,826","2,661",1.14,0.52
2017-06-28,长青股份,1002391,14.10,14.24,13.96,14.05,-0.09,-0.64,"22,189","3,132",1.98,0.62
2017-06-27,长青股份,1002391,14.08,14.14,13.95,14.14,0.11,0.78,"15,706","2,205",1.35,0.44
2017-06-26,长青股份,1002391,13.80,14.03,13.74,14.03,0.22,1.59,"18,701","2,602",2.10,0.52
2017-06-23,长青股份,1002391,13.88,13.91,13.55,13.81,-0.14,-1.00,"20,347","2,795",2.58,0.57
2017-06-22,长青股份,1002391,14.07,14.12,13.85,13.95,-0.08,-0.57,"24,980","3,495",1.92,0.69
2017-06-21,长青股份,1002391,14.05,14.05,13.89,14.03,0.08,0.57,"22,852","3,194",1.15,0.64
2017-06-20,长青股份,1002391,14.22,14.28,14.12,14.25,0.06,0.42,"21,755","3,094",1.13,0.61
2017-06-19,长青股份,1002391,14.12,14.32,14.07,14.19,0.04,0.28,"19,916","2,825",1.77,0.55
2017-06-16,长青股份,1002391,14.16,14.18,14.01,14.15,-0.02,-0.14,"18,709","2,636",1.20,0.52
2017-06-15,长青股份,1002391,13.65,14.25,13.65,14.17,0.50,3.66,"51,040","7,148",4.39,1.42
2017-06-14,长青股份,1002391,13.71,13.71,13.54,13.67,-0.04,-0.29,"30,721","4,184",1.24,0.85
2017-06-13,长青股份,1002391,13.51,13.75,13.48,13.71,0.11,0.81,"30,758","4,193",1.99,0.86
2017-06-12,长青股份,1002391,13.67,13.70,13.44,13.60,-0.20,-1.45,"35,152","4,758",1.88,0.98
2017-06-09,长青股份,1002391,13.70,13.83,13.56,13.80,0.03,0.22,"34,037","4,657",1.96,0.95
2017-06-08,长青股份,1002391,13.93,14.04,13.71,13.77,-0.16,-1.15,"26,240","3,636",2.37,0.73
2017-06-07,长青股份,1002391,13.55,14.10,13.44,13.93,0.31,2.28,"38,704","5,339",4.85,1.08
2017-06-06,长青股份,1002391,13.40,13.64,13.30,13.62,0.24,1.79,"37,419","5,056",2.54,1.04
2017-06-05,长青股份,1002391,13.14,13.43,13.06,13.38,0.21,1.59,"28,495","3,776",2.81,0.79
2017-06-02,长青股份,1002391,13.00,13.20,12.86,13.17,0.09,0.69,"32,175","4,187",2.60,0.90
2017-06-01,长青股份,1002391,13.40,13.47,13.03,13.08,-0.32,-2.39,"19,199","2,548",3.28,0.53
2017-05-31,长青股份,1002391,13.42,13.66,13.39,13.40,0.10,0.75,"26,269","3,556",2.03,0.73
2017-05-26,长青股份,1002391,13.18,13.34,13.12,13.30,0.10,0.76,"23,103","3,062",1.67,0.64
2017-05-25,长青股份,1002391,13.23,13.29,12.83,13.20,-0.03,-0.23,"43,366","5,692",3.48,1.21
2017-05-24,长青股份,1002391,13.43,13.49,12.95,13.23,-0.20,-1.49,"33,954","4,481",4.02,0.94
2017-05-23,长青股份,1002391,14.05,14.11,13.40,13.43,-0.62,-4.41,"33,013","4,543",5.05,0.92
2017-05-22,长青股份,1002391,14.47,14.51,14.00,14.05,-0.46,-3.17,"24,203","3,430",3.51,0.67
2017-05-19,长青股份,1002391,14.41,14.75,14.41,14.51,0.03,0.21,"10,062","1,467",2.35,0.28
2017-05-18,长青股份,1002391,14.65,14.88,14.47,14.48,-0.33,-2.23,"26,297","3,856",2.77,0.73
2017-05-17,长青股份,1002391,14.49,14.89,14.40,14.81,0.27,1.86,"31,942","4,690",3.37,0.89
2017-05-16,长青股份,1002391,14.24,14.55,14.10,14.54,0.37,2.61,"23,320","3,336",3.18,0.65
2017-05-15,长青股份,1002391,14.08,14.39,14.08,14.17,0.12,0.85,"12,771","1,816",2.21,0.36
2017-05-12,长青股份,1002391,14.21,14.27,13.97,14.05,-0.20,-1.40,"18,735","2,648",2.11,0.52
2017-05-11,长青股份,1002391,14.37,14.37,13.93,14.25,-0.11,-0.77,"19,446","2,743",3.06,0.54
2017-05-10,长青股份,1002391,14.31,14.53,14.31,14.36,0.01,0.07,"19,010","2,746",1.53,0.53
2017-05-09,长青股份,1002391,14.07,14.41,14.05,14.35,0.28,1.99,"17,680","2,516",2.56,0.49
2017-05-08,长青股份,1002391,14.56,14.56,14.04,14.07,-0.43,-2.97,"23,000","3,294",3.59,0.64
