日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,雅化集团,1002497,9.45,9.82,9.40,9.70,0.16,1.68,"359,998","34,612",4.40,3.75
2017-06-29,雅化集团,1002497,9.65,9.77,9.44,9.54,-0.15,-1.55,"375,336","35,983",3.41,3.91
2017-06-28,雅化集团,1002497,9.39,9.86,9.33,9.69,0.26,2.76,"562,382","54,341",5.62,5.86
2017-06-27,雅化集团,1002497,9.61,9.61,9.34,9.43,-0.25,-2.58,"360,171","34,102",2.79,3.75
2017-06-26,雅化集团,1002497,9.46,9.77,9.23,9.68,0.17,1.79,"490,000","46,654",5.68,5.10
2017-06-23,雅化集团,1002497,9.28,9.58,9.08,9.51,0.10,1.06,"462,537","43,249",5.31,4.82
2017-06-22,雅化集团,1002497,9.69,10.07,9.38,9.41,-0.31,-3.19,"479,403","46,821",7.10,4.99
2017-06-21,雅化集团,1002497,9.86,9.86,9.55,9.72,-0.09,-0.92,"335,031","32,434",3.16,3.49
2017-06-20,雅化集团,1002497,9.75,10.24,9.67,9.81,0.19,1.98,"620,696","61,811",5.93,6.47
2017-06-19,雅化集团,1002497,9.63,9.77,9.48,9.62,0.01,0.10,"236,388","22,700",3.02,2.46
2017-06-16,雅化集团,1002497,9.44,9.78,9.31,9.61,0.14,1.48,"467,150","44,715",4.96,4.87
2017-06-15,雅化集团,1002497,9.37,9.58,9.24,9.47,0.09,0.96,"387,101","36,479",3.62,4.03
2017-06-14,雅化集团,1002497,9.28,9.68,9.11,9.38,0.21,2.29,"821,342","77,232",6.22,8.56
2017-06-13,雅化集团,1002497,8.38,9.17,8.36,9.17,0.83,9.95,"584,622","52,244",9.71,6.09
2017-06-12,雅化集团,1002497,8.56,8.60,8.32,8.34,-0.26,-3.02,"155,387","13,165",3.26,1.62
2017-06-09,雅化集团,1002497,8.63,8.71,8.40,8.60,-0.09,-1.04,"276,788","23,631",3.57,2.88
2017-06-08,雅化集团,1002497,8.57,8.88,8.55,8.69,0.07,0.81,"331,598","29,009",3.83,3.45
