日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,ST冠福,1002102,3.93,3.94,3.92,3.94,0.00,0.00,"44,844","1,762",0.51,0.31
2017-09-28,ST冠福,1002102,3.93,3.94,3.91,3.94,-0.01,-0.25,"67,688","2,658",0.76,0.47
2017-09-27,ST冠福,1002102,3.95,3.95,3.92,3.95,0.00,0.00,"80,615","3,169",0.76,0.56
2017-09-26,ST冠福,1002102,3.96,3.96,3.91,3.95,0.00,0.00,"81,134","3,192",1.27,0.57
2017-09-25,ST冠福,1002102,3.95,3.96,3.93,3.95,-0.01,-0.25,"79,247","3,127",0.76,0.55
2017-09-22,ST冠福,1002102,3.96,3.96,3.94,3.96,0.01,0.25,"60,743","2,398",0.51,0.43
2017-09-21,ST冠福,1002102,3.98,3.98,3.95,3.95,-0.04,-1.00,"73,153","2,903",0.75,0.51
2017-09-20,ST冠福,1002102,4.00,4.00,3.97,3.99,0.01,0.25,"88,420","3,519",0.75,0.62
2017-09-19,ST冠福,1002102,3.98,4.00,3.94,3.98,0.02,0.51,"175,341","6,958",1.52,1.23
2017-09-18,ST冠福,1002102,3.95,3.97,3.93,3.96,0.00,0.00,"134,543","5,315",1.01,0.94
2017-09-15,ST冠福,1002102,3.95,3.97,3.94,3.96,0.01,0.25,"90,519","3,580",0.76,0.63
2017-09-14,ST冠福,1002102,3.96,3.97,3.94,3.95,-0.02,-0.50,"125,595","4,966",0.76,0.88
2017-09-13,ST冠福,1002102,3.97,3.97,3.95,3.97,-0.01,-0.25,"85,241","3,377",0.50,0.60
2017-09-12,ST冠福,1002102,4.00,4.00,3.96,3.98,-0.02,-0.50,"163,181","6,487",1.00,1.14
2017-09-11,ST冠福,1002102,3.99,4.00,3.98,4.00,0.01,0.25,"105,378","4,205",0.50,0.74
2017-09-08,ST冠福,1002102,3.98,4.00,3.96,3.99,0.01,0.25,"110,357","4,401",1.01,0.77
2017-09-07,ST冠福,1002102,4.00,4.02,3.97,3.98,-0.02,-0.50,"127,291","5,081",1.25,0.89
2017-09-06,ST冠福,1002102,4.03,4.03,3.99,4.00,-0.03,-0.74,"165,418","6,617",0.99,1.16
2017-09-05,ST冠福,1002102,4.03,4.04,4.00,4.03,0.00,0.00,"141,663","5,700",0.99,0.99
2017-09-04,ST冠福,1002102,4.02,4.05,3.99,4.03,0.02,0.50,"171,399","6,902",1.50,1.20
2017-09-01,ST冠福,1002102,4.03,4.04,4.00,4.01,-0.02,-0.50,"148,291","5,948",0.99,1.04
2017-08-31,ST冠福,1002102,4.03,4.05,4.01,4.03,0.00,0.00,"134,212","5,401",0.99,0.94
2017-08-30,ST冠福,1002102,4.03,4.06,4.02,4.03,-0.02,-0.49,"93,270","3,759",0.99,0.65
2017-08-29,ST冠福,1002102,4.07,4.11,4.04,4.05,-0.01,-0.25,"126,512","5,148",1.72,0.89
2017-08-28,ST冠福,1002102,4.03,4.08,4.01,4.06,0.03,0.74,"112,577","4,558",1.74,0.79
2017-08-25,ST冠福,1002102,4.01,4.05,4.01,4.03,0.02,0.50,"116,072","4,685",1.00,0.81
2017-08-24,ST冠福,1002102,4.06,4.06,4.01,4.01,-0.05,-1.23,"77,027","3,100",1.23,0.54
2017-08-23,ST冠福,1002102,4.12,4.12,4.02,4.06,-0.04,-0.98,"187,065","7,567",2.44,1.31
2017-08-22,ST冠福,1002102,4.10,4.16,4.09,4.10,-0.01,-0.24,"125,268","5,161",1.70,0.88
2017-08-21,ST冠福,1002102,4.16,4.17,4.10,4.11,-0.05,-1.20,"144,660","5,961",1.68,1.01
2017-08-18,ST冠福,1002102,4.16,4.25,4.11,4.16,-0.01,-0.24,"186,265","7,776",3.36,1.30
2017-08-17,ST冠福,1002102,4.14,4.22,4.11,4.17,0.04,0.97,"304,298","12,657",2.66,2.13
