日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,一品红,1300723,37.80,37.80,35.81,35.88,-2.02,-5.33,"75,325","27,606",5.25,18.83
2017-12-28,一品红,1300723,36.55,38.25,36.11,37.90,0.89,2.40,"91,103","34,118",5.78,22.78
2017-12-27,一品红,1300723,37.25,38.69,36.50,37.01,-0.71,-1.88,"106,467","40,010",5.81,26.62
2017-12-26,一品红,1300723,35.87,38.97,35.71,37.72,1.44,3.97,"120,834","45,327",8.99,30.21
2017-12-25,一品红,1300723,34.21,36.66,33.75,36.28,1.32,3.78,"88,014","30,963",8.32,22.00
2017-12-22,一品红,1300723,34.85,35.81,34.80,34.96,-0.22,-0.63,"57,458","20,304",2.87,14.36
2017-12-21,一品红,1300723,33.30,35.67,33.00,35.18,1.25,3.68,"64,776","22,504",7.87,16.19
2017-12-20,一品红,1300723,34.03,34.80,33.61,33.93,-0.10,-0.29,"40,014","13,716",3.50,10.00
2017-12-19,一品红,1300723,34.18,34.39,33.35,34.03,-0.67,-1.93,"48,166","16,334",3.00,12.04
2017-12-18,一品红,1300723,34.91,35.88,34.52,34.70,-0.02,-0.06,"54,647","19,251",3.92,13.66
2017-12-15,一品红,1300723,35.13,35.42,34.34,34.72,-0.79,-2.22,"42,755","14,900",3.04,10.69
2017-12-14,一品红,1300723,34.60,35.96,33.90,35.51,1.01,2.93,"72,321","25,330",5.97,18.08
2017-12-13,一品红,1300723,33.16,34.77,32.90,34.50,1.28,3.85,"52,668","17,970",5.63,13.17
2017-12-12,一品红,1300723,33.94,34.15,33.10,33.22,-1.33,-3.85,"49,130","16,467",3.04,12.28
2017-12-11,一品红,1300723,33.32,35.49,33.13,34.55,1.12,3.35,"68,412","23,620",7.06,17.10
2017-12-08,一品红,1300723,32.51,34.30,32.32,33.43,0.34,1.03,"58,142","19,608",5.98,14.54
2017-12-07,一品红,1300723,34.90,35.18,33.03,33.09,-1.70,-4.89,"66,597","22,689",6.18,16.65
2017-12-06,一品红,1300723,34.52,35.60,33.78,34.79,-0.17,-0.49,"66,856","23,230",5.21,16.71
2017-12-05,一品红,1300723,34.01,35.79,33.52,34.96,-0.63,-1.77,"80,075","27,713",6.38,20.02
2017-12-04,一品红,1300723,37.65,37.76,35.59,35.59,-3.95,-9.99,"79,941","28,778",5.49,19.99
2017-12-01,一品红,1300723,37.12,41.41,37.01,39.54,1.54,4.05,"143,803","56,718",11.58,35.95
2017-11-30,一品红,1300723,35.47,38.95,35.20,38.00,1.98,5.50,"131,846","49,025",10.41,32.96
2017-11-29,一品红,1300723,37.00,37.19,34.02,36.02,-1.26,-3.38,"109,241","38,622",8.50,27.31
2017-11-28,一品红,1300723,36.60,38.55,36.55,37.28,-1.88,-4.80,"120,686","45,057",5.11,30.17
2017-11-27,一品红,1300723,43.00,43.00,39.16,39.16,-4.35,-10.00,"128,615","51,281",8.83,32.15
2017-11-24,一品红,1300723,43.51,43.51,43.51,43.51,3.96,10.01,"15,027","6,538",0.00,3.76
2017-11-23,一品红,1300723,39.55,39.55,39.55,39.55,3.60,10.01,553,219,0.00,0.14
2017-11-22,一品红,1300723,35.95,35.95,35.95,35.95,3.27,10.01,162,58,0.00,0.04
2017-11-21,一品红,1300723,32.68,32.68,32.68,32.68,2.97,10.00,49,16,0.00,0.01
2017-11-20,一品红,1300723,29.71,29.71,29.71,29.71,2.70,10.00,54,16,0.00,0.01
2017-11-17,一品红,1300723,27.01,27.01,27.01,27.01,2.46,10.02,65,18,0.00,0.02
2017-11-16,一品红,1300723,20.46,24.55,20.46,24.55,7.50,43.99,102,25,23.99,0.03
2018-09-28,一品红,1300723,31.00,31.56,30.80,31.37,0.26,0.84,"6,715","2,096",2.44,1.68
