日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,东阿阿胶,1000423,65.22,65.95,64.83,64.93,-0.21,-0.32,"88,050","57,527",1.72,1.35
2017-09-28,东阿阿胶,1000423,63.88,65.15,63.79,65.14,1.39,2.18,"85,798","55,486",2.13,1.31
2017-09-27,东阿阿胶,1000423,64.77,64.77,63.58,63.75,-1.02,-1.57,"78,134","50,091",1.84,1.19
2017-09-26,东阿阿胶,1000423,64.89,65.15,64.41,64.77,-0.11,-0.17,"68,030","44,089",1.14,1.04
2017-09-25,东阿阿胶,1000423,63.58,65.18,63.35,64.88,1.38,2.17,"134,296","86,838",2.88,2.05
2017-09-22,东阿阿胶,1000423,63.01,63.50,62.86,63.50,0.49,0.78,"41,844","26,479",1.02,0.64
2017-09-21,东阿阿胶,1000423,62.82,63.28,62.58,63.01,0.13,0.21,"42,201","26,559",1.11,0.65
2017-09-20,东阿阿胶,1000423,62.93,63.18,62.55,62.88,-0.04,-0.06,"42,617","26,827",1.00,0.65
2017-09-19,东阿阿胶,1000423,64.10,64.49,62.91,62.92,-1.13,-1.76,"73,865","46,887",2.47,1.13
2017-09-18,东阿阿胶,1000423,63.80,64.68,63.71,64.05,0.27,0.42,"60,071","38,634",1.52,0.92
2017-09-15,东阿阿胶,1000423,63.60,64.05,63.40,63.78,0.21,0.33,"60,522","38,579",1.02,0.93
2017-09-14,东阿阿胶,1000423,63.36,63.62,62.94,63.57,0.21,0.33,"54,185","34,329",1.07,0.83
2017-09-13,东阿阿胶,1000423,62.28,63.49,62.09,63.36,1.27,2.05,"69,313","43,666",2.25,1.06
2017-09-12,东阿阿胶,1000423,62.45,62.50,62.02,62.09,-0.21,-0.34,"52,782","32,789",0.77,0.81
2017-09-11,东阿阿胶,1000423,62.81,62.90,62.21,62.30,-0.72,-1.14,"46,882","29,279",1.09,0.72
2017-09-08,东阿阿胶,1000423,62.88,63.50,62.65,63.02,0.07,0.11,"36,449","23,010",1.35,0.56
2017-09-07,东阿阿胶,1000423,63.45,63.70,62.90,62.95,-0.45,-0.71,"43,314","27,345",1.26,0.66
2017-09-06,东阿阿胶,1000423,63.49,64.12,63.30,63.40,-0.23,-0.36,"56,810","36,153",1.29,0.87
2017-09-05,东阿阿胶,1000423,62.11,63.82,62.11,63.63,1.53,2.46,"98,947","62,533",2.75,1.51
2017-09-04,东阿阿胶,1000423,61.94,62.25,61.69,62.10,0.15,0.24,"47,228","29,268",0.90,0.72
2017-09-01,东阿阿胶,1000423,62.37,62.47,61.81,61.95,-0.41,-0.66,"53,218","32,989",1.06,0.81
2017-08-31,东阿阿胶,1000423,62.82,62.91,61.86,62.36,-0.40,-0.64,"53,667","33,410",1.67,0.82
2017-08-30,东阿阿胶,1000423,62.50,62.94,62.25,62.76,0.21,0.34,"36,314","22,765",1.10,0.56
2017-08-29,东阿阿胶,1000423,63.17,63.40,62.35,62.55,-0.58,-0.92,"59,914","37,577",1.66,0.92
2017-08-28,东阿阿胶,1000423,63.00,63.36,62.87,63.13,0.29,0.46,"59,420","37,504",0.78,0.91
2017-08-25,东阿阿胶,1000423,62.69,63.27,62.47,62.84,0.10,0.16,"57,072","35,844",1.28,0.87
2017-08-24,东阿阿胶,1000423,63.80,63.99,62.60,62.74,-1.22,-1.91,"54,973","34,686",2.17,0.84
2017-08-23,东阿阿胶,1000423,64.06,64.48,63.68,63.96,-0.06,-0.09,"31,009","19,852",1.25,0.47
2017-08-22,东阿阿胶,1000423,64.10,64.63,63.80,64.02,-0.04,-0.06,"41,239","26,486",1.30,0.63
2017-08-21,东阿阿胶,1000423,63.40,64.18,63.11,64.06,0.96,1.52,"40,824","26,069",1.70,0.62
2017-08-18,东阿阿胶,1000423,63.15,63.26,62.86,63.10,-0.28,-0.44,"29,727","18,742",0.63,0.45
2017-08-17,东阿阿胶,1000423,63.24,63.50,62.82,63.38,0.30,0.48,"40,297","25,484",1.08,0.62
2017-08-16,东阿阿胶,1000423,64.10,64.10,62.76,63.08,-1.03,-1.61,"90,141","56,906",2.09,1.38
2017-08-15,东阿阿胶,1000423,64.01,65.32,63.76,64.11,-0.23,-0.36,"95,443","61,581",2.42,1.46
2017-08-14,东阿阿胶,1000423,64.66,65.60,64.20,64.34,-0.32,-0.49,"67,007","43,497",2.17,1.02
2017-08-11,东阿阿胶,1000423,64.29,65.40,64.00,64.66,-0.03,-0.05,"58,372","37,898",2.16,0.89
2017-08-10,东阿阿胶,1000423,65.58,65.73,64.49,64.69,-1.05,-1.60,"70,540","45,881",1.89,1.08
2017-08-09,东阿阿胶,1000423,63.89,65.99,63.52,65.74,1.85,2.90,"116,281","75,898",3.87,1.78
2017-08-08,东阿阿胶,1000423,63.80,64.21,63.41,63.89,0.21,0.33,"46,415","29,591",1.26,0.71
2017-08-07,东阿阿胶,1000423,62.17,63.72,62.06,63.68,1.51,2.43,"43,925","27,793",2.67,0.67
2017-08-04,东阿阿胶,1000423,62.69,62.99,62.04,62.17,-0.63,-1.00,"49,078","30,604",1.51,0.75
2017-08-03,东阿阿胶,1000423,63.92,63.99,62.65,62.80,-1.20,-1.88,"58,858","37,066",2.09,0.90
2017-08-02,东阿阿胶,1000423,64.00,64.18,63.52,64.00,-0.03,-0.05,"39,549","25,242",1.03,0.60
2017-08-01,东阿阿胶,1000423,64.13,64.19,63.36,64.03,-0.10,-0.16,"39,799","25,359",1.29,0.61
2017-07-31,东阿阿胶,1000423,63.00,64.46,63.00,64.13,1.13,1.79,"77,159","49,407",2.32,1.18
2017-07-28,东阿阿胶,1000423,62.99,63.39,62.62,63.00,0.01,0.02,"47,397","29,898",1.22,0.72
2017-07-27,东阿阿胶,1000423,62.10,63.03,61.88,62.99,0.93,1.50,"68,710","42,924",1.85,1.05
2017-07-26,东阿阿胶,1000423,63.15,63.43,61.22,62.06,-1.09,-1.73,"128,198","79,654",3.50,1.96
2017-07-25,东阿阿胶,1000423,65.84,66.16,63.01,63.15,-2.67,-4.06,"184,533","118,647",4.79,2.82
2017-07-24,东阿阿胶,1000423,66.11,66.62,65.55,65.82,-0.63,-0.95,"72,582","47,941",1.61,1.11
2017-07-21,东阿阿胶,1000423,67.20,67.26,66.29,66.45,-0.75,-1.12,"61,091","40,747",1.44,0.93
2017-07-20,东阿阿胶,1000423,66.20,67.50,65.95,67.20,0.92,1.39,"82,217","54,830",2.34,1.26
2017-07-19,东阿阿胶,1000423,65.50,66.42,64.98,66.28,0.58,0.88,"70,226","46,312",2.19,1.07
2017-07-18,东阿阿胶,1000423,65.89,65.90,64.71,65.70,0.25,0.38,"54,733","35,769",1.82,0.84
2017-07-17,东阿阿胶,1000423,66.86,67.90,65.50,66.35,-0.64,-0.96,"90,833","60,669",3.58,1.39
2017-07-14,东阿阿胶,1000423,66.93,67.01,65.65,66.99,-0.01,-0.01,"84,137","55,742",2.03,1.29
2017-07-13,东阿阿胶,1000423,66.80,67.20,66.31,67.00,0.15,0.22,"66,230","44,244",1.33,1.01
2017-07-12,东阿阿胶,1000423,68.87,68.87,66.50,66.85,-2.05,-2.98,"115,829","77,999",3.44,1.77
2017-07-11,东阿阿胶,1000423,68.49,69.34,68.32,68.90,0.47,0.69,"97,708","67,415",1.49,1.49
2017-07-10,东阿阿胶,1000423,68.15,68.63,67.47,68.43,0.14,0.21,"74,165","50,536",1.70,1.13
2017-07-07,东阿阿胶,1000423,68.45,68.45,67.80,68.29,-0.29,-0.42,"57,884","39,411",0.95,0.89
2017-07-06,东阿阿胶,1000423,69.41,69.41,67.78,68.58,-0.92,-1.32,"104,524","71,469",2.35,1.60
2017-07-05,东阿阿胶,1000423,68.81,69.58,68.48,69.50,0.72,1.05,"86,346","59,659",1.60,1.32
2017-07-04,东阿阿胶,1000423,69.95,69.95,68.61,68.78,-1.24,-1.77,"84,237","58,162",1.91,1.29
2017-07-03,东阿阿胶,1000423,71.74,71.97,69.96,70.02,-1.87,-2.60,"95,436","67,182",2.80,1.46
2017-12-29,东阿阿胶,1000423,60.20,60.60,59.89,60.27,0.26,0.43,"40,258","24,220",1.18,0.62
