日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,中恒集团,0600252,4.05,4.06,4.02,4.04,-0.02,-0.49,"125,886","5,089",0.99,0.37
2017-06-29,中恒集团,0600252,4.05,4.06,4.04,4.06,0.01,0.25,"130,962","5,303",0.49,0.38
2017-06-28,中恒集团,0600252,4.07,4.07,4.03,4.05,-0.02,-0.49,"118,114","4,779",0.98,0.34
2017-06-27,中恒集团,0600252,4.05,4.08,4.04,4.07,0.02,0.49,"151,526","6,155",0.99,0.44
2017-06-26,中恒集团,0600252,4.02,4.06,4.02,4.05,0.02,0.50,"144,031","5,827",0.99,0.42
2017-06-23,中恒集团,0600252,4.06,4.08,3.99,4.03,-0.03,-0.74,"225,306","9,085",2.22,0.66
2017-06-22,中恒集团,0600252,4.11,4.16,4.09,4.10,-0.01,-0.24,"239,098","9,874",1.70,0.70
2017-06-21,中恒集团,0600252,4.09,4.11,4.09,4.11,0.03,0.74,"154,821","6,346",0.49,0.45
2017-06-20,中恒集团,0600252,4.09,4.11,4.08,4.08,-0.01,-0.24,"185,340","7,583",0.73,0.54
2017-06-19,中恒集团,0600252,4.08,4.10,4.07,4.09,0.01,0.25,"140,492","5,736",0.74,0.41
2017-06-16,中恒集团,0600252,4.09,4.10,4.07,4.08,0.00,0.00,"138,223","5,647",0.74,0.40
2017-06-15,中恒集团,0600252,4.05,4.10,4.03,4.08,0.03,0.74,"213,453","8,699",1.73,0.62
2017-06-14,中恒集团,0600252,4.04,4.07,4.04,4.05,-0.01,-0.25,"143,428","5,810",0.74,0.42
2017-06-13,中恒集团,0600252,4.01,4.06,4.01,4.06,0.04,1.00,"193,906","7,836",1.24,0.57
2017-06-12,中恒集团,0600252,4.02,4.07,4.01,4.02,-0.02,-0.50,"248,531","10,024",1.49,0.72
2017-06-09,中恒集团,0600252,4.03,4.05,4.00,4.04,0.00,0.00,"332,848","13,374",1.24,0.97
2017-06-08,中恒集团,0600252,4.04,4.06,4.02,4.04,-0.01,-0.25,"190,360","7,689",0.99,0.56
2017-06-07,中恒集团,0600252,4.02,4.06,4.00,4.05,0.03,0.75,"281,250","11,345",1.49,0.82
2017-06-06,中恒集团,0600252,4.02,4.03,3.99,4.02,-0.01,-0.25,"181,176","7,259",0.99,0.53
2017-06-05,中恒集团,0600252,4.00,4.06,4.00,4.03,0.02,0.50,"202,471","8,176",1.50,0.59
2017-06-02,中恒集团,0600252,3.98,4.02,3.93,4.01,0.03,0.75,"143,067","5,678",2.26,0.42
2017-06-01,中恒集团,0600252,4.02,4.03,3.98,3.98,-0.05,-1.24,"149,656","5,990",1.24,0.44
2017-05-31,中恒集团,0600252,3.99,4.06,3.99,4.03,0.06,1.51,"224,617","9,069",1.76,0.65
2017-05-26,中恒集团,0600252,3.96,3.98,3.95,3.97,0.02,0.51,"145,447","5,766",0.76,0.42
2017-05-25,中恒集团,0600252,3.89,3.96,3.88,3.95,0.05,1.28,"203,941","8,004",2.05,0.59
2017-05-24,中恒集团,0600252,3.90,3.90,3.85,3.90,0.00,0.00,"190,626","7,392",1.28,0.56
2017-05-23,中恒集团,0600252,3.94,3.99,3.88,3.90,-0.06,-1.52,"220,041","8,667",2.78,0.64
2017-05-22,中恒集团,0600252,4.03,4.03,3.95,3.96,-0.09,-2.22,"201,450","8,048",1.98,0.59
2017-05-19,中恒集团,0600252,4.03,4.07,4.02,4.05,0.00,0.00,"93,949","3,802",1.23,0.27
2017-05-18,中恒集团,0600252,4.05,4.08,4.01,4.05,-0.02,-0.49,"93,379","3,782",1.72,0.27
2017-05-17,中恒集团,0600252,4.05,4.11,4.05,4.07,0.00,0.00,"175,043","7,148",1.47,0.51
2017-05-16,中恒集团,0600252,4.01,4.08,4.00,4.07,0.05,1.24,"171,608","6,920",1.99,0.50
2017-05-15,中恒集团,0600252,4.02,4.05,4.00,4.02,0.03,0.75,"108,023","4,347",1.25,0.31
2017-05-12,中恒集团,0600252,4.02,4.03,3.98,3.99,-0.03,-0.75,"150,246","6,009",1.24,0.44
2017-05-11,中恒集团,0600252,4.08,4.09,3.91,4.02,-0.08,-1.95,"364,609","14,590",4.39,1.06
2017-05-10,中恒集团,0600252,4.24,4.25,4.10,4.10,-0.13,-3.07,"202,397","8,471",3.55,0.59
2017-05-09,中恒集团,0600252,4.23,4.26,4.20,4.23,-0.01,-0.24,"155,449","6,569",1.42,0.45
2017-05-08,中恒集团,0600252,4.30,4.31,4.23,4.24,-0.08,-1.85,"154,501","6,607",1.85,0.45
2017-05-05,中恒集团,0600252,4.30,4.34,4.26,4.32,0.01,0.23,"170,229","7,333",1.86,0.50
2017-05-04,中恒集团,0600252,4.36,4.36,4.31,4.31,-0.05,-1.15,"246,658","10,671",1.15,0.72
2017-05-03,中恒集团,0600252,4.42,4.45,4.33,4.36,-0.06,-1.36,"255,409","11,197",2.71,0.74
2017-05-02,中恒集团,0600252,4.49,4.50,4.41,4.42,-0.08,-1.78,"241,006","10,732",2.00,0.70
2017-04-28,中恒集团,0600252,4.52,4.52,4.49,4.50,-0.01,-0.22,"146,693","6,606",0.67,0.43
2017-04-27,中恒集团,0600252,4.51,4.53,4.45,4.51,0.00,0.00,"229,648","10,306",1.77,0.67
2017-04-26,中恒集团,0600252,4.56,4.57,4.51,4.51,-0.06,-1.31,"196,264","8,903",1.31,0.57
2017-04-25,中恒集团,0600252,4.57,4.63,4.56,4.57,-0.03,-0.65,"205,876","9,453",1.52,0.60
2017-04-24,中恒集团,0600252,4.57,4.61,4.49,4.60,0.01,0.22,"393,771","17,890",2.61,1.15
2017-04-21,中恒集团,0600252,4.55,4.59,4.51,4.59,0.03,0.66,"274,829","12,486",1.75,0.80
2017-04-20,中恒集团,0600252,4.53,4.62,4.49,4.56,0.03,0.66,"310,646","14,136",2.87,0.91
2017-04-19,中恒集团,0600252,4.55,4.57,4.48,4.53,-0.04,-0.88,"332,517","15,011",1.97,0.97
2017-04-18,中恒集团,0600252,4.58,4.62,4.57,4.57,-0.03,-0.65,"233,535","10,722",1.09,0.68
2017-04-17,中恒集团,0600252,4.60,4.64,4.55,4.60,-0.01,-0.22,"351,835","16,165",1.95,1.03
2017-04-14,中恒集团,0600252,4.56,4.74,4.54,4.61,0.06,1.32,"753,312","35,051",4.40,2.20
2017-04-13,中恒集团,0600252,4.54,4.57,4.53,4.55,0.00,0.00,"280,626","12,766",0.88,0.82
2017-04-12,中恒集团,0600252,4.55,4.56,4.51,4.55,0.00,0.00,"256,523","11,638",1.10,0.75
2017-04-11,中恒集团,0600252,4.54,4.56,4.51,4.55,0.00,0.00,"262,552","11,905",1.10,0.77
2017-04-10,中恒集团,0600252,4.53,4.56,4.52,4.55,0.01,0.22,"201,443","9,144",0.88,0.59
2017-04-07,中恒集团,0600252,4.54,4.55,4.52,4.54,-0.01,-0.22,"184,180","8,350",0.66,0.54
2017-04-06,中恒集团,0600252,4.55,4.55,4.52,4.55,0.00,0.00,"159,432","7,242",0.66,0.46
2017-04-05,中恒集团,0600252,4.49,4.55,4.49,4.55,0.06,1.34,"219,433","9,936",1.34,0.64
2017-12-29,中恒集团,0600252,4.25,4.47,4.17,4.39,0.12,2.81,"508,368","21,901",7.03,1.46
2017-12-28,中恒集团,0600252,4.06,4.40,4.05,4.27,0.20,4.91,"547,179","22,982",8.60,1.57
2017-12-27,中恒集团,0600252,4.07,4.09,4.03,4.07,0.00,0.00,"251,803","10,220",1.47,0.72
2017-12-26,中恒集团,0600252,3.99,4.08,3.98,4.07,0.08,2.01,"309,955","12,521",2.51,0.89
2017-12-25,中恒集团,0600252,3.91,3.99,3.91,3.99,0.09,2.31,"263,449","10,436",2.05,0.76
2017-12-22,中恒集团,0600252,3.89,3.92,3.88,3.90,0.01,0.26,"97,905","3,824",1.03,0.28
2017-12-21,中恒集团,0600252,3.87,3.90,3.85,3.89,0.02,0.52,"116,175","4,505",1.29,0.33
2017-12-20,中恒集团,0600252,3.90,3.90,3.87,3.87,-0.04,-1.02,"69,820","2,712",0.77,0.20
2017-12-19,中恒集团,0600252,3.89,3.91,3.87,3.91,0.02,0.51,"80,646","3,146",1.03,0.23
2017-12-18,中恒集团,0600252,3.89,3.89,3.87,3.89,0.00,0.00,"61,343","2,380",0.51,0.18
2017-12-15,中恒集团,0600252,3.90,3.90,3.86,3.89,0.00,0.00,"88,485","3,429",1.03,0.25
2017-12-14,中恒集团,0600252,3.90,3.91,3.86,3.89,-0.03,-0.77,"126,308","4,909",1.28,0.36
2017-12-13,中恒集团,0600252,3.90,3.92,3.89,3.92,0.02,0.51,"63,411","2,477",0.77,0.18
2017-12-12,中恒集团,0600252,3.92,3.93,3.89,3.90,-0.02,-0.51,"88,729","3,461",1.02,0.26
2017-12-11,中恒集团,0600252,3.92,3.93,3.91,3.92,0.01,0.26,"100,557","3,943",0.51,0.29
2017-12-08,中恒集团,0600252,3.88,3.94,3.87,3.91,0.02,0.51,"74,717","2,924",1.80,0.22
2017-12-07,中恒集团,0600252,3.90,3.94,3.88,3.89,0.00,0.00,"133,324","5,213",1.54,0.38
2017-12-06,中恒集团,0600252,3.88,3.90,3.85,3.89,0.00,0.00,"173,329","6,718",1.29,0.50
2017-12-05,中恒集团,0600252,3.98,3.99,3.88,3.89,-0.09,-2.26,"216,623","8,509",2.76,0.62
2017-12-04,中恒集团,0600252,4.01,4.01,3.98,3.98,-0.03,-0.75,"96,604","3,859",0.75,0.28
2017-12-01,中恒集团,0600252,4.00,4.02,3.99,4.01,0.00,0.00,"99,703","3,994",0.75,0.29
2017-11-30,中恒集团,0600252,4.01,4.03,3.99,4.01,0.00,0.00,"106,551","4,273",1.00,0.31
2017-11-29,中恒集团,0600252,4.02,4.02,3.98,4.01,-0.01,-0.25,"124,408","4,972",1.00,0.36
2017-11-28,中恒集团,0600252,3.99,4.02,3.98,4.02,0.03,0.75,"94,705","3,791",1.00,0.27
2017-11-27,中恒集团,0600252,4.02,4.04,3.99,3.99,-0.03,-0.75,"112,841","4,516",1.24,0.32
2017-11-24,中恒集团,0600252,4.02,4.03,3.98,4.02,-0.01,-0.25,"156,572","6,281",1.24,0.45
2017-11-23,中恒集团,0600252,4.07,4.08,4.02,4.03,-0.04,-0.98,"146,776","5,953",1.47,0.42
2017-11-22,中恒集团,0600252,4.11,4.13,4.05,4.07,-0.04,-0.97,"158,858","6,492",1.95,0.46
2017-11-21,中恒集团,0600252,4.07,4.12,4.06,4.11,0.02,0.49,"147,348","6,038",1.47,0.42
2017-11-20,中恒集团,0600252,4.04,4.09,4.03,4.09,0.03,0.74,"147,507","5,987",1.48,0.42
2017-11-17,中恒集团,0600252,4.17,4.17,4.03,4.06,-0.12,-2.87,"280,622","11,504",3.35,0.82
2017-11-16,中恒集团,0600252,4.15,4.20,4.14,4.18,0.02,0.48,"116,645","4,866",1.44,0.34
2017-11-15,中恒集团,0600252,4.18,4.21,4.15,4.16,-0.05,-1.19,"154,256","6,434",1.43,0.45
2017-11-14,中恒集团,0600252,4.26,4.30,4.18,4.21,-0.05,-1.17,"215,457","9,116",2.82,0.63
2017-11-13,中恒集团,0600252,4.20,4.31,4.19,4.26,0.08,1.91,"428,333","18,272",2.87,1.25
2017-11-10,中恒集团,0600252,4.20,4.20,4.16,4.18,-0.02,-0.48,"191,783","8,003",0.95,0.56
2017-11-09,中恒集团,0600252,4.17,4.22,4.16,4.20,0.03,0.72,"208,785","8,763",1.44,0.61
2017-11-08,中恒集团,0600252,4.17,4.19,4.15,4.17,0.00,0.00,"195,904","8,176",0.96,0.57
2017-11-07,中恒集团,0600252,4.16,4.18,4.13,4.17,0.01,0.24,"200,660","8,335",1.20,0.59
2017-11-06,中恒集团,0600252,4.10,4.17,4.07,4.16,0.06,1.46,"274,429","11,352",2.44,0.80
2017-11-03,中恒集团,0600252,4.15,4.17,4.07,4.10,-0.05,-1.20,"183,307","7,556",2.41,0.53
2017-11-02,中恒集团,0600252,4.16,4.19,4.15,4.15,-0.01,-0.24,"142,371","5,933",0.96,0.42
2017-11-01,中恒集团,0600252,4.17,4.19,4.16,4.16,-0.01,-0.24,"160,949","6,713",0.72,0.47
2017-10-31,中恒集团,0600252,4.16,4.22,4.14,4.17,0.01,0.24,"314,768","13,133",1.92,0.92
2017-10-30,中恒集团,0600252,4.27,4.28,4.16,4.16,-0.11,-2.58,"335,608","14,063",2.81,0.98
2017-10-27,中恒集团,0600252,4.29,4.33,4.25,4.27,-0.02,-0.47,"360,354","15,458",1.86,1.05
2017-10-26,中恒集团,0600252,4.30,4.32,4.25,4.29,-0.01,-0.23,"368,342","15,770",1.63,1.07
2017-10-25,中恒集团,0600252,4.28,4.30,4.27,4.30,0.01,0.23,"157,686","6,753",0.70,0.46
