日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,北陆药业,1300016,13.80,13.91,13.54,13.69,-0.08,-0.58,"68,117","9,331",2.69,2.22
2017-12-28,北陆药业,1300016,13.98,14.09,13.71,13.77,-0.19,-1.36,"63,255","8,750",2.72,2.06
2017-12-27,北陆药业,1300016,14.20,14.31,13.88,13.96,-0.44,-3.06,"96,658","13,575",2.99,3.15
2017-12-26,北陆药业,1300016,14.45,14.58,14.04,14.40,-0.26,-1.77,"131,188","18,741",3.68,4.28
2017-12-25,北陆药业,1300016,13.95,14.95,13.89,14.66,0.81,5.85,"200,469","28,888",7.65,6.54
2017-12-22,北陆药业,1300016,13.60,14.25,13.56,13.85,0.17,1.24,"104,513","14,576",5.04,3.41
2017-12-21,北陆药业,1300016,13.68,13.90,13.35,13.68,0.01,0.07,"77,473","10,597",4.02,2.53
2017-12-20,北陆药业,1300016,13.98,14.10,13.63,13.67,-0.31,-2.22,"61,588","8,481",3.36,2.01
2017-12-19,北陆药业,1300016,13.89,14.12,13.60,13.98,0.13,0.94,"100,717","13,931",3.75,3.28
2017-12-18,北陆药业,1300016,13.90,14.29,13.58,13.85,0.06,0.44,"140,950","19,569",5.15,4.60
2017-12-15,北陆药业,1300016,12.56,13.79,12.56,13.79,1.25,9.97,"127,963","17,142",9.81,4.17
2017-12-14,北陆药业,1300016,12.52,12.60,12.41,12.54,0.03,0.24,"19,899","2,489",1.52,0.65
2017-12-13,北陆药业,1300016,12.50,12.60,12.35,12.51,0.03,0.24,"27,124","3,380",2.00,0.88
2017-12-12,北陆药业,1300016,12.76,12.82,12.48,12.48,-0.36,-2.80,"18,890","2,389",2.65,0.62
2017-12-11,北陆药业,1300016,12.70,12.96,12.64,12.84,0.05,0.39,"27,814","3,553",2.50,0.91
2017-12-08,北陆药业,1300016,12.58,12.89,12.50,12.79,0.19,1.51,"23,397","2,978",3.10,0.76
2017-12-07,北陆药业,1300016,12.53,12.66,12.39,12.60,-0.05,-0.40,"25,984","3,253",2.13,0.85
2017-12-06,北陆药业,1300016,12.39,12.68,12.31,12.65,0.08,0.64,"32,410","4,043",2.94,1.06
2017-12-05,北陆药业,1300016,13.01,13.15,12.52,12.57,-0.56,-4.27,"32,420","4,167",4.80,1.06
2017-12-04,北陆药业,1300016,13.33,13.33,13.08,13.13,-0.17,-1.28,"15,648","2,059",1.88,0.51
2017-12-01,北陆药业,1300016,13.12,13.36,13.11,13.30,0.20,1.53,"20,499","2,720",1.91,0.67
2017-11-30,北陆药业,1300016,13.22,13.28,13.06,13.10,-0.19,-1.43,"19,216","2,529",1.66,0.63
2017-11-29,北陆药业,1300016,13.65,13.65,13.00,13.29,-0.26,-1.92,"29,059","3,867",4.80,0.95
2017-11-28,北陆药业,1300016,13.51,13.74,13.45,13.55,0.09,0.67,"22,302","3,025",2.15,0.73
2017-11-27,北陆药业,1300016,13.46,13.66,13.36,13.46,0.00,0.00,"14,295","1,933",2.23,0.47
2017-11-24,北陆药业,1300016,13.31,13.50,13.31,13.46,0.03,0.22,"17,201","2,303",1.41,0.56
2017-11-23,北陆药业,1300016,13.65,13.66,13.36,13.43,-0.18,-1.32,"22,861","3,078",2.20,0.75
2017-11-22,北陆药业,1300016,13.50,13.75,13.40,13.61,0.12,0.89,"21,297","2,885",2.59,0.69
2017-11-21,北陆药业,1300016,13.66,13.72,13.42,13.49,-0.17,-1.24,"24,258","3,290",2.20,0.79
2017-11-20,北陆药业,1300016,13.59,13.76,13.38,13.66,-0.04,-0.29,"22,954","3,122",2.77,0.75
2017-11-17,北陆药业,1300016,13.87,13.97,13.47,13.70,-0.08,-0.58,"37,303","5,123",3.63,1.22
2017-11-16,北陆药业,1300016,13.75,13.96,13.75,13.78,0.00,0.00,"18,735","2,595",1.52,0.61
2017-11-15,北陆药业,1300016,13.95,14.04,13.76,13.78,-0.11,-0.79,"23,017","3,196",2.02,0.75
2017-11-14,北陆药业,1300016,14.16,14.16,13.78,13.89,-0.32,-2.25,"32,967","4,605",2.67,1.08
2017-11-13,北陆药业,1300016,14.19,14.25,14.01,14.21,0.05,0.35,"25,505","3,609",1.69,0.83
2017-11-10,北陆药业,1300016,14.28,14.40,14.00,14.16,-0.07,-0.49,"27,799","3,964",2.81,0.91
2017-11-09,北陆药业,1300016,14.18,14.25,14.12,14.23,0.07,0.49,"18,945","2,689",0.92,0.62
2017-11-08,北陆药业,1300016,14.25,14.58,14.15,14.16,-0.14,-0.98,"39,553","5,662",3.01,1.29
2017-11-07,北陆药业,1300016,14.09,14.35,13.92,14.30,0.18,1.27,"34,230","4,827",3.05,1.12
2017-11-06,北陆药业,1300016,13.79,14.14,13.79,14.12,0.30,2.17,"32,502","4,552",2.53,1.06
2017-11-03,北陆药业,1300016,13.92,13.97,13.73,13.82,-0.02,-0.14,"18,561","2,568",1.73,0.61
2017-11-02,北陆药业,1300016,14.00,14.00,13.80,13.84,-0.15,-1.07,"18,880","2,623",1.43,0.62
2017-11-01,北陆药业,1300016,14.04,14.09,13.96,13.99,-0.01,-0.07,"21,714","3,046",0.93,0.71
2017-10-31,北陆药业,1300016,14.06,14.13,13.87,14.00,-0.03,-0.21,"36,078","5,037",1.85,1.18
2017-10-30,北陆药业,1300016,14.71,14.71,13.80,14.03,-0.66,-4.49,"53,292","7,533",6.19,1.74
2017-10-27,北陆药业,1300016,14.95,15.05,14.65,14.69,-0.24,-1.61,"26,482","3,930",2.68,0.86
2017-10-26,北陆药业,1300016,15.02,15.07,14.89,14.93,-0.11,-0.73,"22,489","3,366",1.20,0.73
2017-10-25,北陆药业,1300016,14.95,15.05,14.85,15.04,0.10,0.67,"32,816","4,912",1.34,1.07
2017-10-24,北陆药业,1300016,14.89,15.09,14.73,14.94,0.08,0.54,"36,126","5,387",2.42,1.18
2017-10-23,北陆药业,1300016,14.58,14.87,14.58,14.86,0.24,1.64,"26,112","3,856",1.98,0.85
2017-10-20,北陆药业,1300016,14.49,14.66,14.46,14.62,0.07,0.48,"17,536","2,556",1.37,0.57
2017-10-19,北陆药业,1300016,14.51,14.69,14.42,14.55,0.03,0.21,"23,202","3,374",1.86,0.76
2017-10-18,北陆药业,1300016,14.73,14.88,14.50,14.52,-0.13,-0.89,"25,553","3,751",2.59,0.83
2017-10-17,北陆药业,1300016,14.64,14.72,14.49,14.65,0.03,0.21,"18,561","2,714",1.57,0.61
2017-10-16,北陆药业,1300016,15.09,15.12,14.59,14.62,-0.53,-3.50,"50,048","7,394",3.50,1.63
2017-10-13,北陆药业,1300016,15.02,15.19,14.92,15.15,0.14,0.93,"32,115","4,855",1.80,1.05
2017-10-12,北陆药业,1300016,15.14,15.26,14.85,15.01,-0.10,-0.66,"47,910","7,202",2.71,1.56
2017-10-11,北陆药业,1300016,15.36,15.77,15.07,15.11,-0.21,-1.37,"87,563","13,503",4.57,2.86
2017-10-10,北陆药业,1300016,14.83,15.34,14.80,15.32,0.59,4.01,"85,065","12,926",3.67,2.77
2017-10-09,北陆药业,1300016,14.74,14.84,14.68,14.73,0.13,0.89,"27,316","4,035",1.10,0.89
2017-09-29,北陆药业,1300016,14.46,14.61,14.45,14.60,0.15,1.04,"22,668","3,293",1.11,0.74
2017-09-28,北陆药业,1300016,14.50,14.59,14.42,14.45,-0.04,-0.28,"20,219","2,936",1.17,0.66
2017-09-27,北陆药业,1300016,14.45,14.53,14.37,14.49,0.10,0.69,"21,721","3,145",1.11,0.71
2017-09-26,北陆药业,1300016,14.37,14.47,14.31,14.39,-0.02,-0.14,"19,233","2,768",1.11,0.63
2017-09-25,北陆药业,1300016,14.50,14.56,14.37,14.41,-0.08,-0.55,"29,782","4,305",1.31,0.97
2017-09-22,北陆药业,1300016,14.66,14.69,14.47,14.49,-0.23,-1.56,"34,745","5,054",1.49,1.13
2017-09-21,北陆药业,1300016,14.80,14.95,14.65,14.72,-0.07,-0.47,"35,131","5,195",2.03,1.15
2017-09-20,北陆药业,1300016,14.81,14.86,14.56,14.79,-0.05,-0.34,"37,111","5,468",2.02,1.21
2017-09-19,北陆药业,1300016,14.84,14.92,14.75,14.84,0.00,0.00,"23,470","3,480",1.15,0.77
