日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,华仁药业,1300110,13.98,14.04,13.87,14.01,0.13,0.94,"25,258","3,527",1.22,0.38
2017-03-30,华仁药业,1300110,14.12,14.13,13.81,13.88,-0.24,-1.70,"46,498","6,488",2.27,0.71
2017-03-29,华仁药业,1300110,14.38,14.42,14.10,14.12,-0.18,-1.26,"31,803","4,529",2.24,0.48
2017-03-28,华仁药业,1300110,14.46,14.46,14.26,14.30,-0.04,-0.28,"30,830","4,421",1.39,0.47
2017-03-27,华仁药业,1300110,14.55,14.65,14.23,14.34,-0.25,-1.71,"53,595","7,691",2.88,0.82
2017-03-24,华仁药业,1300110,14.47,14.72,14.47,14.59,0.03,0.21,"46,777","6,821",1.72,0.71
2017-03-23,华仁药业,1300110,14.31,14.81,14.31,14.56,0.26,1.82,"107,874","15,764",3.50,1.64
2017-03-22,华仁药业,1300110,14.33,14.35,14.18,14.30,0.02,0.14,"52,527","7,493",1.19,0.80
2017-03-21,华仁药业,1300110,14.16,14.34,14.06,14.28,0.16,1.13,"65,252","9,292",1.98,0.99
2017-03-20,华仁药业,1300110,14.10,14.20,14.00,14.12,0.02,0.14,"45,789","6,459",1.42,0.70
2017-03-17,华仁药业,1300110,14.12,14.20,14.06,14.10,-0.02,-0.14,"45,258","6,393",0.99,0.69
2017-03-16,华仁药业,1300110,14.08,14.17,14.06,14.12,0.04,0.28,"29,461","4,154",0.78,0.45
2017-03-15,华仁药业,1300110,14.07,14.15,14.02,14.08,0.00,0.00,"33,344","4,695",0.92,0.51
2017-03-14,华仁药业,1300110,14.10,14.26,14.03,14.08,-0.02,-0.14,"31,882","4,510",1.63,0.49
2017-03-13,华仁药业,1300110,14.27,14.27,13.81,14.10,0.14,1.00,"53,799","7,510",3.30,0.82
2017-03-10,华仁药业,1300110,14.16,14.24,13.95,13.96,-0.20,-1.41,"50,334","7,070",2.05,0.77
2017-03-09,华仁药业,1300110,14.29,14.29,14.14,14.16,-0.09,-0.63,"24,745","3,508",1.05,0.38
2017-03-08,华仁药业,1300110,14.27,14.36,14.18,14.25,0.02,0.14,"24,384","3,477",1.26,0.37
2017-03-07,华仁药业,1300110,14.31,14.48,14.19,14.23,-0.08,-0.56,"35,869","5,125",2.03,0.55
2017-03-06,华仁药业,1300110,14.17,14.35,14.07,14.31,0.14,0.99,"27,203","3,876",1.98,0.41
2017-03-03,华仁药业,1300110,14.26,14.26,14.13,14.17,-0.09,-0.63,"40,494","5,741",0.91,0.62
2017-03-02,华仁药业,1300110,14.40,14.47,14.24,14.26,-0.13,-0.90,"35,379","5,056",1.60,0.54
2017-03-01,华仁药业,1300110,14.38,14.47,14.32,14.39,0.02,0.14,"24,865","3,578",1.04,0.38
2017-02-28,华仁药业,1300110,14.58,14.70,14.31,14.37,-0.24,-1.64,"64,414","9,292",2.67,0.98
2017-02-27,华仁药业,1300110,15.08,15.11,14.60,14.61,-0.41,-2.73,"56,641","8,377",3.40,0.86
2017-02-24,华仁药业,1300110,14.56,15.12,14.50,15.02,0.44,3.02,"77,727","11,611",4.25,1.18
2017-02-23,华仁药业,1300110,14.55,14.64,14.26,14.58,0.04,0.28,"45,851","6,631",2.61,0.70
2017-02-22,华仁药业,1300110,14.50,14.55,14.48,14.54,0.05,0.35,"20,060","2,913",0.48,0.31
2017-02-21,华仁药业,1300110,14.49,14.59,14.32,14.49,-0.01,-0.07,"31,368","4,542",1.86,0.48
2017-02-20,华仁药业,1300110,14.48,14.51,14.05,14.50,0.08,0.55,"75,963","10,831",3.19,1.16
2017-02-17,华仁药业,1300110,14.87,14.87,14.40,14.42,-0.37,-2.50,"37,472","5,466",3.18,0.57
2017-02-16,华仁药业,1300110,14.78,14.90,14.74,14.79,0.01,0.07,"18,226","2,700",1.08,0.28
2017-02-15,华仁药业,1300110,15.07,15.15,14.72,14.78,-0.32,-2.12,"39,272","5,855",2.85,0.60
2017-02-14,华仁药业,1300110,15.27,15.35,15.08,15.10,-0.12,-0.79,"31,717","4,822",1.77,0.48
2017-02-13,华仁药业,1300110,15.04,15.35,14.85,15.22,0.19,1.26,"39,395","5,968",3.33,0.60
2017-02-10,华仁药业,1300110,15.02,15.25,14.93,15.03,-0.03,-0.20,"35,900","5,415",2.12,0.55
2017-02-09,华仁药业,1300110,15.08,15.20,14.94,15.06,0.00,0.00,"35,098","5,288",1.73,0.53
2017-02-08,华仁药业,1300110,15.14,15.15,14.72,15.06,0.03,0.20,"34,124","5,081",2.86,0.52
2017-02-07,华仁药业,1300110,15.13,15.19,14.98,15.03,-0.11,-0.73,"24,608","3,711",1.39,0.37
2017-02-06,华仁药业,1300110,15.15,15.25,15.05,15.14,-0.12,-0.79,"26,050","3,940",1.31,0.40
2017-02-03,华仁药业,1300110,15.22,15.34,15.00,15.26,0.08,0.53,"16,238","2,455",2.24,0.25
2017-01-26,华仁药业,1300110,15.06,15.24,15.00,15.18,0.13,0.86,"24,797","3,752",1.59,0.38
2017-01-25,华仁药业,1300110,14.85,15.17,14.78,15.05,0.21,1.42,"29,011","4,344",2.63,0.44
2017-01-24,华仁药业,1300110,15.34,15.34,14.83,14.84,-0.43,-2.82,"42,320","6,382",3.34,0.64
2017-01-23,华仁药业,1300110,14.66,15.46,14.66,15.27,0.74,5.09,"83,894","12,773",5.51,1.28
2017-01-20,华仁药业,1300110,14.33,14.70,14.30,14.53,0.24,1.68,"37,592","5,461",2.80,0.57
2017-01-19,华仁药业,1300110,14.35,14.47,14.10,14.29,-0.18,-1.24,"34,576","4,937",2.56,0.53
2017-01-18,华仁药业,1300110,14.62,14.94,14.40,14.47,-0.17,-1.16,"28,599","4,213",3.69,0.44
2017-01-17,华仁药业,1300110,14.55,14.80,14.04,14.64,0.06,0.41,"60,723","8,791",5.21,0.92
2017-01-16,华仁药业,1300110,15.21,15.68,14.00,14.58,-0.97,-6.24,"114,869","16,998",10.80,1.75
2017-01-13,华仁药业,1300110,15.35,15.71,15.25,15.55,0.20,1.30,"49,963","7,768",3.00,0.76
2017-01-12,华仁药业,1300110,15.20,15.44,15.18,15.35,0.13,0.85,"36,993","5,659",1.71,0.56
2017-01-11,华仁药业,1300110,15.58,15.72,15.22,15.22,-0.41,-2.62,"49,404","7,612",3.20,0.75
2017-01-10,华仁药业,1300110,15.82,15.90,15.58,15.63,-0.18,-1.14,"42,118","6,599",2.02,0.64
2017-01-09,华仁药业,1300110,15.75,16.12,15.75,15.81,0.06,0.38,"51,386","8,181",2.35,0.78
