日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-05-24,双成药业,1002693,7.23,7.23,6.58,6.67,-0.54,-7.49,"124,028","8,410",9.02,3.06
2017-05-23,双成药业,1002693,7.53,7.61,7.16,7.21,-0.33,-4.38,"37,122","2,732",5.97,0.92
2017-05-22,双成药业,1002693,7.77,7.85,7.49,7.54,-0.32,-4.07,"23,565","1,805",4.58,0.58
2017-05-19,双成药业,1002693,7.96,7.96,7.70,7.86,-0.08,-1.01,"20,351","1,585",3.27,0.50
2017-05-18,双成药业,1002693,7.92,8.04,7.82,7.94,-0.06,-0.75,"20,552","1,628",2.75,0.51
2017-05-17,双成药业,1002693,7.94,8.09,7.84,8.00,0.05,0.63,"36,327","2,911",3.14,0.90
2017-05-16,双成药业,1002693,7.64,8.00,7.51,7.95,0.30,3.92,"50,590","3,905",6.41,1.25
2017-05-15,双成药业,1002693,7.63,7.71,7.58,7.65,0.02,0.26,"15,677","1,199",1.70,0.39
2017-05-12,双成药业,1002693,7.78,7.82,7.58,7.63,-0.15,-1.93,"18,221","1,395",3.08,0.45
2017-05-11,双成药业,1002693,8.01,8.01,7.59,7.78,-0.23,-2.87,"29,030","2,245",5.24,0.72
2017-05-10,双成药业,1002693,8.18,8.20,8.01,8.01,-0.15,-1.84,"19,533","1,586",2.33,0.48
2017-05-09,双成药业,1002693,8.16,8.24,8.08,8.16,-0.05,-0.61,"20,899","1,701",1.95,0.52
2017-05-08,双成药业,1002693,8.36,8.36,8.18,8.21,-0.15,-1.79,"17,628","1,454",2.15,0.44
2017-05-05,双成药业,1002693,8.60,8.60,8.31,8.36,-0.26,-3.02,"14,809","1,247",3.36,0.37
2017-05-04,双成药业,1002693,8.65,8.66,8.53,8.62,-0.03,-0.35,"27,880","2,394",1.50,0.69
2017-05-03,双成药业,1002693,8.56,8.68,8.56,8.65,0.00,0.00,"13,150","1,135",1.39,0.32
2017-05-02,双成药业,1002693,8.64,8.69,8.49,8.65,0.03,0.35,"13,361","1,155",2.32,0.33
2017-04-28,双成药业,1002693,8.51,8.64,8.50,8.62,0.05,0.58,"15,103","1,295",1.63,0.37
2017-04-27,双成药业,1002693,8.37,8.66,8.20,8.57,0.24,2.88,"58,430","4,966",5.52,1.44
2017-04-26,双成药业,1002693,8.28,8.33,8.28,8.33,0.03,0.36,"16,871","1,402",0.60,0.42
2017-04-25,双成药业,1002693,8.29,8.36,8.25,8.30,-0.04,-0.48,"12,405","1,031",1.32,0.31
2017-04-24,双成药业,1002693,8.58,8.79,8.03,8.34,-0.24,-2.80,"33,886","2,862",8.86,0.84
2017-04-21,双成药业,1002693,8.70,8.70,8.49,8.58,-0.11,-1.27,"34,400","2,941",2.42,0.85
2017-04-20,双成药业,1002693,8.70,8.78,8.50,8.69,-0.10,-1.14,"29,930","2,591",3.19,0.74
2017-04-19,双成药业,1002693,8.91,9.04,8.63,8.79,-0.24,-2.66,"47,351","4,156",4.54,1.17
