日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,天坛生物,0600161,40.08,40.15,39.30,39.67,-0.23,-0.58,"45,293","18,028",2.13,0.88
2017-03-30,天坛生物,0600161,41.00,41.00,39.65,39.90,-1.43,-3.46,"79,735","32,088",3.27,1.55
2017-03-29,天坛生物,0600161,42.10,42.29,41.16,41.33,-0.65,-1.55,"60,857","25,273",2.69,1.18
2017-03-28,天坛生物,0600161,41.96,42.35,41.41,41.98,-0.22,-0.52,"67,917","28,434",2.23,1.32
2017-03-27,天坛生物,0600161,44.34,45.49,41.53,42.20,-1.14,-2.63,"235,809","101,725",9.14,4.57
2017-03-24,天坛生物,0600161,43.34,43.34,43.34,43.34,3.94,10.00,"8,556","3,708",0.00,0.17
2017-06-30,天坛生物,0600161,39.09,39.33,38.66,38.81,-0.30,-0.77,"41,372","16,134",1.71,0.62
2017-06-29,天坛生物,0600161,38.18,39.20,38.10,39.11,0.85,2.22,"68,485","26,540",2.88,1.02
2017-06-28,天坛生物,0600161,38.93,39.21,38.13,38.26,-0.70,-1.80,"67,461","26,038",2.77,1.01
2017-06-27,天坛生物,0600161,38.90,39.20,38.42,38.96,0.01,0.03,"55,975","21,681",2.00,0.84
2017-06-26,天坛生物,0600161,38.39,39.33,37.95,38.95,0.71,1.86,"77,875","30,213",3.61,1.16
2017-06-23,天坛生物,0600161,37.50,38.33,37.31,38.24,0.59,1.57,"80,182","30,386",2.71,1.20
2017-06-22,天坛生物,0600161,36.65,38.39,36.60,37.65,0.81,2.20,"100,710","38,033",4.86,1.50
2017-06-21,天坛生物,0600161,36.25,36.90,35.91,36.84,0.71,1.97,"56,454","20,548",2.74,0.84
2017-06-20,天坛生物,0600161,37.10,37.44,36.08,36.13,-1.06,-2.85,"73,844","27,144",3.66,1.10
2017-06-19,天坛生物,0600161,37.29,37.50,36.80,37.19,0.26,0.70,"29,926","11,116",1.90,0.45
2017-06-16,天坛生物,0600161,48.60,48.82,48.11,48.31,-0.37,-0.76,"23,373","11,317",1.46,0.45
2017-06-15,天坛生物,0600161,48.40,48.96,48.00,48.68,0.08,0.16,"44,068","21,365",1.98,0.85
2017-06-14,天坛生物,0600161,49.13,49.46,48.33,48.60,-0.54,-1.10,"54,455","26,542",2.30,1.06
2017-06-13,天坛生物,0600161,48.50,49.19,48.03,49.14,1.19,2.48,"77,924","37,981",2.42,1.51
2017-06-12,天坛生物,0600161,48.50,48.77,47.70,47.95,-0.36,-0.75,"58,606","28,229",2.21,1.14
2017-06-09,天坛生物,0600161,47.88,48.80,47.55,48.31,0.58,1.22,"73,965","35,683",2.62,1.43
2017-06-08,天坛生物,0600161,47.60,48.45,47.40,47.73,0.02,0.04,"69,493","33,242",2.20,1.35
2017-06-07,天坛生物,0600161,45.89,47.91,45.70,47.71,1.94,4.24,"94,257","44,402",4.83,1.83
2017-06-06,天坛生物,0600161,45.36,46.19,45.20,45.77,0.40,0.88,"28,045","12,824",2.18,0.54
2017-06-05,天坛生物,0600161,44.88,45.65,44.82,45.37,0.28,0.62,"32,107","14,539",1.84,0.62
2017-06-02,天坛生物,0600161,45.36,45.66,44.03,45.09,-0.72,-1.57,"70,186","31,423",3.56,1.36
2017-06-01,天坛生物,0600161,46.33,47.50,45.73,45.81,-0.75,-1.61,"76,483","35,769",3.80,1.48
2017-05-31,天坛生物,0600161,46.35,47.42,45.84,46.56,0.82,1.79,"72,012","33,650",3.45,1.40
2017-05-26,天坛生物,0600161,46.50,46.70,45.45,45.74,-0.98,-2.10,"45,762","21,056",2.68,0.89
2017-05-25,天坛生物,0600161,46.18,46.88,45.76,46.72,0.42,0.91,"60,534","28,064",2.42,1.17
2017-05-24,天坛生物,0600161,43.70,46.40,42.89,46.30,2.20,4.99,"83,429","37,263",7.96,1.62
2017-05-23,天坛生物,0600161,45.62,46.80,44.00,44.10,-1.53,-3.35,"70,245","32,075",6.14,1.36
2017-05-22,天坛生物,0600161,45.15,46.62,45.05,45.63,0.69,1.54,"52,911","24,288",3.49,1.03
2017-05-19,天坛生物,0600161,45.02,45.35,44.55,44.94,-0.09,-0.20,"25,197","11,321",1.78,0.49
2017-05-18,天坛生物,0600161,44.50,45.39,44.37,45.03,0.59,1.33,"33,091","14,883",2.30,0.64
2017-05-17,天坛生物,0600161,44.64,45.35,44.40,44.44,-0.26,-0.58,"49,934","22,380",2.13,0.97
2017-05-16,天坛生物,0600161,43.39,44.85,43.20,44.70,1.26,2.90,"53,638","23,693",3.80,1.04
2017-05-15,天坛生物,0600161,42.55,43.75,42.31,43.44,0.89,2.09,"39,871","17,183",3.38,0.77
2017-05-12,天坛生物,0600161,42.40,43.19,42.10,42.55,0.02,0.05,"43,679","18,643",2.56,0.85
2017-05-11,天坛生物,0600161,43.01,43.25,41.77,42.53,-1.17,-2.68,"98,325","41,592",3.39,1.91
2017-05-10,天坛生物,0600161,44.06,44.53,43.55,43.70,-0.32,-0.73,"42,106","18,612",2.23,0.82
2017-05-09,天坛生物,0600161,45.00,45.00,43.72,44.02,-1.46,-3.21,"80,290","35,489",2.81,1.56
2017-05-08,天坛生物,0600161,46.90,47.46,45.38,45.48,-1.79,-3.79,"69,762","32,500",4.40,1.35
2017-05-05,天坛生物,0600161,45.99,47.68,45.70,47.27,1.25,2.72,"74,733","35,076",4.30,1.45
2017-05-04,天坛生物,0600161,46.30,47.38,45.83,46.02,-0.54,-1.16,"61,480","28,647",3.33,1.19
2017-05-03,天坛生物,0600161,45.03,46.60,44.67,46.56,1.48,3.28,"55,032","25,120",4.28,1.07
2017-05-02,天坛生物,0600161,45.80,45.99,44.56,45.08,-0.71,-1.55,"68,109","30,673",3.12,1.32
2017-04-28,天坛生物,0600161,46.05,46.99,45.60,45.79,-0.20,-0.43,"67,493","31,197",3.02,1.31
2017-04-27,天坛生物,0600161,45.94,47.05,45.20,45.99,0.48,1.05,"86,985","40,027",4.07,1.69
2017-04-26,天坛生物,0600161,44.95,46.70,44.64,45.51,0.73,1.63,"75,451","34,654",4.60,1.46
2017-04-25,天坛生物,0600161,44.31,45.50,44.08,44.78,0.52,1.17,"52,556","23,577",3.21,1.02
2017-04-24,天坛生物,0600161,45.73,46.14,44.11,44.26,-1.67,-3.64,"89,676","40,140",4.42,1.74
2017-04-21,天坛生物,0600161,46.02,47.17,45.71,45.93,-0.51,-1.10,"75,457","35,003",3.14,1.46
2017-04-20,天坛生物,0600161,43.16,47.45,43.15,46.44,3.16,7.30,"123,823","56,319",9.94,2.40
2017-04-19,天坛生物,0600161,43.55,44.49,42.72,43.28,-0.34,-0.78,"67,840","29,525",4.06,1.32
2017-04-18,天坛生物,0600161,43.40,44.58,43.01,43.62,0.25,0.58,"87,652","38,411",3.62,1.70
2017-04-17,天坛生物,0600161,41.60,43.58,41.60,43.37,1.85,4.46,"94,496","40,603",4.77,1.83
