日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,康恩贝,0600572,6.82,6.95,6.79,6.92,0.10,1.47,"158,333","10,881",2.35,0.77
2017-06-29,康恩贝,0600572,6.77,6.83,6.75,6.82,0.05,0.74,"67,330","4,571",1.18,0.33
2017-06-28,康恩贝,0600572,6.82,6.83,6.75,6.77,-0.05,-0.73,"54,518","3,694",1.17,0.26
2017-06-27,康恩贝,0600572,6.83,6.85,6.80,6.82,0.00,0.00,"64,779","4,417",0.73,0.31
2017-06-26,康恩贝,0600572,6.79,6.84,6.76,6.82,0.03,0.44,"95,072","6,474",1.18,0.46
2017-06-23,康恩贝,0600572,6.75,6.81,6.71,6.79,0.01,0.15,"73,369","4,964",1.47,0.36
2017-06-22,康恩贝,0600572,6.79,6.85,6.73,6.78,-0.03,-0.44,"93,994","6,392",1.76,0.46
2017-06-21,康恩贝,0600572,6.79,6.81,6.76,6.81,0.01,0.15,"81,798","5,552",0.74,0.40
2017-06-20,康恩贝,0600572,6.80,6.85,6.78,6.80,0.09,1.34,"133,363","9,076",1.04,0.65
2017-06-19,康恩贝,0600572,6.66,6.73,6.63,6.71,0.05,0.75,"71,902","4,807",1.50,0.35
2017-06-16,康恩贝,0600572,6.76,6.76,6.66,6.66,-0.08,-1.19,"67,708","4,532",1.48,0.33
2017-06-15,康恩贝,0600572,6.82,6.87,6.81,6.86,0.02,0.29,"71,372","4,886",0.88,0.35
2017-06-14,康恩贝,0600572,6.85,6.89,6.81,6.84,-0.01,-0.15,"95,996","6,567",1.17,0.47
2017-06-13,康恩贝,0600572,6.81,6.86,6.79,6.85,0.04,0.59,"88,512","6,043",1.03,0.43
2017-06-12,康恩贝,0600572,6.80,6.88,6.78,6.81,-0.02,-0.29,"108,092","7,377",1.46,0.53
2017-06-09,康恩贝,0600572,6.71,6.84,6.68,6.83,0.10,1.49,"129,599","8,764",2.38,0.63
2017-06-08,康恩贝,0600572,6.74,6.77,6.71,6.73,-0.01,-0.15,"56,475","3,800",0.89,0.27
2017-06-07,康恩贝,0600572,6.70,6.77,6.67,6.74,0.04,0.60,"85,933","5,773",1.49,0.42
2017-06-06,康恩贝,0600572,6.75,6.75,6.65,6.70,-0.04,-0.59,"58,991","3,947",1.48,0.29
2017-06-05,康恩贝,0600572,6.82,6.82,6.72,6.74,-0.07,-1.03,"80,260","5,416",1.47,0.39
2017-06-02,康恩贝,0600572,6.61,7.01,6.55,6.81,0.20,3.03,"184,533","12,412",6.96,0.90
2017-06-01,康恩贝,0600572,6.66,6.70,6.60,6.61,-0.05,-0.75,"77,226","5,132",1.50,0.38
2017-05-31,康恩贝,0600572,6.79,6.81,6.66,6.66,-0.09,-1.33,"103,897","6,990",2.22,0.50
2017-05-26,康恩贝,0600572,6.84,6.84,6.75,6.75,-0.09,-1.32,"92,503","6,276",1.32,0.45
2017-05-25,康恩贝,0600572,6.80,6.86,6.74,6.84,0.02,0.29,"126,240","8,581",1.76,0.61
2017-05-24,康恩贝,0600572,6.77,6.82,6.74,6.82,0.03,0.44,"109,053","7,395",1.18,0.53
2017-05-23,康恩贝,0600572,6.79,6.85,6.72,6.79,0.00,0.00,"135,654","9,214",1.91,0.66
2017-05-22,康恩贝,0600572,6.91,6.94,6.79,6.79,-0.12,-1.74,"133,280","9,111",2.17,0.65
2017-05-19,康恩贝,0600572,6.86,6.94,6.81,6.91,0.03,0.44,"121,226","8,322",1.89,0.59
2017-05-18,康恩贝,0600572,6.83,6.99,6.81,6.88,0.02,0.29,"158,362","10,924",2.62,0.77
2017-05-17,康恩贝,0600572,6.88,6.94,6.85,6.86,-0.06,-0.87,"121,290","8,351",1.30,0.59
2017-05-16,康恩贝,0600572,6.77,6.99,6.72,6.92,0.16,2.37,"299,302","20,526",3.99,1.45
2017-05-15,康恩贝,0600572,6.80,6.81,6.74,6.76,-0.02,-0.30,"83,383","5,641",1.03,0.41
2017-05-12,康恩贝,0600572,6.72,6.84,6.70,6.78,0.06,0.89,"222,944","15,109",2.08,1.08
2017-05-11,康恩贝,0600572,6.73,6.76,6.61,6.72,-0.04,-0.59,"144,551","9,630",2.22,0.70
2017-05-10,康恩贝,0600572,6.76,6.90,6.73,6.76,0.00,0.00,"164,835","11,224",2.51,0.80
2017-05-09,康恩贝,0600572,6.73,6.82,6.70,6.76,0.02,0.30,"131,840","8,904",1.78,0.64
2017-05-08,康恩贝,0600572,6.63,6.94,6.57,6.74,0.12,1.81,"160,914","10,866",5.59,0.78
2017-05-05,康恩贝,0600572,6.62,6.68,6.58,6.62,-0.03,-0.45,"76,686","5,084",1.50,0.37
2017-05-04,康恩贝,0600572,6.72,6.74,6.65,6.65,-0.09,-1.34,"70,579","4,716",1.34,0.34
2017-05-03,康恩贝,0600572,6.70,6.75,6.69,6.74,0.01,0.15,"46,475","3,122",0.89,0.23
2017-05-02,康恩贝,0600572,6.70,6.73,6.68,6.73,0.03,0.45,"49,487","3,320",0.75,0.24
2017-04-28,康恩贝,0600572,6.75,6.79,6.70,6.70,-0.07,-1.03,"55,789","3,761",1.33,0.27
2017-04-27,康恩贝,0600572,6.76,6.80,6.67,6.77,0.04,0.59,"86,019","5,796",1.93,0.42
2017-04-26,康恩贝,0600572,6.74,6.74,6.68,6.73,0.02,0.30,"87,416","5,867",0.89,0.42
2017-04-25,康恩贝,0600572,6.66,6.76,6.66,6.71,0.02,0.30,"57,893","3,889",1.49,0.28
2017-04-24,康恩贝,0600572,6.70,6.75,6.61,6.69,-0.02,-0.30,"78,037","5,219",2.09,0.38
2017-04-21,康恩贝,0600572,6.69,6.74,6.66,6.71,0.03,0.45,"62,015","4,162",1.20,0.30
2017-04-20,康恩贝,0600572,6.58,6.76,6.56,6.68,0.09,1.37,"114,388","7,653",3.03,0.56
2017-04-19,康恩贝,0600572,6.60,6.61,6.54,6.59,-0.03,-0.45,"65,110","4,278",1.06,0.32
