日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,桂林三金,1002275,18.66,18.90,18.62,18.78,0.12,0.64,"17,153","3,214",1.50,0.29
2017-03-30,桂林三金,1002275,18.95,18.95,18.52,18.66,-0.35,-1.84,"31,868","5,960",2.26,0.54
2017-03-29,桂林三金,1002275,19.39,19.39,18.96,19.01,-0.38,-1.96,"30,059","5,753",2.22,0.51
2017-03-28,桂林三金,1002275,19.21,19.59,19.19,19.39,0.14,0.73,"26,281","5,094",2.08,0.45
2017-03-27,桂林三金,1002275,19.58,19.74,19.15,19.25,-0.37,-1.89,"28,139","5,455",3.01,0.48
2017-03-24,桂林三金,1002275,19.69,19.70,19.50,19.62,-0.08,-0.41,"20,584","4,031",1.02,0.35
2017-03-23,桂林三金,1002275,19.46,19.90,19.40,19.70,0.22,1.13,"43,816","8,642",2.57,0.74
2017-03-22,桂林三金,1002275,19.20,19.65,19.20,19.48,0.18,0.93,"27,980","5,434",2.33,0.47
2017-03-21,桂林三金,1002275,19.05,19.34,18.98,19.30,0.21,1.10,"22,527","4,330",1.89,0.38
2017-03-20,桂林三金,1002275,18.94,19.09,18.79,19.09,0.14,0.74,"16,756","3,169",1.58,0.28
2017-03-17,桂林三金,1002275,19.14,19.22,18.92,18.95,-0.16,-0.84,"17,460","3,333",1.57,0.30
2017-03-16,桂林三金,1002275,18.98,19.17,18.98,19.11,0.14,0.74,"15,469","2,955",1.00,0.26
2017-03-15,桂林三金,1002275,19.13,19.15,18.88,18.97,-0.10,-0.52,"14,366","2,731",1.42,0.24
2017-03-14,桂林三金,1002275,18.98,19.13,18.84,19.07,0.09,0.47,"19,680","3,738",1.53,0.33
2017-03-13,桂林三金,1002275,18.72,19.05,18.65,18.98,0.28,1.50,"19,857","3,755",2.14,0.34
2017-03-10,桂林三金,1002275,18.80,18.83,18.62,18.70,-0.14,-0.74,"11,414","2,135",1.11,0.19
2017-03-09,桂林三金,1002275,18.70,18.93,18.58,18.84,0.06,0.32,"14,549","2,733",1.86,0.25
2017-03-08,桂林三金,1002275,18.93,18.99,18.70,18.78,-0.16,-0.84,"11,205","2,113",1.53,0.19
2017-03-07,桂林三金,1002275,18.79,18.96,18.72,18.94,0.13,0.69,"16,206","3,058",1.28,0.27
2017-03-06,桂林三金,1002275,18.67,18.89,18.59,18.81,0.15,0.80,"18,672","3,509",1.61,0.32
2017-03-03,桂林三金,1002275,18.45,18.69,18.40,18.66,0.21,1.14,"12,768","2,374",1.57,0.22
2017-03-02,桂林三金,1002275,18.66,18.70,18.43,18.45,-0.18,-0.97,"13,490","2,503",1.45,0.23
2017-03-01,桂林三金,1002275,18.66,18.72,18.56,18.63,-0.04,-0.21,"11,241","2,095",0.86,0.19
2017-02-28,桂林三金,1002275,18.60,18.75,18.52,18.67,0.07,0.38,"12,224","2,274",1.24,0.21
2017-02-27,桂林三金,1002275,18.70,18.72,18.55,18.60,-0.17,-0.91,"18,705","3,483",0.91,0.32
2017-02-24,桂林三金,1002275,18.88,18.88,18.66,18.77,0.04,0.21,"14,786","2,775",1.17,0.25
2017-02-23,桂林三金,1002275,18.62,18.92,18.53,18.73,0.07,0.38,"26,047","4,878",2.09,0.44
2017-02-22,桂林三金,1002275,18.62,18.72,18.55,18.66,0.03,0.16,"19,891","3,707",0.91,0.34
2017-02-21,桂林三金,1002275,18.55,18.66,18.42,18.63,0.15,0.81,"16,437","3,048",1.30,0.28
2017-02-20,桂林三金,1002275,18.23,18.53,18.23,18.48,0.22,1.20,"14,716","2,709",1.64,0.25
2017-02-17,桂林三金,1002275,18.31,18.45,18.23,18.26,0.00,0.00,"12,365","2,267",1.20,0.21
2017-02-16,桂林三金,1002275,18.18,18.34,18.18,18.26,0.01,0.05,"8,180","1,494",0.88,0.14
2017-02-15,桂林三金,1002275,18.48,18.48,18.22,18.25,-0.16,-0.87,"11,133","2,046",1.41,0.19
2017-02-14,桂林三金,1002275,18.36,18.47,18.33,18.41,0.01,0.05,"9,020","1,659",0.76,0.15
2017-02-13,桂林三金,1002275,18.30,18.45,18.20,18.40,0.10,0.55,"14,004","2,570",1.37,0.24
2017-02-10,桂林三金,1002275,18.29,18.33,18.16,18.30,0.00,0.00,"11,466","2,094",0.93,0.19
2017-02-09,桂林三金,1002275,18.22,18.30,18.12,18.30,0.12,0.66,"11,687","2,132",0.99,0.20
2017-02-08,桂林三金,1002275,18.05,18.24,17.96,18.18,0.17,0.94,"12,801","2,315",1.55,0.22
2017-02-07,桂林三金,1002275,18.15,18.23,17.95,18.01,-0.13,-0.72,"9,888","1,786",1.54,0.17
2017-02-06,桂林三金,1002275,18.04,18.16,18.01,18.14,0.09,0.50,"8,527","1,543",0.83,0.14
2017-02-03,桂林三金,1002275,18.01,18.09,17.91,18.05,0.06,0.33,"7,930","1,430",1.00,0.13
2017-01-26,桂林三金,1002275,17.97,18.05,17.86,17.99,0.06,0.33,"7,517","1,352",1.06,0.13
2017-01-25,桂林三金,1002275,17.72,17.99,17.72,17.93,0.07,0.39,"9,204","1,649",1.51,0.16
