日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,永安药业,1002365,22.55,23.72,22.45,23.33,0.68,3.00,"42,318","9,870",5.61,2.26
2017-03-30,永安药业,1002365,23.41,23.41,22.00,22.65,-0.78,-3.33,"52,327","11,785",6.02,2.80
2017-03-29,永安药业,1002365,24.40,24.54,23.00,23.43,-0.91,-3.74,"59,914","14,017",6.33,3.20
2017-03-28,永安药业,1002365,24.65,24.68,24.20,24.34,-0.31,-1.26,"19,285","4,703",1.95,1.03
2017-03-27,永安药业,1002365,24.60,24.85,24.22,24.65,-0.05,-0.20,"24,357","5,957",2.55,1.30
2017-03-24,永安药业,1002365,25.08,25.26,24.53,24.70,-0.21,-0.84,"32,198","8,001",2.93,1.72
2017-03-23,永安药业,1002365,24.30,25.16,24.30,24.91,0.51,2.09,"47,016","11,677",3.52,2.51
2017-03-22,永安药业,1002365,24.25,24.75,24.17,24.40,-0.15,-0.61,"27,880","6,818",2.36,1.49
2017-03-21,永安药业,1002365,24.61,24.65,24.09,24.55,-0.05,-0.20,"49,934","12,135",2.28,2.67
2017-03-20,永安药业,1002365,23.91,24.86,23.91,24.60,0.90,3.80,"82,702","20,228",4.01,4.42
2017-03-17,永安药业,1002365,22.39,24.36,22.38,23.70,1.32,5.90,"89,850","21,050",8.85,4.80
2017-03-16,永安药业,1002365,22.30,22.42,22.15,22.38,0.23,1.04,"20,376","4,555",1.22,1.09
2017-03-15,永安药业,1002365,22.25,22.25,22.07,22.15,-0.10,-0.45,"12,965","2,872",0.81,0.69
2017-03-14,永安药业,1002365,22.32,22.32,22.13,22.25,-0.01,-0.04,"13,149","2,919",0.85,0.70
2017-03-13,永安药业,1002365,22.14,22.26,22.00,22.26,0.13,0.59,"17,235","3,822",1.17,0.92
2017-03-10,永安药业,1002365,22.06,22.25,22.02,22.13,0.07,0.32,"14,592","3,228",1.04,0.78
2017-03-09,永安药业,1002365,22.11,22.23,22.02,22.06,-0.06,-0.27,"16,185","3,580",0.95,0.87
2017-03-08,永安药业,1002365,22.60,22.60,22.00,22.12,-0.42,-1.86,"26,943","5,986",2.66,1.44
2017-03-07,永安药业,1002365,22.20,22.73,22.12,22.54,0.38,1.71,"35,788","8,041",2.75,1.91
2017-03-06,永安药业,1002365,21.88,22.19,21.88,22.16,0.23,1.05,"20,336","4,494",1.41,1.09
2017-03-03,永安药业,1002365,22.10,22.18,21.81,21.93,-0.24,-1.08,"17,732","3,892",1.67,0.95
2017-03-02,永安药业,1002365,22.15,22.23,22.00,22.17,0.03,0.14,"15,603","3,456",1.04,0.83
2017-03-01,永安药业,1002365,22.16,22.19,21.94,22.14,0.01,0.05,"18,606","4,111",1.13,1.00
2017-02-28,永安药业,1002365,22.00,22.21,21.91,22.13,0.07,0.32,"12,749","2,813",1.36,0.68
2017-02-27,永安药业,1002365,22.41,22.58,22.03,22.06,-0.33,-1.47,"18,161","4,025",2.46,0.97
2017-02-24,永安药业,1002365,22.65,22.70,22.15,22.39,0.14,0.63,"27,825","6,229",2.47,1.49
2017-02-23,永安药业,1002365,21.81,22.30,21.80,22.25,0.40,1.83,"30,168","6,668",2.29,1.61
2017-02-22,永安药业,1002365,22.00,22.05,21.75,21.85,-0.15,-0.68,"18,866","4,132",1.36,1.01
2017-02-21,永安药业,1002365,21.84,22.00,21.71,22.00,0.20,0.92,"23,621","5,165",1.33,1.26
2017-02-20,永安药业,1002365,22.24,22.34,21.70,21.80,-0.45,-2.02,"29,783","6,509",2.88,1.59
2017-02-17,永安药业,1002365,22.08,22.39,22.06,22.25,0.25,1.14,"20,972","4,668",1.50,1.12
2017-02-16,永安药业,1002365,21.96,22.30,21.95,22.00,0.10,0.46,"17,393","3,844",1.60,0.93
2017-02-15,永安药业,1002365,22.10,22.50,21.86,21.90,-0.20,-0.91,"25,565","5,684",2.90,1.37
2017-02-14,永安药业,1002365,22.54,22.65,21.98,22.10,-0.47,-2.08,"25,396","5,653",2.97,1.36
2017-02-13,永安药业,1002365,22.67,22.79,22.30,22.57,-0.11,-0.49,"24,328","5,479",2.16,1.30
2017-02-10,永安药业,1002365,22.92,22.95,22.53,22.68,-0.16,-0.70,"15,578","3,539",1.84,0.83
2017-02-09,永安药业,1002365,22.53,22.96,22.53,22.84,0.26,1.15,"19,009","4,324",1.90,1.02
2017-02-08,永安药业,1002365,22.67,22.80,22.39,22.58,-0.09,-0.40,"21,620","4,870",1.81,1.16
2017-02-07,永安药业,1002365,22.80,22.90,22.47,22.67,-0.17,-0.74,"15,891","3,604",1.88,0.85
2017-02-06,永安药业,1002365,22.24,22.95,22.23,22.84,0.61,2.74,"26,956","6,120",3.24,1.44
2017-02-03,永安药业,1002365,22.17,22.49,22.02,22.23,0.14,0.63,"17,042","3,795",2.13,0.91
2017-01-26,永安药业,1002365,21.98,22.18,21.80,22.09,0.20,0.91,"13,423","2,960",1.74,0.72
2017-01-25,永安药业,1002365,21.79,22.05,21.69,21.89,0.08,0.37,"17,257","3,782",1.65,0.92
2017-01-24,永安药业,1002365,21.99,22.07,21.80,21.81,-0.12,-0.55,"13,188","2,891",1.23,0.71
2017-01-23,永安药业,1002365,22.00,22.44,21.77,21.93,0.04,0.18,"20,079","4,417",3.06,1.07
2017-01-20,永安药业,1002365,21.58,22.17,21.52,21.89,0.19,0.88,"17,028","3,726",3.00,0.91
2017-01-19,永安药业,1002365,21.54,22.10,20.77,21.70,0.05,0.23,"15,845","3,424",6.14,0.85
2017-01-18,永安药业,1002365,21.52,21.90,21.44,21.65,0.03,0.14,"17,509","3,791",2.13,0.94
2017-01-17,永安药业,1002365,21.42,21.67,20.80,21.62,0.17,0.79,"22,833","4,850",4.06,1.22
2017-01-16,永安药业,1002365,23.06,23.07,20.85,21.45,-1.72,-7.42,"36,975","8,098",9.58,1.98
2017-01-13,永安药业,1002365,24.12,24.12,23.13,23.17,-0.95,-3.94,"24,664","5,803",4.10,1.32
2017-01-12,永安药业,1002365,24.70,24.70,23.97,24.12,-0.45,-1.83,"17,358","4,209",2.97,0.93
2017-01-11,永安药业,1002365,24.66,24.80,24.32,24.57,-0.13,-0.53,"17,572","4,315",1.94,0.94
2017-01-10,永安药业,1002365,24.80,24.97,24.57,24.70,-0.10,-0.40,"14,400","3,561",1.61,0.77
2017-01-09,永安药业,1002365,24.35,24.87,24.12,24.80,0.45,1.85,"19,104","4,707",3.08,1.02
2017-01-06,永安药业,1002365,24.46,24.70,24.12,24.35,-0.22,-0.90,"18,166","4,427",2.36,0.97
2017-01-05,永安药业,1002365,25.12,25.12,24.47,24.57,-0.45,-1.80,"23,090","5,708",2.60,1.23
2017-01-04,永安药业,1002365,25.15,25.28,24.82,25.02,-0.03,-0.12,"18,715","4,690",1.84,1.00
2017-01-03,永安药业,1002365,25.00,25.35,24.86,25.05,0.00,0.00,"19,325","4,852",1.96,1.03
2017-09-29,永安药业,1002365,39.99,40.85,39.65,40.09,0.18,0.45,"37,732","15,208",3.01,2.02
2017-09-28,永安药业,1002365,39.09,40.38,38.56,39.91,0.82,2.10,"46,476","18,496",4.66,2.49
2017-09-27,永安药业,1002365,38.93,39.31,38.30,39.09,0.28,0.72,"29,751","11,554",2.60,1.59
2017-09-26,永安药业,1002365,39.00,39.20,38.50,38.81,-0.18,-0.46,"24,450","9,483",1.80,1.31
2017-09-25,永安药业,1002365,38.68,39.38,38.08,38.99,0.35,0.91,"36,969","14,358",3.36,1.98
2017-09-22,永安药业,1002365,38.14,38.94,37.61,38.64,0.42,1.10,"43,640","16,684",3.48,2.33
2017-09-21,永安药业,1002365,39.41,39.99,38.03,38.22,-1.10,-2.80,"52,418","20,302",4.98,2.80
2017-09-20,永安药业,1002365,38.81,39.70,38.80,39.32,0.51,1.31,"38,290","15,014",2.32,2.05
2017-09-19,永安药业,1002365,40.64,41.19,38.79,38.81,-1.76,-4.34,"64,607","25,644",5.92,3.45
2017-09-18,永安药业,1002365,39.79,40.74,39.12,40.57,0.91,2.29,"54,337","21,762",4.08,2.91
2017-09-15,永安药业,1002365,42.36,43.18,39.51,39.66,-2.45,-5.82,"110,053","45,400",8.72,5.89
2017-09-14,永安药业,1002365,42.15,43.48,41.76,42.11,0.11,0.26,"76,348","32,474",4.10,4.08
2017-09-13,永安药业,1002365,40.28,42.17,40.18,42.00,1.83,4.56,"74,908","31,072",4.95,4.01
2017-09-12,永安药业,1002365,40.25,41.28,39.86,40.17,-0.30,-0.74,"63,359","25,694",3.51,3.39
2017-09-11,永安药业,1002365,39.21,41.24,39.02,40.47,1.18,3.00,"74,691","30,340",5.65,3.99
2017-09-08,永安药业,1002365,37.88,39.33,37.72,39.29,1.57,4.16,"68,852","26,757",4.27,3.68
2017-09-07,永安药业,1002365,38.03,38.68,37.65,37.72,0.06,0.16,"38,146","14,574",2.74,2.04
