日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,沃华医药,1002107,12.41,12.55,12.31,12.50,0.03,0.24,"18,399","2,294",1.92,0.51
2017-06-29,沃华医药,1002107,12.20,12.67,12.13,12.47,0.32,2.63,"25,531","3,176",4.44,0.71
2017-06-28,沃华医药,1002107,12.23,12.26,12.03,12.15,-0.11,-0.90,"11,902","1,441",1.88,0.33
2017-06-27,沃华医药,1002107,12.20,12.29,12.17,12.26,0.10,0.82,"14,541","1,781",0.99,0.40
2017-06-26,沃华医药,1002107,12.02,12.16,11.96,12.16,0.16,1.33,"12,936","1,563",1.67,0.36
2017-06-23,沃华医药,1002107,12.10,12.22,11.88,12.00,-0.11,-0.91,"14,246","1,710",2.81,0.39
2017-06-22,沃华医药,1002107,12.44,12.51,12.11,12.11,-0.37,-2.96,"14,123","1,740",3.21,0.39
2017-06-21,沃华医药,1002107,12.40,12.52,12.37,12.48,0.13,1.05,"15,359","1,912",1.21,0.43
2017-06-20,沃华医药,1002107,12.45,12.45,12.33,12.35,-0.03,-0.24,"11,490","1,422",0.97,0.32
2017-06-19,沃华医药,1002107,12.29,12.40,12.24,12.38,0.09,0.73,"12,324","1,521",1.30,0.34
2017-06-16,沃华医药,1002107,12.38,12.42,12.22,12.29,-0.02,-0.16,"12,314","1,515",1.62,0.34
2017-06-15,沃华医药,1002107,12.10,12.36,12.09,12.31,0.19,1.57,"15,326","1,884",2.23,0.42
2017-06-14,沃华医药,1002107,12.08,12.26,12.08,12.12,0.04,0.33,"11,055","1,343",1.49,0.31
2017-06-13,沃华医药,1002107,11.89,12.24,11.82,12.08,0.18,1.51,"12,893","1,553",3.53,0.36
2017-06-12,沃华医药,1002107,12.26,12.26,11.88,11.90,-0.36,-2.94,"15,291","1,836",3.10,0.42
2017-06-09,沃华医药,1002107,12.45,12.45,12.20,12.26,-0.14,-1.13,"17,957","2,201",2.02,0.50
2017-06-08,沃华医药,1002107,12.39,12.51,12.33,12.40,0.01,0.08,"15,281","1,899",1.45,0.42
2017-06-07,沃华医药,1002107,12.25,12.52,12.19,12.39,0.15,1.23,"24,734","3,064",2.70,0.69
2017-06-06,沃华医药,1002107,12.40,12.63,12.19,12.24,-0.38,-3.01,"47,465","5,842",3.49,1.32
2017-06-05,沃华医药,1002107,11.80,13.04,11.75,12.62,0.77,6.50,"72,071","9,025",10.89,2.00
2017-06-02,沃华医药,1002107,11.83,11.97,11.31,11.85,0.03,0.25,"27,879","3,238",5.58,0.77
2017-06-01,沃华医药,1002107,12.35,12.35,11.82,11.82,-0.60,-4.83,"18,433","2,223",4.27,0.51
2017-05-31,沃华医药,1002107,12.71,12.72,12.24,12.42,-0.06,-0.48,"21,751","2,705",3.85,0.60
2017-05-26,沃华医药,1002107,12.54,12.59,12.46,12.48,-0.04,-0.32,"8,742","1,095",1.04,0.24
2017-05-25,沃华医药,1002107,12.55,12.67,12.32,12.52,0.00,0.00,"14,924","1,869",2.80,0.41
2017-05-24,沃华医药,1002107,12.85,12.85,12.17,12.52,-0.18,-1.42,"13,006","1,621",5.35,0.36
2017-05-23,沃华医药,1002107,13.25,13.38,12.57,12.70,-0.56,-4.22,"18,765","2,428",6.11,0.52
2017-05-22,沃华医药,1002107,13.38,13.59,13.20,13.26,-0.11,-0.82,"17,522","2,349",2.92,0.49
2017-05-19,沃华医药,1002107,13.22,13.43,13.17,13.37,0.05,0.38,"8,569","1,139",1.95,0.24
2017-05-18,沃华医药,1002107,13.21,13.37,13.17,13.32,0.04,0.30,"8,725","1,160",1.51,0.24
2017-05-17,沃华医药,1002107,13.30,13.55,13.22,13.28,-0.03,-0.23,"15,321","2,051",2.48,0.42
2017-05-16,沃华医药,1002107,13.08,13.34,12.99,13.31,0.24,1.84,"12,569","1,654",2.68,0.35
2017-05-15,沃华医药,1002107,13.13,13.21,13.05,13.07,-0.02,-0.15,"7,873","1,033",1.22,0.22
2017-05-12,沃华医药,1002107,13.18,13.19,12.99,13.09,-0.08,-0.61,"8,328","1,089",1.52,0.23
2017-05-11,沃华医药,1002107,13.20,13.33,12.93,13.17,-0.20,-1.50,"13,739","1,801",2.99,0.38
2017-05-10,沃华医药,1002107,13.23,13.43,13.00,13.37,0.07,0.53,"13,988","1,848",3.23,0.39
2017-05-09,沃华医药,1002107,13.12,13.43,13.01,13.30,0.26,1.99,"13,991","1,842",3.22,0.39
2017-05-08,沃华医药,1002107,13.78,13.85,13.00,13.04,-0.79,-5.71,"30,654","4,116",6.15,0.85
2017-05-05,沃华医药,1002107,13.79,13.90,13.79,13.83,-0.02,-0.14,"10,958","1,517",0.79,0.30
2017-05-04,沃华医药,1002107,13.82,13.93,13.78,13.85,0.03,0.22,"17,080","2,365",1.09,0.47
2017-05-03,沃华医药,1002107,13.78,13.99,13.77,13.82,-0.24,-1.71,"21,117","2,921",1.56,0.59
2017-05-02,沃华医药,1002107,14.25,14.32,14.04,14.06,-0.22,-1.54,"13,997","1,983",1.96,0.39
2017-04-28,沃华医药,1002107,14.29,14.30,14.12,14.28,-0.01,-0.07,"21,480","3,048",1.26,0.60
2017-04-27,沃华医药,1002107,14.53,14.53,14.12,14.29,-0.20,-1.38,"33,652","4,801",2.83,0.93
2017-04-26,沃华医药,1002107,14.47,14.60,14.34,14.49,0.03,0.21,"11,370","1,644",1.80,0.32
2017-04-25,沃华医药,1002107,14.71,14.90,14.41,14.46,-0.25,-1.70,"20,573","3,010",3.33,0.57
2017-04-24,沃华医药,1002107,15.10,15.10,14.71,14.71,-0.38,-2.52,"18,949","2,811",2.58,0.53
2017-04-21,沃华医药,1002107,14.97,15.24,14.97,15.09,0.00,0.00,"19,434","2,940",1.79,0.54
2017-04-20,沃华医药,1002107,14.74,15.12,14.73,15.09,0.29,1.96,"29,636","4,444",2.64,0.82
2017-04-19,沃华医药,1002107,14.72,14.83,14.60,14.80,0.08,0.54,"17,158","2,523",1.56,0.48
2017-04-18,沃华医药,1002107,14.66,14.87,14.66,14.72,0.06,0.41,"13,440","1,989",1.43,0.37
2017-04-17,沃华医药,1002107,14.74,14.84,14.64,14.66,-0.04,-0.27,"12,722","1,875",1.36,0.35
2017-04-14,沃华医药,1002107,15.00,15.00,14.66,14.70,-0.23,-1.54,"21,269","3,149",2.28,0.59
2017-04-13,沃华医药,1002107,14.96,15.14,14.89,14.93,-0.03,-0.20,"17,133","2,567",1.67,0.47
2017-04-12,沃华医药,1002107,15.05,15.05,14.91,14.96,-0.09,-0.60,"14,390","2,155",0.93,0.40
2017-04-11,沃华医药,1002107,14.93,15.08,14.88,15.05,0.12,0.80,"22,039","3,304",1.34,0.61
2017-04-10,沃华医药,1002107,15.32,15.32,14.91,14.93,-0.42,-2.74,"38,669","5,814",2.67,1.07
2017-04-07,沃华医药,1002107,15.61,15.61,15.35,15.35,-0.25,-1.60,"32,848","5,069",1.67,0.91
2017-04-06,沃华医药,1002107,15.80,15.80,15.57,15.60,-0.18,-1.14,"32,709","5,118",1.46,0.91
2017-04-05,沃华医药,1002107,15.70,16.00,15.50,15.78,0.08,0.51,"46,271","7,281",3.18,1.28
2017-09-29,沃华医药,1002107,12.51,12.79,12.46,12.56,0.04,0.32,"11,993","1,507",2.64,0.33
2017-09-28,沃华医药,1002107,12.97,12.97,12.52,12.52,-0.28,-2.19,"12,168","1,545",3.52,0.34
2017-09-27,沃华医药,1002107,12.72,12.90,12.70,12.80,0.08,0.63,"7,804","1,002",1.57,0.22
2017-09-26,沃华医药,1002107,12.66,12.77,12.60,12.72,0.05,0.39,"5,769",733,1.34,0.16
2017-09-25,沃华医药,1002107,13.08,13.08,12.67,12.67,-0.41,-3.13,"15,654","2,005",3.13,0.43
2017-09-22,沃华医药,1002107,13.14,13.20,13.05,13.08,-0.08,-0.61,"5,657",741,1.14,0.16
2017-09-21,沃华医药,1002107,13.33,13.34,13.13,13.16,-0.17,-1.28,"11,003","1,455",1.58,0.31
2017-09-20,沃华医药,1002107,13.32,13.38,13.18,13.33,0.04,0.30,"16,933","2,253",1.50,0.47
2017-09-19,沃华医药,1002107,13.29,13.36,13.15,13.29,0.03,0.23,"15,669","2,081",1.58,0.43
2017-09-18,沃华医药,1002107,13.03,13.27,12.97,13.26,0.23,1.77,"15,179","2,001",2.30,0.42
2017-09-15,沃华医药,1002107,13.01,13.05,12.97,13.03,0.02,0.15,"12,923","1,682",0.61,0.36
2017-09-14,沃华医药,1002107,13.05,13.05,12.96,13.01,0.00,0.00,"11,185","1,455",0.69,0.31
2017-09-13,沃华医药,1002107,13.00,13.06,12.95,13.01,0.01,0.08,"8,332","1,084",0.85,0.23
2017-09-12,沃华医药,1002107,13.05,13.12,12.94,13.00,-0.05,-0.38,"14,812","1,929",1.38,0.41
2017-09-11,沃华医药,1002107,12.93,13.10,12.93,13.05,0.12,0.93,"8,559","1,115",1.31,0.24
2017-09-08,沃华医药,1002107,13.05,13.12,12.93,12.93,-0.12,-0.92,"11,956","1,556",1.46,0.33
2017-09-07,沃华医药,1002107,13.08,13.25,13.03,13.05,-0.08,-0.61,"8,441","1,106",1.68,0.23
2017-09-06,沃华医药,1002107,13.18,13.36,13.02,13.13,-0.09,-0.68,"13,484","1,770",2.57,0.37
2017-09-05,沃华医药,1002107,13.40,13.48,13.22,13.22,-0.14,-1.05,"11,653","1,557",1.95,0.32
2017-09-04,沃华医药,1002107,13.20,13.41,13.10,13.36,0.17,1.29,"13,504","1,798",2.35,0.37
2017-09-01,沃华医药,1002107,12.93,13.29,12.90,13.19,0.26,2.01,"14,613","1,926",3.02,0.41
2017-08-31,沃华医药,1002107,13.00,13.06,12.90,12.93,-0.01,-0.08,"10,519","1,362",1.24,0.29
2017-08-30,沃华医药,1002107,13.25,13.25,12.94,12.94,-0.21,-1.60,"14,247","1,861",2.36,0.39
2017-08-29,沃华医药,1002107,13.12,13.16,12.90,13.15,0.05,0.38,"17,756","2,316",1.98,0.49
2017-08-28,沃华医药,1002107,13.32,13.39,13.00,13.10,-0.22,-1.65,"33,771","4,449",2.93,0.94
2017-08-25,沃华医药,1002107,13.30,13.47,13.21,13.32,0.00,0.00,"20,515","2,726",1.95,0.57
2017-08-24,沃华医药,1002107,13.25,13.49,13.18,13.32,0.08,0.60,"31,513","4,206",2.34,0.87
2017-08-23,沃华医药,1002107,13.19,13.34,13.08,13.24,0.09,0.68,"25,888","3,430",1.98,0.72
2017-08-22,沃华医药,1002107,13.05,13.32,12.96,13.15,0.12,0.92,"43,779","5,770",2.76,1.21
2017-08-21,沃华医药,1002107,12.61,13.08,12.61,13.03,0.42,3.33,"37,665","4,865",3.73,1.04
2017-08-18,沃华医药,1002107,12.50,12.63,12.41,12.61,0.08,0.64,"15,498","1,944",1.76,0.43
2017-08-17,沃华医药,1002107,12.43,12.60,12.40,12.53,0.10,0.80,"13,661","1,714",1.61,0.38
2017-08-16,沃华医药,1002107,12.30,12.45,12.30,12.43,0.01,0.08,"9,664","1,198",1.21,0.27
2017-08-15,沃华医药,1002107,12.49,12.49,12.37,12.42,-0.01,-0.08,"6,845",849,0.97,0.19
2017-08-14,沃华医药,1002107,12.26,12.47,12.22,12.43,0.17,1.39,"12,333","1,529",2.04,0.34
2017-08-11,沃华医药,1002107,12.11,12.46,12.00,12.26,0.11,0.91,"19,652","2,423",3.79,0.54
2017-08-10,沃华医药,1002107,12.34,12.46,12.05,12.15,-0.22,-1.78,"13,270","1,621",3.31,0.37
2017-08-09,沃华医药,1002107,12.45,12.49,12.33,12.37,-0.08,-0.64,"11,045","1,367",1.29,0.31
2017-08-08,沃华医药,1002107,12.41,12.51,12.35,12.45,0.05,0.40,"21,707","2,697",1.29,0.60
2017-08-07,沃华医药,1002107,12.05,12.49,12.05,12.40,0.38,3.16,"29,713","3,673",3.66,0.82
2017-08-04,沃华医药,1002107,12.05,12.11,11.98,12.02,-0.03,-0.25,"12,808","1,543",1.08,0.36
2017-08-03,沃华医药,1002107,11.90,12.10,11.83,12.05,0.25,2.12,"18,199","2,185",2.29,0.50
2017-08-02,沃华医药,1002107,11.90,11.94,11.78,11.80,-0.03,-0.25,"16,439","1,946",1.35,0.46
2017-08-01,沃华医药,1002107,11.80,11.91,11.71,11.83,0.01,0.08,"9,949","1,179",1.69,0.28
2017-07-31,沃华医药,1002107,11.84,11.92,11.68,11.82,-0.02,-0.17,"10,267","1,209",2.03,0.28
2017-07-28,沃华医药,1002107,11.70,12.06,11.63,11.84,0.20,1.72,"26,434","3,150",3.69,0.73
2017-07-27,沃华医药,1002107,11.30,11.67,11.30,11.64,0.29,2.56,"19,623","2,264",3.26,0.54
2017-07-26,沃华医药,1002107,11.37,11.47,11.30,11.35,-0.06,-0.53,"9,193","1,044",1.49,0.25
2017-07-25,沃华医药,1002107,11.41,11.45,11.33,11.41,0.01,0.09,"10,782","1,229",1.05,0.30
2017-07-24,沃华医药,1002107,11.30,11.45,11.29,11.40,0.00,0.00,"14,948","1,697",1.40,0.41
2017-07-21,沃华医药,1002107,11.45,11.59,11.37,11.40,-0.06,-0.52,"11,249","1,289",1.92,0.31
2017-07-20,沃华医药,1002107,11.43,11.57,11.43,11.46,0.02,0.17,"12,528","1,442",1.22,0.35
2017-07-19,沃华医药,1002107,11.36,11.50,11.21,11.44,0.13,1.15,"12,383","1,404",2.56,0.34
2017-07-18,沃华医药,1002107,11.15,11.37,11.10,11.31,0.03,0.27,"21,198","2,383",2.39,0.59
2017-07-17,沃华医药,1002107,12.20,12.21,11.20,11.28,-0.95,-7.77,"44,586","5,215",8.26,1.24
2017-07-14,沃华医药,1002107,12.20,12.55,12.16,12.23,0.06,0.49,"10,492","1,289",3.20,0.29
2017-07-13,沃华医药,1002107,12.23,12.25,12.12,12.17,-0.01,-0.08,"10,637","1,294",1.07,0.29
2017-07-12,沃华医药,1002107,12.25,12.30,12.08,12.18,-0.07,-0.57,"13,373","1,624",1.80,0.37
2017-07-11,沃华医药,1002107,12.59,12.61,12.24,12.25,-0.25,-2.00,"15,658","1,940",2.96,0.43
2017-07-10,沃华医药,1002107,12.49,12.60,12.48,12.50,-0.04,-0.32,"12,785","1,601",0.96,0.35
2017-07-07,沃华医药,1002107,12.52,12.56,12.47,12.54,0.02,0.16,"11,878","1,486",0.72,0.33
2017-07-06,沃华医药,1002107,12.56,12.67,12.43,12.52,-0.04,-0.32,"19,769","2,477",1.91,0.55
