日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,海辰药业,1300584,35.82,36.20,35.61,35.69,-0.33,-0.92,"12,248","4,401",1.64,6.12
2017-09-28,海辰药业,1300584,36.00,36.75,35.61,36.02,-0.21,-0.58,"18,905","6,840",3.15,9.45
2017-09-27,海辰药业,1300584,34.90,37.60,34.90,36.23,1.92,5.60,"29,498","10,645",7.87,14.75
2017-09-26,海辰药业,1300584,35.16,35.40,34.11,34.31,-1.76,-4.88,"23,110","8,007",3.58,11.56
2017-09-25,海辰药业,1300584,37.95,38.10,35.78,36.07,0.94,2.68,"47,215","17,546",6.60,23.61
2017-09-22,海辰药业,1300584,34.73,35.15,34.10,35.13,0.41,1.18,"6,383","2,218",3.02,3.19
2017-09-21,海辰药业,1300584,34.89,35.20,34.70,34.72,-0.19,-0.54,"6,788","2,376",1.43,3.39
2017-09-20,海辰药业,1300584,34.80,35.07,34.58,34.91,0.24,0.69,"4,970","1,729",1.41,2.49
2017-09-19,海辰药业,1300584,34.80,34.90,34.55,34.67,0.04,0.12,"3,845","1,335",1.01,1.92
2017-09-18,海辰药业,1300584,34.51,34.89,34.25,34.63,0.12,0.35,"4,000","1,381",1.85,2.00
2017-09-15,海辰药业,1300584,34.88,35.08,34.50,34.51,-0.29,-0.83,"5,425","1,885",1.67,2.71
2017-09-14,海辰药业,1300584,34.88,35.51,34.70,34.80,-0.32,-0.91,"4,882","1,714",2.31,2.44
2017-09-13,海辰药业,1300584,34.52,35.20,34.40,35.12,0.57,1.65,"5,465","1,896",2.32,2.73
2017-09-12,海辰药业,1300584,35.65,35.79,34.54,34.55,-1.08,-3.03,"9,018","3,164",3.51,4.51
2017-09-11,海辰药业,1300584,35.15,35.69,34.92,35.63,0.48,1.37,"7,798","2,764",2.19,3.90
2017-09-08,海辰药业,1300584,34.98,35.39,34.51,35.15,0.17,0.49,"5,532","1,938",2.52,2.77
2017-09-07,海辰药业,1300584,35.07,35.50,34.80,34.98,-0.01,-0.03,"6,250","2,200",2.00,3.13
2017-09-06,海辰药业,1300584,35.02,35.19,34.01,34.99,-0.33,-0.93,"6,030","2,097",3.34,3.01
2017-09-05,海辰药业,1300584,35.33,35.68,34.92,35.32,0.19,0.54,"6,749","2,384",2.16,3.37
2017-09-04,海辰药业,1300584,35.58,35.62,35.02,35.13,-0.40,-1.13,"8,227","2,906",1.69,4.11
2017-09-01,海辰药业,1300584,35.50,35.60,34.93,35.53,0.19,0.54,"7,671","2,709",1.90,3.84
2017-08-31,海辰药业,1300584,34.69,35.48,34.58,35.34,0.73,2.11,"8,644","3,038",2.60,4.32
2017-08-30,海辰药业,1300584,34.90,35.16,34.50,34.61,-0.42,-1.20,"7,345","2,552",1.88,3.67
2017-08-29,海辰药业,1300584,34.75,35.46,34.33,35.03,0.53,1.54,"15,419","5,386",3.28,7.71
2017-08-28,海辰药业,1300584,33.97,34.72,33.78,34.50,0.83,2.47,"14,703","5,041",2.79,7.35
2017-08-25,海辰药业,1300584,33.02,33.76,32.81,33.67,0.49,1.48,"14,019","4,694",2.86,7.01
2017-08-24,海辰药业,1300584,32.95,33.65,32.95,33.18,0.00,0.00,"6,668","2,221",2.11,3.33
2017-08-23,海辰药业,1300584,33.15,33.45,32.80,33.18,0.03,0.09,"5,056","1,674",1.96,2.53
2017-08-22,海辰药业,1300584,33.00,33.57,33.00,33.15,0.01,0.03,"6,282","2,091",1.72,3.14
2017-08-21,海辰药业,1300584,32.46,33.25,32.46,33.14,0.56,1.72,"4,930","1,627",2.42,2.47
2017-08-18,海辰药业,1300584,33.10,33.10,32.52,32.58,-0.61,-1.84,"5,233","1,712",1.75,2.62
2017-08-17,海辰药业,1300584,33.11,33.39,32.90,33.19,0.08,0.24,"5,110","1,693",1.48,2.56
2017-08-16,海辰药业,1300584,32.60,33.40,32.58,33.11,0.45,1.38,"7,936","2,626",2.51,3.97
2017-08-15,海辰药业,1300584,32.34,32.69,32.11,32.66,0.32,0.99,"5,288","1,719",1.79,2.64
2017-08-14,海辰药业,1300584,31.86,32.47,31.86,32.34,0.38,1.19,"4,426","1,428",1.91,2.21
2017-08-11,海辰药业,1300584,31.93,32.18,31.62,31.96,-0.29,-0.90,"4,329","1,383",1.74,2.16
2017-08-10,海辰药业,1300584,33.12,33.12,32.00,32.25,-0.87,-2.63,"7,336","2,379",3.38,3.67
2017-08-09,海辰药业,1300584,32.11,33.59,32.00,33.12,0.90,2.79,"8,744","2,872",4.93,4.37
2017-08-08,海辰药业,1300584,32.49,32.60,31.62,32.22,-0.72,-2.19,"8,293","2,662",2.98,4.15
2017-08-07,海辰药业,1300584,32.60,32.95,32.51,32.94,0.54,1.67,"3,999","1,311",1.36,2.00
2017-08-04,海辰药业,1300584,33.00,33.17,32.40,32.40,-0.56,-1.70,"4,272","1,393",2.34,2.14
2017-08-03,海辰药业,1300584,32.61,33.55,32.58,32.96,0.35,1.07,"6,373","2,104",2.97,3.19
2017-08-02,海辰药业,1300584,33.25,33.30,32.60,32.61,-0.65,-1.95,"6,277","2,057",2.10,3.14
2017-08-01,海辰药业,1300584,33.30,33.47,32.46,33.26,-0.08,-0.24,"4,544","1,501",3.03,2.27
2017-07-31,海辰药业,1300584,33.22,33.96,33.10,33.34,0.12,0.36,"3,347","1,123",2.59,1.67
2017-07-28,海辰药业,1300584,33.88,34.14,33.13,33.22,-0.66,-1.95,"5,955","1,990",2.98,2.98
2017-07-27,海辰药业,1300584,32.80,33.98,32.71,33.88,1.06,3.23,"6,406","2,151",3.87,3.20
2017-07-26,海辰药业,1300584,32.99,33.03,32.65,32.82,-0.10,-0.30,"2,142",703,1.15,1.07
2017-07-25,海辰药业,1300584,32.90,33.08,32.61,32.92,0.06,0.18,"2,910",956,1.43,1.46
2017-07-24,海辰药业,1300584,32.50,33.02,32.01,32.86,0.20,0.61,"4,502","1,464",3.09,2.25
2017-07-21,海辰药业,1300584,32.31,33.48,32.22,32.66,0.30,0.93,"5,568","1,823",3.89,2.78
2017-07-20,海辰药业,1300584,32.59,33.48,32.33,32.36,-0.32,-0.98,"4,983","1,641",3.52,2.49
2017-07-19,海辰药业,1300584,32.42,32.85,32.37,32.68,0.13,0.40,"3,851","1,257",1.47,1.93
2017-07-18,海辰药业,1300584,32.00,33.46,31.87,32.55,0.06,0.18,"10,136","3,309",4.89,5.07
2017-07-17,海辰药业,1300584,35.31,35.40,32.33,32.49,-3.43,-9.55,"14,505","4,850",8.55,7.25
2017-07-14,海辰药业,1300584,35.56,36.35,35.15,35.92,0.36,1.01,"7,558","2,704",3.37,3.78
2017-07-13,海辰药业,1300584,35.61,35.99,35.05,35.56,-0.29,-0.81,"5,044","1,790",2.62,2.52
2017-07-12,海辰药业,1300584,35.65,36.21,34.91,35.85,0.06,0.17,"8,348","2,972",3.63,4.17
2017-07-11,海辰药业,1300584,36.82,36.82,35.79,35.79,-1.04,-2.82,"12,877","4,679",2.80,6.44
2017-07-10,海辰药业,1300584,38.25,38.25,36.80,36.83,-1.72,-4.46,"21,636","8,077",3.76,10.82
2017-07-07,海辰药业,1300584,36.64,39.48,36.64,38.55,2.66,7.41,"35,065","13,539",7.91,17.53
2017-07-06,海辰药业,1300584,35.61,36.21,35.32,35.89,0.10,0.28,"9,428","3,376",2.49,4.71
2017-07-05,海辰药业,1300584,35.39,35.98,35.29,35.79,0.24,0.68,"6,948","2,479",1.94,3.47
2017-07-04,海辰药业,1300584,35.98,36.00,35.38,35.55,0.36,1.02,"6,622","2,362",1.76,3.31
2017-07-03,海辰药业,1300584,34.76,35.35,34.72,35.19,0.31,0.89,"3,547","1,245",1.81,1.77
2017-06-30,海辰药业,1300584,34.37,34.96,34.02,34.88,0.53,1.54,"4,603","1,590",2.74,2.30
2017-06-29,海辰药业,1300584,34.00,34.65,34.00,34.35,0.24,0.70,"2,882",991,1.91,1.44
2017-06-28,海辰药业,1300584,34.72,34.83,34.00,34.11,-0.78,-2.24,"3,932","1,349",2.38,1.97
2017-06-27,海辰药业,1300584,35.18,35.40,34.80,34.89,-0.21,-0.60,"3,552","1,247",1.71,1.78
2017-06-26,海辰药业,1300584,34.78,35.34,34.53,35.10,0.14,0.40,"3,922","1,370",2.32,1.96
2017-06-23,海辰药业,1300584,35.30,35.56,34.41,34.96,0.01,0.03,"5,327","1,862",3.29,2.66
2017-06-22,海辰药业,1300584,35.78,36.08,34.90,34.95,-0.83,-2.32,"6,890","2,444",3.30,3.45
2017-06-21,海辰药业,1300584,36.23,36.41,35.53,35.78,-0.24,-0.67,"4,582","1,645",2.44,2.29
2017-06-20,海辰药业,1300584,36.38,36.50,35.84,36.02,0.00,0.00,"5,598","2,026",1.83,2.80
2017-06-19,海辰药业,1300584,36.38,36.80,35.61,36.02,-0.28,-0.77,"5,871","2,127",3.28,2.94
2017-06-16,海辰药业,1300584,36.69,36.96,36.15,36.30,-0.16,-0.44,"6,491","2,371",2.22,3.25
2017-06-15,海辰药业,1300584,35.31,36.78,35.31,36.46,0.99,2.79,"10,501","3,824",4.14,5.25
2017-06-14,海辰药业,1300584,35.78,35.99,35.00,35.47,-0.31,-0.87,"5,984","2,119",2.77,2.99
2017-06-13,海辰药业,1300584,34.68,35.88,34.47,35.78,1.08,3.11,"5,897","2,086",4.06,2.95
2017-06-12,海辰药业,1300584,36.32,36.32,34.61,34.70,-1.97,-5.37,"7,157","2,531",4.66,3.58
2017-06-09,海辰药业,1300584,36.62,36.78,36.30,36.67,0.05,0.14,"6,946","2,538",1.31,3.47
2017-06-08,海辰药业,1300584,36.65,37.04,36.25,36.62,-0.08,-0.22,"8,973","3,287",2.15,4.49
2017-06-07,海辰药业,1300584,35.94,37.85,35.65,37.00,1.10,3.06,"13,646","5,036",6.13,6.82
2017-06-06,海辰药业,1300584,35.40,35.93,35.31,35.90,0.18,0.50,"4,612","1,648",1.74,2.31
2017-06-05,海辰药业,1300584,35.60,36.18,35.20,35.72,1.02,2.94,"11,007","3,936",2.82,5.50
2017-06-02,海辰药业,1300584,33.05,34.75,33.00,34.70,1.50,4.52,"9,295","3,169",5.27,4.65
2017-06-01,海辰药业,1300584,34.21,34.78,33.15,33.20,-1.55,-4.46,"8,628","2,945",4.69,4.31
2017-05-31,海辰药业,1300584,36.00,36.50,34.43,34.75,0.00,0.00,"7,792","2,784",5.96,3.90
2017-05-26,海辰药业,1300584,34.30,34.97,34.08,34.75,0.49,1.43,"5,785","1,999",2.60,2.89
2017-05-25,海辰药业,1300584,34.48,34.67,33.01,34.26,-0.15,-0.44,"7,763","2,632",4.82,3.88
2017-05-24,海辰药业,1300584,34.02,34.69,33.20,34.41,0.42,1.24,"7,262","2,468",4.38,3.63
2017-05-23,海辰药业,1300584,36.02,36.60,33.90,33.99,-2.27,-6.26,"10,647","3,728",7.45,5.32
2017-05-22,海辰药业,1300584,38.50,38.60,36.10,36.26,-2.41,-6.23,"10,832","4,044",6.47,5.42
2017-05-19,海辰药业,1300584,39.10,39.62,38.61,38.67,-0.63,-1.60,"5,846","2,284",2.57,2.92
2017-05-18,海辰药业,1300584,38.90,39.70,38.65,39.30,-0.05,-0.13,"8,448","3,325",2.67,4.22
2017-05-17,海辰药业,1300584,38.77,40.18,38.77,39.35,0.55,1.42,"10,223","4,026",3.63,5.11
2017-05-16,海辰药业,1300584,37.73,38.97,37.21,38.80,1.07,2.84,"10,313","3,939",4.66,5.16
2017-05-15,海辰药业,1300584,38.12,38.40,37.60,37.73,-0.41,-1.08,"5,477","2,082",2.10,2.74
