日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,海顺新材,1300501,35.25,35.95,35.19,35.81,0.63,1.79,"2,844","1,010",2.16,1.18
2017-12-28,海顺新材,1300501,34.61,35.46,34.58,35.18,0.57,1.65,"2,443",858,2.54,1.02
2017-12-27,海顺新材,1300501,34.89,35.21,34.52,34.61,-0.29,-0.83,"2,179",760,1.98,0.91
2017-12-26,海顺新材,1300501,33.90,34.98,33.85,34.90,1.00,2.95,"3,290","1,135",3.33,1.37
2017-12-25,海顺新材,1300501,35.25,35.25,33.70,33.90,-1.31,-3.72,"3,680","1,259",4.40,1.53
2017-12-22,海顺新材,1300501,35.01,35.64,34.89,35.21,-0.11,-0.31,"1,339",474,2.12,0.56
2017-12-21,海顺新材,1300501,35.19,35.68,34.81,35.32,-0.04,-0.11,"1,788",631,2.46,0.74
2017-12-20,海顺新材,1300501,36.23,36.23,35.35,35.36,-0.72,-2.00,"1,628",581,2.44,0.68
2017-12-19,海顺新材,1300501,35.72,36.20,35.72,36.08,0.29,0.81,"1,944",701,1.34,0.81
2017-12-18,海顺新材,1300501,36.23,36.23,35.35,35.79,-0.54,-1.49,"3,245","1,160",2.42,1.35
2017-12-15,海顺新材,1300501,36.48,36.66,36.15,36.33,-0.32,-0.87,"1,801",654,1.39,0.75
2017-12-14,海顺新材,1300501,36.60,36.77,36.39,36.65,0.17,0.47,"1,395",510,1.04,0.58
2017-12-13,海顺新材,1300501,36.38,36.57,36.20,36.48,0.22,0.61,"1,330",484,1.02,0.55
2017-12-12,海顺新材,1300501,37.15,37.17,36.15,36.26,-0.89,-2.40,"2,252",824,2.75,0.94
2017-12-11,海顺新材,1300501,37.00,37.50,36.63,37.15,0.23,0.62,"1,729",641,2.36,0.72
2017-12-08,海顺新材,1300501,36.51,37.33,36.50,36.92,0.42,1.15,"3,499","1,289",2.27,1.46
2017-12-07,海顺新材,1300501,36.48,36.87,36.40,36.50,-0.04,-0.11,"2,115",774,1.29,0.88
2017-12-06,海顺新材,1300501,36.00,36.77,35.80,36.54,0.80,2.24,"3,339","1,213",2.71,1.39
