日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,生物股份,0600201,30.80,31.77,30.80,31.74,0.72,2.32,"66,514","20,911",3.13,0.77
2017-12-28,生物股份,0600201,30.99,31.35,30.45,31.02,0.04,0.13,"67,213","20,818",2.91,0.78
2017-12-27,生物股份,0600201,31.00,31.39,30.33,30.98,-0.16,-0.51,"94,513","29,233",3.40,1.10
2017-12-26,生物股份,0600201,30.33,31.20,30.32,31.14,0.84,2.77,"77,573","24,015",2.90,0.90
2017-12-25,生物股份,0600201,30.80,31.05,30.03,30.30,-0.56,-1.81,"60,706","18,455",3.31,0.71
2017-12-22,生物股份,0600201,31.20,31.38,30.74,30.86,-0.05,-0.16,"45,351","14,078",2.07,0.53
2017-12-21,生物股份,0600201,30.94,31.45,30.70,30.91,-0.03,-0.10,"83,204","25,874",2.42,0.97
2017-12-20,生物股份,0600201,30.78,31.11,30.46,30.94,-0.08,-0.26,"69,475","21,406",2.10,0.81
2017-12-19,生物股份,0600201,30.79,31.10,30.48,31.02,0.19,0.62,"86,531","26,727",2.01,1.01
2017-12-18,生物股份,0600201,29.57,30.88,29.57,30.83,1.32,4.47,"130,074","39,757",4.44,1.52
2017-12-15,生物股份,0600201,30.06,30.29,29.15,29.51,-0.52,-1.73,"59,639","17,707",3.80,0.69
2017-12-14,生物股份,0600201,30.20,30.35,29.79,30.03,-0.01,-0.03,"41,922","12,577",1.86,0.49
2017-12-13,生物股份,0600201,29.63,30.21,29.60,30.04,0.39,1.32,"76,434","22,928",2.06,0.89
2017-12-12,生物股份,0600201,29.71,30.08,29.40,29.65,-0.03,-0.10,"66,335","19,727",2.29,0.77
2017-12-11,生物股份,0600201,28.45,29.93,28.41,29.68,1.27,4.47,"144,192","42,315",5.35,1.68
2017-12-08,生物股份,0600201,27.40,28.53,27.40,28.41,0.62,2.23,"70,289","19,735",4.07,0.82
2017-12-07,生物股份,0600201,27.74,28.09,27.55,27.79,0.16,0.58,"48,358","13,466",1.95,0.56
2017-12-06,生物股份,0600201,27.54,28.26,27.14,27.63,0.09,0.33,"69,200","19,110",4.07,0.81
2017-12-05,生物股份,0600201,27.05,27.85,26.91,27.54,0.50,1.85,"112,546","30,980",3.48,1.31
2017-12-04,生物股份,0600201,27.99,28.15,26.86,27.04,-0.94,-3.36,"94,402","25,892",4.61,1.10
2017-12-01,生物股份,0600201,27.34,28.08,27.30,27.98,0.67,2.45,"59,491","16,493",2.86,0.69
2017-11-30,生物股份,0600201,28.01,28.13,27.29,27.31,-0.70,-2.50,"65,337","18,086",3.00,0.76
2017-11-29,生物股份,0600201,27.95,28.40,27.72,28.01,-0.10,-0.36,"56,005","15,729",2.42,0.65
2017-11-28,生物股份,0600201,28.04,28.30,27.42,28.11,-0.10,-0.35,"81,712","22,768",3.12,0.95
2017-11-27,生物股份,0600201,28.06,28.45,27.73,28.21,-0.14,-0.49,"67,468","18,834",2.54,0.79
2017-11-24,生物股份,0600201,28.45,28.52,27.58,28.35,0.04,0.14,"88,219","24,796",3.32,1.03
2017-11-23,生物股份,0600201,28.36,29.07,28.23,28.31,-0.22,-0.77,"90,271","25,788",2.94,1.05
2017-11-22,生物股份,0600201,29.43,29.56,28.30,28.53,-0.82,-2.79,"97,537","28,085",4.29,1.14
2017-11-21,生物股份,0600201,29.10,29.38,28.77,29.35,0.33,1.14,"80,727","23,519",2.10,0.94
2017-11-20,生物股份,0600201,28.91,29.13,28.45,29.02,-0.11,-0.38,"96,791","27,849",2.33,1.13
2017-11-17,生物股份,0600201,29.50,29.90,28.92,29.13,-0.37,-1.25,"119,351","35,047",3.32,1.39
2017-11-16,生物股份,0600201,27.97,29.70,27.90,29.50,1.46,5.21,"170,141","49,511",6.42,1.98
2017-11-15,生物股份,0600201,27.79,28.46,27.42,28.04,0.43,1.56,"134,437","37,739",3.77,1.57
