日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-12-31,申联生物,0688098,16.20,16.90,16.20,16.77,0.53,3.26,"35,682","5,910",4.31,7.90
2019-12-30,申联生物,0688098,16.25,16.28,15.80,16.24,-0.04,-0.25,"22,319","3,592",2.95,4.94
2019-12-27,申联生物,0688098,16.78,16.96,16.26,16.28,-0.48,-2.86,"35,870","5,962",4.18,7.94
2019-12-26,申联生物,0688098,16.36,16.88,16.36,16.76,0.31,1.88,"36,823","6,143",3.16,8.16
2019-12-25,申联生物,0688098,16.20,16.65,16.15,16.45,0.25,1.54,"28,018","4,617",3.09,6.21
2019-12-24,申联生物,0688098,16.12,16.29,15.95,16.20,0.35,2.21,"22,789","3,674",2.15,5.05
2019-12-23,申联生物,0688098,16.83,16.83,15.85,15.85,-0.94,-5.60,"44,726","7,280",5.84,9.91
2019-12-20,申联生物,0688098,16.98,17.59,16.79,16.79,-0.08,-0.47,"58,720","10,110",4.74,13.01
2019-12-19,申联生物,0688098,16.79,16.97,16.63,16.87,0.06,0.36,"38,058","6,396",2.02,8.43
2019-12-18,申联生物,0688098,16.36,17.29,16.36,16.81,0.45,2.75,"73,250","12,347",5.68,16.22
2019-12-17,申联生物,0688098,16.18,16.48,16.10,16.36,0.21,1.30,"46,635","7,602",2.35,10.33
2019-12-16,申联生物,0688098,16.03,16.30,15.91,16.15,0.13,0.81,"23,595","3,802",2.43,5.23
2019-12-13,申联生物,0688098,16.08,16.19,15.74,16.02,0.10,0.63,"30,492","4,869",2.83,6.75
2019-12-12,申联生物,0688098,16.28,16.50,15.81,15.92,-0.17,-1.06,"39,544","6,407",4.29,8.76
2019-12-11,申联生物,0688098,16.60,17.07,16.08,16.09,-0.83,-4.91,"74,163","12,211",5.85,16.43
2019-12-10,申联生物,0688098,14.92,16.93,14.89,16.92,1.82,12.05,"123,915","19,883",13.51,27.44
2019-12-09,申联生物,0688098,14.76,15.14,14.68,15.10,0.44,3.00,"35,140","5,239",3.14,7.78
