日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,益盛药业,1002566,8.68,8.74,8.65,8.74,0.06,0.69,"8,488",739,1.04,0.26
2017-12-28,益盛药业,1002566,8.65,8.70,8.60,8.68,0.05,0.58,"8,524",739,1.16,0.26
2017-12-27,益盛药业,1002566,8.60,8.75,8.59,8.63,0.02,0.23,"10,639",920,1.86,0.32
2017-12-26,益盛药业,1002566,8.53,8.61,8.53,8.61,0.09,1.06,"8,169",701,0.94,0.25
2017-12-25,益盛药业,1002566,8.63,8.67,8.42,8.52,-0.15,-1.73,"12,269","1,045",2.88,0.37
2017-12-22,益盛药业,1002566,8.62,8.71,8.62,8.67,-0.01,-0.12,"12,528","1,086",1.04,0.38
2017-12-21,益盛药业,1002566,8.73,8.74,8.53,8.68,-0.05,-0.57,"12,220","1,056",2.41,0.37
2017-12-20,益盛药业,1002566,8.86,8.86,8.69,8.73,-0.13,-1.47,"14,613","1,282",1.92,0.44
2017-12-19,益盛药业,1002566,8.77,8.88,8.77,8.86,0.08,0.91,"15,010","1,324",1.25,0.45
2017-12-18,益盛药业,1002566,8.81,8.83,8.73,8.78,-0.04,-0.45,"12,218","1,073",1.13,0.37
2017-12-15,益盛药业,1002566,8.84,8.87,8.77,8.82,-0.01,-0.11,"11,080",977,1.13,0.33
2017-12-14,益盛药业,1002566,8.82,8.87,8.76,8.83,0.00,0.00,"9,118",802,1.25,0.28
2017-12-13,益盛药业,1002566,8.66,8.84,8.66,8.83,0.15,1.73,"11,433","1,002",2.07,0.35
2017-12-12,益盛药业,1002566,8.85,8.88,8.67,8.68,-0.20,-2.25,"13,385","1,177",2.36,0.40
2017-12-11,益盛药业,1002566,8.81,8.93,8.74,8.88,0.04,0.45,"24,008","2,118",2.15,0.73
2017-12-08,益盛药业,1002566,8.76,8.90,8.74,8.84,0.03,0.34,"19,842","1,753",1.82,0.60
2017-12-07,益盛药业,1002566,8.78,8.85,8.74,8.81,-0.02,-0.23,"13,954","1,228",1.25,0.42
2017-12-06,益盛药业,1002566,8.86,8.91,8.56,8.83,-0.03,-0.34,"28,231","2,466",3.95,0.85
2017-12-05,益盛药业,1002566,9.05,9.12,8.77,8.86,-0.21,-2.32,"17,871","1,593",3.86,0.54
2017-12-04,益盛药业,1002566,9.18,9.27,9.03,9.07,-0.13,-1.41,"14,125","1,291",2.61,0.43
2017-12-01,益盛药业,1002566,9.10,9.28,9.06,9.20,0.09,0.99,"16,309","1,499",2.41,0.49
2017-11-30,益盛药业,1002566,9.14,9.17,9.09,9.11,-0.03,-0.33,"9,511",868,0.88,0.29
2017-11-29,益盛药业,1002566,9.24,9.28,9.02,9.14,-0.09,-0.98,"16,829","1,532",2.82,0.51
2017-11-28,益盛药业,1002566,9.00,9.27,9.00,9.23,0.17,1.88,"13,742","1,254",2.98,0.42
