日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,羚锐制药,0600285,11.78,11.86,11.65,11.77,-0.01,-0.08,"64,952","7,636",1.78,1.21
2017-03-30,羚锐制药,0600285,11.98,11.98,11.70,11.78,-0.20,-1.67,"77,270","9,134",2.34,1.44
2017-03-29,羚锐制药,0600285,12.15,12.18,11.98,11.98,-0.15,-1.24,"71,819","8,655",1.65,1.34
2017-03-28,羚锐制药,0600285,12.28,12.36,12.10,12.13,-0.17,-1.38,"96,348","11,749",2.11,1.80
2017-03-27,羚锐制药,0600285,12.41,12.45,12.27,12.30,-0.13,-1.05,"84,299","10,406",1.45,1.57
2017-03-24,羚锐制药,0600285,12.38,12.44,12.27,12.43,0.06,0.49,"86,070","10,639",1.37,1.61
2017-03-23,羚锐制药,0600285,12.36,12.50,12.24,12.37,0.02,0.16,"132,732","16,437",2.11,2.48
2017-03-22,羚锐制药,0600285,12.26,12.47,12.24,12.35,0.01,0.08,"103,740","12,829",1.86,1.94
2017-03-21,羚锐制药,0600285,12.20,12.35,12.18,12.34,0.10,0.82,"100,485","12,352",1.39,1.88
2017-03-20,羚锐制药,0600285,12.12,12.26,12.09,12.24,0.10,0.82,"65,867","8,010",1.40,1.23
2017-03-17,羚锐制药,0600285,12.24,12.30,12.13,12.14,-0.09,-0.74,"81,188","9,930",1.39,1.52
2017-03-16,羚锐制药,0600285,12.07,12.23,12.07,12.23,0.16,1.33,"78,436","9,552",1.33,1.46
2017-03-15,羚锐制药,0600285,12.05,12.09,12.03,12.07,0.00,0.00,"25,078","3,024",0.50,0.47
2017-03-14,羚锐制药,0600285,12.12,12.17,12.02,12.07,-0.02,-0.17,"44,704","5,409",1.24,0.83
2017-03-13,羚锐制药,0600285,12.03,12.12,11.90,12.09,0.03,0.25,"50,931","6,132",1.82,0.95
2017-03-10,羚锐制药,0600285,12.02,12.12,12.02,12.06,0.03,0.25,"30,016","3,622",0.83,0.56
2017-03-09,羚锐制药,0600285,12.15,12.16,12.02,12.03,-0.14,-1.15,"48,061","5,799",1.15,0.90
2017-03-08,羚锐制药,0600285,12.29,12.30,12.14,12.17,-0.11,-0.90,"47,455","5,790",1.30,0.89
2017-03-07,羚锐制药,0600285,12.14,12.31,12.10,12.28,0.13,1.07,"105,227","12,865",1.73,1.97
2017-03-06,羚锐制药,0600285,12.06,12.15,12.01,12.15,0.07,0.58,"66,718","8,068",1.16,1.25
2017-03-03,羚锐制药,0600285,12.02,12.12,11.98,12.08,0.03,0.25,"66,362","7,994",1.16,1.24
2017-03-02,羚锐制药,0600285,12.23,12.23,12.03,12.05,-0.17,-1.39,"71,395","8,653",1.64,1.33
2017-03-01,羚锐制药,0600285,12.17,12.25,12.15,12.22,0.03,0.25,"61,751","7,540",0.82,1.15
