日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,莱茵生物,1002166,12.20,12.31,12.16,12.22,0.02,0.16,"74,384","9,104",1.23,1.72
2017-03-30,莱茵生物,1002166,12.80,12.88,12.12,12.20,-0.60,-4.69,"166,778","20,701",5.94,3.86
2017-03-29,莱茵生物,1002166,12.80,12.94,12.69,12.80,0.03,0.23,"106,022","13,618",1.96,2.45
2017-03-28,莱茵生物,1002166,12.90,12.96,12.75,12.77,-0.17,-1.31,"89,720","11,514",1.62,2.08
2017-03-27,莱茵生物,1002166,12.65,12.96,12.60,12.94,0.31,2.45,"150,083","19,211",2.85,3.47
2017-03-24,莱茵生物,1002166,12.71,12.82,12.45,12.63,-0.11,-0.86,"153,040","19,253",2.90,3.54
2017-03-23,莱茵生物,1002166,12.90,13.09,12.73,12.74,-0.24,-1.85,"131,294","16,906",2.77,3.04
2017-03-22,莱茵生物,1002166,13.10,13.10,12.85,12.98,-0.21,-1.59,"124,214","16,099",1.90,2.87
2017-03-21,莱茵生物,1002166,13.17,13.27,13.11,13.19,-0.03,-0.23,"115,740","15,234",1.21,2.68
2017-03-20,莱茵生物,1002166,12.96,13.27,12.92,13.22,0.26,2.01,"146,824","19,227",2.70,3.40
2017-03-17,莱茵生物,1002166,13.06,13.19,12.94,12.96,-0.09,-0.69,"155,714","20,337",1.92,3.60
2017-03-16,莱茵生物,1002166,12.86,13.11,12.86,13.05,0.15,1.16,"114,728","14,956",1.94,2.65
2017-03-15,莱茵生物,1002166,13.00,13.05,12.89,12.90,-0.20,-1.53,"112,841","14,614",1.22,2.61
2017-03-14,莱茵生物,1002166,12.97,13.29,12.81,13.10,0.23,1.79,"209,461","27,331",3.73,4.84
2017-03-13,莱茵生物,1002166,13.10,13.12,12.71,12.87,-0.34,-2.57,"205,452","26,412",3.10,4.75
2017-03-10,莱茵生物,1002166,13.33,13.54,13.20,13.21,-0.14,-1.05,"225,839","30,250",2.55,5.22
