日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,通化东宝,0600867,18.11,18.32,17.96,18.24,0.10,0.55,"56,075","10,210",1.98,0.34
2017-06-29,通化东宝,0600867,18.05,18.23,17.90,18.14,0.09,0.50,"77,120","13,920",1.83,0.47
2017-06-28,通化东宝,0600867,18.13,18.28,17.94,18.05,-0.19,-1.04,"56,591","10,227",1.86,0.35
2017-06-27,通化东宝,0600867,18.14,18.35,18.05,18.24,0.12,0.66,"55,404","10,108",1.66,0.34
2017-06-26,通化东宝,0600867,18.02,18.25,17.95,18.12,0.23,1.29,"80,381","14,588",1.68,0.49
2017-06-23,通化东宝,0600867,18.01,18.16,17.68,17.89,-0.18,-1.00,"81,103","14,500",2.66,0.50
2017-06-22,通化东宝,0600867,18.05,18.29,17.97,18.07,0.06,0.33,"76,133","13,789",1.78,0.47
2017-06-21,通化东宝,0600867,18.10,18.11,17.92,18.01,-0.11,-0.61,"69,340","12,476",1.05,0.42
2017-06-20,通化东宝,0600867,17.84,18.27,17.84,18.12,0.30,1.68,"105,624","19,174",2.41,0.65
2017-06-19,通化东宝,0600867,17.36,17.88,17.35,17.82,0.62,3.60,"122,145","21,637",3.08,0.75
2017-06-16,通化东宝,0600867,17.14,17.44,17.13,17.20,0.01,0.06,"33,858","5,859",1.80,0.21
2017-06-15,通化东宝,0600867,16.93,17.25,16.88,17.19,0.26,1.54,"63,283","10,828",2.19,0.39
2017-06-14,通化东宝,0600867,17.05,17.05,16.85,16.93,0.00,0.00,"35,643","6,037",1.18,0.22
2017-06-13,通化东宝,0600867,16.75,17.01,16.75,16.93,0.15,0.89,"71,439","12,069",1.55,0.44
2017-06-12,通化东宝,0600867,16.82,16.98,16.69,16.78,-0.09,-0.53,"57,109","9,594",1.72,0.35
2017-06-09,通化东宝,0600867,16.96,17.08,16.74,16.87,-0.22,-1.29,"106,295","17,921",1.99,0.65
2017-06-08,通化东宝,0600867,16.70,17.14,16.61,17.09,0.38,2.27,"88,891","15,059",3.17,0.54
2017-06-07,通化东宝,0600867,16.56,16.80,16.36,16.71,0.16,0.97,"66,259","11,019",2.66,0.41
2017-06-06,通化东宝,0600867,16.26,16.75,16.26,16.55,0.04,0.24,"29,538","4,866",2.97,0.18
2017-06-05,通化东宝,0600867,20.10,20.17,19.89,20.01,-0.14,-0.69,"48,473","9,681",1.39,0.36
2017-06-02,通化东宝,0600867,20.15,20.20,19.70,20.15,0.03,0.15,"80,089","15,978",2.49,0.59
2017-06-01,通化东宝,0600867,20.52,20.60,19.97,20.12,-0.37,-1.81,"87,325","17,599",3.07,0.64
2017-05-31,通化东宝,0600867,20.88,20.95,20.42,20.49,-0.25,-1.21,"50,258","10,378",2.56,0.37
2017-05-26,通化东宝,0600867,20.72,20.85,20.66,20.74,0.04,0.19,"28,947","5,999",0.92,0.21
2017-05-25,通化东宝,0600867,20.68,20.87,20.51,20.70,0.12,0.58,"41,527","8,589",1.75,0.30
2017-05-24,通化东宝,0600867,20.81,20.98,20.40,20.58,-0.32,-1.53,"58,861","12,148",2.78,0.43
2017-05-23,通化东宝,0600867,21.22,21.41,20.78,20.90,-0.44,-2.06,"50,782","10,681",2.95,0.37
2017-05-22,通化东宝,0600867,21.15,21.44,21.10,21.34,0.27,1.28,"60,681","12,913",1.61,0.45
2017-05-19,通化东宝,0600867,21.33,21.37,20.88,21.07,-0.26,-1.22,"37,763","7,980",2.30,0.28
2017-05-18,通化东宝,0600867,21.21,21.55,21.03,21.33,0.04,0.19,"32,120","6,854",2.44,0.24
2017-05-17,通化东宝,0600867,21.23,21.50,21.22,21.29,0.00,0.00,"31,540","6,717",1.32,0.23
2017-05-16,通化东宝,0600867,20.80,21.32,20.74,21.29,0.56,2.70,"68,729","14,496",2.80,0.50
