日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,香雪制药,1300147,9.91,9.97,9.90,9.92,0.01,0.10,"24,363","2,420",0.71,0.37
2017-09-28,香雪制药,1300147,9.94,9.98,9.90,9.91,-0.03,-0.30,"26,533","2,638",0.80,0.40
2017-09-27,香雪制药,1300147,9.85,9.98,9.82,9.94,0.09,0.91,"34,766","3,451",1.62,0.53
2017-09-26,香雪制药,1300147,9.95,9.96,9.77,9.85,-0.11,-1.10,"46,874","4,622",1.91,0.71
2017-09-25,香雪制药,1300147,9.98,10.01,9.90,9.96,-0.01,-0.10,"38,113","3,795",1.10,0.58
2017-09-22,香雪制药,1300147,10.02,10.03,9.93,9.97,-0.06,-0.60,"43,158","4,302",1.00,0.65
2017-09-21,香雪制药,1300147,10.14,10.18,10.03,10.03,-0.10,-0.99,"39,447","3,994",1.48,0.60
2017-09-20,香雪制药,1300147,10.10,10.17,10.07,10.13,0.03,0.30,"38,493","3,900",0.99,0.58
2017-09-19,香雪制药,1300147,10.17,10.18,10.07,10.10,-0.07,-0.69,"33,018","3,342",1.08,0.50
2017-09-18,香雪制药,1300147,10.09,10.18,10.06,10.17,0.08,0.79,"40,372","4,084",1.19,0.61
2017-09-15,香雪制药,1300147,10.19,10.19,10.03,10.09,-0.09,-0.88,"57,943","5,839",1.57,0.88
2017-09-14,香雪制药,1300147,10.23,10.32,10.12,10.18,-0.07,-0.68,"51,031","5,214",1.95,0.77
2017-09-13,香雪制药,1300147,10.19,10.29,10.14,10.25,0.06,0.59,"49,091","5,016",1.47,0.74
2017-09-12,香雪制药,1300147,10.23,10.31,10.18,10.19,-0.06,-0.59,"81,913","8,385",1.27,1.24
2017-09-11,香雪制药,1300147,10.33,10.36,10.18,10.25,-0.06,-0.58,"106,952","10,963",1.75,1.62
2017-09-08,香雪制药,1300147,10.06,10.39,10.05,10.31,0.20,1.98,"144,303","14,767",3.36,2.18
2017-09-07,香雪制药,1300147,10.09,10.27,10.07,10.11,0.02,0.20,"99,770","10,153",1.98,1.51
2017-09-06,香雪制药,1300147,10.01,10.10,9.98,10.09,0.05,0.50,"61,758","6,201",1.20,0.93
2017-09-05,香雪制药,1300147,10.14,10.15,10.02,10.04,-0.09,-0.89,"47,428","4,775",1.28,0.72
2017-09-04,香雪制药,1300147,10.05,10.20,9.99,10.13,0.08,0.80,"88,466","8,926",2.09,1.34
