日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,东风股份,0601515,9.78,9.82,9.75,9.80,0.04,0.41,"7,082",692,0.72,0.06
2017-12-28,东风股份,0601515,9.79,9.82,9.73,9.76,0.00,0.00,"5,329",521,0.92,0.05
2017-12-27,东风股份,0601515,9.80,9.82,9.75,9.76,-0.07,-0.71,"8,744",855,0.71,0.08
2017-12-26,东风股份,0601515,9.76,9.85,9.73,9.83,0.02,0.20,"7,392",724,1.22,0.07
2017-12-25,东风股份,0601515,9.81,9.87,9.76,9.81,-0.01,-0.10,"6,037",592,1.12,0.05
2017-12-22,东风股份,0601515,9.85,9.90,9.79,9.82,0.01,0.10,"7,279",716,1.12,0.07
2017-12-21,东风股份,0601515,9.82,9.88,9.75,9.81,0.00,0.00,"5,968",587,1.33,0.05
2017-12-20,东风股份,0601515,9.89,9.95,9.81,9.81,-0.14,-1.41,"6,967",686,1.41,0.06
2017-12-19,东风股份,0601515,9.92,9.95,9.86,9.95,0.03,0.30,"6,494",644,0.91,0.06
2017-12-18,东风股份,0601515,9.91,9.95,9.80,9.92,0.03,0.30,"13,519","1,334",1.52,0.12
2017-12-15,东风股份,0601515,9.87,9.91,9.85,9.89,0.01,0.10,"7,151",707,0.61,0.06
2017-12-14,东风股份,0601515,9.87,9.91,9.81,9.88,0.02,0.20,"8,035",793,1.01,0.07
2017-12-13,东风股份,0601515,9.95,9.98,9.83,9.86,-0.09,-0.90,"10,361","1,025",1.51,0.09
2017-12-12,东风股份,0601515,10.03,10.05,9.93,9.95,-0.06,-0.60,"7,529",751,1.20,0.07
2017-12-11,东风股份,0601515,10.00,10.10,9.97,10.01,0.02,0.20,"10,334","1,037",1.30,0.09
2017-12-08,东风股份,0601515,9.96,10.05,9.91,9.99,0.05,0.50,"8,575",856,1.41,0.08
2017-12-07,东风股份,0601515,9.90,10.05,9.87,9.94,0.04,0.40,"10,520","1,049",1.82,0.09
2017-12-06,东风股份,0601515,9.87,9.99,9.80,9.90,0.02,0.20,"9,743",962,1.92,0.09
2017-12-05,东风股份,0601515,10.03,10.03,9.70,9.88,-0.12,-1.20,"18,737","1,845",3.30,0.17
2017-12-04,东风股份,0601515,10.12,10.12,10.00,10.00,-0.08,-0.79,"9,241",928,1.19,0.08
2017-12-01,东风股份,0601515,10.04,10.12,10.00,10.08,0.05,0.50,"8,394",845,1.20,0.08
2017-11-30,东风股份,0601515,10.08,10.13,10.00,10.03,-0.06,-0.59,"7,750",778,1.29,0.07
2017-11-29,东风股份,0601515,10.14,10.42,10.00,10.09,-0.03,-0.30,"14,400","1,460",4.15,0.13
2017-11-28,东风股份,0601515,9.99,10.13,9.96,10.12,0.13,1.30,"10,563","1,060",1.70,0.10
2017-11-27,东风股份,0601515,10.08,10.08,9.93,9.99,-0.09,-0.89,"11,107","1,109",1.49,0.10
2017-11-24,东风股份,0601515,10.10,10.18,10.00,10.08,-0.07,-0.69,"16,919","1,704",1.77,0.15
2017-11-23,东风股份,0601515,10.38,10.38,10.10,10.15,-0.18,-1.74,"19,873","2,027",2.71,0.18
2017-11-22,东风股份,0601515,10.35,10.42,10.24,10.33,0.00,0.00,"14,618","1,511",1.74,0.13
2017-11-21,东风股份,0601515,10.52,10.53,10.23,10.33,-0.18,-1.71,"25,395","2,627",2.85,0.23
2017-11-20,东风股份,0601515,10.67,10.67,10.41,10.51,-0.15,-1.41,"13,958","1,458",2.44,0.13
2017-11-17,东风股份,0601515,10.65,10.79,10.55,10.66,-0.03,-0.28,"11,871","1,267",2.25,0.11
2017-11-16,东风股份,0601515,10.68,10.75,10.62,10.69,0.01,0.09,"6,487",695,1.22,0.06
2017-11-15,东风股份,0601515,10.81,10.81,10.64,10.68,-0.13,-1.20,"12,308","1,317",1.57,0.11
2017-11-14,东风股份,0601515,10.88,10.88,10.74,10.81,-0.06,-0.55,"14,873","1,603",1.29,0.13
2017-11-13,东风股份,0601515,10.84,10.90,10.77,10.87,-0.03,-0.28,"12,638","1,371",1.19,0.11
2017-11-10,东风股份,0601515,10.85,10.92,10.81,10.90,0.01,0.09,"12,425","1,353",1.01,0.11
