日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,索菲亚,1002572,36.98,37.86,36.90,37.80,0.82,2.22,"46,799","17,454",2.60,0.51
2017-09-28,索菲亚,1002572,36.80,37.17,36.56,36.98,0.09,0.24,"47,778","17,572",1.65,0.52
2017-09-27,索菲亚,1002572,37.39,37.68,36.70,36.89,-0.30,-0.81,"43,118","15,951",2.64,0.47
2017-09-26,索菲亚,1002572,37.62,38.15,37.09,37.19,-0.63,-1.67,"30,763","11,549",2.80,0.33
2017-09-25,索菲亚,1002572,38.00,38.38,37.56,37.82,-0.56,-1.46,"31,396","11,930",2.14,0.34
2017-09-22,索菲亚,1002572,39.30,39.68,38.18,38.38,-0.95,-2.42,"42,128","16,332",3.81,0.46
2017-09-21,索菲亚,1002572,39.29,39.74,39.03,39.33,-0.07,-0.18,"19,430","7,636",1.80,0.21
2017-09-20,索菲亚,1002572,38.83,39.80,38.61,39.40,0.52,1.34,"34,616","13,675",3.06,0.37
2017-09-19,索菲亚,1002572,39.16,39.70,38.51,38.88,-0.45,-1.14,"28,697","11,179",3.03,0.31
2017-09-18,索菲亚,1002572,39.05,39.82,38.40,39.33,0.12,0.31,"35,621","13,998",3.62,0.39
2017-09-15,索菲亚,1002572,37.88,40.55,37.67,39.21,1.25,3.29,"94,413","37,083",7.59,1.02
2017-09-14,索菲亚,1002572,37.50,38.26,37.25,37.96,0.55,1.47,"36,196","13,718",2.70,0.39
2017-09-13,索菲亚,1002572,37.10,37.48,36.88,37.41,0.31,0.84,"27,431","10,200",1.62,0.30
2017-09-12,索菲亚,1002572,37.50,37.50,36.95,37.10,-0.39,-1.04,"35,904","13,329",1.47,0.39
2017-09-11,索菲亚,1002572,37.08,37.54,36.87,37.49,0.41,1.11,"46,743","17,455",1.81,0.51
2017-09-08,索菲亚,1002572,36.85,37.38,36.84,37.08,0.23,0.62,"21,459","7,959",1.47,0.23
2017-09-07,索菲亚,1002572,36.82,37.02,36.68,36.85,0.05,0.14,"28,363","10,442",0.92,0.31
2017-09-06,索菲亚,1002572,36.85,37.46,36.70,36.80,0.02,0.05,"55,427","20,487",2.07,0.60
2017-09-05,索菲亚,1002572,37.11,37.11,36.50,36.78,-0.33,-0.89,"48,674","17,891",1.64,0.53
2017-09-04,索菲亚,1002572,38.70,38.70,36.90,37.11,-1.63,-4.21,"134,404","50,073",4.65,1.46
2017-09-01,索菲亚,1002572,39.67,39.67,38.50,38.74,-0.69,-1.75,"33,185","12,914",2.97,0.36
2017-08-31,索菲亚,1002572,39.21,39.59,39.10,39.43,0.33,0.84,"19,503","7,673",1.25,0.21
2017-08-30,索菲亚,1002572,38.85,39.24,38.78,39.10,0.26,0.67,"23,612","9,218",1.18,0.26
2017-08-29,索菲亚,1002572,39.08,39.09,38.70,38.84,-0.16,-0.41,"22,875","8,891",1.00,0.25
2017-08-28,索菲亚,1002572,38.97,39.30,38.52,39.00,0.03,0.08,"25,560","9,946",2.00,0.28
2017-08-25,索菲亚,1002572,38.92,39.35,38.70,38.97,-0.14,-0.36,"20,149","7,847",1.66,0.22
2017-08-24,索菲亚,1002572,38.98,39.20,38.80,39.11,0.10,0.26,"12,903","5,036",1.03,0.14
2017-08-23,索菲亚,1002572,39.38,39.38,38.80,39.01,-0.29,-0.74,"12,650","4,930",1.48,0.14
2017-08-22,索菲亚,1002572,39.30,39.95,38.90,39.30,-0.21,-0.53,"21,189","8,335",2.66,0.23
2017-08-21,索菲亚,1002572,38.98,39.65,38.93,39.51,0.58,1.49,"15,972","6,286",1.85,0.17
2017-08-18,索菲亚,1002572,38.91,38.97,38.57,38.93,-0.02,-0.05,"13,298","5,150",1.03,0.14
2017-08-17,索菲亚,1002572,39.02,39.42,38.68,38.95,-0.24,-0.61,"15,910","6,186",1.89,0.17
2017-08-16,索菲亚,1002572,39.60,39.65,38.70,39.19,-0.48,-1.21,"31,649","12,412",2.39,0.34
2017-08-15,索菲亚,1002572,40.09,40.40,39.18,39.67,-0.38,-0.95,"29,586","11,725",3.05,0.32
2017-08-14,索菲亚,1002572,39.45,40.49,39.45,40.05,0.98,2.51,"42,533","17,061",2.66,0.46
2017-08-11,索菲亚,1002572,39.24,39.48,39.00,39.07,-0.22,-0.56,"14,797","5,798",1.22,0.16
2017-08-10,索菲亚,1002572,39.49,39.51,39.03,39.29,0.09,0.23,"26,531","10,407",1.22,0.29
2017-08-09,索菲亚,1002572,38.74,39.79,38.42,39.20,0.47,1.21,"28,777","11,245",3.54,0.31
2017-08-08,索菲亚,1002572,38.34,38.99,38.20,38.73,0.27,0.70,"27,741","10,692",2.05,0.30
2017-08-07,索菲亚,1002572,37.70,38.52,37.03,38.46,0.70,1.85,"45,749","17,386",3.95,0.50
2017-08-04,索菲亚,1002572,38.12,38.57,37.50,37.76,-0.54,-1.41,"38,803","14,663",2.79,0.42
2017-08-03,索菲亚,1002572,38.94,38.94,38.00,38.30,-0.70,-1.79,"27,539","10,604",2.41,0.30
2017-08-02,索菲亚,1002572,39.32,39.70,38.51,39.00,-0.37,-0.94,"41,519","16,142",3.02,0.45
2017-08-01,索菲亚,1002572,39.20,39.76,39.11,39.37,-0.08,-0.20,"24,518","9,650",1.65,0.27
2017-07-31,索菲亚,1002572,40.27,40.27,38.90,39.45,-0.86,-2.13,"41,034","16,144",3.40,0.47
2017-07-28,索菲亚,1002572,39.38,40.50,39.06,40.31,0.91,2.31,"24,818","9,867",3.65,0.28
2017-07-27,索菲亚,1002572,39.89,39.89,38.85,39.40,-0.66,-1.65,"48,653","19,098",2.60,0.55
2017-07-26,索菲亚,1002572,41.45,41.88,39.90,40.06,-1.44,-3.47,"30,002","12,166",4.77,0.34
2017-07-25,索菲亚,1002572,40.70,42.15,40.70,41.50,0.76,1.87,"44,777","18,647",3.56,0.51
2017-07-24,索菲亚,1002572,40.04,41.00,39.81,40.74,0.71,1.77,"35,083","14,308",2.97,0.40
2017-07-21,索菲亚,1002572,40.10,40.48,39.50,40.03,0.06,0.15,"26,668","10,696",2.45,0.30
2017-07-20,索菲亚,1002572,39.48,40.00,39.10,39.97,0.49,1.24,"32,263","12,829",2.28,0.37
2017-07-19,索菲亚,1002572,39.35,40.19,39.11,39.48,-0.14,-0.35,"22,841","9,059",2.73,0.26
2017-07-18,索菲亚,1002572,39.10,39.99,39.02,39.62,0.02,0.05,"25,468","10,096",2.45,0.29
2017-07-17,索菲亚,1002572,40.00,40.39,38.00,39.60,0.60,1.54,"61,126","24,323",6.13,0.69
2017-07-14,索菲亚,1002572,38.08,39.05,38.02,39.00,0.92,2.42,"41,683","16,108",2.70,0.47
2017-07-13,索菲亚,1002572,38.34,38.75,37.79,38.08,-0.52,-1.35,"44,629","17,028",2.49,0.51
2017-07-12,索菲亚,1002572,39.47,39.47,37.50,38.60,-0.65,-1.66,"97,087","37,078",5.02,1.10
2017-07-11,索菲亚,1002572,38.54,39.63,38.22,39.25,0.60,1.55,"28,083","10,995",3.65,0.32
2017-07-10,索菲亚,1002572,38.98,39.20,38.00,38.65,-0.31,-0.80,"45,243","17,363",3.08,0.51
2017-07-07,索菲亚,1002572,39.50,39.89,38.63,38.96,-0.66,-1.67,"37,745","14,799",3.18,0.43
2017-07-06,索菲亚,1002572,39.77,39.99,39.47,39.62,-0.15,-0.38,"16,858","6,691",1.31,0.19
2017-07-05,索菲亚,1002572,39.60,40.01,39.30,39.77,0.17,0.43,"28,186","11,202",1.79,0.32
2017-07-04,索菲亚,1002572,40.15,40.47,39.20,39.60,-0.75,-1.86,"30,467","12,106",3.15,0.35
2017-07-03,索菲亚,1002572,40.95,41.58,40.20,40.35,-0.65,-1.59,"27,410","11,124",3.37,0.31
2017-06-30,索菲亚,1002572,40.07,41.00,39.75,41.00,0.87,2.17,"36,080","14,655",3.11,0.41
2017-06-29,索菲亚,1002572,40.15,40.60,39.50,40.13,-0.01,-0.02,"44,362","17,720",2.74,0.50
2017-06-28,索菲亚,1002572,41.02,41.02,40.01,40.14,-0.86,-2.10,"23,167","9,366",2.46,0.26
2017-06-27,索菲亚,1002572,41.20,41.20,40.67,41.00,0.01,0.02,"22,484","9,189",1.29,0.25
2017-06-26,索菲亚,1002572,40.00,41.10,39.91,40.99,0.97,2.42,"39,423","16,044",2.97,0.45
2017-06-23,索菲亚,1002572,39.74,40.09,39.41,40.02,0.32,0.81,"23,465","9,327",1.71,0.27
2017-06-22,索菲亚,1002572,39.90,40.73,39.70,39.70,-0.19,-0.48,"34,630","13,944",2.58,0.39
2017-06-21,索菲亚,1002572,39.07,40.08,38.81,39.89,0.99,2.55,"37,206","14,658",3.26,0.42
2017-06-20,索菲亚,1002572,39.00,39.08,38.35,38.90,-0.28,-0.71,"42,707","16,509",1.86,0.48
2017-06-19,索菲亚,1002572,38.75,39.43,38.70,39.18,0.51,1.32,"34,106","13,311",1.89,0.39
2017-06-16,索菲亚,1002572,39.47,39.48,38.45,38.67,-0.83,-2.10,"42,075","16,340",2.61,0.48
2017-06-15,索菲亚,1002572,38.30,39.50,38.30,39.50,1.02,2.65,"31,572","12,337",3.12,0.36
2017-06-14,索菲亚,1002572,39.30,39.45,38.26,38.48,-0.92,-2.34,"48,572","18,777",3.02,0.55
2017-06-13,索菲亚,1002572,38.86,39.75,38.85,39.40,0.35,0.90,"43,350","17,006",2.30,0.49
2017-06-12,索菲亚,1002572,39.98,40.39,38.96,39.05,-1.32,-3.27,"63,420","24,992",3.54,0.72
2017-06-09,索菲亚,1002572,40.10,40.58,39.26,40.37,0.25,0.62,"46,408","18,477",3.29,0.53
2017-06-08,索菲亚,1002572,39.70,41.20,39.65,40.12,0.42,1.06,"36,599","14,780",3.90,0.42
2017-06-07,索菲亚,1002572,38.95,40.70,38.74,39.70,0.70,1.79,"45,794","18,297",5.03,0.52
