日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,ST广田,1002482,9.01,9.13,8.95,9.04,-0.02,-0.22,"76,173","6,876",1.99,0.58
2017-09-28,ST广田,1002482,9.06,9.16,8.95,9.06,0.00,0.00,"66,138","5,996",2.32,0.50
2017-09-27,ST广田,1002482,8.78,9.49,8.73,9.06,0.26,2.95,"93,445","8,517",8.64,0.71
2017-09-26,ST广田,1002482,8.75,8.86,8.69,8.80,0.02,0.23,"58,549","5,141",1.94,0.45
2017-09-25,ST广田,1002482,8.88,8.93,8.77,8.78,-0.10,-1.13,"47,603","4,212",1.80,0.36
2017-09-22,ST广田,1002482,9.00,9.05,8.87,8.88,-0.15,-1.66,"67,783","6,048",1.99,0.52
2017-09-21,ST广田,1002482,9.24,9.24,9.02,9.03,-0.18,-1.95,"94,510","8,598",2.39,0.72
2017-09-20,ST广田,1002482,9.26,9.27,9.13,9.21,-0.08,-0.86,"78,608","7,228",1.51,0.60
2017-09-19,ST广田,1002482,9.39,9.46,9.21,9.29,-0.04,-0.43,"107,906","10,064",2.68,0.82
2017-09-18,ST广田,1002482,9.16,9.39,9.13,9.33,0.16,1.74,"109,606","10,157",2.84,0.84
2017-09-15,ST广田,1002482,9.08,9.18,9.02,9.17,0.08,0.88,"68,560","6,252",1.76,0.52
2017-09-14,ST广田,1002482,9.05,9.17,9.02,9.09,-0.08,-0.87,"77,510","7,054",1.64,0.59
2017-09-13,ST广田,1002482,9.25,9.28,9.05,9.17,-0.01,-0.11,"101,993","9,344",2.51,0.78
2017-09-12,ST广田,1002482,9.44,9.57,9.15,9.18,-0.31,-3.27,"124,049","11,630",4.43,0.95
2017-09-11,ST广田,1002482,9.40,9.50,9.31,9.49,0.03,0.32,"99,074","9,339",2.01,0.76
2017-09-08,ST广田,1002482,9.27,9.50,9.21,9.46,0.20,2.16,"156,892","14,731",3.13,1.20
2017-09-07,ST广田,1002482,9.30,9.38,9.18,9.26,-0.02,-0.22,"112,537","10,450",2.16,0.86
2017-09-06,ST广田,1002482,9.11,9.36,9.07,9.28,0.19,2.09,"117,167","10,807",3.19,0.89
2017-09-05,ST广田,1002482,9.15,9.19,9.05,9.09,-0.08,-0.87,"75,274","6,862",1.53,0.57
2017-09-04,ST广田,1002482,9.15,9.26,9.12,9.17,0.00,0.00,"69,502","6,393",1.53,0.53
