日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,中国电建,0601669,7.21,7.25,7.20,7.22,0.00,0.00,"56,880","4,106",0.69,0.06
2017-12-28,中国电建,0601669,7.24,7.25,7.20,7.22,-0.04,-0.55,"77,454","5,594",0.69,0.08
2017-12-27,中国电建,0601669,7.28,7.31,7.21,7.26,-0.04,-0.55,"130,536","9,453",1.37,0.14
2017-12-26,中国电建,0601669,7.31,7.34,7.27,7.30,-0.03,-0.41,"90,009","6,561",0.96,0.09
2017-12-25,中国电建,0601669,7.23,7.36,7.23,7.33,0.07,0.96,"140,633","10,296",1.79,0.15
2017-12-22,中国电建,0601669,7.27,7.31,7.25,7.26,-0.03,-0.41,"69,474","5,057",0.82,0.07
2017-12-21,中国电建,0601669,7.33,7.35,7.26,7.29,-0.07,-0.95,"79,179","5,785",1.22,0.08
2017-12-20,中国电建,0601669,7.36,7.37,7.27,7.36,0.02,0.27,"147,984","10,831",1.36,0.15
2017-12-19,中国电建,0601669,7.37,7.39,7.34,7.34,-0.05,-0.68,"78,230","5,751",0.68,0.08
2017-12-18,中国电建,0601669,7.36,7.42,7.22,7.39,0.01,0.14,"132,670","9,722",2.71,0.14
2017-12-15,中国电建,0601669,7.41,7.46,7.33,7.38,-0.03,-0.40,"112,914","8,338",1.75,0.12
2017-12-14,中国电建,0601669,7.48,7.50,7.38,7.41,-0.09,-1.20,"121,123","9,004",1.60,0.13
2017-12-13,中国电建,0601669,7.48,7.53,7.46,7.50,0.01,0.13,"76,803","5,762",0.93,0.08
2017-12-12,中国电建,0601669,7.51,7.55,7.47,7.49,-0.02,-0.27,"121,665","9,144",1.07,0.13
2017-12-11,中国电建,0601669,7.53,7.56,7.48,7.51,0.00,0.00,"137,989","10,367",1.07,0.14
2017-12-08,中国电建,0601669,7.54,7.55,7.47,7.51,-0.02,-0.27,"189,909","14,256",1.06,0.20
2017-12-07,中国电建,0601669,7.51,7.59,7.49,7.53,0.01,0.13,"173,462","13,092",1.33,0.18
2017-12-06,中国电建,0601669,7.53,7.59,7.48,7.52,-0.06,-0.79,"227,294","17,144",1.45,0.24
2017-12-05,中国电建,0601669,7.40,7.62,7.40,7.58,0.18,2.43,"651,896","49,117",2.97,0.68
2017-12-04,中国电建,0601669,7.33,7.42,7.30,7.40,0.04,0.54,"164,202","12,129",1.63,0.17
2017-12-01,中国电建,0601669,7.26,7.40,7.24,7.36,0.09,1.24,"210,744","15,491",2.20,0.22
2017-11-30,中国电建,0601669,7.25,7.38,7.21,7.27,0.02,0.28,"185,118","13,525",2.34,0.19
2017-11-29,中国电建,0601669,7.32,7.33,7.18,7.25,-0.06,-0.82,"184,097","13,318",2.05,0.19
2017-11-28,中国电建,0601669,7.35,7.36,7.25,7.31,-0.02,-0.27,"110,480","8,053",1.50,0.12
2017-11-27,中国电建,0601669,7.38,7.47,7.32,7.33,0.05,0.69,"195,158","14,420",2.06,0.20
2017-11-24,中国电建,0601669,7.21,7.31,7.21,7.28,0.00,0.00,"168,734","12,279",1.37,0.18
2017-11-23,中国电建,0601669,7.42,7.47,7.16,7.28,-0.16,-2.15,"330,012","24,222",4.17,0.34
2017-11-22,中国电建,0601669,7.38,7.50,7.34,7.44,0.05,0.68,"352,401","26,217",2.17,0.37
2017-11-21,中国电建,0601669,7.37,7.45,7.31,7.39,0.03,0.41,"233,841","17,307",1.90,0.24
2017-11-20,中国电建,0601669,7.33,7.43,7.29,7.36,-0.03,-0.41,"223,702","16,450",1.89,0.23
2017-11-17,中国电建,0601669,7.19,7.42,7.03,7.39,0.20,2.78,"691,435","50,174",5.42,0.72
2017-11-16,中国电建,0601669,7.27,7.30,7.19,7.19,-0.11,-1.51,"217,826","15,781",1.51,0.23
2017-11-15,中国电建,0601669,7.30,7.35,7.27,7.30,-0.01,-0.14,"244,166","17,832",1.09,0.25
2017-11-14,中国电建,0601669,7.38,7.41,7.28,7.31,-0.04,-0.54,"313,871","23,044",1.77,0.33
2017-11-13,中国电建,0601669,7.46,7.52,7.35,7.35,-0.12,-1.61,"303,310","22,461",2.28,0.32
2017-11-10,中国电建,0601669,7.63,7.63,7.47,7.47,-0.15,-1.97,"314,354","23,637",2.10,0.33
2017-11-09,中国电建,0601669,7.65,7.65,7.59,7.62,-0.03,-0.39,"211,269","16,095",0.78,0.22
2017-11-08,中国电建,0601669,7.64,7.68,7.60,7.65,0.01,0.13,"206,743","15,788",1.05,0.22
2017-11-07,中国电建,0601669,7.64,7.68,7.61,7.64,0.02,0.26,"189,210","14,455",0.92,0.20
2017-11-06,中国电建,0601669,7.73,7.77,7.59,7.62,-0.17,-2.18,"321,696","24,538",2.31,0.34
2017-11-03,中国电建,0601669,7.81,7.84,7.57,7.79,-0.06,-0.76,"508,966","39,281",3.44,0.53
2017-11-02,中国电建,0601669,7.82,7.87,7.78,7.85,-0.01,-0.13,"339,411","26,580",1.15,0.35
2017-11-01,中国电建,0601669,7.81,7.93,7.80,7.86,0.04,0.51,"382,493","30,091",1.66,0.40
2017-10-31,中国电建,0601669,7.86,7.91,7.79,7.82,-0.12,-1.51,"210,898","16,527",1.51,0.22
2017-10-30,中国电建,0601669,7.97,7.97,7.76,7.94,-0.02,-0.25,"427,809","33,631",2.64,0.45
2017-10-27,中国电建,0601669,8.05,8.06,7.93,7.96,-0.12,-1.49,"266,269","21,290",1.61,0.28
2017-10-26,中国电建,0601669,7.98,8.14,7.95,8.08,0.10,1.25,"579,300","46,792",2.38,0.60
2017-10-25,中国电建,0601669,7.99,8.01,7.95,7.98,-0.02,-0.25,"153,133","12,228",0.75,0.16
2017-10-24,中国电建,0601669,7.89,8.02,7.88,8.00,0.12,1.52,"400,176","31,909",1.78,0.42
2017-10-23,中国电建,0601669,7.92,7.94,7.86,7.88,-0.06,-0.76,"161,367","12,714",1.01,0.17
2017-10-20,中国电建,0601669,7.96,7.98,7.92,7.94,-0.05,-0.63,"119,938","9,523",0.75,0.12
2017-10-19,中国电建,0601669,7.93,8.00,7.87,7.99,0.04,0.50,"327,289","25,985",1.64,0.34
2017-10-18,中国电建,0601669,7.88,7.97,7.85,7.95,0.09,1.15,"287,994","22,807",1.53,0.30
2017-10-17,中国电建,0601669,7.91,7.92,7.85,7.86,-0.06,-0.76,"174,045","13,715",0.88,0.18
2017-10-16,中国电建,0601669,7.91,7.98,7.90,7.92,0.00,0.00,"201,867","16,030",1.01,0.21
2017-10-13,中国电建,0601669,7.92,7.95,7.88,7.92,-0.01,-0.13,"207,237","16,393",0.88,0.22
2017-10-12,中国电建,0601669,8.01,8.03,7.91,7.93,-0.09,-1.12,"279,299","22,225",1.50,0.29
2017-10-11,中国电建,0601669,8.04,8.07,8.00,8.02,-0.02,-0.25,"197,670","15,868",0.87,0.21
2017-10-10,中国电建,0601669,8.03,8.05,8.01,8.04,0.03,0.37,"153,054","12,287",0.50,0.16
2017-10-09,中国电建,0601669,8.08,8.12,8.01,8.01,-0.02,-0.25,"345,028","27,803",1.37,0.36
2017-06-30,中国电建,0601669,7.90,7.97,7.82,7.92,-0.01,-0.13,"333,296","26,328",1.89,0.35
2017-06-29,中国电建,0601669,7.93,7.97,7.91,7.93,-0.01,-0.13,"220,855","17,521",0.76,0.23
2017-06-28,中国电建,0601669,8.00,8.06,7.92,7.94,-0.09,-1.12,"376,363","30,037",1.74,0.39
2017-06-27,中国电建,0601669,8.00,8.05,7.95,8.03,0.03,0.38,"374,992","30,014",1.25,0.39
2017-06-26,中国电建,0601669,7.95,8.06,7.94,8.00,0.01,0.13,"423,984","33,959",1.50,0.44
2017-06-23,中国电建,0601669,7.92,8.00,7.84,7.99,0.06,0.76,"457,077","36,243",2.02,0.48
2017-06-22,中国电建,0601669,7.89,8.03,7.85,7.93,0.04,0.51,"570,904","45,370",2.28,0.59
2017-06-21,中国电建,0601669,7.84,7.92,7.80,7.89,0.11,1.41,"339,116","26,683",1.54,0.35
2017-06-20,中国电建,0601669,7.84,7.87,7.77,7.78,-0.05,-0.64,"255,812","19,964",1.28,0.27
2017-06-19,中国电建,0601669,7.77,7.88,7.77,7.83,0.05,0.64,"222,142","17,393",1.41,0.23
2017-06-16,中国电建,0601669,7.91,7.94,7.75,7.78,-0.13,-1.64,"348,759","27,305",2.40,0.36
2017-06-15,中国电建,0601669,7.92,7.97,7.90,7.91,-0.01,-0.13,"259,854","20,590",0.88,0.27
2017-06-14,中国电建,0601669,8.06,8.07,7.88,7.92,-0.16,-1.98,"457,030","36,308",2.35,0.48
2017-06-13,中国电建,0601669,8.06,8.15,8.01,8.08,-0.01,-0.12,"292,267","23,582",1.73,0.30
2017-06-12,中国电建,0601669,8.11,8.13,8.03,8.09,-0.02,-0.25,"393,636","31,797",1.23,0.41
2017-06-09,中国电建,0601669,7.89,8.17,7.89,8.11,0.18,2.27,"807,788","65,425",3.53,0.84
2017-06-08,中国电建,0601669,8.02,8.02,7.93,7.93,-0.09,-1.12,"268,780","21,404",1.12,0.28
2017-06-07,中国电建,0601669,7.93,8.02,7.90,8.02,0.10,1.26,"383,794","30,633",1.52,0.40
2017-06-06,中国电建,0601669,7.86,7.93,7.84,7.92,0.03,0.38,"245,684","19,376",1.14,0.26
2017-06-05,中国电建,0601669,7.96,7.98,7.86,7.89,-0.06,-0.75,"277,769","21,990",1.51,0.29
2017-06-02,中国电建,0601669,7.96,8.00,7.85,7.95,-0.05,-0.63,"394,747","31,348",1.88,0.41
2017-06-01,中国电建,0601669,7.90,8.02,7.83,8.00,0.06,0.76,"747,717","59,576",2.39,0.78
2017-05-31,中国电建,0601669,7.91,7.98,7.80,7.94,0.08,1.02,"678,007","53,461",2.29,0.71
2017-05-26,中国电建,0601669,7.68,8.03,7.65,7.86,0.17,2.21,"791,143","62,068",4.94,0.82
2017-05-25,中国电建,0601669,7.60,7.77,7.52,7.69,0.04,0.52,"539,035","41,398",3.27,0.56
2017-05-24,中国电建,0601669,7.56,7.65,7.48,7.65,0.00,0.00,"359,384","27,216",2.22,0.37
2017-05-23,中国电建,0601669,7.48,7.66,7.36,7.65,0.10,1.32,"713,887","53,724",3.97,0.74
2017-05-22,中国电建,0601669,7.73,7.75,7.36,7.55,-0.20,-2.58,"912,091","68,615",5.03,0.95
2017-05-19,中国电建,0601669,7.82,7.87,7.66,7.75,-0.08,-1.02,"606,380","46,961",2.68,0.63
2017-05-18,中国电建,0601669,7.95,8.02,7.77,7.83,-0.20,-2.49,"700,707","55,115",3.11,0.73
2017-05-17,中国电建,0601669,7.92,8.10,7.88,8.03,0.08,1.01,"674,149","54,109",2.77,0.70
2017-05-16,中国电建,0601669,7.93,7.96,7.65,7.95,-0.03,-0.38,"924,878","72,217",3.88,0.96
2017-05-15,中国电建,0601669,8.17,8.23,7.94,7.98,-0.11,-1.36,"860,060","69,122",3.58,0.90
2017-05-12,中国电建,0601669,8.20,8.27,8.05,8.09,-0.16,-1.94,"886,166","72,173",2.67,0.92
2017-05-11,中国电建,0601669,7.85,8.32,7.82,8.25,0.21,2.61,"1,280,660","103,408",6.22,1.33
2017-05-10,中国电建,0601669,8.48,8.58,8.00,8.04,-0.42,-4.96,"1,424,133","118,220",6.86,1.48
2017-05-09,中国电建,0601669,8.48,8.58,8.29,8.46,-0.17,-1.97,"988,345","83,278",3.36,1.03
2017-05-08,中国电建,0601669,8.70,8.85,8.26,8.63,-0.12,-1.37,"2,430,730","207,888",6.74,2.53
2017-05-05,中国电建,0601669,8.60,8.86,8.56,8.75,0.06,0.69,"2,218,195","193,753",3.45,2.31
2017-05-04,中国电建,0601669,8.14,9.00,8.05,8.69,0.51,6.23,"2,539,582","218,765",11.61,2.65
2017-05-03,中国电建,0601669,8.35,8.47,8.11,8.18,-0.24,-2.85,"1,051,275","87,004",4.28,1.10
2017-05-02,中国电建,0601669,8.38,8.57,8.31,8.42,0.10,1.20,"996,327","84,088",3.13,1.04
2017-04-28,中国电建,0601669,8.11,8.33,8.11,8.32,0.13,1.59,"868,041","71,564",2.69,0.90
