日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,中国铁建,0601186,12.06,12.08,11.99,12.03,-0.06,-0.50,"205,330","24,702",0.74,0.18
2017-06-29,中国铁建,0601186,12.11,12.21,12.05,12.09,-0.02,-0.17,"281,095","34,025",1.32,0.24
2017-06-28,中国铁建,0601186,12.10,12.25,12.03,12.11,-0.05,-0.41,"423,940","51,433",1.81,0.37
2017-06-27,中国铁建,0601186,12.02,12.17,11.90,12.16,0.19,1.59,"566,545","68,398",2.26,0.49
2017-06-26,中国铁建,0601186,11.88,12.05,11.84,11.97,0.10,0.84,"403,481","48,228",1.77,0.35
2017-06-23,中国铁建,0601186,11.90,11.93,11.64,11.87,-0.06,-0.50,"468,980","55,315",2.43,0.41
2017-06-22,中国铁建,0601186,11.82,12.09,11.77,11.93,0.11,0.93,"617,343","73,721",2.71,0.54
2017-06-21,中国铁建,0601186,11.79,11.88,11.75,11.82,0.08,0.68,"266,058","31,420",1.11,0.23
2017-06-20,中国铁建,0601186,11.81,11.83,11.72,11.74,-0.05,-0.42,"207,653","24,392",0.93,0.18
2017-06-19,中国铁建,0601186,11.73,11.81,11.69,11.79,0.10,0.86,"222,655","26,201",1.03,0.19
2017-06-16,中国铁建,0601186,11.77,11.85,11.68,11.69,-0.11,-0.93,"205,242","24,091",1.44,0.18
2017-06-15,中国铁建,0601186,11.66,11.84,11.65,11.80,0.09,0.77,"255,581","30,101",1.62,0.22
2017-06-14,中国铁建,0601186,12.00,12.02,11.69,11.71,-0.36,-2.98,"489,202","57,902",2.73,0.43
2017-06-13,中国铁建,0601186,12.09,12.14,12.02,12.07,-0.07,-0.58,"270,445","32,628",0.99,0.24
2017-06-12,中国铁建,0601186,12.17,12.30,12.08,12.14,-0.12,-0.98,"356,454","43,361",1.79,0.31
2017-06-09,中国铁建,0601186,12.07,12.33,12.04,12.26,0.20,1.66,"556,493","68,062",2.40,0.48
2017-06-08,中国铁建,0601186,12.15,12.15,12.02,12.06,-0.10,-0.82,"274,183","33,119",1.07,0.24
2017-06-07,中国铁建,0601186,12.09,12.17,12.02,12.16,0.08,0.66,"378,531","45,807",1.24,0.33
2017-06-06,中国铁建,0601186,12.06,12.11,11.96,12.08,0.00,0.00,"230,349","27,755",1.24,0.20
2017-06-05,中国铁建,0601186,12.20,12.24,12.06,12.08,-0.09,-0.74,"245,141","29,740",1.48,0.21
2017-06-02,中国铁建,0601186,12.20,12.28,12.11,12.17,-0.05,-0.41,"319,571","38,977",1.39,0.28
2017-06-01,中国铁建,0601186,12.01,12.25,11.94,12.22,0.16,1.33,"648,819","78,711",2.57,0.56
2017-05-31,中国铁建,0601186,11.96,12.10,11.84,12.06,0.15,1.26,"468,779","56,196",2.18,0.41
2017-05-26,中国铁建,0601186,11.90,12.04,11.87,11.91,0.04,0.34,"428,169","51,137",1.43,0.37
2017-05-25,中国铁建,0601186,11.68,11.94,11.60,11.87,0.16,1.37,"411,217","48,452",2.90,0.36
2017-05-24,中国铁建,0601186,11.60,11.73,11.43,11.71,0.03,0.26,"375,224","43,519",2.57,0.33
2017-05-23,中国铁建,0601186,11.45,11.70,11.28,11.68,0.14,1.21,"642,742","73,963",3.64,0.56
2017-05-22,中国铁建,0601186,11.59,11.59,11.20,11.54,-0.05,-0.43,"594,516","67,683",3.37,0.52
2017-05-19,中国铁建,0601186,11.80,11.88,11.49,11.59,-0.26,-2.19,"540,854","63,064",3.29,0.47
2017-05-18,中国铁建,0601186,11.90,12.01,11.78,11.85,-0.14,-1.17,"409,345","48,588",1.92,0.36
2017-05-17,中国铁建,0601186,12.03,12.19,11.95,11.99,-0.10,-0.83,"505,601","61,017",1.99,0.44
2017-05-16,中国铁建,0601186,12.38,12.39,11.71,12.09,-0.33,-2.66,"1,052,904","125,905",5.48,0.92
2017-05-15,中国铁建,0601186,12.79,12.86,12.38,12.42,-0.25,-1.97,"578,348","72,533",3.79,0.50
2017-05-12,中国铁建,0601186,12.64,12.78,12.59,12.67,0.01,0.08,"398,184","50,560",1.50,0.35
2017-05-11,中国铁建,0601186,12.40,12.71,12.31,12.66,0.16,1.28,"541,565","67,838",3.20,0.47
2017-05-10,中国铁建,0601186,12.80,12.93,12.36,12.50,-0.25,-1.96,"568,609","71,880",4.47,0.49
2017-05-09,中国铁建,0601186,12.80,12.86,12.62,12.75,-0.18,-1.39,"364,104","46,421",1.86,0.32
2017-05-08,中国铁建,0601186,12.96,13.06,12.32,12.93,-0.12,-0.92,"1,334,152","169,771",5.67,1.16
2017-05-05,中国铁建,0601186,12.92,13.20,12.71,13.05,0.00,0.00,"694,001","90,060",3.75,0.60
2017-05-04,中国铁建,0601186,12.80,13.34,12.60,13.05,0.15,1.16,"846,373","110,099",5.74,0.74
2017-05-03,中国铁建,0601186,13.06,13.12,12.79,12.90,-0.20,-1.53,"501,136","64,867",2.52,0.44
2017-05-02,中国铁建,0601186,13.05,13.29,13.01,13.10,0.06,0.46,"512,795","67,404",2.15,0.45
2017-04-28,中国铁建,0601186,12.90,13.12,12.85,13.04,0.02,0.15,"353,535","45,965",2.07,0.31
2017-04-27,中国铁建,0601186,12.78,13.11,12.43,13.02,0.16,1.24,"891,123","113,630",5.29,0.77
2017-04-26,中国铁建,0601186,13.10,13.23,12.81,12.86,-0.21,-1.61,"638,543","83,041",3.21,0.56
2017-04-25,中国铁建,0601186,13.18,13.31,12.81,13.07,-0.32,-2.39,"625,387","81,686",3.73,0.54
2017-04-24,中国铁建,0601186,14.09,14.10,13.04,13.39,-0.80,-5.64,"1,441,263","193,797",7.47,1.25
2017-04-21,中国铁建,0601186,14.11,14.26,13.86,14.19,0.10,0.71,"913,827","128,787",2.84,0.79
2017-04-20,中国铁建,0601186,13.75,14.12,13.70,14.09,0.29,2.10,"872,252","121,609",3.04,0.76
2017-04-19,中国铁建,0601186,13.83,13.97,13.40,13.80,-0.09,-0.65,"958,481","131,636",4.10,0.83
2017-04-18,中国铁建,0601186,14.09,14.20,13.85,13.89,-0.13,-0.93,"797,386","111,926",2.50,0.69
2017-04-17,中国铁建,0601186,13.90,14.15,13.86,14.02,0.12,0.86,"712,968","99,790",2.09,0.62
2017-04-14,中国铁建,0601186,13.93,14.14,13.80,13.90,0.00,0.00,"613,526","85,691",2.45,0.53
2017-04-13,中国铁建,0601186,13.88,14.03,13.75,13.90,-0.01,-0.07,"457,468","63,435",2.01,0.40
2017-04-12,中国铁建,0601186,14.10,14.14,13.77,13.91,-0.27,-1.90,"743,822","103,570",2.61,0.65
