日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-12-31,中岩大地,1003001,30.84,31.21,30.68,30.89,0.10,0.32,"7,310","2,261",1.72,3.01
2020-12-30,中岩大地,1003001,30.30,31.13,30.10,30.79,0.49,1.62,"7,702","2,362",3.40,3.17
2020-12-29,中岩大地,1003001,30.08,30.47,30.02,30.30,0.09,0.30,"7,450","2,251",1.49,3.07
2020-12-28,中岩大地,1003001,30.82,31.22,30.18,30.21,-0.68,-2.20,"8,207","2,514",3.37,3.38
2020-12-25,中岩大地,1003001,30.52,31.07,30.40,30.89,0.47,1.55,"8,415","2,589",2.20,3.46
2020-12-24,中岩大地,1003001,31.55,31.86,30.30,30.42,-1.03,-3.28,"11,661","3,609",4.96,4.80
2020-12-23,中岩大地,1003001,32.29,32.53,31.11,31.45,-0.94,-2.90,"15,186","4,810",4.38,6.25
2020-12-22,中岩大地,1003001,33.12,33.43,32.39,32.39,-0.74,-2.23,"9,992","3,288",3.14,4.11
2020-12-21,中岩大地,1003001,33.46,33.47,32.83,33.13,-0.36,-1.07,"8,232","2,723",1.91,3.39
2020-12-18,中岩大地,1003001,34.43,34.47,33.46,33.49,-0.94,-2.73,"10,205","3,460",2.93,4.20
2020-12-17,中岩大地,1003001,34.77,34.77,33.81,34.43,-0.35,-1.01,"9,965","3,412",2.76,4.10
2020-12-16,中岩大地,1003001,34.76,35.12,34.50,34.78,0.06,0.17,"7,338","2,553",1.79,3.02
2020-12-15,中岩大地,1003001,35.15,35.15,34.59,34.72,-0.33,-0.94,"9,803","3,416",1.60,4.04
2020-12-14,中岩大地,1003001,35.12,35.34,34.82,35.05,-0.14,-0.40,"6,450","2,263",1.48,2.65
2020-12-11,中岩大地,1003001,35.92,35.92,34.85,35.19,-0.73,-2.03,"11,630","4,097",2.98,4.79
2020-12-10,中岩大地,1003001,35.66,36.42,35.66,35.92,0.10,0.28,"7,659","2,758",2.12,3.15
2020-12-09,中岩大地,1003001,36.30,36.50,35.80,35.82,-0.48,-1.32,"8,066","2,919",1.93,3.32
2020-12-08,中岩大地,1003001,36.50,36.76,36.25,36.30,-0.22,-0.60,"9,843","3,591",1.40,4.05
2020-12-07,中岩大地,1003001,37.20,37.24,36.51,36.52,-0.77,-2.06,"15,773","5,811",1.96,6.49
2020-12-04,中岩大地,1003001,38.02,38.19,37.27,37.29,-0.91,-2.38,"19,480","7,318",2.41,8.02
2020-12-03,中岩大地,1003001,38.59,40.19,37.97,38.20,-0.53,-1.37,"24,068","9,284",5.73,9.91
2020-12-02,中岩大地,1003001,38.10,39.50,37.50,38.73,0.59,1.55,"36,697","14,202",5.24,15.11
2020-12-01,中岩大地,1003001,38.92,38.93,38.10,38.14,-1.10,-2.80,"36,236","13,904",2.12,14.92
2020-11-30,中岩大地,1003001,37.90,39.80,37.89,39.24,1.44,3.81,"45,558","17,739",5.05,18.75
2020-11-27,中岩大地,1003001,36.97,37.90,36.70,37.80,0.74,2.00,"18,838","7,024",3.24,7.75
2020-11-26,中岩大地,1003001,37.25,37.59,36.82,37.06,-0.28,-0.75,"11,638","4,329",2.06,4.79
2020-11-25,中岩大地,1003001,37.50,37.83,36.65,37.34,-0.07,-0.19,"21,046","7,849",3.15,8.66
2020-11-24,中岩大地,1003001,37.58,37.80,37.22,37.41,-0.30,-0.80,"13,555","5,067",1.54,5.58
2020-11-23,中岩大地,1003001,37.85,37.87,37.16,37.71,-0.14,-0.37,"14,190","5,327",1.88,5.84
2020-11-20,中岩大地,1003001,38.13,38.60,37.42,37.85,-0.61,-1.59,"26,442","10,011",3.07,10.88
2020-11-19,中岩大地,1003001,39.97,40.40,38.33,38.46,-1.60,-3.99,"38,142","14,961",5.17,15.70
2020-11-18,中岩大地,1003001,38.45,40.49,38.06,40.06,1.36,3.51,"43,254","16,954",6.28,17.80
2020-11-17,中岩大地,1003001,38.60,38.99,37.90,38.70,-0.10,-0.26,"28,589","10,997",2.81,11.77
2020-11-16,中岩大地,1003001,36.77,38.80,36.38,38.80,2.03,5.52,"38,096","14,481",6.58,15.68
