日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,中工国际,1002051,18.00,18.49,17.91,18.43,0.43,2.39,"44,504","8,095",3.22,0.40
2017-12-28,中工国际,1002051,17.94,18.18,17.90,18.00,0.09,0.50,"33,773","6,094",1.56,0.30
2017-12-27,中工国际,1002051,18.39,18.39,17.87,17.91,-0.45,-2.45,"45,314","8,195",2.83,0.41
2017-12-26,中工国际,1002051,18.30,18.39,18.15,18.36,0.01,0.05,"20,970","3,836",1.31,0.19
2017-12-25,中工国际,1002051,18.21,18.42,18.13,18.35,0.16,0.88,"39,174","7,152",1.59,0.35
2017-12-22,中工国际,1002051,18.82,18.89,18.08,18.19,-0.52,-2.78,"65,001","11,963",4.33,0.59
2017-12-21,中工国际,1002051,18.82,18.90,18.61,18.71,-0.06,-0.32,"30,157","5,660",1.55,0.27
2017-12-20,中工国际,1002051,19.01,19.01,18.73,18.77,-0.26,-1.37,"20,948","3,953",1.47,0.19
2017-12-19,中工国际,1002051,18.31,19.10,18.31,19.03,0.63,3.42,"51,455","9,690",4.29,0.46
2017-12-18,中工国际,1002051,18.43,18.58,18.29,18.40,0.09,0.49,"25,325","4,671",1.58,0.23
2017-12-15,中工国际,1002051,18.60,18.67,18.21,18.31,-0.24,-1.29,"31,402","5,776",2.48,0.28
2017-12-14,中工国际,1002051,18.66,18.76,18.41,18.55,-0.08,-0.43,"29,246","5,429",1.88,0.26
2017-12-13,中工国际,1002051,18.65,18.75,18.54,18.63,-0.03,-0.16,"22,462","4,184",1.13,0.20
2017-12-12,中工国际,1002051,18.90,18.97,18.66,18.66,-0.26,-1.37,"23,482","4,415",1.64,0.21
2017-12-11,中工国际,1002051,18.80,18.95,18.65,18.92,0.17,0.91,"29,600","5,558",1.60,0.27
2017-12-08,中工国际,1002051,18.70,18.97,18.70,18.75,0.03,0.16,"30,558","5,752",1.44,0.28
2017-12-07,中工国际,1002051,18.63,18.77,18.52,18.72,0.10,0.54,"22,068","4,126",1.34,0.20
2017-12-06,中工国际,1002051,18.38,18.65,18.35,18.62,0.24,1.31,"26,213","4,835",1.63,0.24
2017-12-05,中工国际,1002051,18.90,18.95,18.28,18.38,-0.53,-2.80,"60,805","11,226",3.54,0.55
2017-12-04,中工国际,1002051,19.09,19.21,18.88,18.91,-0.26,-1.36,"31,292","5,957",1.72,0.28
2017-12-01,中工国际,1002051,19.19,19.28,19.13,19.17,-0.04,-0.21,"30,902","5,932",0.78,0.28
2017-11-30,中工国际,1002051,19.08,19.24,19.03,19.21,0.07,0.37,"32,256","6,179",1.10,0.29
2017-11-29,中工国际,1002051,19.10,19.21,18.94,19.14,0.01,0.05,"45,879","8,748",1.41,0.41
2017-11-28,中工国际,1002051,19.05,19.16,18.97,19.13,0.11,0.58,"35,761","6,813",1.00,0.32
2017-11-27,中工国际,1002051,19.35,19.35,18.97,19.02,-0.23,-1.19,"37,882","7,251",1.97,0.34
2017-11-24,中工国际,1002051,19.32,19.32,19.12,19.25,-0.10,-0.52,"39,321","7,550",1.03,0.35
2017-11-23,中工国际,1002051,19.23,19.57,19.19,19.35,0.03,0.16,"56,337","10,904",1.97,0.51
2017-11-22,中工国际,1002051,19.26,19.59,19.15,19.32,0.19,0.99,"65,465","12,709",2.30,0.59
2017-11-21,中工国际,1002051,19.15,19.37,19.01,19.13,-0.06,-0.31,"64,201","12,302",1.88,0.58
2017-11-20,中工国际,1002051,19.25,19.37,18.95,19.19,-0.06,-0.31,"72,576","13,845",2.18,0.65
2017-11-17,中工国际,1002051,19.92,19.97,19.04,19.25,-0.66,-3.31,"115,041","22,293",4.67,1.04
2017-11-16,中工国际,1002051,20.01,20.09,19.90,19.91,-0.15,-0.75,"50,801","10,152",0.95,0.46
2017-11-15,中工国际,1002051,20.25,20.30,20.01,20.06,-0.17,-0.84,"49,122","9,869",1.43,0.44
2017-11-14,中工国际,1002051,20.14,20.67,20.10,20.23,0.08,0.40,"92,563","18,812",2.83,0.83
2017-11-13,中工国际,1002051,20.37,20.44,20.11,20.15,-0.23,-1.13,"88,151","17,864",1.62,0.79
2017-11-10,中工国际,1002051,20.64,20.64,20.21,20.38,-0.19,-0.92,"82,978","16,864",2.09,0.75
2017-11-09,中工国际,1002051,20.25,20.74,20.21,20.57,0.27,1.33,"70,372","14,448",2.61,0.63
2017-11-08,中工国际,1002051,20.37,20.46,20.18,20.30,-0.08,-0.39,"74,199","15,063",1.37,0.67
2017-11-07,中工国际,1002051,20.60,20.77,20.33,20.38,-0.22,-1.07,"59,210","12,163",2.14,0.53
2017-11-06,中工国际,1002051,20.56,20.64,20.05,20.60,0.09,0.44,"89,111","18,075",2.88,0.80
2017-11-03,中工国际,1002051,21.03,21.18,20.38,20.51,-0.48,-2.29,"94,724","19,625",3.81,0.85
2017-11-02,中工国际,1002051,21.67,21.67,20.94,20.99,-0.68,-3.14,"83,191","17,618",3.37,0.75
2017-11-01,中工国际,1002051,21.61,22.08,21.51,21.67,0.08,0.37,"119,500","26,079",2.64,1.08
2017-10-31,中工国际,1002051,21.55,21.60,21.21,21.59,0.06,0.28,"73,560","15,750",1.81,0.66
2017-10-30,中工国际,1002051,21.64,21.92,21.08,21.53,-0.12,-0.55,"116,860","25,228",3.88,1.05
2017-10-27,中工国际,1002051,21.60,21.94,21.50,21.65,-0.05,-0.23,"108,410","23,501",2.03,0.98
2017-10-26,中工国际,1002051,21.13,22.17,20.94,21.70,0.57,2.70,"253,444","54,955",5.82,2.29
2017-10-25,中工国际,1002051,20.51,21.17,20.45,21.13,0.65,3.17,"145,475","30,397",3.52,1.31
2017-10-24,中工国际,1002051,20.32,20.55,20.32,20.48,0.17,0.84,"39,338","8,032",1.13,0.35
2017-10-23,中工国际,1002051,20.43,20.68,20.29,20.31,0.11,0.54,"47,653","9,736",1.93,0.43
2017-10-20,中工国际,1002051,20.20,20.29,20.08,20.20,0.03,0.15,"32,276","6,512",1.04,0.29
2017-10-19,中工国际,1002051,20.36,20.52,20.08,20.17,-0.33,-1.61,"42,216","8,559",2.15,0.38
2017-10-18,中工国际,1002051,20.55,20.63,20.44,20.50,-0.03,-0.15,"33,458","6,877",0.93,0.30
2017-10-17,中工国际,1002051,20.35,20.63,20.23,20.53,0.18,0.88,"39,708","8,135",1.97,0.36
2017-10-16,中工国际,1002051,20.74,20.74,20.28,20.35,-0.27,-1.31,"39,573","8,081",2.23,0.36
2017-10-13,中工国际,1002051,20.28,20.62,20.24,20.62,0.35,1.73,"55,163","11,298",1.87,0.50
2017-10-12,中工国际,1002051,20.56,20.63,20.18,20.27,-0.29,-1.41,"57,221","11,647",2.19,0.52
2017-10-11,中工国际,1002051,20.58,20.78,20.53,20.56,-0.04,-0.19,"44,511","9,183",1.21,0.40
2017-10-10,中工国际,1002051,20.45,20.61,20.32,20.60,0.21,1.03,"47,433","9,704",1.42,0.43
2017-10-09,中工国际,1002051,20.21,20.49,20.15,20.39,0.42,2.10,"62,752","12,770",1.70,0.57
2017-06-30,中工国际,1002051,21.15,21.16,20.70,20.73,-0.46,-2.17,"76,658","15,966",2.17,0.69
2017-06-29,中工国际,1002051,20.89,21.36,20.85,21.19,0.34,1.63,"64,044","13,579",2.45,0.58
2017-06-28,中工国际,1002051,21.07,21.07,20.58,20.85,-0.23,-1.09,"60,460","12,602",2.32,0.55
2017-06-27,中工国际,1002051,21.17,21.38,20.94,21.08,-0.09,-0.43,"77,634","16,425",2.08,0.70
2017-06-26,中工国际,1002051,20.36,21.23,20.35,21.17,0.68,3.32,"90,765","18,881",4.29,0.82
2017-06-23,中工国际,1002051,21.13,21.16,20.11,20.49,-0.66,-3.12,"154,328","31,633",4.96,1.39
2017-06-22,中工国际,1002051,21.53,21.53,21.15,21.15,-0.40,-1.86,"86,976","18,493",1.76,0.78
2017-06-21,中工国际,1002051,21.58,21.62,21.34,21.55,-0.03,-0.14,"49,377","10,598",1.30,0.45
2017-06-20,中工国际,1002051,21.40,21.66,21.35,21.58,0.23,1.08,"57,458","12,364",1.45,0.52
2017-06-19,中工国际,1002051,21.20,21.40,21.01,21.35,0.32,1.52,"57,879","12,332",1.85,0.52
2017-06-16,中工国际,1002051,21.26,21.30,20.93,21.03,-0.16,-0.76,"56,295","11,865",1.75,0.51
2017-06-15,中工国际,1002051,21.01,21.41,21.00,21.19,0.17,0.81,"76,413","16,250",1.95,0.69
2017-06-14,中工国际,1002051,20.88,21.37,20.81,21.02,0.12,0.57,"84,622","17,878",2.68,0.76
2017-06-13,中工国际,1002051,20.52,20.98,20.49,20.90,0.38,1.85,"67,972","14,150",2.39,0.61
2017-06-12,中工国际,1002051,21.00,21.10,20.50,20.52,-0.61,-2.89,"100,798","20,958",2.84,0.91
2017-06-09,中工国际,1002051,20.62,21.30,20.40,21.13,0.52,2.52,"119,729","24,980",4.37,1.08
2017-06-08,中工国际,1002051,20.51,20.77,20.35,20.61,0.11,0.54,"87,344","17,936",2.05,0.79
2017-06-07,中工国际,1002051,24.19,25.02,24.17,24.95,0.80,3.31,"83,707","20,749",3.52,0.91
2017-06-06,中工国际,1002051,24.47,24.63,24.15,24.15,-0.32,-1.31,"51,399","12,534",1.96,0.56
2017-06-05,中工国际,1002051,24.54,24.77,24.25,24.47,0.12,0.49,"44,873","11,010",2.14,0.49
2017-06-02,中工国际,1002051,23.50,24.59,23.30,24.35,0.80,3.40,"65,070","15,608",5.48,0.70
2017-06-01,中工国际,1002051,24.20,24.64,23.54,23.55,-0.78,-3.21,"81,627","19,592",4.52,0.88
2017-05-31,中工国际,1002051,24.75,24.99,24.20,24.33,-0.28,-1.14,"59,887","14,759",3.21,0.65
2017-05-26,中工国际,1002051,24.31,24.88,24.16,24.61,0.32,1.32,"92,274","22,736",2.96,1.00
2017-05-25,中工国际,1002051,24.05,24.57,23.66,24.29,0.07,0.29,"94,707","22,882",3.76,1.02
2017-05-24,中工国际,1002051,23.42,24.32,23.21,24.22,0.82,3.50,"117,751","28,104",4.74,1.27
2017-05-23,中工国际,1002051,23.28,23.75,23.03,23.40,0.05,0.21,"90,358","21,195",3.08,0.98
2017-05-22,中工国际,1002051,23.61,24.05,23.00,23.35,-0.50,-2.10,"135,935","31,859",4.40,1.48
