日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,中船科技,0600072,12.98,13.28,12.96,13.03,0.09,0.70,"49,405","6,472",2.47,0.82
2017-12-28,中船科技,0600072,13.02,13.06,12.88,12.94,0.06,0.47,"37,245","4,829",1.40,0.62
2017-12-27,中船科技,0600072,12.84,13.06,12.75,12.88,0.09,0.70,"48,399","6,253",2.42,0.81
2017-12-26,中船科技,0600072,12.65,12.81,12.56,12.79,0.19,1.51,"48,991","6,226",1.98,0.82
2017-12-25,中船科技,0600072,13.11,13.16,12.60,12.60,-0.50,-3.82,"58,604","7,523",4.27,0.98
2017-12-22,中船科技,0600072,13.22,13.26,13.05,13.10,-0.09,-0.68,"38,566","5,071",1.59,0.64
2017-12-21,中船科技,0600072,13.12,13.26,12.95,13.19,0.02,0.15,"44,039","5,776",2.35,0.73
2017-12-20,中船科技,0600072,13.52,13.56,13.15,13.17,-0.35,-2.59,"48,138","6,402",3.03,0.80
2017-12-19,中船科技,0600072,13.42,13.66,13.42,13.52,0.01,0.07,"55,253","7,479",1.78,0.92
2017-12-18,中船科技,0600072,13.19,13.69,13.12,13.51,0.15,1.12,"73,564","9,888",4.27,1.22
2017-12-15,中船科技,0600072,13.17,13.49,13.16,13.36,0.16,1.21,"53,537","7,160",2.50,0.89
2017-12-14,中船科技,0600072,13.23,13.28,13.08,13.20,-0.06,-0.45,"30,702","4,047",1.51,0.51
2017-12-13,中船科技,0600072,13.08,13.35,13.01,13.26,0.08,0.61,"26,261","3,472",2.58,0.44
2017-12-12,中船科技,0600072,13.57,13.61,13.15,13.18,-0.42,-3.09,"65,562","8,748",3.38,1.09
2017-12-11,中船科技,0600072,13.49,13.62,13.41,13.60,0.07,0.52,"49,584","6,697",1.55,0.83
2017-12-08,中船科技,0600072,13.46,13.58,13.35,13.53,-0.08,-0.59,"52,262","7,043",1.69,0.87
2017-12-07,中船科技,0600072,13.40,13.85,13.28,13.61,0.16,1.19,"80,817","10,990",4.24,1.35
2017-12-06,中船科技,0600072,13.53,13.60,13.12,13.45,-0.17,-1.25,"68,445","9,108",3.52,2.21
2017-12-05,中船科技,0600072,14.02,14.25,13.58,13.62,-0.25,-1.80,"48,835","6,782",4.83,1.58
2017-12-04,中船科技,0600072,14.15,14.15,13.75,13.87,-0.33,-2.32,"54,550","7,577",2.82,1.76
2017-12-01,中船科技,0600072,14.17,14.25,14.04,14.20,0.00,0.00,"36,755","5,197",1.48,1.19
2017-11-30,中船科技,0600072,14.01,14.64,13.94,14.20,0.26,1.87,"81,585","11,707",5.02,2.63
