日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,同济科技,0600846,8.62,8.74,8.62,8.66,0.06,0.70,"65,384","5,679",1.40,1.05
2017-03-30,同济科技,0600846,8.89,8.89,8.58,8.60,-0.26,-2.93,"105,236","9,142",3.50,1.68
2017-03-29,同济科技,0600846,9.07,9.09,8.84,8.86,-0.21,-2.32,"106,423","9,493",2.76,1.70
2017-03-28,同济科技,0600846,9.07,9.13,9.02,9.07,0.01,0.11,"45,925","4,171",1.21,0.74
2017-03-27,同济科技,0600846,9.11,9.14,9.04,9.06,-0.06,-0.66,"53,587","4,865",1.10,0.86
2017-03-24,同济科技,0600846,9.09,9.15,9.02,9.12,0.05,0.55,"55,688","5,058",1.43,0.89
2017-03-23,同济科技,0600846,9.14,9.16,8.98,9.07,-0.06,-0.66,"74,625","6,780",1.97,1.19
2017-03-22,同济科技,0600846,9.15,9.17,9.05,9.13,-0.06,-0.65,"62,933","5,731",1.31,1.01
2017-03-21,同济科技,0600846,9.17,9.20,9.14,9.19,0.03,0.33,"50,140","4,597",0.66,0.80
2017-03-20,同济科技,0600846,9.17,9.19,9.09,9.16,0.01,0.11,"49,681","4,541",1.09,0.80
2017-03-17,同济科技,0600846,9.21,9.23,9.11,9.15,-0.04,-0.44,"62,269","5,722",1.31,1.00
2017-03-16,同济科技,0600846,9.08,9.21,9.08,9.19,0.13,1.43,"72,871","6,680",1.43,1.17
2017-03-15,同济科技,0600846,9.13,9.14,9.04,9.06,-0.09,-0.98,"53,943","4,896",1.09,0.86
2017-03-14,同济科技,0600846,9.15,9.19,9.11,9.15,-0.01,-0.11,"51,571","4,720",0.87,0.83
2017-03-13,同济科技,0600846,9.10,9.17,9.05,9.16,0.05,0.55,"55,409","5,056",1.32,0.89
2017-03-10,同济科技,0600846,9.12,9.16,9.07,9.11,0.00,0.00,"52,846","4,817",0.99,0.85
2017-03-09,同济科技,0600846,9.25,9.27,9.07,9.11,-0.15,-1.62,"72,237","6,610",2.16,1.16
2017-03-08,同济科技,0600846,9.29,9.34,9.23,9.26,-0.06,-0.64,"67,480","6,248",1.18,1.08
2017-03-07,同济科技,0600846,9.35,9.40,9.27,9.32,-0.03,-0.32,"95,433","8,901",1.39,1.53
2017-03-06,同济科技,0600846,9.27,9.37,9.26,9.35,0.06,0.65,"78,783","7,355",1.18,1.26
2017-03-03,同济科技,0600846,9.20,9.34,9.16,9.29,0.06,0.65,"90,484","8,395",1.95,1.45
2017-03-02,同济科技,0600846,9.23,9.31,9.20,9.23,-0.02,-0.22,"66,658","6,172",1.19,1.07
2017-03-01,同济科技,0600846,9.21,9.30,9.17,9.25,0.04,0.43,"75,676","7,002",1.41,1.21
2017-02-28,同济科技,0600846,9.19,9.22,9.13,9.21,0.05,0.55,"38,662","3,547",0.98,0.62
2017-02-27,同济科技,0600846,9.29,9.29,9.15,9.16,-0.14,-1.51,"68,125","6,288",1.51,1.09
2017-02-24,同济科技,0600846,9.25,9.35,9.20,9.30,0.04,0.43,"81,563","7,561",1.62,1.31
2017-02-23,同济科技,0600846,9.27,9.29,9.19,9.26,-0.01,-0.11,"61,317","5,664",1.08,0.98
2017-02-22,同济科技,0600846,9.22,9.29,9.20,9.27,0.04,0.43,"75,412","6,973",0.98,1.21
2017-02-21,同济科技,0600846,9.18,9.25,9.18,9.23,0.04,0.44,"69,771","6,435",0.76,1.12
2017-02-20,同济科技,0600846,9.02,9.20,8.99,9.19,0.17,1.88,"76,528","6,989",2.33,1.22
2017-02-17,同济科技,0600846,9.21,9.23,9.00,9.02,-0.21,-2.28,"97,649","8,885",2.49,1.56
2017-02-16,同济科技,0600846,9.14,9.24,9.12,9.23,0.05,0.54,"67,728","6,228",1.31,1.08
2017-02-15,同济科技,0600846,9.18,9.29,9.13,9.18,0.03,0.33,"125,158","11,533",1.75,2.00
2017-02-14,同济科技,0600846,9.17,9.18,9.07,9.15,-0.02,-0.22,"51,288","4,684",1.20,0.82
2017-02-13,同济科技,0600846,9.14,9.20,9.10,9.17,0.04,0.44,"56,122","5,140",1.10,0.90
2017-02-10,同济科技,0600846,9.14,9.25,9.12,9.13,-0.02,-0.22,"61,816","5,665",1.42,0.99
2017-02-09,同济科技,0600846,9.04,9.34,9.03,9.15,0.09,0.99,"96,807","8,898",3.42,1.55
2017-02-08,同济科技,0600846,9.01,9.07,8.95,9.06,0.04,0.44,"49,769","4,491",1.33,0.80
2017-02-07,同济科技,0600846,9.00,9.03,8.93,9.02,0.01,0.11,"60,156","5,409",1.11,0.96
2017-02-06,同济科技,0600846,8.83,9.03,8.82,9.01,0.19,2.15,"83,384","7,480",2.38,1.33
2017-02-03,同济科技,0600846,8.90,8.93,8.80,8.82,-0.07,-0.79,"47,298","4,180",1.46,0.76
2017-01-26,同济科技,0600846,8.94,8.99,8.85,8.89,-0.05,-0.56,"66,264","5,893",1.57,1.06
2017-01-25,同济科技,0600846,8.86,8.99,8.86,8.94,0.06,0.68,"44,687","4,000",1.46,0.72
2017-01-24,同济科技,0600846,8.85,8.93,8.85,8.88,0.02,0.23,"52,433","4,656",0.90,0.84
2017-01-23,同济科技,0600846,8.78,8.89,8.78,8.86,0.08,0.91,"42,880","3,794",1.25,0.69
2017-01-20,同济科技,0600846,8.65,8.81,8.63,8.78,0.13,1.50,"44,181","3,869",2.08,0.71
2017-01-19,同济科技,0600846,8.63,8.71,8.61,8.65,-0.04,-0.46,"39,488","3,422",1.15,0.63
2017-01-18,同济科技,0600846,8.67,8.76,8.65,8.69,-0.06,-0.69,"31,013","2,701",1.26,0.50
2017-01-17,同济科技,0600846,8.60,8.77,8.46,8.75,0.06,0.69,"62,832","5,435",3.57,1.01
2017-01-16,同济科技,0600846,8.96,9.05,8.39,8.69,-0.36,-3.98,"97,044","8,520",7.29,1.55
2017-01-13,同济科技,0600846,9.15,9.21,9.02,9.05,-0.11,-1.20,"46,334","4,225",2.07,0.74
2017-01-12,同济科技,0600846,9.27,9.31,9.14,9.16,-0.11,-1.19,"42,649","3,935",1.83,0.68
2017-01-11,同济科技,0600846,9.39,9.39,9.24,9.27,-0.11,-1.17,"68,150","6,346",1.60,1.09
2017-01-10,同济科技,0600846,9.43,9.51,9.37,9.38,-0.09,-0.95,"70,208","6,627",1.48,1.12
2017-01-09,同济科技,0600846,9.35,9.52,9.33,9.47,0.06,0.64,"70,169","6,613",2.02,1.12
2017-01-06,同济科技,0600846,9.46,9.48,9.38,9.41,-0.10,-1.05,"83,015","7,819",1.05,1.33
2017-01-05,同济科技,0600846,9.41,9.67,9.34,9.51,0.11,1.17,"142,865","13,577",3.51,2.29
2017-01-04,同济科技,0600846,9.34,9.44,9.28,9.40,0.09,0.97,"87,412","8,179",1.72,1.40
2017-01-03,同济科技,0600846,9.25,9.32,9.22,9.31,0.10,1.09,"53,969","5,014",1.09,0.86
2017-09-29,同济科技,0600846,13.80,14.28,13.80,14.26,0.50,3.63,"434,680","61,312",3.49,6.96
2017-09-28,同济科技,0600846,13.80,14.33,13.72,13.76,-0.21,-1.50,"369,423","51,628",4.37,5.91
2017-09-27,同济科技,0600846,13.90,14.45,13.75,13.97,0.31,2.27,"482,244","68,179",5.12,7.72
2017-09-26,同济科技,0600846,13.43,13.74,13.25,13.66,0.25,1.86,"285,183","38,682",3.65,4.56
2017-09-25,同济科技,0600846,14.06,14.34,13.38,13.41,-0.71,-5.03,"431,415","59,249",6.80,6.91
2017-09-22,同济科技,0600846,14.13,14.53,14.01,14.12,-0.42,-2.89,"418,924","59,527",3.58,6.71
2017-09-21,同济科技,0600846,15.20,15.55,14.52,14.54,-0.15,-1.02,"567,482","85,568",7.01,9.08
2017-09-20,同济科技,0600846,14.60,14.99,14.19,14.69,0.00,0.00,"492,388","71,825",5.45,7.88
2017-09-19,同济科技,0600846,15.30,15.90,14.45,14.69,-0.76,-4.92,"821,266","123,856",9.39,13.15
2017-09-18,同济科技,0600846,15.24,15.56,14.77,15.45,-0.19,-1.21,"715,533","108,796",5.05,11.45
2017-09-15,同济科技,0600846,14.40,15.86,14.40,15.64,1.10,7.57,"1,052,055","161,594",10.04,16.84
2017-09-14,同济科技,0600846,13.96,15.38,13.96,14.54,0.42,2.97,"932,031","137,704",10.06,14.92
2017-09-13,同济科技,0600846,14.27,14.66,13.88,14.12,-0.48,-3.29,"932,253","133,352",5.34,14.92
2017-09-12,同济科技,0600846,13.30,14.65,13.16,14.60,1.18,8.79,"965,378","132,503",11.10,15.45
2017-09-11,同济科技,0600846,13.15,13.96,13.14,13.42,0.03,0.22,"536,885","73,015",6.12,8.59
2017-09-08,同济科技,0600846,13.41,13.54,13.11,13.39,-0.12,-0.89,"482,437","64,192",3.18,7.72
2017-09-07,同济科技,0600846,12.95,13.98,12.90,13.51,0.55,4.24,"952,721","128,955",8.33,15.25
2017-09-06,同济科技,0600846,13.18,13.21,12.75,12.96,-0.31,-2.34,"496,647","64,390",3.47,7.95
2017-09-05,同济科技,0600846,13.49,13.53,13.02,13.27,-0.21,-1.56,"532,255","70,243",3.78,8.52
2017-09-04,同济科技,0600846,12.92,13.75,12.77,13.48,0.39,2.98,"790,326","105,637",7.49,12.65
2017-09-01,同济科技,0600846,12.88,13.20,12.60,13.09,0.15,1.16,"739,476","95,395",4.64,11.84
2017-08-31,同济科技,0600846,12.03,13.12,12.03,12.94,0.81,6.68,"868,121","109,549",8.99,13.90
2017-08-30,同济科技,0600846,12.30,12.35,12.09,12.13,-0.16,-1.30,"466,580","57,021",2.12,7.47
2017-08-29,同济科技,0600846,11.85,12.35,11.82,12.29,0.35,2.93,"562,710","67,834",4.44,9.01
2017-08-28,同济科技,0600846,11.67,12.12,11.57,11.94,0.19,1.62,"488,926","58,082",4.68,7.83
2017-08-25,同济科技,0600846,11.69,11.99,11.46,11.75,0.15,1.29,"518,306","60,820",4.57,8.30
2017-08-24,同济科技,0600846,11.93,12.11,11.52,11.60,-0.44,-3.65,"628,769","73,998",4.90,10.06
2017-08-23,同济科技,0600846,12.50,12.68,12.00,12.04,-0.55,-4.37,"544,509","67,001",5.40,8.72
2017-08-22,同济科技,0600846,12.38,12.75,12.25,12.59,0.11,0.88,"619,434","77,308",4.01,9.91
2017-08-21,同济科技,0600846,12.23,12.50,11.80,12.48,-0.31,-2.42,"847,042","103,597",5.47,13.56
2017-08-18,同济科技,0600846,13.90,14.16,12.79,12.79,-1.42,-9.99,"1,444,022","190,854",9.64,23.11
2017-08-17,同济科技,0600846,13.02,14.31,12.89,14.31,1.30,9.99,"1,488,471","206,276",10.91,23.82
2017-08-16,同济科技,0600846,12.57,13.05,12.41,13.01,0.14,1.09,"763,256","96,994",4.97,12.22
