日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2020-06-30,国机重装,0601399,4.64,4.86,4.59,4.86,0.23,4.97,"365,526","17,604",5.83,7.41
2020-06-29,国机重装,0601399,4.56,4.71,4.44,4.63,0.03,0.65,"249,580","11,462",5.87,5.06
2020-06-24,国机重装,0601399,4.59,4.74,4.57,4.60,-0.06,-1.29,"287,463","13,348",3.65,5.82
2020-06-23,国机重装,0601399,4.36,4.71,4.36,4.66,0.17,3.79,"507,974","23,366",7.80,10.29
2020-06-22,国机重装,0601399,4.78,4.78,4.49,4.49,-0.08,-1.75,"514,625","23,849",6.35,10.43
2020-06-19,国机重装,0601399,4.37,4.57,4.33,4.57,0.22,5.06,"326,686","14,518",5.52,6.62
2020-06-18,国机重装,0601399,4.45,4.48,4.34,4.35,-0.21,-4.61,"441,993","19,407",3.07,8.95
2020-06-17,国机重装,0601399,4.54,4.67,4.50,4.56,0.04,0.89,"421,150","19,317",3.76,8.53
2020-06-16,国机重装,0601399,4.60,4.64,4.52,4.52,-0.24,-5.04,"599,246","27,236",2.52,12.14
2020-06-15,国机重装,0601399,4.76,5.00,4.76,4.76,-0.25,-4.99,"806,146","38,665",4.79,16.33
2020-06-12,国机重装,0601399,5.01,5.01,5.01,5.01,-0.26,-4.93,"15,245",764,0.00,0.31
2020-06-11,国机重装,0601399,5.27,5.27,5.27,5.27,-0.28,-5.05,"5,642",297,0.00,0.11
2020-06-10,国机重装,0601399,5.55,5.55,5.55,5.55,-0.29,-4.97,"7,415",412,0.00,0.15
2020-06-09,国机重装,0601399,5.84,5.84,5.84,5.84,-0.31,-5.04,"38,282","2,236",0.00,0.78
2020-06-08,国机重装,0601399,6.00,9.59,6.00,6.15,2.83,85.24,"1,438,772","103,199",108.13,29.15
2020-12-31,国机重装,0601399,3.81,3.99,3.81,3.99,0.19,5.00,"200,399","7,924",4.74,4.06
2020-12-30,国机重装,0601399,3.81,3.84,3.80,3.80,-0.02,-0.52,"52,462","2,001",1.05,1.06
2020-12-29,国机重装,0601399,3.84,3.87,3.80,3.82,-0.04,-1.04,"82,990","3,171",1.81,1.68
2020-12-28,国机重装,0601399,3.95,3.99,3.85,3.86,-0.03,-0.77,"140,200","5,478",3.60,2.84
2020-12-25,国机重装,0601399,3.77,3.89,3.76,3.89,0.19,5.14,"58,069","2,236",3.51,1.18
2020-12-24,国机重装,0601399,3.76,3.77,3.70,3.70,-0.06,-1.60,"68,784","2,565",1.86,1.39
2020-12-23,国机重装,0601399,3.74,3.79,3.74,3.76,0.00,0.00,"51,124","1,920",1.33,1.04
2020-12-22,国机重装,0601399,3.76,3.83,3.74,3.76,-0.02,-0.53,"70,960","2,682",2.38,1.44
2020-12-21,国机重装,0601399,3.75,3.80,3.73,3.78,0.02,0.53,"54,439","2,053",1.86,1.10
2020-12-18,国机重装,0601399,3.73,3.82,3.72,3.76,0.03,0.80,"64,513","2,429",2.68,1.31
2020-12-17,国机重装,0601399,3.82,3.84,3.64,3.73,-0.10,-2.61,"151,120","5,602",5.22,3.06
2020-12-16,国机重装,0601399,3.90,3.92,3.81,3.83,-0.09,-2.30,"83,316","3,212",2.81,1.69
2020-12-15,国机重装,0601399,3.88,3.99,3.86,3.92,0.05,1.29,"82,194","3,228",3.36,1.67
2020-12-14,国机重装,0601399,3.86,3.89,3.83,3.87,0.01,0.26,"50,934","1,967",1.55,1.03
2020-12-11,国机重装,0601399,3.91,3.95,3.81,3.86,-0.05,-1.28,"98,292","3,804",3.58,1.99
2020-12-10,国机重装,0601399,3.95,3.95,3.89,3.91,-0.04,-1.01,"67,499","2,642",1.52,1.37
2020-12-09,国机重装,0601399,3.99,4.02,3.94,3.95,-0.02,-0.50,"67,326","2,680",2.02,1.36
2020-12-08,国机重装,0601399,3.97,4.00,3.95,3.97,0.00,0.00,"60,728","2,411",1.26,1.23
2020-12-07,国机重装,0601399,4.05,4.05,3.97,3.97,-0.08,-1.98,"123,313","4,946",1.98,2.50
2020-12-04,国机重装,0601399,4.05,4.09,4.04,4.05,-0.01,-0.25,"78,201","3,175",1.23,1.58
2020-12-03,国机重装,0601399,4.11,4.11,4.05,4.06,-0.05,-1.22,"84,821","3,464",1.46,1.72
2020-12-02,国机重装,0601399,4.10,4.13,4.07,4.11,0.01,0.24,"99,802","4,089",1.46,2.02
2020-12-01,国机重装,0601399,4.09,4.13,4.08,4.10,0.00,0.00,"100,552","4,126",1.22,2.04
2020-11-30,国机重装,0601399,4.07,4.15,4.07,4.10,0.03,0.74,"124,129","5,104",1.97,2.51
2020-11-27,国机重装,0601399,4.06,4.09,4.03,4.07,0.00,0.00,"73,739","2,995",1.47,1.49
