日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,文科园林,1002775,22.66,22.97,22.50,22.69,0.08,0.35,"19,828","4,510",2.08,1.62
2017-03-30,文科园林,1002775,22.90,23.02,22.51,22.61,-0.33,-1.44,"26,089","5,918",2.22,2.14
2017-03-29,文科园林,1002775,22.80,23.25,22.58,22.94,0.01,0.04,"48,389","11,107",2.92,3.96
2017-03-28,文科园林,1002775,22.32,22.93,22.10,22.93,0.47,2.09,"64,269","14,493",3.70,5.26
2017-03-27,文科园林,1002775,23.85,23.88,22.01,22.46,-1.66,-6.88,"159,365","36,172",7.75,13.05
2017-03-24,文科园林,1002775,24.18,24.50,23.89,24.12,0.07,0.29,"35,193","8,485",2.54,2.88
2017-03-23,文科园林,1002775,24.65,24.90,23.76,24.05,-0.70,-2.83,"54,381","13,220",4.61,4.45
2017-03-22,文科园林,1002775,24.36,24.97,24.26,24.75,0.15,0.61,"59,933","14,779",2.89,4.91
2017-03-21,文科园林,1002775,24.14,24.85,23.94,24.60,0.47,1.95,"63,483","15,578",3.77,5.20
2017-03-20,文科园林,1002775,23.43,24.46,23.43,24.13,0.55,2.33,"51,788","12,462",4.37,4.24
2017-03-17,文科园林,1002775,23.78,24.14,23.50,23.58,-0.09,-0.38,"53,637","12,798",2.70,4.39
2017-03-16,文科园林,1002775,23.86,23.88,23.53,23.67,-0.08,-0.34,"45,788","10,851",1.47,3.75
2017-03-15,文科园林,1002775,23.16,23.82,22.82,23.75,0.60,2.59,"57,272","13,415",4.32,4.69
2017-03-14,文科园林,1002775,22.82,23.68,22.80,23.15,0.48,2.12,"60,830","14,172",3.88,4.98
2017-03-13,文科园林,1002775,22.10,22.89,21.77,22.67,0.59,2.67,"41,231","9,261",5.07,3.38
2017-03-10,文科园林,1002775,22.06,22.25,21.90,22.08,-0.52,-2.30,"42,075","9,289",1.55,3.45
2017-03-09,文科园林,1002775,22.69,22.84,22.42,22.60,-0.09,-0.40,"25,388","5,752",1.85,2.08
2017-03-08,文科园林,1002775,22.93,22.98,22.53,22.69,-0.15,-0.66,"27,762","6,291",1.97,2.27
2017-03-07,文科园林,1002775,22.58,23.19,22.30,22.84,0.48,2.15,"52,430","11,956",3.98,4.29
2017-03-06,文科园林,1002775,21.95,22.47,21.95,22.36,0.57,2.62,"41,067","9,145",2.39,3.36
2017-03-03,文科园林,1002775,21.38,21.84,21.38,21.79,0.18,0.83,"27,907","6,045",2.13,2.29
2017-03-02,文科园林,1002775,21.67,22.17,21.54,21.61,0.17,0.79,"38,906","8,490",2.94,3.19
2017-03-01,文科园林,1002775,21.52,21.53,21.35,21.44,-0.07,-0.33,"23,585","5,055",0.84,1.93
2017-02-28,文科园林,1002775,21.55,21.72,21.39,21.51,0.15,0.70,"23,494","5,057",1.54,1.92
2017-02-27,文科园林,1002775,21.78,21.78,21.32,21.36,-0.26,-1.20,"26,258","5,649",2.13,2.15
2017-02-24,文科园林,1002775,21.45,21.84,21.22,21.62,0.06,0.28,"39,628","8,549",2.88,3.25
2017-02-23,文科园林,1002775,21.60,21.73,21.39,21.56,0.10,0.47,"38,005","8,180",1.58,3.11
2017-02-22,文科园林,1002775,21.45,21.50,21.25,21.46,-0.07,-0.33,"33,792","7,221",1.16,2.77
2017-02-21,文科园林,1002775,21.29,21.55,21.07,21.53,-0.05,-0.23,"56,396","12,017",2.22,4.62
2017-02-20,文科园林,1002775,20.98,22.31,20.97,21.58,1.30,6.41,"101,698","22,262",6.61,8.33
2017-02-17,文科园林,1002775,20.48,20.56,20.12,20.28,-0.20,-0.98,"18,855","3,836",2.15,1.54
2017-02-16,文科园林,1002775,20.18,20.54,20.15,20.48,0.30,1.49,"17,687","3,601",1.93,1.45
2017-02-15,文科园林,1002775,20.50,20.54,20.15,20.18,-0.29,-1.42,"17,790","3,621",1.91,1.46
2017-02-14,文科园林,1002775,20.66,20.66,20.45,20.47,-0.20,-0.97,"15,581","3,197",1.02,1.28
2017-02-13,文科园林,1002775,20.44,20.71,20.38,20.67,0.20,0.98,"20,516","4,219",1.61,1.68
2017-02-10,文科园林,1002775,20.54,20.64,20.41,20.47,-0.06,-0.29,"16,897","3,467",1.12,1.38
2017-02-09,文科园林,1002775,20.35,20.78,20.29,20.53,0.20,0.98,"26,661","5,492",2.41,2.18
2017-02-08,文科园林,1002775,20.15,20.35,20.08,20.33,0.23,1.14,"17,717","3,581",1.34,1.45
2017-02-07,文科园林,1002775,20.20,20.23,20.01,20.10,-0.13,-0.64,"22,643","4,548",1.09,1.85
2017-02-06,文科园林,1002775,19.51,20.23,19.51,20.23,0.73,3.74,"33,191","6,612",3.69,2.72
2017-02-03,文科园林,1002775,19.64,19.64,19.39,19.50,-0.15,-0.76,"16,916","3,300",1.27,1.39
2017-01-26,文科园林,1002775,19.77,19.80,19.00,19.65,-0.28,-1.40,"38,670","7,559",4.01,3.17
2017-01-25,文科园林,1002775,19.83,19.97,19.71,19.93,0.17,0.86,"13,183","2,620",1.32,1.08
2017-01-24,文科园林,1002775,19.71,20.00,19.70,19.76,-0.13,-0.65,"15,317","3,030",1.51,1.25
2017-01-23,文科园林,1002775,19.94,20.27,19.71,19.89,-0.09,-0.45,"30,154","6,012",2.80,2.47
2017-01-20,文科园林,1002775,19.58,20.06,19.58,19.98,0.29,1.47,"16,620","3,314",2.44,1.36
