日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,棕榈股份,1002431,9.86,10.08,9.67,10.01,0.19,1.93,"301,985","29,837",4.18,2.61
2017-03-30,棕榈股份,1002431,10.05,10.16,9.76,9.82,-0.26,-2.58,"258,796","25,765",3.97,2.24
2017-03-29,棕榈股份,1002431,10.03,10.19,9.91,10.08,0.06,0.60,"301,440","30,278",2.79,2.61
2017-03-28,棕榈股份,1002431,10.20,10.30,10.01,10.02,-0.23,-2.24,"329,093","33,219",2.83,2.85
2017-03-27,棕榈股份,1002431,10.30,10.45,10.22,10.25,-0.09,-0.87,"422,036","43,536",2.22,3.65
2017-03-24,棕榈股份,1002431,10.14,10.35,10.03,10.34,0.23,2.28,"505,179","51,801",3.17,4.37
2017-03-23,棕榈股份,1002431,10.31,10.44,9.95,10.11,0.01,0.10,"446,405","45,313",4.85,3.86
2017-03-22,棕榈股份,1002431,10.01,10.22,9.91,10.10,-0.03,-0.30,"435,101","43,803",3.06,3.76
2017-03-21,棕榈股份,1002431,9.85,10.28,9.77,10.13,0.34,3.47,"780,056","78,761",5.21,6.74
2017-03-20,棕榈股份,1002431,9.65,9.90,9.62,9.79,0.36,3.82,"573,728","56,041",2.97,4.96
2017-03-17,棕榈股份,1002431,9.53,9.75,9.40,9.43,-0.13,-1.36,"403,908","38,608",3.66,3.49
2017-03-16,棕榈股份,1002431,9.59,9.80,9.53,9.56,-0.03,-0.31,"636,962","61,558",2.82,5.51
2017-03-15,棕榈股份,1002431,9.22,9.60,9.18,9.59,0.33,3.56,"659,874","62,117",4.54,5.70
2017-03-14,棕榈股份,1002431,9.10,9.26,9.08,9.26,0.18,1.98,"345,138","31,721",1.98,2.98
2017-03-13,棕榈股份,1002431,9.07,9.10,8.93,9.08,-0.01,-0.11,"157,084","14,154",1.87,1.36
2017-03-10,棕榈股份,1002431,9.06,9.13,9.03,9.09,0.01,0.11,"95,863","8,700",1.10,0.83
2017-03-09,棕榈股份,1002431,9.18,9.23,9.06,9.08,-0.12,-1.30,"131,521","11,998",1.85,1.14
2017-03-08,棕榈股份,1002431,9.23,9.23,9.14,9.20,0.02,0.22,"139,405","12,784",0.98,1.21
2017-03-07,棕榈股份,1002431,9.25,9.27,9.15,9.18,-0.03,-0.33,"158,915","14,605",1.30,1.37
2017-03-06,棕榈股份,1002431,9.07,9.28,9.06,9.21,0.12,1.32,"216,721","19,965",2.42,1.87
2017-03-03,棕榈股份,1002431,9.08,9.13,8.99,9.09,0.01,0.11,"138,716","12,550",1.54,1.20
2017-03-02,棕榈股份,1002431,9.20,9.21,9.08,9.08,-0.10,-1.09,"132,561","12,111",1.42,1.15
2017-03-01,棕榈股份,1002431,9.28,9.28,9.16,9.18,-0.06,-0.65,"156,884","14,445",1.30,1.36
2017-02-28,棕榈股份,1002431,9.18,9.27,9.15,9.24,0.06,0.65,"141,225","13,007",1.31,1.22
2017-02-27,棕榈股份,1002431,9.20,9.26,9.08,9.18,-0.06,-0.65,"252,297","23,091",1.95,2.18
2017-02-24,棕榈股份,1002431,9.34,9.34,9.13,9.24,-0.08,-0.86,"232,061","21,399",2.25,2.01
2017-02-23,棕榈股份,1002431,9.45,9.52,9.24,9.32,-0.18,-1.89,"298,722","27,975",2.95,2.58
2017-02-22,棕榈股份,1002431,9.28,9.64,9.23,9.50,0.22,2.37,"475,585","44,774",4.42,4.11
2017-02-21,棕榈股份,1002431,9.25,9.35,9.21,9.28,0.00,0.00,"224,446","20,790",1.51,1.94
2017-02-20,棕榈股份,1002431,9.03,9.36,9.02,9.28,0.19,2.09,"452,818","41,951",3.74,3.91
2017-02-17,棕榈股份,1002431,8.87,9.26,8.75,9.09,0.21,2.36,"352,241","31,803",5.74,3.05
2017-02-16,棕榈股份,1002431,8.81,8.88,8.79,8.88,0.03,0.34,"117,062","10,350",1.02,1.01
2017-02-15,棕榈股份,1002431,8.98,8.98,8.80,8.85,-0.10,-1.12,"148,951","13,256",2.01,1.29
2017-02-14,棕榈股份,1002431,8.99,9.01,8.90,8.95,-0.04,-0.44,"110,819","9,903",1.22,0.96
2017-02-13,棕榈股份,1002431,9.05,9.06,8.88,8.99,-0.05,-0.55,"204,920","18,349",1.99,1.77
2017-02-10,棕榈股份,1002431,9.21,9.33,9.03,9.04,-0.08,-0.88,"197,105","18,034",3.29,1.70
