日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,森特股份,0603098,17.56,17.84,17.56,17.74,-0.03,-0.17,"6,288","1,115",1.58,1.01
2017-12-28,森特股份,0603098,17.80,17.90,17.71,17.77,0.11,0.62,"10,592","1,885",1.08,1.69
2017-12-27,森特股份,0603098,17.93,17.93,17.60,17.66,-0.26,-1.45,"14,785","2,618",1.84,2.37
2017-12-26,森特股份,0603098,17.99,17.99,17.80,17.92,0.10,0.56,"8,757","1,569",1.07,1.40
2017-12-25,森特股份,0603098,17.50,17.90,17.37,17.82,0.18,1.02,"13,088","2,316",3.00,2.09
2017-12-22,森特股份,0603098,17.67,17.69,17.55,17.64,-0.01,-0.06,"7,763","1,369",0.79,1.24
2017-12-21,森特股份,0603098,17.80,17.80,17.51,17.65,-0.12,-0.68,"12,863","2,268",1.63,2.06
2017-12-20,森特股份,0603098,17.99,18.08,17.71,17.77,-0.20,-1.11,"10,390","1,852",2.06,1.66
2017-12-19,森特股份,0603098,17.89,18.03,17.88,17.97,0.03,0.17,"9,680","1,738",0.84,1.55
2017-12-18,森特股份,0603098,18.22,18.23,17.78,17.94,-0.37,-2.02,"15,986","2,876",2.46,2.56
2017-12-15,森特股份,0603098,18.25,18.56,18.05,18.31,0.07,0.38,"23,624","4,312",2.80,3.78
2017-12-14,森特股份,0603098,18.40,18.43,18.10,18.24,-0.37,-1.99,"26,311","4,789",1.77,4.21
2017-12-13,森特股份,0603098,18.91,18.93,18.03,18.61,-0.81,-4.17,"45,392","8,351",4.63,7.26
2017-12-12,森特股份,0603098,20.10,20.46,19.30,19.42,-0.06,-0.31,"108,487","21,619",5.95,17.36
2017-12-11,森特股份,0603098,19.15,19.50,19.07,19.48,0.44,2.31,"14,979","2,897",2.26,2.40
2017-12-08,森特股份,0603098,18.50,19.09,18.48,19.04,0.50,2.70,"17,394","3,285",3.29,2.78
2017-12-07,森特股份,0603098,18.88,18.88,18.30,18.54,0.03,0.16,"12,638","2,336",3.13,2.02
2017-12-06,森特股份,0603098,17.87,18.56,17.80,18.51,0.67,3.76,"9,831","1,787",4.26,1.57
2017-12-05,森特股份,0603098,18.65,18.65,17.70,17.84,-0.69,-3.72,"10,714","1,942",5.13,1.71
2017-12-04,森特股份,0603098,18.88,18.88,18.24,18.53,-0.40,-2.11,"10,510","1,941",3.38,1.68
