日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,浦东建设,0600284,10.73,10.76,10.65,10.72,-0.05,-0.46,"24,487","2,622",1.02,0.35
2017-06-29,浦东建设,0600284,10.73,10.79,10.72,10.77,0.05,0.47,"21,383","2,301",0.65,0.31
2017-06-28,浦东建设,0600284,10.79,10.84,10.71,10.72,-0.12,-1.11,"28,222","3,032",1.20,0.41
2017-06-27,浦东建设,0600284,10.76,10.87,10.74,10.84,0.08,0.74,"37,832","4,091",1.21,0.55
2017-06-26,浦东建设,0600284,10.65,10.78,10.65,10.76,0.08,0.75,"46,418","4,985",1.22,0.67
2017-06-23,浦东建设,0600284,10.77,10.80,10.54,10.68,-0.11,-1.02,"51,988","5,554",2.41,0.75
2017-06-22,浦东建设,0600284,10.96,11.08,10.75,10.79,-0.20,-1.82,"68,588","7,519",3.00,0.99
2017-06-21,浦东建设,0600284,10.91,11.01,10.85,10.99,0.10,0.92,"62,564","6,849",1.47,0.90
2017-06-20,浦东建设,0600284,10.85,11.01,10.83,10.89,0.04,0.37,"47,697","5,199",1.66,0.69
2017-06-19,浦东建设,0600284,10.78,10.86,10.72,10.85,0.08,0.74,"36,450","3,944",1.30,0.53
2017-06-16,浦东建设,0600284,10.74,10.82,10.73,10.77,-0.02,-0.19,"27,468","2,959",0.83,0.40
2017-06-15,浦东建设,0600284,10.74,10.82,10.70,10.79,0.09,0.84,"37,932","4,085",1.12,0.55
2017-06-14,浦东建设,0600284,10.70,10.76,10.66,10.70,0.00,0.00,"40,736","4,363",0.93,0.59
2017-06-13,浦东建设,0600284,10.54,10.72,10.54,10.70,0.12,1.13,"34,915","3,726",1.70,0.50
2017-06-12,浦东建设,0600284,10.70,10.74,10.57,10.58,-0.21,-1.95,"42,225","4,490",1.58,0.61
2017-06-09,浦东建设,0600284,10.65,10.88,10.65,10.79,0.13,1.22,"69,208","7,460",2.16,1.00
2017-06-08,浦东建设,0600284,10.68,10.75,10.61,10.66,-0.04,-0.37,"45,601","4,864",1.31,0.66
2017-06-07,浦东建设,0600284,10.53,10.73,10.53,10.70,0.14,1.33,"59,945","6,395",1.89,0.87
2017-06-06,浦东建设,0600284,10.56,10.65,10.49,10.56,0.00,0.00,"36,053","3,805",1.52,0.52
2017-06-05,浦东建设,0600284,10.56,10.68,10.54,10.56,-0.03,-0.28,"30,546","3,240",1.32,0.44
2017-06-02,浦东建设,0600284,10.47,10.60,10.44,10.59,0.13,1.24,"33,885","3,567",1.53,0.49
2017-06-01,浦东建设,0600284,10.49,10.73,10.44,10.46,-0.03,-0.29,"52,714","5,574",2.76,0.76
2017-05-31,浦东建设,0600284,10.53,10.63,10.46,10.49,0.13,1.25,"44,930","4,739",1.64,0.65
2017-05-26,浦东建设,0600284,10.35,10.43,10.32,10.36,0.00,0.00,"25,183","2,612",1.06,0.36
2017-05-25,浦东建设,0600284,10.21,10.36,10.13,10.36,0.16,1.57,"36,214","3,715",2.25,0.52
2017-05-24,浦东建设,0600284,10.24,10.28,10.04,10.20,-0.04,-0.39,"34,738","3,532",2.34,0.50
2017-05-23,浦东建设,0600284,10.45,10.50,10.23,10.24,-0.20,-1.92,"32,231","3,341",2.59,0.47
2017-05-22,浦东建设,0600284,10.61,10.69,10.41,10.44,-0.25,-2.34,"29,952","3,161",2.62,0.43
2017-05-19,浦东建设,0600284,10.69,10.79,10.61,10.69,0.02,0.19,"31,300","3,344",1.69,0.45
2017-05-18,浦东建设,0600284,10.86,10.93,10.79,10.83,-0.02,-0.18,"34,235","3,715",1.29,0.49
2017-05-17,浦东建设,0600284,10.79,10.93,10.77,10.85,0.01,0.09,"40,550","4,405",1.48,0.59
2017-05-16,浦东建设,0600284,10.61,10.86,10.45,10.84,0.17,1.59,"51,615","5,507",3.84,0.74
2017-05-15,浦东建设,0600284,10.57,10.71,10.57,10.67,0.07,0.66,"27,520","2,929",1.32,0.40
2017-05-12,浦东建设,0600284,10.64,10.78,10.53,10.60,-0.03,-0.28,"46,691","4,952",2.35,0.67
2017-05-11,浦东建设,0600284,10.85,10.85,10.30,10.63,-0.20,-1.85,"73,145","7,742",5.08,1.06
2017-05-10,浦东建设,0600284,11.02,11.17,10.81,10.83,-0.22,-1.99,"39,642","4,362",3.26,0.57
2017-05-09,浦东建设,0600284,11.00,11.22,10.98,11.05,0.11,1.01,"54,216","5,998",2.19,0.78
2017-05-08,浦东建设,0600284,11.15,11.30,10.90,10.94,-0.21,-1.88,"45,777","5,119",3.59,0.66
2017-05-05,浦东建设,0600284,11.15,11.29,11.09,11.15,-0.05,-0.45,"55,947","6,264",1.79,0.81
2017-05-04,浦东建设,0600284,11.18,11.28,11.02,11.20,-0.08,-0.71,"52,554","5,868",2.31,0.76
2017-05-03,浦东建设,0600284,11.29,11.35,11.15,11.28,-0.02,-0.18,"46,415","5,227",1.77,0.67
2017-05-02,浦东建设,0600284,11.38,11.39,11.26,11.30,-0.07,-0.62,"36,262","4,102",1.14,0.52
2017-04-28,浦东建设,0600284,11.26,11.40,11.20,11.37,0.11,0.98,"43,297","4,895",1.78,0.62
2017-04-27,浦东建设,0600284,11.23,11.28,10.97,11.26,0.02,0.18,"55,483","6,170",2.76,0.80
