日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,空港股份,0600463,14.89,15.00,14.87,14.95,0.06,0.40,"14,122","2,106",0.87,0.56
2017-09-28,空港股份,0600463,14.95,15.25,14.86,14.89,-0.01,-0.07,"27,511","4,152",2.62,1.09
2017-09-27,空港股份,0600463,14.84,14.98,14.75,14.90,0.06,0.40,"14,890","2,216",1.55,0.59
2017-09-26,空港股份,0600463,14.74,14.86,14.72,14.84,0.01,0.07,"12,340","1,826",0.94,0.49
2017-09-25,空港股份,0600463,15.03,15.03,14.71,14.83,-0.21,-1.40,"28,340","4,200",2.13,1.12
2017-09-22,空港股份,0600463,15.34,15.35,15.03,15.04,-0.26,-1.70,"26,393","3,985",2.09,1.05
2017-09-21,空港股份,0600463,15.30,15.40,15.22,15.30,0.00,0.00,"19,879","3,046",1.18,0.79
2017-09-20,空港股份,0600463,15.30,15.47,15.17,15.30,-0.06,-0.39,"27,736","4,237",1.95,1.10
2017-09-19,空港股份,0600463,15.21,15.45,15.16,15.36,0.12,0.79,"27,899","4,288",1.90,1.11
2017-09-18,空港股份,0600463,15.30,15.36,15.16,15.24,-0.13,-0.85,"28,395","4,322",1.30,1.13
2017-09-15,空港股份,0600463,15.29,15.46,15.25,15.37,0.09,0.59,"25,796","3,964",1.37,1.02
2017-09-14,空港股份,0600463,15.46,15.55,15.25,15.28,-0.11,-0.71,"21,378","3,284",1.95,0.85
2017-09-13,空港股份,0600463,15.29,15.40,15.14,15.39,0.16,1.05,"24,196","3,708",1.71,0.96
2017-09-12,空港股份,0600463,15.43,15.47,15.13,15.23,-0.17,-1.10,"39,176","5,992",2.21,1.55
2017-09-11,空港股份,0600463,15.73,15.76,15.35,15.40,-0.31,-1.97,"47,237","7,290",2.61,1.87
2017-09-08,空港股份,0600463,15.82,15.87,15.67,15.71,-0.14,-0.88,"33,886","5,335",1.26,1.34
2017-09-07,空港股份,0600463,15.74,15.94,15.68,15.85,0.12,0.76,"41,862","6,611",1.65,1.66
2017-09-06,空港股份,0600463,15.72,15.86,15.61,15.73,-0.03,-0.19,"48,789","7,672",1.59,1.94
2017-09-05,空港股份,0600463,15.88,15.91,15.72,15.76,-0.10,-0.63,"25,302","3,997",1.20,1.00
2017-09-04,空港股份,0600463,15.89,15.94,15.70,15.86,-0.04,-0.25,"32,032","5,065",1.51,1.27
2017-09-01,空港股份,0600463,16.05,16.05,15.87,15.90,-0.15,-0.93,"33,539","5,344",1.12,1.33
2017-08-31,空港股份,0600463,15.99,16.15,15.91,16.05,0.09,0.56,"34,925","5,594",1.50,1.39
2017-08-30,空港股份,0600463,16.07,16.19,15.85,15.96,-0.03,-0.19,"37,982","6,071",2.13,1.51
2017-08-29,空港股份,0600463,15.99,16.25,15.93,15.99,0.08,0.50,"57,841","9,300",2.01,2.30
2017-08-28,空港股份,0600463,15.80,16.00,15.69,15.91,0.23,1.47,"38,929","6,198",1.98,1.54
2017-08-25,空港股份,0600463,15.45,15.72,15.45,15.68,0.09,0.58,"21,772","3,399",1.73,0.86
2017-08-24,空港股份,0600463,15.60,15.75,15.46,15.59,-0.06,-0.38,"27,017","4,208",1.85,1.07
2017-08-23,空港股份,0600463,15.99,16.07,15.60,15.65,-0.42,-2.61,"35,831","5,649",2.92,1.42
2017-08-22,空港股份,0600463,15.87,16.17,15.76,16.07,0.19,1.20,"58,080","9,292",2.58,2.30
2017-08-21,空港股份,0600463,15.88,15.93,15.72,15.88,0.04,0.25,"30,397","4,805",1.33,1.21
2017-08-18,空港股份,0600463,15.66,16.18,15.66,15.84,0.10,0.64,"72,384","11,528",3.30,2.87
2017-08-17,空港股份,0600463,15.46,16.10,15.15,15.74,0.23,1.48,"56,616","8,817",6.13,2.25
2017-08-16,空港股份,0600463,15.38,15.67,15.33,15.51,0.04,0.26,"32,599","5,057",2.20,1.29
2017-08-15,空港股份,0600463,15.68,15.69,15.40,15.47,-0.08,-0.51,"33,276","5,164",1.87,1.32
2017-08-14,空港股份,0600463,15.11,15.58,15.11,15.55,0.39,2.57,"42,677","6,565",3.10,1.69
2017-08-11,空港股份,0600463,15.04,15.46,14.91,15.16,0.00,0.00,"38,389","5,824",3.63,1.52
2017-08-10,空港股份,0600463,15.40,15.46,15.01,15.16,-0.32,-2.07,"37,753","5,732",2.91,1.50
2017-08-09,空港股份,0600463,15.37,15.70,15.33,15.48,-0.02,-0.13,"32,508","5,041",2.39,1.29
2017-08-08,空港股份,0600463,15.50,15.88,15.45,15.50,0.10,0.65,"39,182","6,121",2.79,1.55
2017-08-07,空港股份,0600463,15.43,15.49,15.03,15.40,-0.03,-0.19,"29,943","4,585",2.98,1.19
2017-08-04,空港股份,0600463,15.70,15.96,15.40,15.43,-0.42,-2.65,"46,696","7,325",3.53,1.85
2017-08-03,空港股份,0600463,15.70,16.59,15.70,15.85,-0.08,-0.50,"73,937","11,938",5.59,2.93
2017-08-02,空港股份,0600463,15.44,16.09,15.12,15.93,0.46,2.97,"78,228","12,244",6.27,3.10
2017-08-01,空港股份,0600463,15.27,15.68,15.10,15.47,0.24,1.58,"49,120","7,583",3.81,1.95
2017-07-31,空港股份,0600463,15.22,15.38,15.12,15.23,0.02,0.13,"25,589","3,893",1.71,1.02
2017-07-28,空港股份,0600463,15.25,15.35,15.06,15.21,0.00,0.00,"26,375","4,022",1.91,1.05
2017-07-27,空港股份,0600463,15.01,15.25,14.83,15.21,0.10,0.66,"32,403","4,888",2.78,1.29
2017-07-26,空港股份,0600463,15.29,15.41,14.96,15.11,-0.17,-1.11,"28,496","4,309",2.95,1.13
2017-07-25,空港股份,0600463,15.22,15.48,15.11,15.28,0.13,0.86,"33,692","5,148",2.44,1.34
2017-07-24,空港股份,0600463,15.20,15.23,14.83,15.15,-0.08,-0.53,"33,340","5,014",2.63,1.32
2017-07-21,空港股份,0600463,15.17,15.35,15.15,15.23,0.05,0.33,"29,144","4,441",1.32,1.16
