日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,维业股份,1300621,35.31,35.31,35.31,35.31,3.21,10.00,"3,348","1,182",0.00,0.98
2017-03-30,维业股份,1300621,32.10,32.10,32.10,32.10,2.92,10.01,"2,268",728,0.00,0.67
2017-03-29,维业股份,1300621,29.18,29.18,29.18,29.18,2.65,9.99,382,111,0.00,0.11
2017-03-28,维业股份,1300621,26.53,26.53,26.53,26.53,2.41,9.99,129,34,0.00,0.04
2017-03-27,维业股份,1300621,24.12,24.12,24.12,24.12,2.19,9.99,86,21,0.00,0.03
2017-03-24,维业股份,1300621,21.93,21.93,21.93,21.93,1.99,9.98,157,34,0.00,0.05
2017-03-23,维业股份,1300621,19.94,19.94,19.94,19.94,1.81,9.98,41,8,0.00,0.01
2017-03-22,维业股份,1300621,18.13,18.13,18.13,18.13,1.65,10.01,27,5,0.00,0.01
2017-03-21,维业股份,1300621,16.48,16.48,16.48,16.48,1.50,10.01,32,5,0.00,0.01
2017-03-20,维业股份,1300621,14.98,14.98,14.98,14.98,1.36,9.99,29,4,0.00,0.01
2017-03-17,维业股份,1300621,13.62,13.62,13.62,13.62,1.24,10.02,41,6,0.00,0.01
2017-03-16,维业股份,1300621,10.32,12.38,10.32,12.38,3.78,43.95,73,9,23.95,0.02
2017-12-29,维业股份,1300621,19.10,19.70,19.10,19.62,0.42,2.19,"10,112","1,959",3.13,2.97
2017-12-28,维业股份,1300621,18.88,19.35,18.85,19.20,0.28,1.48,"10,860","2,082",2.64,3.19
2017-12-27,维业股份,1300621,19.12,19.19,18.90,18.92,-0.18,-0.94,"9,069","1,724",1.52,2.67
2017-12-26,维业股份,1300621,18.56,19.11,18.50,19.10,0.67,3.64,"11,106","2,103",3.31,3.27
2017-12-25,维业股份,1300621,18.80,18.83,18.20,18.43,-0.37,-1.97,"4,765",877,3.35,1.40
2017-12-22,维业股份,1300621,19.02,19.10,18.75,18.80,-0.17,-0.90,"2,697",509,1.85,0.79
2017-12-21,维业股份,1300621,19.13,19.13,18.48,18.97,-0.01,-0.05,"3,379",639,3.42,0.99
2017-12-20,维业股份,1300621,19.07,19.30,18.88,18.98,-0.05,-0.26,"6,150","1,176",2.21,1.81
2017-12-19,维业股份,1300621,18.80,19.15,18.80,19.03,0.21,1.12,"4,320",823,1.86,1.27
2017-12-18,维业股份,1300621,19.00,19.11,18.80,18.82,-0.23,-1.21,"3,147",596,1.63,0.93
2017-12-15,维业股份,1300621,19.10,19.25,18.87,19.05,-0.11,-0.57,"3,285",627,1.98,0.97
2017-12-14,维业股份,1300621,19.06,19.21,18.87,19.16,0.01,0.05,"5,172",985,1.78,1.52
2017-12-13,维业股份,1300621,18.89,19.16,18.81,19.15,0.30,1.59,"3,655",696,1.86,1.07
2017-12-12,维业股份,1300621,19.33,19.33,18.85,18.85,-0.46,-2.38,"5,186",991,2.49,1.53
2017-12-11,维业股份,1300621,19.18,19.36,19.06,19.31,0.19,0.99,"7,470","1,440",1.57,2.20
2017-12-08,维业股份,1300621,19.09,19.27,18.84,19.12,0.29,1.54,"8,312","1,593",2.28,2.44
2017-12-07,维业股份,1300621,18.77,19.05,18.62,18.83,0.06,0.32,"7,781","1,467",2.29,2.29
2017-12-06,维业股份,1300621,18.43,18.79,18.10,18.77,0.34,1.84,"6,406","1,185",3.74,1.88
2017-12-05,维业股份,1300621,19.15,19.43,18.28,18.43,-0.88,-4.56,"9,862","1,855",5.96,2.90
2017-12-04,维业股份,1300621,20.28,20.29,19.20,19.31,-1.05,-5.16,"7,713","1,520",5.35,2.27
2017-12-01,维业股份,1300621,19.80,20.52,19.80,20.36,0.38,1.90,"7,340","1,494",3.60,2.16
2017-11-30,维业股份,1300621,20.08,20.31,19.80,19.98,0.03,0.15,"6,047","1,217",2.56,1.78
2017-11-29,维业股份,1300621,19.71,20.00,19.41,19.95,0.15,0.76,"9,289","1,842",2.98,2.73
2017-11-28,维业股份,1300621,19.21,19.91,19.21,19.80,0.59,3.07,"8,250","1,626",3.64,2.43
2017-11-27,维业股份,1300621,19.78,19.98,19.13,19.21,-0.71,-3.56,"7,791","1,524",4.27,2.29
2017-11-24,维业股份,1300621,19.93,20.15,19.80,19.92,0.00,0.00,"4,875",974,1.76,1.43
2017-11-23,维业股份,1300621,20.52,20.64,19.89,19.92,-0.60,-2.92,"9,595","1,946",3.66,2.82
2017-11-22,维业股份,1300621,20.66,20.99,20.30,20.52,-0.12,-0.58,"8,987","1,857",3.34,2.64
2017-11-21,维业股份,1300621,20.50,20.83,19.60,20.64,-0.02,-0.10,"13,725","2,809",5.95,4.04
2017-11-20,维业股份,1300621,20.10,20.72,19.58,20.66,0.36,1.77,"11,781","2,392",5.62,3.47
2017-11-17,维业股份,1300621,22.48,22.57,20.28,20.30,-2.23,-9.90,"34,000","7,225",10.16,10.00
2017-11-16,维业股份,1300621,22.68,23.09,22.52,22.53,-0.37,-1.62,"17,570","3,999",2.49,5.17
2017-11-15,维业股份,1300621,23.00,23.17,22.66,22.90,-0.19,-0.82,"17,265","3,949",2.21,5.08
2017-11-14,维业股份,1300621,23.55,23.60,22.81,23.09,-0.59,-2.49,"23,072","5,372",3.34,6.79
2017-11-13,维业股份,1300621,23.38,24.24,23.26,23.68,0.33,1.41,"32,323","7,644",4.20,9.51
2017-11-10,维业股份,1300621,23.05,23.50,23.05,23.35,0.22,0.95,"24,531","5,725",1.95,7.22
2017-11-09,维业股份,1300621,23.30,23.32,22.91,23.13,-0.22,-0.94,"18,400","4,252",1.76,5.41
2017-11-08,维业股份,1300621,23.06,23.50,23.06,23.35,0.14,0.60,"28,080","6,540",1.90,8.26
