日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2019-12-31,豪尔赛,1002963,33.60,34.36,33.32,34.28,0.78,2.33,"39,317","13,310",3.10,10.46
2019-12-30,豪尔赛,1002963,32.95,33.50,32.37,33.50,0.27,0.81,"33,575","11,044",3.40,8.93
2019-12-27,豪尔赛,1002963,33.31,33.68,33.11,33.23,-0.23,-0.69,"27,229","9,075",1.70,7.24
2019-12-26,豪尔赛,1002963,33.20,33.53,33.03,33.46,0.21,0.63,"22,046","7,356",1.50,5.86
2019-12-25,豪尔赛,1002963,33.99,33.99,33.15,33.25,-0.75,-2.21,"34,140","11,403",2.47,9.08
2019-12-24,豪尔赛,1002963,33.98,34.17,33.55,34.00,-0.04,-0.12,"29,014","9,821",1.82,7.72
2019-12-23,豪尔赛,1002963,33.48,34.68,33.16,34.04,0.55,1.64,"50,359","17,140",4.54,13.40
2019-12-20,豪尔赛,1002963,33.23,33.70,32.95,33.49,0.26,0.78,"27,490","9,149",2.26,7.31
2019-12-19,豪尔赛,1002963,33.49,33.50,32.92,33.23,-0.26,-0.78,"25,676","8,510",1.73,6.83
2019-12-18,豪尔赛,1002963,32.95,33.89,32.81,33.49,0.55,1.67,"44,070","14,771",3.28,11.72
2019-12-17,豪尔赛,1002963,32.78,32.99,32.60,32.94,0.24,0.73,"29,232","9,598",1.19,7.78
2019-12-16,豪尔赛,1002963,32.33,32.79,32.14,32.70,0.58,1.81,"24,817","8,088",2.02,6.60
2019-12-13,豪尔赛,1002963,32.03,32.27,32.00,32.12,0.21,0.66,"19,498","6,264",0.85,5.19
2019-12-12,豪尔赛,1002963,32.80,32.93,31.81,31.91,-0.99,-3.01,"36,019","11,572",3.40,9.58
2019-12-11,豪尔赛,1002963,32.90,33.39,32.83,32.90,-0.24,-0.72,"22,942","7,581",1.69,6.10
2019-12-10,豪尔赛,1002963,32.33,33.38,32.21,33.14,0.62,1.91,"35,564","11,713",3.60,9.46
2019-12-09,豪尔赛,1002963,32.44,32.53,32.11,32.52,0.32,0.99,"20,579","6,653",1.30,5.47
2019-12-06,豪尔赛,1002963,32.78,32.78,32.11,32.20,-0.33,-1.01,"23,093","7,468",2.06,6.14
2019-12-05,豪尔赛,1002963,32.33,32.76,32.25,32.53,0.33,1.02,"25,006","8,139",1.58,6.65
2019-12-04,豪尔赛,1002963,32.10,32.53,31.95,32.20,-0.30,-0.92,"19,591","6,319",1.78,5.21
2019-12-03,豪尔赛,1002963,32.70,32.86,31.70,32.50,-0.88,-2.64,"37,604","12,145",3.48,10.00
2019-12-02,豪尔赛,1002963,33.72,34.00,33.05,33.38,-0.54,-1.59,"26,399","8,840",2.80,7.02
2019-11-29,豪尔赛,1002963,33.65,34.01,32.90,33.92,0.10,0.30,"33,334","11,174",3.28,8.87
2019-11-28,豪尔赛,1002963,34.51,34.76,33.72,33.82,-0.93,-2.68,"32,807","11,210",2.99,8.73
2019-11-27,豪尔赛,1002963,34.16,34.98,33.79,34.75,0.56,1.64,"30,832","10,663",3.48,8.20
2019-11-26,豪尔赛,1002963,34.90,35.13,34.08,34.19,-0.75,-2.15,"35,473","12,242",3.01,9.44
2019-11-25,豪尔赛,1002963,35.90,35.90,34.50,34.94,-0.92,-2.57,"37,560","13,158",3.90,9.99
2019-11-22,豪尔赛,1002963,37.15,37.50,35.50,35.86,-1.37,-3.68,"61,060","22,289",5.37,16.24
2019-11-21,豪尔赛,1002963,35.93,37.30,35.33,37.23,0.81,2.22,"72,398","26,461",5.41,19.26
2019-11-20,豪尔赛,1002963,36.06,37.33,35.89,36.42,0.18,0.50,"71,053","25,937",3.97,18.90
2019-11-19,豪尔赛,1002963,35.09,36.67,34.71,36.24,1.32,3.78,"58,234","20,764",5.61,15.49
2019-11-18,豪尔赛,1002963,34.83,35.17,34.17,34.92,0.20,0.58,"41,434","14,393",2.88,11.02
2019-11-15,豪尔赛,1002963,36.83,37.36,34.55,34.72,-2.74,-7.31,"86,069","30,830",7.50,22.90
2019-11-14,豪尔赛,1002963,38.28,39.39,37.39,37.46,-1.44,-3.70,"92,553","35,371",5.14,24.62
2019-11-13,豪尔赛,1002963,37.09,38.98,37.09,38.90,1.40,3.73,"98,329","37,665",5.04,26.16
2019-11-12,豪尔赛,1002963,37.15,38.25,36.83,37.50,-0.13,-0.35,"67,666","25,376",3.77,18.00
2019-11-11,豪尔赛,1002963,36.90,38.10,35.90,37.63,0.47,1.26,"82,054","30,618",5.92,21.83
2019-11-08,豪尔赛,1002963,35.73,38.30,35.47,37.16,1.43,4.00,"105,692","39,213",7.92,28.12
2019-11-07,豪尔赛,1002963,35.31,36.26,34.28,35.73,-0.07,-0.20,"64,309","22,693",5.53,17.11
2019-11-06,豪尔赛,1002963,35.32,36.35,35.25,35.80,0.36,1.02,"56,219","20,115",3.10,14.96
2019-11-05,豪尔赛,1002963,36.34,36.45,35.20,35.44,-1.36,-3.70,"62,304","22,227",3.40,16.57
2019-11-04,豪尔赛,1002963,35.67,36.97,35.56,36.80,1.13,3.17,"73,579","26,722",3.95,19.57
2019-11-01,豪尔赛,1002963,35.64,37.44,35.12,35.67,-1.49,-4.01,"86,290","31,068",6.24,22.96
2019-10-31,豪尔赛,1002963,45.35,45.35,37.11,37.16,-4.07,-9.87,"162,172","62,303",19.99,43.14
2019-10-30,豪尔赛,1002963,41.23,41.23,41.23,41.23,3.75,10.01,972,401,0.00,0.26
2019-10-29,豪尔赛,1002963,37.48,37.48,37.48,37.48,3.41,10.01,275,103,0.00,0.07
2019-10-28,豪尔赛,1002963,28.39,34.07,28.39,34.07,10.41,44.00,717,244,24.01,0.19
2020-03-31,豪尔赛,1002963,26.89,27.05,26.65,26.68,-0.07,-0.26,"5,625","1,511",1.50,1.50
2020-03-30,豪尔赛,1002963,27.08,27.46,26.50,26.75,-0.73,-2.66,"8,655","2,313",3.49,2.30
2020-03-27,豪尔赛,1002963,27.51,27.77,27.42,27.48,0.22,0.81,"10,048","2,772",1.28,2.67
2020-03-26,豪尔赛,1002963,27.50,27.65,27.20,27.26,-0.29,-1.05,"7,978","2,189",1.63,2.12
2020-03-25,豪尔赛,1002963,27.89,27.96,27.41,27.55,0.18,0.66,"13,236","3,658",2.01,3.52
2020-03-24,豪尔赛,1002963,26.78,27.37,26.51,27.37,0.98,3.71,"12,352","3,328",3.26,3.29
2020-03-23,豪尔赛,1002963,26.41,26.82,26.05,26.39,-0.56,-2.08,"9,251","2,450",2.86,2.46
2020-03-20,豪尔赛,1002963,26.77,27.00,26.60,26.95,0.28,1.05,"9,701","2,600",1.50,2.58
2020-03-19,豪尔赛,1002963,26.00,26.75,25.89,26.67,0.48,1.83,"11,092","2,904",3.28,2.95
2020-03-18,豪尔赛,1002963,26.70,27.10,26.18,26.19,-0.24,-0.91,"10,972","2,930",3.48,2.92
2020-03-17,豪尔赛,1002963,26.52,26.80,25.63,26.43,0.07,0.27,"13,026","3,402",4.44,3.47
2020-03-16,豪尔赛,1002963,27.76,27.77,26.20,26.36,-0.97,-3.55,"14,159","3,821",5.74,3.77
2020-03-13,豪尔赛,1002963,27.00,27.67,26.72,27.33,-0.81,-2.88,"18,240","4,940",3.38,4.85
2020-03-12,豪尔赛,1002963,28.20,28.57,27.95,28.14,-0.59,-2.05,"14,865","4,183",2.16,3.95
2020-03-11,豪尔赛,1002963,29.21,29.44,28.72,28.73,-0.30,-1.03,"13,315","3,877",2.48,3.54
2020-03-10,豪尔赛,1002963,28.02,29.14,28.02,29.03,0.34,1.19,"16,944","4,851",3.90,4.51
2020-03-09,豪尔赛,1002963,29.77,29.80,28.66,28.69,-1.26,-4.21,"20,842","6,052",3.81,5.54
2020-03-06,豪尔赛,1002963,29.80,30.24,29.70,29.95,-0.34,-1.12,"17,547","5,260",1.78,4.67
2020-03-05,豪尔赛,1002963,30.60,30.75,29.91,30.29,-0.07,-0.23,"26,827","8,119",2.77,7.14
2020-03-04,豪尔赛,1002963,29.05,30.37,29.05,30.36,1.07,3.65,"28,871","8,600",4.51,7.68
2020-03-03,豪尔赛,1002963,30.10,30.49,29.12,29.29,-0.21,-0.71,"30,049","8,952",4.64,7.99
2020-03-02,豪尔赛,1002963,28.01,29.88,28.01,29.50,1.58,5.66,"28,091","8,222",6.70,7.47
2020-02-28,豪尔赛,1002963,29.05,29.48,27.89,27.92,-2.18,-7.24,"33,779","9,679",5.28,8.99
2020-02-27,豪尔赛,1002963,29.73,31.25,29.73,30.10,0.44,1.48,"36,583","11,180",5.12,9.73
2020-02-26,豪尔赛,1002963,28.84,30.33,28.73,29.66,0.42,1.44,"30,788","9,158",5.47,8.19
2020-02-25,豪尔赛,1002963,29.21,29.38,28.50,29.24,-0.76,-2.53,"30,065","8,739",2.93,8.00
2020-02-24,豪尔赛,1002963,30.43,30.43,29.72,30.00,-0.43,-1.41,"26,525","7,949",2.33,7.06
2020-02-21,豪尔赛,1002963,30.29,30.79,30.12,30.43,0.12,0.40,"23,028","7,021",2.21,6.13
2020-02-20,豪尔赛,1002963,29.90,30.32,29.49,30.31,0.38,1.27,"22,242","6,670",2.77,5.92
2020-02-19,豪尔赛,1002963,29.76,30.36,29.76,29.93,-0.08,-0.27,"23,245","6,971",2.00,6.18
2020-02-18,豪尔赛,1002963,29.54,30.15,29.26,30.01,0.63,2.14,"23,213","6,889",3.03,6.18
2020-02-17,豪尔赛,1002963,28.72,29.38,28.70,29.38,0.77,2.69,"21,289","6,204",2.38,5.66
2020-02-14,豪尔赛,1002963,28.66,29.01,28.45,28.61,-0.21,-0.73,"15,140","4,347",1.94,4.03
2020-02-13,豪尔赛,1002963,29.23,29.69,28.81,28.82,-0.41,-1.40,"17,709","5,169",3.01,4.71
2020-02-12,豪尔赛,1002963,28.95,29.30,28.70,29.23,0.31,1.07,"16,999","4,957",2.07,4.52
2020-02-11,豪尔赛,1002963,28.94,29.69,28.80,28.92,-0.11,-0.38,"22,233","6,495",3.07,5.91
2020-02-10,豪尔赛,1002963,28.00,29.25,27.72,29.03,0.72,2.54,"28,705","8,254",5.40,7.64
2020-02-07,豪尔赛,1002963,27.66,28.54,27.29,28.31,0.67,2.42,"28,176","7,825",4.52,7.50
2020-02-06,豪尔赛,1002963,27.40,27.66,26.87,27.64,0.38,1.39,"27,181","7,410",2.90,7.23
2020-02-05,豪尔赛,1002963,27.00,27.99,26.99,27.26,0.26,0.96,"23,896","6,552",3.70,6.36
2020-02-04,豪尔赛,1002963,25.56,27.31,25.56,27.00,-1.40,-4.93,"27,590","7,381",6.16,7.34
2020-02-03,豪尔赛,1002963,28.40,28.40,28.40,28.40,-3.15,-9.98,"2,600",738,0.00,0.69
2020-01-23,豪尔赛,1002963,32.90,32.90,31.27,31.55,-1.55,-4.68,"22,663","7,261",4.92,6.03
2020-01-22,豪尔赛,1002963,33.28,33.28,32.02,33.10,-0.38,-1.14,"19,186","6,315",3.76,5.10
2020-01-21,豪尔赛,1002963,34.46,34.49,33.42,33.48,-0.98,-2.84,"22,584","7,642",3.11,6.01
2020-01-20,豪尔赛,1002963,34.30,34.47,33.81,34.46,0.19,0.55,"20,788","7,089",1.93,5.53
2020-01-17,豪尔赛,1002963,34.03,34.74,34.03,34.27,0.17,0.50,"17,355","5,961",2.08,4.62
2020-01-16,豪尔赛,1002963,34.62,34.68,34.10,34.10,-0.50,-1.45,"21,688","7,443",1.68,5.77
2020-01-15,豪尔赛,1002963,34.90,34.99,34.39,34.60,-0.45,-1.28,"25,047","8,660",1.71,6.66
2020-01-14,豪尔赛,1002963,34.52,35.38,34.30,35.05,0.60,1.74,"48,631","16,997",3.14,12.94
2020-01-13,豪尔赛,1002963,34.73,34.73,34.06,34.45,-0.04,-0.12,"31,984","10,970",1.94,8.51
2020-01-10,豪尔赛,1002963,33.46,34.87,33.41,34.49,1.11,3.33,"60,249","20,704",4.37,16.03
2020-01-09,豪尔赛,1002963,33.31,33.53,33.14,33.38,0.31,0.94,"23,421","7,815",1.18,6.23
2020-01-08,豪尔赛,1002963,33.66,33.87,33.04,33.07,-0.82,-2.42,"30,261","10,124",2.45,8.05
