日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,金 螳 螂,1002081,11.06,11.15,10.98,11.08,0.02,0.18,"126,946","14,034",1.54,0.48
2017-03-30,金 螳 螂,1002081,11.27,11.36,11.00,11.06,-0.20,-1.78,"178,173","19,882",3.20,0.67
2017-03-29,金 螳 螂,1002081,11.27,11.37,11.20,11.26,-0.02,-0.18,"111,795","12,601",1.51,0.42
2017-03-28,金 螳 螂,1002081,11.47,11.51,11.26,11.28,-0.22,-1.91,"174,688","19,813",2.17,0.66
2017-03-27,金 螳 螂,1002081,11.46,11.75,11.46,11.50,0.05,0.44,"236,108","27,415",2.53,0.89
2017-03-24,金 螳 螂,1002081,11.33,11.57,11.30,11.45,0.13,1.15,"192,740","22,095",2.39,0.73
2017-03-23,金 螳 螂,1002081,11.21,11.48,11.21,11.32,0.06,0.53,"176,264","20,052",2.40,0.67
2017-03-22,金 螳 螂,1002081,11.40,11.49,11.21,11.26,-0.17,-1.49,"160,944","18,245",2.45,0.61
2017-03-21,金 螳 螂,1002081,11.21,11.43,11.16,11.43,0.23,2.05,"175,726","19,924",2.41,0.66
2017-03-20,金 螳 螂,1002081,11.15,11.26,11.01,11.20,0.04,0.36,"126,280","14,078",2.24,0.48
2017-03-17,金 螳 螂,1002081,11.36,11.50,11.16,11.16,-0.20,-1.76,"221,909","25,096",2.99,0.84
2017-03-16,金 螳 螂,1002081,11.41,11.71,11.28,11.36,0.01,0.09,"275,539","31,569",3.79,1.04
2017-03-15,金 螳 螂,1002081,11.40,11.43,11.25,11.35,0.00,0.00,"155,178","17,613",1.59,0.59
2017-03-14,金 螳 螂,1002081,11.38,11.42,11.23,11.35,-0.02,-0.18,"206,717","23,441",1.67,0.78
2017-03-13,金 螳 螂,1002081,10.88,11.49,10.88,11.37,0.59,5.47,"475,675","53,513",5.66,1.80
2017-03-10,金 螳 螂,1002081,10.79,10.85,10.72,10.78,-0.02,-0.19,"87,168","9,392",1.20,0.33
2017-03-09,金 螳 螂,1002081,10.95,10.95,10.74,10.80,-0.15,-1.37,"158,505","17,132",1.92,0.60
2017-03-08,金 螳 螂,1002081,10.97,11.06,10.89,10.95,-0.03,-0.27,"107,183","11,762",1.55,0.41
2017-03-07,金 螳 螂,1002081,11.12,11.12,10.85,10.98,-0.15,-1.35,"240,487","26,338",2.43,0.91
2017-03-06,金 螳 螂,1002081,11.11,11.21,11.01,11.13,0.02,0.18,"168,199","18,698",1.80,0.64
2017-03-03,金 螳 螂,1002081,10.88,11.12,10.83,11.11,0.19,1.74,"245,687","27,099",2.66,0.93
2017-03-02,金 螳 螂,1002081,10.80,10.94,10.75,10.92,0.14,1.30,"207,332","22,505",1.76,0.78
2017-03-01,金 螳 螂,1002081,10.78,10.88,10.74,10.78,-0.03,-0.28,"141,587","15,308",1.30,0.54
2017-02-28,金 螳 螂,1002081,10.54,10.83,10.54,10.81,0.22,2.08,"177,271","19,004",2.74,0.67
2017-02-27,金 螳 螂,1002081,10.60,10.72,10.48,10.59,-0.01,-0.09,"118,820","12,603",2.26,0.45
2017-02-24,金 螳 螂,1002081,10.65,10.70,10.48,10.60,-0.05,-0.47,"100,979","10,673",2.07,0.38
2017-02-23,金 螳 螂,1002081,10.73,10.85,10.58,10.65,-0.09,-0.84,"124,082","13,283",2.51,0.47
2017-02-22,金 螳 螂,1002081,10.75,10.84,10.70,10.74,-0.01,-0.09,"109,783","11,808",1.30,0.42
2017-02-21,金 螳 螂,1002081,10.70,10.85,10.65,10.75,0.05,0.47,"183,152","19,722",1.87,0.69
2017-02-20,金 螳 螂,1002081,10.38,10.72,10.38,10.70,0.32,3.08,"187,029","19,843",3.28,0.71
2017-02-17,金 螳 螂,1002081,10.57,10.60,10.35,10.38,-0.19,-1.80,"112,632","11,773",2.37,0.43
2017-02-16,金 螳 螂,1002081,10.49,10.62,10.45,10.57,0.08,0.76,"86,628","9,137",1.62,0.33
2017-02-15,金 螳 螂,1002081,10.76,10.77,10.40,10.49,-0.23,-2.15,"170,544","18,061",3.45,0.65
2017-02-14,金 螳 螂,1002081,10.65,10.76,10.61,10.72,0.08,0.75,"116,218","12,405",1.41,0.44
2017-02-13,金 螳 螂,1002081,10.60,10.82,10.60,10.64,0.02,0.19,"180,164","19,278",2.07,0.68
2017-02-10,金 螳 螂,1002081,10.65,10.83,10.57,10.62,-0.05,-0.47,"272,591","29,176",2.44,1.03
2017-02-09,金 螳 螂,1002081,10.35,10.74,10.32,10.67,0.34,3.29,"326,642","34,507",4.07,1.24
2017-02-08,金 螳 螂,1002081,10.24,10.38,10.21,10.33,0.06,0.58,"126,104","12,989",1.66,0.48
2017-02-07,金 螳 螂,1002081,10.16,10.43,10.12,10.27,0.18,1.78,"230,651","23,736",3.07,0.87
2017-02-06,金 螳 螂,1002081,10.03,10.09,9.96,10.09,0.06,0.60,"82,344","8,274",1.30,0.31
2017-02-03,金 螳 螂,1002081,10.08,10.09,9.99,10.03,0.01,0.10,"84,662","8,494",1.00,0.32
2017-01-26,金 螳 螂,1002081,10.10,10.13,10.00,10.02,0.03,0.30,"96,581","9,689",1.30,0.37
2017-01-25,金 螳 螂,1002081,10.03,10.06,9.96,9.99,-0.06,-0.60,"112,960","11,287",1.00,0.43
2017-01-24,金 螳 螂,1002081,9.99,10.05,9.90,10.05,0.05,0.50,"89,224","8,909",1.50,0.34
2017-01-23,金 螳 螂,1002081,9.79,10.04,9.77,10.00,0.22,2.25,"116,196","11,581",2.76,0.44
2017-01-20,金 螳 螂,1002081,9.64,9.83,9.60,9.78,0.13,1.35,"81,533","7,959",2.38,0.31
2017-01-19,金 螳 螂,1002081,9.68,9.75,9.61,9.65,-0.10,-1.03,"70,048","6,769",1.44,0.27
2017-01-18,金 螳 螂,1002081,9.76,9.83,9.66,9.75,0.00,0.00,"87,970","8,571",1.74,0.33
2017-01-17,金 螳 螂,1002081,9.69,9.81,9.55,9.75,0.01,0.10,"86,638","8,381",2.67,0.33
2017-01-16,金 螳 螂,1002081,9.96,9.99,9.21,9.74,-0.22,-2.21,"208,111","20,261",7.83,0.79
2017-01-13,金 螳 螂,1002081,10.09,10.13,9.91,9.96,-0.15,-1.48,"144,331","14,463",2.18,0.55
2017-01-12,金 螳 螂,1002081,10.09,10.23,10.03,10.11,0.01,0.10,"156,997","15,940",1.98,0.59
2017-01-11,金 螳 螂,1002081,10.04,10.15,10.01,10.10,0.05,0.50,"113,175","11,406",1.39,0.43
2017-01-10,金 螳 螂,1002081,10.09,10.12,10.00,10.05,-0.06,-0.59,"90,760","9,140",1.19,0.34
2017-01-09,金 螳 螂,1002081,10.03,10.11,9.97,10.11,0.08,0.80,"130,764","13,146",1.40,0.49
2017-01-06,金 螳 螂,1002081,10.06,10.08,9.96,10.03,-0.03,-0.30,"101,955","10,199",1.19,0.39
2017-01-05,金 螳 螂,1002081,10.10,10.12,10.03,10.06,-0.04,-0.40,"96,076","9,686",0.89,0.36
2017-01-04,金 螳 螂,1002081,9.88,10.14,9.86,10.10,0.22,2.23,"178,003","17,861",2.83,0.67
2017-01-03,金 螳 螂,1002081,9.80,9.91,9.80,9.88,0.09,0.92,"107,662","10,628",1.12,0.41
2017-06-30,金 螳 螂,1002081,10.89,11.11,10.83,10.98,0.03,0.27,"126,949","13,983",2.56,0.48
2017-06-29,金 螳 螂,1002081,10.88,11.05,10.82,10.95,0.07,0.64,"100,681","11,007",2.11,0.38
2017-06-28,金 螳 螂,1002081,10.87,11.03,10.85,10.88,-0.06,-0.55,"115,664","12,651",1.65,0.44
2017-06-27,金 螳 螂,1002081,11.00,11.09,10.84,10.94,-0.11,-1.00,"168,907","18,517",2.26,0.64
2017-06-26,金 螳 螂,1002081,10.90,11.18,10.88,11.05,0.10,0.91,"270,739","29,845",2.74,1.02
2017-06-23,金 螳 螂,1002081,10.52,10.95,10.51,10.95,0.40,3.79,"267,928","28,963",4.17,1.01
2017-06-22,金 螳 螂,1002081,10.45,10.78,10.40,10.55,0.13,1.25,"155,501","16,481",3.65,0.59
2017-06-21,金 螳 螂,1002081,10.46,10.49,10.39,10.42,0.02,0.19,"67,584","7,055",0.96,0.26
2017-06-20,金 螳 螂,1002081,10.37,10.43,10.35,10.40,0.05,0.48,"71,035","7,387",0.77,0.27
