日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,隧道股份,0600820,9.99,10.12,9.96,10.10,0.09,0.90,"197,737","19,858",1.60,0.63
2017-06-29,隧道股份,0600820,10.01,10.06,9.97,10.01,-0.01,-0.10,"140,980","14,108",0.90,0.45
2017-06-28,隧道股份,0600820,9.96,10.10,9.92,10.02,0.05,0.50,"271,128","27,224",1.81,0.86
2017-06-27,隧道股份,0600820,10.00,10.04,9.91,9.97,-0.04,-0.40,"182,449","18,205",1.30,0.58
2017-06-26,隧道股份,0600820,9.92,10.14,9.92,10.01,0.05,0.50,"383,391","38,403",2.21,1.22
2017-06-23,隧道股份,0600820,9.85,9.97,9.75,9.96,0.07,0.71,"266,057","26,244",2.22,0.85
2017-06-22,隧道股份,0600820,9.81,10.06,9.78,9.89,0.11,1.12,"473,764","47,000",2.86,1.51
2017-06-21,隧道股份,0600820,9.80,9.82,9.71,9.78,0.05,0.51,"139,938","13,667",1.13,0.45
2017-06-20,隧道股份,0600820,9.69,9.86,9.65,9.73,0.04,0.41,"189,541","18,476",2.17,0.60
2017-06-19,隧道股份,0600820,9.72,9.73,9.57,9.69,-0.03,-0.31,"206,553","19,939",1.65,0.66
2017-06-16,隧道股份,0600820,9.82,9.82,9.70,9.72,-0.08,-0.82,"114,900","11,192",1.22,0.37
2017-06-15,隧道股份,0600820,9.76,9.83,9.74,9.80,0.02,0.20,"93,613","9,172",0.92,0.30
2017-06-14,隧道股份,0600820,9.84,9.84,9.74,9.78,-0.05,-0.51,"119,889","11,719",1.02,0.38
2017-06-13,隧道股份,0600820,9.79,9.86,9.73,9.83,0.00,0.00,"110,930","10,884",1.32,0.35
2017-06-12,隧道股份,0600820,9.92,9.92,9.73,9.83,-0.10,-1.01,"242,079","23,733",1.91,0.77
2017-06-09,隧道股份,0600820,9.69,9.95,9.69,9.93,0.24,2.48,"387,508","38,215",2.68,1.23
2017-06-08,隧道股份,0600820,9.75,9.75,9.67,9.69,-0.03,-0.31,"132,675","12,866",0.82,0.42
2017-06-07,隧道股份,0600820,9.56,9.74,9.53,9.72,0.16,1.67,"205,984","19,933",2.20,0.66
2017-06-06,隧道股份,0600820,9.63,9.67,9.49,9.56,-0.08,-0.83,"185,359","17,717",1.87,0.59
2017-06-05,隧道股份,0600820,9.74,9.79,9.60,9.64,-0.09,-0.93,"151,638","14,687",1.95,0.48
2017-06-02,隧道股份,0600820,9.73,9.77,9.65,9.73,-0.01,-0.10,"131,317","12,757",1.23,0.42
2017-06-01,隧道股份,0600820,9.58,9.75,9.50,9.74,0.14,1.46,"362,413","34,945",2.60,1.15
2017-05-31,隧道股份,0600820,9.57,9.63,9.47,9.60,0.10,1.05,"257,286","24,577",1.68,0.82
2017-05-26,隧道股份,0600820,9.55,9.63,9.43,9.50,-0.04,-0.42,"208,117","19,845",2.10,0.66
2017-05-25,隧道股份,0600820,9.49,9.56,9.38,9.54,0.05,0.53,"193,952","18,404",1.90,0.62
2017-05-24,隧道股份,0600820,9.53,9.53,9.37,9.49,-0.09,-0.94,"175,895","16,609",1.67,0.56
2017-05-23,隧道股份,0600820,9.50,9.59,9.32,9.58,0.02,0.21,"295,359","27,943",2.82,0.94
2017-05-22,隧道股份,0600820,9.46,9.64,9.37,9.56,0.09,0.95,"310,202","29,511",2.85,0.99
2017-05-19,隧道股份,0600820,9.66,9.68,9.40,9.47,-0.20,-2.07,"323,122","30,730",2.90,1.03
2017-05-18,隧道股份,0600820,9.89,9.89,9.63,9.67,-0.30,-3.01,"461,662","44,848",2.61,1.47
2017-05-17,隧道股份,0600820,10.05,10.10,9.94,9.97,-0.09,-0.89,"221,761","22,205",1.59,0.71
2017-05-16,隧道股份,0600820,10.15,10.15,9.82,10.06,-0.09,-0.89,"362,474","36,137",3.25,1.15
2017-05-15,隧道股份,0600820,10.26,10.32,10.13,10.15,-0.09,-0.88,"170,975","17,489",1.86,0.54
2017-05-12,隧道股份,0600820,10.29,10.33,10.19,10.24,-0.03,-0.29,"117,627","12,066",1.36,0.37
2017-05-11,隧道股份,0600820,10.09,10.30,10.04,10.27,0.10,0.98,"293,063","29,849",2.56,0.93
2017-05-10,隧道股份,0600820,10.29,10.37,10.11,10.17,-0.12,-1.17,"171,716","17,558",2.53,0.55
2017-05-09,隧道股份,0600820,10.31,10.35,10.20,10.29,-0.06,-0.58,"133,274","13,688",1.45,0.42
