日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-06-30,世荣兆业,1002016,9.55,9.64,9.32,9.46,-0.17,-1.77,"123,187","11,652",3.32,1.91
2017-06-29,世荣兆业,1002016,9.81,9.94,9.56,9.63,-0.16,-1.63,"99,418","9,633",3.88,1.54
2017-06-28,世荣兆业,1002016,9.97,10.06,9.73,9.79,-0.19,-1.90,"89,701","8,842",3.31,1.39
2017-06-27,世荣兆业,1002016,9.83,10.22,9.81,9.98,0.19,1.94,"146,972","14,710",4.19,2.27
2017-06-26,世荣兆业,1002016,9.69,9.95,9.64,9.79,0.15,1.56,"127,968","12,511",3.22,1.98
2017-06-23,世荣兆业,1002016,9.42,9.67,9.27,9.64,0.24,2.55,"84,093","8,000",4.26,1.30
2017-06-22,世荣兆业,1002016,9.67,9.78,9.38,9.40,-0.26,-2.69,"77,879","7,503",4.14,1.21
2017-06-21,世荣兆业,1002016,9.74,9.83,9.64,9.66,-0.15,-1.53,"76,927","7,454",1.94,1.19
2017-06-20,世荣兆业,1002016,9.85,9.95,9.67,9.81,-0.08,-0.81,"130,434","12,748",2.83,2.02
2017-06-19,世荣兆业,1002016,9.93,10.25,9.83,9.89,-0.01,-0.10,"152,973","15,323",4.24,2.37
2017-06-16,世荣兆业,1002016,9.65,10.09,9.61,9.90,0.23,2.38,"176,681","17,342",4.96,2.73
2017-06-15,世荣兆业,1002016,9.48,9.83,9.42,9.67,0.09,0.94,"115,675","11,198",4.28,1.79
2017-06-14,世荣兆业,1002016,9.50,9.67,9.44,9.58,0.03,0.31,"101,654","9,710",2.41,1.57
2017-06-13,世荣兆业,1002016,9.35,9.66,9.23,9.55,0.14,1.49,"165,800","15,729",4.57,2.57
2017-06-12,世荣兆业,1002016,9.35,9.84,9.23,9.41,0.15,1.62,"206,636","19,761",6.59,3.20
2017-06-09,世荣兆业,1002016,9.32,9.43,9.21,9.26,-0.11,-1.17,"112,140","10,428",2.35,1.74
2017-06-08,世荣兆业,1002016,9.08,9.66,9.01,9.37,0.23,2.52,"212,951","19,892",7.11,3.30
2017-06-07,世荣兆业,1002016,8.84,9.35,8.74,9.14,0.33,3.75,"175,271","15,876",6.92,2.71
2017-06-06,世荣兆业,1002016,8.60,8.94,8.52,8.81,0.24,2.80,"110,016","9,657",4.90,1.70
2017-06-05,世荣兆业,1002016,8.50,8.63,8.47,8.57,0.08,0.94,"43,459","3,714",1.88,0.67
2017-06-02,世荣兆业,1002016,8.22,8.60,8.18,8.49,0.19,2.29,"59,686","5,026",5.06,0.92
2017-06-01,世荣兆业,1002016,8.58,8.66,8.30,8.30,-0.46,-5.25,"79,591","6,791",4.11,1.23
2017-05-31,世荣兆业,1002016,9.18,9.23,9.06,9.14,0.21,2.35,"86,682","7,923",1.90,1.34
2017-05-26,世荣兆业,1002016,8.93,9.15,8.88,8.93,0.02,0.22,"69,409","6,256",3.03,1.07
2017-05-25,世荣兆业,1002016,8.71,9.01,8.66,8.91,0.10,1.14,"85,581","7,578",3.97,1.32
2017-05-24,世荣兆业,1002016,8.61,8.90,8.30,8.81,0.14,1.61,"85,878","7,386",6.92,1.33
2017-05-23,世荣兆业,1002016,9.06,9.16,8.58,8.67,-0.41,-4.52,"102,311","9,095",6.39,1.58
2017-05-22,世荣兆业,1002016,9.38,9.54,8.90,9.08,-0.27,-2.89,"89,543","8,298",6.84,1.39
2017-05-19,世荣兆业,1002016,9.34,9.48,9.30,9.35,0.00,0.00,"73,159","6,865",1.93,1.13
2017-05-18,世荣兆业,1002016,9.50,9.61,9.33,9.35,-0.26,-2.71,"92,702","8,781",2.91,1.43
2017-05-17,世荣兆业,1002016,9.50,9.85,9.50,9.61,-0.01,-0.10,"134,785","13,048",3.64,2.09
2017-05-16,世荣兆业,1002016,9.13,9.66,9.00,9.62,0.42,4.57,"140,422","13,151",7.17,2.17
2017-05-15,世荣兆业,1002016,9.22,9.47,9.11,9.20,-0.17,-1.81,"105,299","9,760",3.84,1.63
2017-05-12,世荣兆业,1002016,9.09,9.68,8.96,9.37,0.16,1.74,"164,507","15,466",7.82,2.55
2017-05-11,世荣兆业,1002016,9.00,9.38,8.55,9.21,0.01,0.11,"156,085","13,943",9.02,2.42
2017-05-10,世荣兆业,1002016,9.89,10.03,9.17,9.20,-0.80,-8.00,"180,467","17,435",8.60,2.79
2017-05-09,世荣兆业,1002016,10.30,10.45,9.46,10.00,-0.51,-4.85,"224,654","22,056",9.42,3.48
2017-05-08,世荣兆业,1002016,10.43,10.85,10.35,10.51,-0.09,-0.85,"179,279","19,047",4.72,2.77
2017-05-05,世荣兆业,1002016,10.61,11.07,10.60,10.60,-0.19,-1.76,"212,412","22,978",4.36,3.29
2017-05-04,世荣兆业,1002016,10.60,11.04,10.30,10.79,0.11,1.03,"278,070","29,904",6.93,4.30
2017-05-03,世荣兆业,1002016,10.80,11.31,10.63,10.68,-0.27,-2.47,"288,998","31,530",6.21,4.47
2017-05-02,世荣兆业,1002016,10.50,11.05,10.45,10.95,0.15,1.39,"371,721","39,905",5.56,5.75
2017-04-28,世荣兆业,1002016,9.62,10.80,9.51,10.80,0.98,9.98,"405,741","42,517",13.14,6.28
2017-04-27,世荣兆业,1002016,9.65,9.85,9.40,9.82,0.12,1.24,"171,268","16,533",4.64,2.65
2017-04-26,世荣兆业,1002016,9.50,9.80,9.43,9.70,0.12,1.25,"140,720","13,526",3.86,2.18
2017-04-25,世荣兆业,1002016,9.58,9.86,9.51,9.58,0.07,0.74,"120,671","11,650",3.68,1.87
2017-04-24,世荣兆业,1002016,10.05,10.09,9.36,9.51,-0.49,-4.90,"134,744","12,992",7.30,2.09
2017-04-21,世荣兆业,1002016,10.43,10.56,9.96,10.00,-0.50,-4.76,"158,723","16,258",5.71,2.46
2017-04-20,世荣兆业,1002016,10.60,10.74,10.29,10.50,-0.23,-2.14,"165,719","17,404",4.19,2.56
2017-04-19,世荣兆业,1002016,10.43,10.88,10.22,10.73,0.10,0.94,"225,721","23,820",6.21,3.49
2017-04-18,世荣兆业,1002016,11.05,11.14,10.63,10.63,-0.27,-2.48,"223,401","24,305",4.68,3.46
2017-04-17,世荣兆业,1002016,11.42,11.45,10.62,10.90,-0.70,-6.03,"270,474","29,599",7.16,4.19
2017-04-14,世荣兆业,1002016,12.10,12.11,11.41,11.60,-0.97,-7.72,"410,192","48,012",5.57,6.35
2017-04-13,世荣兆业,1002016,11.82,12.85,11.51,12.57,0.89,7.62,"820,225","99,455",11.47,12.70
2017-04-12,世荣兆业,1002016,11.65,11.68,11.50,11.68,1.06,9.98,"437,216","51,023",1.69,6.77
2017-04-11,世荣兆业,1002016,9.65,10.62,9.40,10.62,0.97,10.05,"243,197","25,124",12.64,3.76
2017-04-10,世荣兆业,1002016,9.47,9.67,9.41,9.65,0.13,1.37,"47,946","4,579",2.73,0.74
2017-04-07,世荣兆业,1002016,9.54,9.60,9.48,9.52,-0.02,-0.21,"26,680","2,546",1.26,0.41
2017-04-06,世荣兆业,1002016,9.51,9.63,9.43,9.54,0.02,0.21,"49,930","4,762",2.10,0.77
2017-04-05,世荣兆业,1002016,9.26,9.67,9.26,9.52,0.22,2.37,"57,741","5,482",4.41,0.89
2017-03-31,世荣兆业,1002016,9.37,9.46,9.29,9.30,-0.13,-1.38,"30,097","2,823",1.80,0.47
2017-03-30,世荣兆业,1002016,9.63,9.67,9.36,9.43,-0.19,-1.98,"53,505","5,078",3.22,0.83
2017-03-29,世荣兆业,1002016,9.66,10.29,9.55,9.62,-0.06,-0.62,"99,404","9,809",7.64,1.54
2017-03-28,世荣兆业,1002016,9.68,9.73,9.64,9.68,-0.05,-0.51,"15,504","1,501",0.93,0.24
2017-03-27,世荣兆业,1002016,9.74,9.80,9.70,9.73,-0.05,-0.51,"17,859","1,740",1.02,0.28
2017-03-24,世荣兆业,1002016,9.81,9.87,9.64,9.78,0.01,0.10,"40,058","3,912",2.35,0.62
2017-03-23,世荣兆业,1002016,9.80,9.83,9.70,9.77,-0.08,-0.81,"19,474","1,901",1.32,0.30
2017-03-22,世荣兆业,1002016,9.85,9.88,9.64,9.85,-0.05,-0.51,"32,924","3,211",2.42,0.51
2017-03-21,世荣兆业,1002016,9.99,9.99,9.89,9.90,-0.05,-0.50,"17,993","1,788",1.01,0.28
2017-03-20,世荣兆业,1002016,9.97,10.00,9.87,9.95,-0.03,-0.30,"24,098","2,396",1.30,0.37
2017-03-17,世荣兆业,1002016,10.04,10.12,9.94,9.98,-0.05,-0.50,"34,956","3,499",1.79,0.54
2017-03-16,世荣兆业,1002016,10.01,10.11,9.94,10.03,0.07,0.70,"48,946","4,909",1.71,0.76
2017-03-15,世荣兆业,1002016,9.84,10.03,9.80,9.96,0.06,0.61,"33,576","3,335",2.32,0.52
2017-03-14,世荣兆业,1002016,9.97,10.04,9.88,9.90,-0.08,-0.80,"30,958","3,084",1.60,0.48
2017-03-13,世荣兆业,1002016,9.91,10.02,9.80,9.98,0.08,0.81,"39,982","3,976",2.22,0.62
2017-03-10,世荣兆业,1002016,9.82,9.96,9.71,9.90,0.07,0.71,"29,263","2,882",2.54,0.45
2017-03-09,世荣兆业,1002016,9.93,9.94,9.79,9.83,-0.12,-1.21,"25,461","2,507",1.51,0.39
2017-03-08,世荣兆业,1002016,9.96,10.06,9.86,9.95,-0.05,-0.50,"31,061","3,084",2.00,0.48
2017-03-07,世荣兆业,1002016,9.97,10.04,9.83,10.00,-0.01,-0.10,"61,039","6,064",2.10,0.94
2017-03-06,世荣兆业,1002016,9.63,10.12,9.61,10.01,0.32,3.30,"101,043","9,988",5.26,1.56
2017-03-03,世荣兆业,1002016,9.52,9.73,9.33,9.69,0.14,1.47,"72,200","6,840",4.19,1.12
2017-03-02,世荣兆业,1002016,9.72,9.72,9.51,9.55,-0.15,-1.55,"36,902","3,541",2.16,0.57
2017-03-01,世荣兆业,1002016,9.81,9.83,9.61,9.70,-0.11,-1.12,"51,826","5,041",2.24,0.80
2017-02-28,世荣兆业,1002016,9.87,9.94,9.77,9.81,-0.05,-0.51,"25,289","2,486",1.72,0.39
2017-02-27,世荣兆业,1002016,9.86,9.96,9.74,9.86,0.00,0.00,"37,068","3,659",2.23,0.57
2017-02-24,世荣兆业,1002016,9.87,9.89,9.82,9.86,0.01,0.10,"20,157","1,986",0.71,0.31
2017-02-23,世荣兆业,1002016,9.88,9.92,9.80,9.85,-0.03,-0.30,"22,637","2,231",1.21,0.35
2017-02-22,世荣兆业,1002016,10.00,10.00,9.83,9.88,-0.12,-1.20,"33,388","3,305",1.70,0.52
2017-02-21,世荣兆业,1002016,10.07,10.13,9.94,10.00,-0.05,-0.50,"36,095","3,613",1.89,0.56
