日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,信达地产,0600657,6.19,6.33,6.18,6.26,0.06,0.97,"154,864","9,729",2.42,1.02
2017-09-28,信达地产,0600657,6.26,6.27,6.12,6.20,-0.04,-0.64,"180,288","11,214",2.40,1.18
2017-09-27,信达地产,0600657,6.11,6.29,6.09,6.24,0.11,1.79,"215,203","13,334",3.26,1.41
2017-09-26,信达地产,0600657,6.10,6.17,6.03,6.13,0.03,0.49,"207,504","12,661",2.30,1.36
2017-09-25,信达地产,0600657,6.43,6.48,6.04,6.10,-0.47,-7.15,"401,101","25,007",6.70,2.63
2017-09-22,信达地产,0600657,6.67,6.76,6.48,6.57,-0.11,-1.65,"332,734","21,924",4.19,2.18
2017-09-21,信达地产,0600657,6.98,6.99,6.63,6.68,-0.43,-6.05,"521,141","35,412",5.06,3.42
2017-09-20,信达地产,0600657,6.94,7.17,6.86,7.11,0.25,3.64,"946,157","66,286",4.52,6.21
2017-09-19,信达地产,0600657,6.27,6.86,6.26,6.86,0.62,9.94,"419,245","28,364",9.62,2.75
2017-09-18,信达地产,0600657,6.22,6.39,6.20,6.24,0.03,0.48,"172,968","10,840",3.06,1.13
2017-09-15,信达地产,0600657,6.13,6.38,6.10,6.21,0.08,1.31,"344,498","21,597",4.57,2.26
2017-09-14,信达地产,0600657,5.97,6.16,5.97,6.13,0.16,2.68,"273,679","16,643",3.18,1.80
2017-09-13,信达地产,0600657,5.94,5.97,5.90,5.97,0.03,0.51,"69,194","4,110",1.18,0.45
2017-09-12,信达地产,0600657,5.98,6.03,5.93,5.94,-0.03,-0.50,"110,879","6,638",1.68,0.73
2017-09-11,信达地产,0600657,5.90,6.03,5.88,5.97,0.06,1.02,"134,413","8,030",2.54,0.88
2017-09-08,信达地产,0600657,5.95,5.97,5.88,5.91,-0.06,-1.01,"140,547","8,319",1.51,0.92
2017-09-07,信达地产,0600657,5.90,6.12,5.88,5.97,0.06,1.02,"208,257","12,512",4.06,1.37
2017-09-06,信达地产,0600657,5.89,5.92,5.86,5.91,0.00,0.00,"83,778","4,935",1.02,0.55
2017-09-05,信达地产,0600657,5.93,5.96,5.87,5.91,-0.02,-0.34,"109,712","6,490",1.52,0.72
2017-09-04,信达地产,0600657,5.91,5.95,5.84,5.93,0.02,0.34,"163,270","9,642",1.86,1.07
2017-09-01,信达地产,0600657,5.77,5.92,5.77,5.91,0.15,2.60,"226,112","13,285",2.60,1.48
2017-08-31,信达地产,0600657,5.70,5.77,5.69,5.76,0.06,1.05,"162,569","9,329",1.40,1.07
2017-08-30,信达地产,0600657,5.71,5.75,5.67,5.70,-0.01,-0.18,"111,990","6,397",1.40,0.73
2017-08-29,信达地产,0600657,5.67,5.75,5.65,5.71,0.03,0.53,"98,621","5,630",1.76,0.65
