日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,光明地产,0600708,6.69,6.87,6.67,6.85,0.18,2.70,"70,219","4,771",3.00,0.71
2017-12-28,光明地产,0600708,6.71,6.73,6.67,6.67,-0.02,-0.30,"42,750","2,863",0.90,0.43
2017-12-27,光明地产,0600708,6.68,6.74,6.67,6.69,-0.03,-0.45,"43,684","2,929",1.04,0.44
2017-12-26,光明地产,0600708,6.69,6.75,6.65,6.72,0.05,0.75,"60,457","4,051",1.50,0.61
2017-12-25,光明地产,0600708,6.71,6.79,6.65,6.67,-0.04,-0.60,"59,922","4,018",2.09,0.61
2017-12-22,光明地产,0600708,6.73,6.80,6.68,6.71,-0.04,-0.59,"47,102","3,175",1.78,0.48
2017-12-21,光明地产,0600708,6.77,6.79,6.66,6.75,-0.04,-0.59,"62,559","4,220",1.91,0.63
2017-12-20,光明地产,0600708,6.88,6.91,6.74,6.79,-0.10,-1.45,"44,748","3,048",2.47,0.45
2017-12-19,光明地产,0600708,6.81,6.92,6.80,6.89,0.06,0.88,"37,647","2,589",1.76,0.38
2017-12-18,光明地产,0600708,6.82,6.85,6.76,6.83,0.03,0.44,"38,806","2,641",1.32,0.39
2017-12-15,光明地产,0600708,6.88,6.91,6.77,6.80,-0.11,-1.59,"43,814","2,991",2.03,0.44
2017-12-14,光明地产,0600708,6.96,6.97,6.86,6.91,-0.04,-0.58,"33,268","2,296",1.58,0.34
2017-12-13,光明地产,0600708,6.88,6.96,6.88,6.95,0.07,1.02,"33,715","2,334",1.16,0.34
2017-12-12,光明地产,0600708,6.98,6.98,6.87,6.88,-0.07,-1.01,"40,655","2,811",1.58,0.41
2017-12-11,光明地产,0600708,6.95,6.96,6.85,6.95,0.02,0.29,"47,057","3,248",1.59,0.48
2017-12-08,光明地产,0600708,6.83,6.94,6.80,6.93,0.10,1.46,"48,147","3,314",2.05,0.49
2017-12-07,光明地产,0600708,6.82,6.89,6.81,6.83,-0.02,-0.29,"35,604","2,435",1.17,0.36
2017-12-06,光明地产,0600708,6.88,6.88,6.73,6.85,-0.01,-0.15,"48,595","3,307",2.19,0.49
2017-12-05,光明地产,0600708,7.03,7.04,6.81,6.86,-0.17,-2.42,"87,635","6,062",3.27,0.89
2017-12-04,光明地产,0600708,7.11,7.11,6.98,7.03,-0.08,-1.13,"65,155","4,596",1.83,0.66
2017-12-01,光明地产,0600708,7.09,7.14,7.05,7.11,0.02,0.28,"50,407","3,572",1.27,0.51
2017-11-30,光明地产,0600708,7.19,7.19,7.05,7.09,-0.11,-1.53,"62,532","4,453",1.94,0.63
2017-11-29,光明地产,0600708,7.16,7.24,7.08,7.20,0.10,1.41,"98,819","7,073",2.25,1.00
2017-11-28,光明地产,0600708,7.02,7.13,7.02,7.10,0.06,0.85,"41,257","2,922",1.56,0.42
2017-11-27,光明地产,0600708,7.04,7.09,7.00,7.04,-0.03,-0.42,"42,387","2,987",1.27,0.43
2017-11-24,光明地产,0600708,6.96,7.11,6.96,7.07,0.07,1.00,"52,311","3,681",2.14,0.53
2017-11-23,光明地产,0600708,7.16,7.19,6.97,7.00,-0.18,-2.51,"90,898","6,441",3.06,0.92
2017-11-22,光明地产,0600708,7.22,7.26,7.15,7.18,-0.06,-0.83,"81,143","5,850",1.52,0.82
2017-11-21,光明地产,0600708,7.19,7.36,7.15,7.24,0.02,0.28,"113,183","8,207",2.91,1.14
2017-11-20,光明地产,0600708,7.16,7.22,7.07,7.22,0.07,0.98,"75,587","5,405",2.10,0.76
2017-11-17,光明地产,0600708,7.47,7.47,7.13,7.15,-0.24,-3.25,"141,496","10,289",4.60,1.43
2017-11-16,光明地产,0600708,7.41,7.52,7.35,7.39,0.00,0.00,"97,508","7,246",2.30,0.99
2017-11-15,光明地产,0600708,7.57,7.64,7.37,7.39,-0.21,-2.76,"138,758","10,327",3.55,1.40
2017-11-14,光明地产,0600708,7.56,7.74,7.56,7.60,0.02,0.26,"157,303","12,019",2.37,1.59
2017-11-13,光明地产,0600708,7.64,7.78,7.57,7.58,-0.05,-0.66,"134,103","10,282",2.75,1.36
2017-11-10,光明地产,0600708,7.63,7.66,7.58,7.63,0.02,0.26,"110,874","8,444",1.05,1.12
2017-11-09,光明地产,0600708,7.70,7.72,7.56,7.61,-0.09,-1.17,"181,426","13,808",2.08,1.83
2017-11-08,光明地产,0600708,7.76,7.82,7.68,7.70,-0.07,-0.90,"161,711","12,535",1.80,1.64
2017-11-07,光明地产,0600708,7.94,7.97,7.70,7.77,-0.13,-1.65,"171,036","13,314",3.42,1.73
2017-11-06,光明地产,0600708,7.89,7.95,7.81,7.90,-0.01,-0.13,"159,406","12,521",1.77,1.61
2017-11-03,光明地产,0600708,7.80,8.03,7.69,7.91,0.18,2.33,"293,556","23,118",4.40,2.97
2017-11-02,光明地产,0600708,7.74,7.93,7.63,7.73,-0.02,-0.26,"237,461","18,483",3.87,2.40
2017-11-01,光明地产,0600708,7.63,7.93,7.58,7.75,0.10,1.31,"331,008","25,797",4.58,3.35
2017-10-31,光明地产,0600708,7.33,7.72,7.28,7.65,0.39,5.37,"276,167","20,897",6.06,2.79
2017-10-30,光明地产,0600708,7.45,7.53,7.23,7.26,-0.19,-2.55,"172,663","12,699",4.03,1.75
2017-10-27,光明地产,0600708,7.64,7.67,7.40,7.45,-0.17,-2.23,"144,883","10,900",3.54,1.47
2017-10-26,光明地产,0600708,7.56,7.67,7.53,7.62,0.08,1.06,"152,063","11,579",1.86,1.54
2017-10-25,光明地产,0600708,7.43,7.70,7.38,7.54,0.15,2.03,"222,000","16,763",4.33,2.24
2017-10-24,光明地产,0600708,7.44,7.49,7.38,7.39,-0.13,-1.73,"190,572","14,162",1.46,1.93
2017-10-23,光明地产,0600708,7.80,7.92,7.51,7.52,0.02,0.27,"553,197","42,496",5.47,5.59
2017-10-20,光明地产,0600708,7.03,7.54,7.02,7.50,0.56,8.07,"322,847","23,614",7.49,3.26
2017-10-19,光明地产,0600708,7.07,7.08,6.93,6.94,-0.15,-2.12,"75,610","5,284",2.12,0.76
2017-10-18,光明地产,0600708,7.11,7.15,7.05,7.09,-0.06,-0.84,"84,646","6,004",1.40,0.86
2017-10-17,光明地产,0600708,7.12,7.15,7.07,7.15,0.00,0.00,"73,421","5,217",1.12,0.74
2017-10-16,光明地产,0600708,7.32,7.35,7.13,7.15,-0.17,-2.32,"116,597","8,414",3.01,1.18
2017-10-13,光明地产,0600708,7.30,7.34,7.28,7.32,0.00,0.00,"44,297","3,237",0.82,0.45
2017-10-12,光明地产,0600708,7.32,7.37,7.28,7.32,-0.01,-0.14,"58,014","4,249",1.23,0.59
2017-10-11,光明地产,0600708,7.39,7.45,7.28,7.33,-0.03,-0.41,"97,463","7,155",2.31,0.99
2017-10-10,光明地产,0600708,7.26,7.37,7.22,7.36,0.12,1.66,"91,451","6,666",2.07,0.92
2017-10-09,光明地产,0600708,7.40,7.47,7.22,7.24,0.06,0.84,"151,280","11,097",3.48,1.53
2017-06-30,光明地产,0600708,6.71,6.72,6.58,6.64,-0.04,-0.60,"58,330","3,876",2.10,0.60
2017-06-29,光明地产,0600708,8.80,8.86,8.79,8.83,0.00,0.00,"65,084","5,743",0.79,0.87
2017-06-28,光明地产,0600708,8.83,8.86,8.77,8.83,0.00,0.00,"47,183","4,163",1.02,0.63
2017-06-27,光明地产,0600708,8.75,8.86,8.74,8.83,0.06,0.68,"55,555","4,890",1.37,0.74
2017-06-26,光明地产,0600708,8.63,8.79,8.61,8.77,0.14,1.62,"47,769","4,163",2.09,0.64
2017-06-23,光明地产,0600708,8.62,8.71,8.52,8.63,0.02,0.23,"49,063","4,228",2.21,0.65
2017-06-22,光明地产,0600708,8.65,8.82,8.60,8.61,-0.03,-0.35,"66,457","5,802",2.55,0.89
2017-06-21,光明地产,0600708,8.55,8.66,8.54,8.64,0.09,1.05,"52,967","4,568",1.40,0.71
2017-06-20,光明地产,0600708,8.48,8.68,8.48,8.55,0.01,0.12,"67,862","5,834",2.34,0.90
2017-06-19,光明地产,0600708,8.42,8.54,8.42,8.54,0.09,1.07,"34,820","2,960",1.42,0.46
2017-06-16,光明地产,0600708,8.45,8.49,8.39,8.45,0.03,0.36,"49,703","4,196",1.19,0.66
