日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-09-29,城建发展,0600266,15.55,15.88,15.44,15.57,-0.01,-0.06,"320,413","50,209",2.82,2.04
2017-09-28,城建发展,0600266,16.01,16.01,15.36,15.58,-0.41,-2.56,"594,069","92,554",4.07,3.79
2017-09-27,城建发展,0600266,15.01,16.14,14.96,15.99,0.91,6.03,"630,945","98,622",7.82,4.03
2017-09-26,城建发展,0600266,14.96,15.18,14.92,15.08,0.12,0.80,"211,384","31,810",1.74,1.35
2017-09-25,城建发展,0600266,15.41,15.50,14.89,14.96,-0.68,-4.35,"374,483","56,573",3.90,2.39
2017-09-22,城建发展,0600266,15.32,15.74,15.12,15.64,0.31,2.02,"470,605","73,134",4.04,3.00
2017-09-21,城建发展,0600266,15.63,15.63,15.18,15.33,-0.34,-2.17,"392,113","60,135",2.87,2.50
2017-09-20,城建发展,0600266,14.68,15.83,14.63,15.67,0.94,6.38,"960,594","147,790",8.15,6.13
2017-09-19,城建发展,0600266,14.43,14.98,14.38,14.73,0.30,2.08,"485,767","71,740",4.16,3.10
2017-09-18,城建发展,0600266,14.58,14.74,14.39,14.43,-0.16,-1.10,"211,348","30,687",2.40,1.35
2017-09-15,城建发展,0600266,14.60,14.75,14.45,14.59,0.00,0.00,"309,417","45,315",2.06,1.97
2017-09-14,城建发展,0600266,14.36,14.67,14.27,14.59,0.24,1.67,"419,404","60,945",2.79,2.68
2017-09-13,城建发展,0600266,14.31,14.38,14.18,14.35,0.07,0.49,"148,480","21,232",1.40,0.95
2017-09-12,城建发展,0600266,14.30,14.38,14.22,14.28,-0.01,-0.07,"155,091","22,151",1.12,0.99
2017-09-11,城建发展,0600266,14.27,14.43,14.24,14.29,-0.07,-0.49,"140,186","20,059",1.32,0.89
2017-09-08,城建发展,0600266,14.40,14.47,14.25,14.36,-0.12,-0.83,"143,523","20,602",1.52,0.92
2017-09-07,城建发展,0600266,14.20,14.62,14.16,14.48,0.29,2.04,"360,285","52,099",3.24,2.30
2017-09-06,城建发展,0600266,14.15,14.22,14.10,14.19,-0.01,-0.07,"110,459","15,632",0.85,0.70
2017-09-05,城建发展,0600266,14.31,14.33,14.14,14.20,-0.07,-0.49,"140,586","20,011",1.33,0.90
2017-09-04,城建发展,0600266,14.36,14.44,14.19,14.27,-0.10,-0.70,"157,711","22,571",1.74,1.01
2017-09-01,城建发展,0600266,14.36,14.48,14.23,14.37,0.02,0.14,"157,764","22,589",1.74,1.01
2017-08-31,城建发展,0600266,14.39,14.50,14.25,14.35,-0.04,-0.28,"117,729","16,918",1.74,0.75
2017-08-30,城建发展,0600266,14.43,14.56,14.37,14.39,-0.08,-0.55,"121,565","17,573",1.31,0.78
2017-08-29,城建发展,0600266,14.67,14.67,14.43,14.47,-0.17,-1.16,"144,149","20,931",1.64,0.92
2017-08-28,城建发展,0600266,14.51,14.69,14.39,14.64,0.11,0.76,"180,462","26,332",2.06,1.15
2017-08-25,城建发展,0600266,14.35,14.62,14.33,14.53,0.10,0.69,"140,665","20,393",2.01,0.90
2017-08-24,城建发展,0600266,14.36,14.64,14.34,14.43,0.06,0.42,"181,656","26,347",2.09,1.16
2017-08-23,城建发展,0600266,14.83,14.84,14.25,14.37,-0.46,-3.10,"220,597","32,030",3.98,1.41
2017-08-22,城建发展,0600266,14.84,15.09,14.59,14.83,-0.06,-0.40,"272,052","40,306",3.36,1.74
2017-08-21,城建发展,0600266,14.41,15.04,14.34,14.89,0.40,2.76,"433,497","64,011",4.83,2.77
2017-08-18,城建发展,0600266,14.10,14.65,14.06,14.49,0.40,2.84,"423,699","61,190",4.19,2.79
2017-08-17,城建发展,0600266,14.00,14.14,13.92,14.09,0.08,0.57,"138,821","19,517",1.57,0.92
2017-08-16,城建发展,0600266,14.01,14.17,13.91,14.01,-0.11,-0.78,"116,429","16,324",1.84,0.77
