日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,天房发展,0600322,5.91,6.19,5.85,6.03,0.14,2.38,"72,078","4,365",5.77,0.65
2017-03-30,天房发展,0600322,6.07,6.09,5.87,5.89,-0.17,-2.81,"108,737","6,495",3.63,0.98
2017-03-29,天房发展,0600322,6.20,6.23,6.05,6.06,-0.12,-1.94,"98,966","6,051",2.91,0.90
2017-03-28,天房发展,0600322,6.30,6.30,6.16,6.18,-0.13,-2.06,"47,891","2,988",2.22,0.43
2017-03-27,天房发展,0600322,6.27,6.33,6.25,6.31,0.04,0.64,"74,118","4,665",1.28,0.67
2017-03-24,天房发展,0600322,6.27,6.31,6.24,6.27,0.00,0.00,"66,410","4,164",1.12,0.60
2017-03-23,天房发展,0600322,6.34,6.37,6.25,6.27,-0.06,-0.95,"48,579","3,057",1.90,0.44
2017-03-22,天房发展,0600322,6.31,6.38,6.22,6.33,-0.01,-0.16,"67,171","4,228",2.52,0.61
2017-03-21,天房发展,0600322,6.29,6.42,6.27,6.34,0.05,0.79,"75,030","4,762",2.38,0.68
2017-03-20,天房发展,0600322,6.33,6.36,6.25,6.29,-0.04,-0.63,"62,184","3,917",1.74,0.56
2017-03-17,天房发展,0600322,6.43,6.46,6.31,6.33,-0.11,-1.71,"80,424","5,132",2.33,0.73
2017-03-16,天房发展,0600322,6.42,6.45,6.34,6.44,0.06,0.94,"72,182","4,622",1.72,0.65
2017-03-15,天房发展,0600322,6.42,6.47,6.32,6.38,-0.04,-0.62,"55,407","3,543",2.34,0.50
2017-03-14,天房发展,0600322,6.39,6.50,6.33,6.42,0.06,0.94,"75,795","4,873",2.67,0.69
2017-03-13,天房发展,0600322,6.34,6.42,6.29,6.36,0.03,0.47,"51,251","3,252",2.05,0.46
2017-03-10,天房发展,0600322,6.41,6.43,6.25,6.33,-0.07,-1.09,"81,023","5,130",2.81,0.73
2017-03-09,天房发展,0600322,6.52,6.54,6.37,6.40,-0.12,-1.84,"52,810","3,386",2.61,0.48
2017-03-08,天房发展,0600322,6.45,6.62,6.42,6.52,0.08,1.24,"88,133","5,765",3.11,0.80
2017-03-07,天房发展,0600322,6.44,6.49,6.39,6.44,-0.03,-0.46,"68,103","4,385",1.55,0.62
2017-03-06,天房发展,0600322,6.31,6.47,6.31,6.47,0.11,1.73,"91,201","5,847",2.52,0.82
2017-03-03,天房发展,0600322,6.41,6.45,6.26,6.36,-0.04,-0.63,"106,107","6,743",2.97,0.96
2017-03-02,天房发展,0600322,6.68,6.72,6.39,6.40,-0.29,-4.33,"186,158","12,161",4.93,1.68
2017-03-01,天房发展,0600322,6.66,6.72,6.63,6.69,0.02,0.30,"121,511","8,106",1.35,1.10
2017-02-28,天房发展,0600322,6.70,6.78,6.59,6.67,-0.03,-0.45,"111,759","7,449",2.84,1.01
2017-02-27,天房发展,0600322,6.84,6.86,6.69,6.70,-0.16,-2.33,"114,469","7,753",2.48,1.04
2017-02-24,天房发展,0600322,6.78,6.88,6.77,6.86,0.05,0.73,"66,420","4,544",1.62,0.60
2017-02-23,天房发展,0600322,6.97,6.99,6.76,6.81,-0.18,-2.58,"161,563","11,099",3.29,1.46
2017-02-22,天房发展,0600322,6.99,7.10,6.93,6.99,-0.02,-0.29,"122,091","8,557",2.43,1.10
2017-02-21,天房发展,0600322,6.85,7.02,6.80,7.01,0.14,2.04,"124,489","8,614",3.20,1.13
2017-02-20,天房发展,0600322,6.91,7.04,6.77,6.87,-0.05,-0.72,"137,458","9,453",3.90,1.24
