日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,市北高新,0600604,18.67,18.80,18.50,18.58,-0.06,-0.32,"24,776","4,612",1.61,0.65
2017-03-30,市北高新,0600604,18.97,19.03,18.62,18.64,-0.43,-2.25,"45,544","8,533",2.15,1.19
2017-03-29,市北高新,0600604,19.36,19.69,19.05,19.07,0.15,0.79,"89,451","17,300",3.38,2.34
2017-03-28,市北高新,0600604,19.04,19.09,18.80,18.92,-0.03,-0.16,"22,515","4,252",1.53,0.59
2017-03-27,市北高新,0600604,19.09,19.25,18.90,18.95,0.01,0.05,"47,664","9,091",1.85,1.25
2017-03-24,市北高新,0600604,18.77,19.10,18.75,18.94,0.20,1.07,"35,196","6,662",1.87,0.92
2017-03-23,市北高新,0600604,18.73,18.97,18.62,18.74,-0.09,-0.48,"27,306","5,126",1.86,0.72
2017-03-22,市北高新,0600604,18.81,18.90,18.67,18.83,-0.09,-0.48,"30,769","5,780",1.22,0.81
2017-03-21,市北高新,0600604,18.94,19.02,18.83,18.92,-0.02,-0.11,"19,817","3,751",1.00,0.52
2017-03-20,市北高新,0600604,18.89,19.03,18.80,18.94,0.06,0.32,"23,712","4,483",1.22,0.62
2017-03-17,市北高新,0600604,19.13,19.14,18.88,18.88,-0.26,-1.36,"38,072","7,231",1.36,1.00
2017-03-16,市北高新,0600604,18.88,19.15,18.88,19.14,0.27,1.43,"44,390","8,439",1.43,1.16
2017-03-15,市北高新,0600604,19.01,19.11,18.79,18.87,-0.31,-1.62,"48,903","9,232",1.67,1.28
2017-03-14,市北高新,0600604,18.67,19.89,18.67,19.18,0.45,2.40,"105,347","20,376",6.51,2.76
2017-03-13,市北高新,0600604,18.70,18.74,18.52,18.73,0.01,0.05,"31,711","5,911",1.18,0.83
2017-03-10,市北高新,0600604,18.70,18.90,18.63,18.72,0.02,0.11,"20,405","3,825",1.44,0.53
2017-03-09,市北高新,0600604,18.85,18.93,18.65,18.70,-0.24,-1.27,"34,746","6,510",1.48,0.91
2017-03-08,市北高新,0600604,19.13,19.13,18.91,18.94,-0.16,-0.84,"30,137","5,713",1.15,0.79
2017-03-07,市北高新,0600604,19.03,19.16,19.00,19.10,0.13,0.69,"39,518","7,538",0.84,1.04
2017-03-06,市北高新,0600604,19.07,19.07,18.89,18.97,0.07,0.37,"30,723","5,832",0.95,0.81
2017-03-03,市北高新,0600604,19.14,19.14,18.82,18.90,-0.25,-1.31,"43,389","8,212",1.67,1.14
2017-03-02,市北高新,0600604,19.32,19.44,19.13,19.15,-0.15,-0.78,"46,879","9,018",1.61,1.23
2017-03-01,市北高新,0600604,19.32,19.36,19.15,19.30,0.00,0.00,"41,503","7,997",1.09,1.09
2017-02-28,市北高新,0600604,19.44,19.47,19.22,19.30,-0.03,-0.16,"33,044","6,383",1.29,0.87
2017-02-27,市北高新,0600604,19.27,19.44,19.26,19.33,0.03,0.16,"37,841","7,312",0.93,0.99
2017-02-24,市北高新,0600604,19.18,19.40,19.04,19.30,0.12,0.63,"49,137","9,461",1.88,1.29
2017-02-23,市北高新,0600604,19.21,19.35,19.10,19.18,-0.09,-0.47,"33,597","6,441",1.30,0.88
