日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-03-31,广宇集团,1002133,7.01,7.11,7.00,7.07,0.05,0.71,"70,875","4,997",1.57,1.17
2017-03-30,广宇集团,1002133,7.17,7.18,7.00,7.02,-0.16,-2.23,"112,008","7,905",2.51,1.85
2017-03-29,广宇集团,1002133,7.30,7.30,7.18,7.18,-0.13,-1.78,"104,408","7,534",1.64,1.72
2017-03-28,广宇集团,1002133,7.37,7.37,7.21,7.31,-0.06,-0.81,"100,765","7,330",2.17,1.66
2017-03-27,广宇集团,1002133,7.40,7.42,7.32,7.37,-0.01,-0.14,"76,500","5,633",1.36,1.26
2017-03-24,广宇集团,1002133,7.39,7.42,7.28,7.38,-0.02,-0.27,"96,656","7,114",1.89,1.59
2017-03-23,广宇集团,1002133,7.39,7.47,7.33,7.40,0.01,0.14,"67,531","4,997",1.89,1.11
2017-03-22,广宇集团,1002133,7.46,7.49,7.36,7.39,-0.11,-1.47,"94,585","7,011",1.73,1.56
2017-03-21,广宇集团,1002133,7.46,7.52,7.39,7.50,0.05,0.67,"102,691","7,647",1.75,1.69
2017-03-20,广宇集团,1002133,7.49,7.54,7.37,7.45,-0.07,-0.93,"117,041","8,716",2.26,1.93
2017-03-17,广宇集团,1002133,7.58,7.61,7.50,7.52,-0.09,-1.18,"122,777","9,271",1.45,2.02
2017-03-16,广宇集团,1002133,7.62,7.63,7.50,7.61,0.03,0.40,"173,852","13,165",1.72,2.87
2017-03-15,广宇集团,1002133,7.55,7.59,7.49,7.58,-0.01,-0.13,"95,994","7,233",1.32,1.58
2017-03-14,广宇集团,1002133,7.53,7.72,7.50,7.59,0.07,0.93,"174,915","13,321",2.93,2.88
2017-03-13,广宇集团,1002133,7.35,7.52,7.32,7.52,0.15,2.04,"117,848","8,773",2.71,1.94
2017-03-10,广宇集团,1002133,7.44,7.47,7.35,7.37,-0.07,-0.94,"88,257","6,521",1.61,1.46
2017-03-09,广宇集团,1002133,7.59,7.59,7.41,7.44,-0.15,-1.98,"125,244","9,340",2.37,2.07
2017-03-08,广宇集团,1002133,7.57,7.65,7.55,7.59,0.03,0.40,"82,992","6,301",1.32,1.37
2017-03-07,广宇集团,1002133,7.52,7.62,7.51,7.56,0.00,0.00,"87,617","6,618",1.46,1.44
2017-03-06,广宇集团,1002133,7.53,7.56,7.45,7.56,0.05,0.67,"106,524","8,003",1.46,1.76
2017-03-03,广宇集团,1002133,7.51,7.61,7.46,7.51,0.03,0.40,"92,525","6,975",2.01,1.53
2017-03-02,广宇集团,1002133,7.60,7.64,7.46,7.48,-0.12,-1.58,"88,881","6,685",2.37,1.47
2017-03-01,广宇集团,1002133,7.50,7.67,7.50,7.60,0.08,1.06,"144,734","11,004",2.26,2.39
2017-02-28,广宇集团,1002133,7.38,7.59,7.33,7.52,0.13,1.76,"156,296","11,691",3.52,2.58
2017-02-27,广宇集团,1002133,7.50,7.50,7.35,7.39,-0.11,-1.47,"98,020","7,268",2.00,1.62
2017-02-24,广宇集团,1002133,7.48,7.52,7.38,7.50,-0.01,-0.13,"99,291","7,406",1.86,1.64
2017-02-23,广宇集团,1002133,7.45,7.58,7.42,7.51,0.05,0.67,"141,336","10,640",2.14,2.33
