日期,公司名,公司code,开盘价,最高价,最低价,收盘价,涨跌额,涨跌幅(%),成交量(手),成交金额(万元),振幅(%),换手率(%)
2017-12-29,新黄浦,0600638,14.56,14.69,14.51,14.61,0.05,0.34,"20,220","2,948",1.24,0.36
2017-12-28,新黄浦,0600638,14.54,14.75,14.45,14.56,0.02,0.14,"23,675","3,445",2.06,0.42
2017-12-27,新黄浦,0600638,14.93,15.04,14.52,14.54,-0.39,-2.61,"9,351","1,382",3.48,0.17
2017-12-26,新黄浦,0600638,15.26,15.26,14.85,14.93,-0.23,-1.52,"13,909","2,084",2.70,0.25
2017-12-25,新黄浦,0600638,15.30,15.43,15.15,15.16,-0.22,-1.43,"6,345",971,1.82,0.11
2017-12-22,新黄浦,0600638,15.35,15.45,15.26,15.38,0.03,0.20,"4,728",727,1.24,0.08
2017-12-21,新黄浦,0600638,15.41,15.52,15.12,15.35,-0.06,-0.39,"7,459","1,144",2.60,0.13
2017-12-20,新黄浦,0600638,15.68,15.68,15.25,15.41,-0.30,-1.91,"13,720","2,117",2.74,0.24
2017-12-19,新黄浦,0600638,15.64,15.79,15.54,15.71,0.09,0.58,"7,224","1,132",1.60,0.13
2017-12-18,新黄浦,0600638,16.06,16.06,15.51,15.62,-0.33,-2.07,"12,186","1,912",3.45,0.22
2017-12-15,新黄浦,0600638,16.16,16.25,15.92,15.95,-0.16,-0.99,"18,412","2,960",2.05,0.33
2017-12-14,新黄浦,0600638,16.14,16.24,16.07,16.11,-0.05,-0.31,"5,030",811,1.05,0.09
2017-12-13,新黄浦,0600638,16.22,16.29,16.09,16.16,-0.13,-0.80,"8,883","1,438",1.23,0.16
2017-12-12,新黄浦,0600638,16.44,16.44,16.21,16.29,-0.06,-0.37,"7,674","1,250",1.41,0.14
2017-12-11,新黄浦,0600638,16.25,16.40,16.20,16.35,-0.07,-0.43,"8,321","1,358",1.22,0.15
2017-12-08,新黄浦,0600638,16.00,16.59,16.00,16.42,0.25,1.55,"14,866","2,433",3.65,0.26
2017-12-07,新黄浦,0600638,16.09,16.33,16.01,16.17,0.09,0.56,"7,554","1,222",1.99,0.13
2017-12-06,新黄浦,0600638,16.10,16.25,15.88,16.08,-0.10,-0.62,"19,286","3,089",2.29,0.34
2017-12-05,新黄浦,0600638,16.50,16.74,16.00,16.18,-0.42,-2.53,"20,209","3,313",4.46,0.36
2017-12-04,新黄浦,0600638,16.50,16.76,16.50,16.60,-0.05,-0.30,"11,604","1,931",1.56,0.21
2017-12-01,新黄浦,0600638,16.75,17.45,16.60,16.65,-0.25,-1.48,"65,227","11,052",5.03,1.16
2017-11-30,新黄浦,0600638,17.45,17.68,16.60,16.90,-0.69,-3.92,"41,276","7,012",6.14,0.74
2017-11-29,新黄浦,0600638,17.68,17.81,17.40,17.59,-0.13,-0.73,"16,184","2,845",2.31,0.29
2017-11-28,新黄浦,0600638,17.91,17.91,17.60,17.72,-0.09,-0.51,"14,732","2,610",1.74,0.26
2017-11-27,新黄浦,0600638,18.11,18.15,17.60,17.81,-0.28,-1.55,"18,955","3,384",3.04,0.34
2017-11-24,新黄浦,0600638,17.75,18.10,17.60,18.09,0.30,1.69,"23,084","4,141",2.81,0.41
